Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADANIENT,EQ,2014-01-01,262.5,263.8,269.9,262.3,268.5,268.75,267.78,"11,59,480","31,04,89,151.00","14,196","1,13,459",9.79
ADANIENT,EQ,2014-01-02,268.75,264.0,268.75,253.3,256.25,255.35,260.88,"26,34,518","68,72,86,111.05","27,024","7,43,010",28.2
ADANIENT,EQ,2014-01-03,255.35,253.0,256.05,244.5,249.4,248.35,248.56,"17,66,615","43,91,11,651.05","24,958","2,84,422",16.1
ADANIENT,EQ,2014-01-06,248.35,247.9,254.9,244.7,251.35,252.05,251.7,"16,34,064","41,12,90,887.70","19,453","1,55,696",9.53
ADANIENT,EQ,2014-01-07,252.05,253.35,254.9,241.0,241.15,241.95,245.71,"16,86,479","41,43,88,048.50","27,033","4,56,387",27.06
ADANIENT,EQ,2014-01-08,241.95,242.6,243.9,237.3,240.25,240.15,240.32,"17,11,275","41,12,60,230.40","20,196","4,04,631",23.65
ADANIENT,EQ,2014-01-09,240.15,241.05,248.7,240.0,245.5,245.55,245.42,"16,10,468","39,52,38,582.50","21,133","2,79,496",17.35
ADANIENT,EQ,2014-01-10,245.55,245.6,247.25,238.3,241.1,240.95,242.71,"8,74,416","21,22,31,509.65","11,651","1,48,761",17.01
ADANIENT,EQ,2014-01-13,240.95,239.15,244.25,232.85,235.85,235.3,236.66,"11,00,182","26,03,72,117.00","11,370","3,84,181",34.92
ADANIENT,EQ,2014-01-14,235.3,232.1,246.0,231.25,246.0,244.25,241.12,"17,58,968","42,41,22,419.90","22,841","3,13,480",17.82
ADANIENT,EQ,2014-01-15,244.25,246.0,251.9,242.65,251.35,249.15,246.68,"13,64,492","33,65,87,699.45","21,766","3,00,050",21.99
ADANIENT,EQ,2014-01-16,249.15,250.4,252.95,247.1,248.0,248.65,249.73,"9,48,208","23,67,96,026.25","11,695","1,32,812",14.01
ADANIENT,EQ,2014-01-17,248.65,249.65,249.7,238.1,239.75,239.85,240.74,"13,75,757","33,11,93,447.50","15,639","3,66,687",26.65
ADANIENT,EQ,2014-01-20,239.85,241.05,249.65,238.0,248.5,246.7,243.16,"13,62,918","33,14,12,072.20","16,947","2,37,795",17.45
ADANIENT,EQ,2014-01-21,246.7,249.35,250.5,243.2,246.6,247.0,246.71,"8,40,215","20,72,90,757.40","11,765","90,440",10.76
