Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
APOLLOHOSP,EQ,2014-01-01,946.40,940.25,987.65,940.25,967.30,969.30,972.87,"3,35,988","32,68,71,460.30","15,034","1,00,810",30.0
APOLLOHOSP,EQ,2014-01-02,969.30,969.95,975.55,920.45,933.00,930.55,954.24,"1,72,239","16,43,57,803.25","9,560","85,545",49.67
APOLLOHOSP,EQ,2014-01-03,930.55,925.00,962.40,921.15,953.00,951.95,947.44,"1,48,814","14,09,92,383.40","10,420","32,362",21.75
APOLLOHOSP,EQ,2014-01-06,951.95,946.00,951.90,937.05,946.00,945.70,944.56,"95,362","9,00,75,474.75","7,185","58,404",61.24
APOLLOHOSP,EQ,2014-01-07,945.70,940.05,948.70,922.25,932.50,932.10,931.76,"1,37,831","12,84,25,735.40","6,427","73,671",53.45
APOLLOHOSP,EQ,2014-01-08,932.10,937.00,938.30,903.30,908.00,907.65,911.28,"1,70,459","15,53,36,401.30","12,049","79,640",46.72
APOLLOHOSP,EQ,2014-01-09,907.65,913.00,913.00,876.05,895.00,894.40,892.20,"2,60,764","23,26,54,038.40","14,588","1,70,064",65.22
APOLLOHOSP,EQ,2014-01-10,894.40,895.60,920.00,894.40,917.05,916.60,913.31,"1,72,729","15,77,54,806.45","18,916","92,524",53.57
APOLLOHOSP,EQ,2014-01-13,916.60,921.70,930.00,891.00,896.60,899.10,905.48,"1,56,681","14,18,70,946.65","14,759","65,958",42.1
APOLLOHOSP,EQ,2014-01-14,899.10,891.15,912.40,891.15,901.05,902.30,904.22,"59,681","5,39,64,550.10","5,029","16,411",27.5
APOLLOHOSP,EQ,2014-01-15,902.30,903.00,912.00,893.00,907.95,906.60,906.63,"1,35,377","12,27,37,295.10","10,242","76,211",56.3
APOLLOHOSP,EQ,2014-01-16,906.60,912.70,929.80,901.30,922.00,922.05,922.23,"2,08,882","19,26,38,139.50","7,879","98,954",47.37
APOLLOHOSP,EQ,2014-01-17,922.05,919.00,933.45,917.00,925.15,927.40,927.34,"89,085","8,26,12,383.70","4,740","45,973",51.61
APOLLOHOSP,EQ,2014-01-20,927.40,931.00,942.00,927.40,940.00,939.40,937.55,"93,297","8,74,71,031.65","5,852","45,014",48.25
APOLLOHOSP,EQ,2014-01-21,939.40,941.10,949.00,931.00,948.00,946.00,942.35,"1,53,772","14,49,06,869.30","6,364","1,01,331",65.9
APOLLOHOSP,EQ,2014-01-22,946.00,949.70,949.70,927.50,944.00,941.40,937.28,"74,869","7,01,73,555.80","9,696","42,526",56.8
APOLLOHOSP,EQ,2014-01-23,941.40,942.20,945.00,929.00,942.00,940.80,938.72,"65,283","6,12,82,460.85","5,486","37,937",58.11
APOLLOHOSP,EQ,2014-01-24,940.80,935.00,945.00,927.10,941.05,941.90,937.15,"1,02,697","9,62,42,635.30","6,864","69,946",68.11
