Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASIANPAINT,EQ,2014-01-01,490.0,494.4,503.9,492.0,499.5,499.75,500.42,"18,66,326","93,39,38,581.15","35,291","10,35,929",55.51
ASIANPAINT,EQ,2014-01-02,499.75,501.4,505.1,483.0,485.1,485.55,497.58,"9,52,911","47,41,45,733.30","23,236","4,78,072",50.17
ASIANPAINT,EQ,2014-01-03,485.55,483.0,491.5,480.0,490.0,489.5,487.71,"9,94,043","48,48,06,246.80","25,629","5,82,823",58.63
ASIANPAINT,EQ,2014-01-06,489.5,491.35,492.5,482.6,489.15,490.65,489.15,"8,33,555","40,77,36,928.85","23,080","4,93,601",59.22
ASIANPAINT,EQ,2014-01-07,490.65,491.0,493.5,484.0,490.0,489.95,489.4,"7,08,829","34,68,99,132.05","15,369","5,35,250",75.51
ASIANPAINT,EQ,2014-01-08,489.95,490.55,493.0,487.5,490.25,490.5,490.5,"7,03,600","34,51,17,759.15","19,835","5,13,140",72.93
ASIANPAINT,EQ,2014-01-09,490.5,488.35,491.9,485.55,490.2,490.1,488.94,"6,39,802","31,28,23,216.25","36,231","5,07,407",79.31
ASIANPAINT,EQ,2014-01-10,490.1,488.0,498.0,488.0,490.95,492.0,494.26,"6,10,335","30,16,61,300.20","27,089","3,04,716",49.93
ASIANPAINT,EQ,2014-01-13,492.0,488.7,499.4,488.0,494.0,494.05,494.58,"10,93,710","54,09,29,805.65","39,979","7,92,236",72.44
ASIANPAINT,EQ,2014-01-14,494.05,492.0,496.5,486.05,487.0,487.4,490.75,"4,48,596","22,01,48,880.00","12,544","2,93,448",65.41
ASIANPAINT,EQ,2014-01-15,487.4,486.0,494.7,486.0,492.7,493.5,491.77,"5,97,708","29,39,32,250.60","23,251","3,80,694",63.69
ASIANPAINT,EQ,2014-01-16,493.5,495.0,496.85,490.7,495.0,495.6,494.74,"7,38,459","36,53,48,236.05","13,556","4,74,809",64.3
ASIANPAINT,EQ,2014-01-17,495.6,497.45,500.0,488.1,492.15,491.55,494.69,"8,27,389","40,92,98,362.30","14,519","4,55,313",55.03
ASIANPAINT,EQ,2014-01-20,491.55,491.5,492.5,483.75,489.2,490.0,488.78,"13,96,371","68,25,11,700.05","20,199","6,87,212",49.21
ASIANPAINT,EQ,2014-01-21,490.0,478.0,482.9,472.3,479.5,479.25,476.93,"16,28,124","77,65,00,792.60","47,284","7,59,965",46.68
ASIANPAINT,EQ,2014-01-22,479.25,478.85,478.85,466.85,474.8,472.6,470.84,"27,95,089","1,31,60,52,586.70","55,870","20,82,049",74.49
ASIANPAINT,EQ,2014-01-23,472.6,473.9,474.5,468.15,474.0,473.0,471.28,"9,41,667","44,37,84,971.95","27,184","6,17,937",65.62
ASIANPAINT,EQ,2014-01-24,473.0,469.25,479.55,465.0,479.4,478.1,474.37,"11,70,322","55,51,68,355.45","26,079","7,17,259",61.29
ASIANPAINT,EQ,2014-01-27,478.1,474.0,478.9,470.5,477.0,476.4,475.39,"9,41,676","44,76,66,312.10","17,909","6,24,365",66.3
ASIANPAINT,EQ,2014-01-28,476.4,475.25,480.7,471.0,479.0,476.8,475.47,"9,02,422","42,90,71,958.75","11,183","6,70,491",74.3
ASIANPAINT,EQ,2014-01-29,476.8,478.1,484.75,473.75,483.0,482.9,481.49,"10,46,075","50,36,71,206.10","29,195","7,63,510",72.99
ASIANPAINT,EQ,2014-01-30,482.9,478.0,480.0,463.95,475.8,477.5,471.95,"29,15,597","1,37,60,03,859.85","33,712","22,44,236",76.97
ASIANPAINT,EQ,2014-01-31,477.5,474.15,478.9,467.05,473.0,471.7,471.22,"16,81,719","79,24,64,403.20","36,277","12,37,876",73.61
ASIANPAINT,EQ,2014-02-03,471.7,468.25,479.0,467.55,469.9,469.9,473.95,"6,51,775","30,89,08,280.60","16,351","3,85,545",59.15
ASIANPAINT,EQ,2014-02-04,469.9,465.05,477.4,464.05,475.0,476.0,471.87,"9,69,792","45,76,19,276.75","13,718","7,63,855",78.76
ASIANPAINT,EQ,2014-02-05,476.0,473.2,485.1,470.1,484.5,484.45,478.3,"12,54,256","59,99,13,741.15","14,559","9,15,657",73.0
ASIANPAINT,EQ,2014-02-06,484.45,485.55,488.0,478.0,485.05,484.05,481.87,"9,78,103","47,13,18,821.45","21,216","6,77,858",69.3
ASIANPAINT,EQ,2014-02-07,484.05,487.0,491.3,484.05,490.0,490.5,489.23,"5,96,025","29,15,91,884.20","12,320","3,38,879",56.86
ASIANPAINT,EQ,2014-02-10,490.5,492.8,495.0,485.0,487.2,487.0,488.17,"22,09,585","1,07,86,46,598.40","25,705","19,33,386",87.5
ASIANPAINT,EQ,2014-02-11,487.0,489.1,489.25,480.7,483.95,484.35,485.1,"10,58,522","51,34,86,356.00","20,818","8,88,013",83.89
ASIANPAINT,EQ,2014-02-12,484.35,479.0,483.0,474.1,478.05,477.35,476.78,"8,56,522","40,83,75,291.35","28,575","4,50,006",52.54
ASIANPAINT,EQ,2014-02-13,477.35,477.35,479.75,466.65,467.5,468.8,472.11,"3,18,431","15,03,33,433.70","13,958","1,35,426",42.53
ASIANPAINT,EQ,2014-02-14,468.8,469.65,475.45,469.25,473.05,472.8,472.48,"3,23,567","15,28,77,465.15","11,154","1,45,903",45.09
ASIANPAINT,EQ,2014-02-17,472.8,474.85,476.2,470.6,472.3,473.25,473.32,"2,74,976","13,01,52,554.30","9,134","1,63,757",59.55
ASIANPAINT,EQ,2014-02-18,473.25,473.5,477.0,463.65,472.35,473.1,471.85,"4,03,429","19,03,57,581.35","14,616","1,04,043",25.79
ASIANPAINT,EQ,2014-02-19,473.1,472.0,473.1,467.5,467.5,468.5,469.51,"2,92,623","13,73,89,305.00","10,186","1,54,205",52.7
ASIANPAINT,EQ,2014-02-20,468.5,466.65,467.5,460.2,460.35,461.6,463.46,"6,94,901","32,20,61,345.00","17,186","3,78,390",54.45
ASIANPAINT,EQ,2014-02-21,461.6,462.25,468.85,461.3,465.0,464.0,465.28,"5,62,640","26,17,84,880.40","21,601","3,35,575",59.64
ASIANPAINT,EQ,2014-02-24,464.0,464.5,471.8,464.05,471.3,470.8,469.24,"3,03,887","14,25,94,705.85","10,801","1,26,071",41.49
ASIANPAINT,EQ,2014-02-25,470.8,471.5,474.85,470.1,472.45,472.05,472.51,"8,06,751","38,11,98,004.80","22,417","6,51,840",80.8
ASIANPAINT,EQ,2014-02-26,472.05,470.5,479.9,470.5,478.0,477.15,475.7,"6,04,265","28,74,48,114.20","14,633","3,85,053",63.72
ASIANPAINT,EQ,2014-02-28,477.15,477.75,482.5,470.55,471.5,473.0,474.97,"6,73,369","31,98,31,664.80","24,705","4,10,985",61.03
ASIANPAINT,EQ,2014-03-03,473.0,471.5,476.35,468.5,471.8,472.95,473.22,"4,31,296","20,40,99,601.75","11,901","2,37,672",55.11
ASIANPAINT,EQ,2014-03-04,472.95,471.55,477.5,471.55,475.9,475.6,474.94,"10,01,089","47,54,54,711.70","16,044","7,92,094",79.12
ASIANPAINT,EQ,2014-03-05,475.6,477.4,478.9,472.0,473.9,474.6,475.22,"4,36,618","20,74,87,792.10","22,300","2,44,011",55.89
ASIANPAINT,EQ,2014-03-06,474.6,476.5,477.2,472.55,474.0,474.55,474.79,"4,37,306","20,76,30,100.50","10,597","3,26,422",74.64
ASIANPAINT,EQ,2014-03-07,474.55,475.9,484.3,473.5,480.15,481.0,478.81,"9,30,496","44,55,29,096.50","30,121","5,63,949",60.61
ASIANPAINT,EQ,2014-03-10,481.0,482.0,490.0,480.6,484.45,484.85,486.61,"9,93,946","48,36,65,036.25","25,213","6,46,291",65.02
ASIANPAINT,EQ,2014-03-11,484.85,487.6,489.5,478.55,478.55,480.7,484.22,"5,35,386","25,92,46,202.70","14,175","2,84,200",53.08
ASIANPAINT,EQ,2014-03-12,480.7,481.0,495.95,478.6,495.05,494.3,489.67,"9,07,392","44,43,23,466.45","24,499","3,98,111",43.87
ASIANPAINT,EQ,2014-03-13,494.3,498.0,504.2,491.7,494.5,493.75,499.25,"7,72,560","38,56,98,480.65","25,933","3,65,548",47.32
ASIANPAINT,EQ,2014-03-14,493.75,491.0,499.85,490.95,494.55,495.5,495.6,"7,11,413","35,25,76,375.35","18,746","4,76,362",66.96
ASIANPAINT,EQ,2014-03-18,495.5,496.5,504.6,494.2,502.0,501.6,501.2,"6,21,330","31,14,11,807.05","28,962","2,87,920",46.34
ASIANPAINT,EQ,2014-03-19,501.6,503.0,514.45,503.0,513.0,513.05,510.02,"9,39,626","47,92,30,821.60","26,575","5,66,482",60.29
ASIANPAINT,EQ,2014-03-20,513.05,513.5,519.7,513.0,515.4,515.6,516.19,"11,96,743","61,77,46,735.65","28,466","9,16,097",76.55
ASIANPAINT,EQ,2014-03-21,515.6,516.15,518.0,504.95,508.1,510.1,509.3,"9,55,311","48,65,37,049.20","26,135","6,63,959",69.5
ASIANPAINT,EQ,2014-03-22,510.1,509.0,510.3,506.4,506.7,506.85,507.71,"24,307","1,23,40,786.70",751,"11,817",48.62
ASIANPAINT,EQ,2014-03-24,506.85,507.5,525.0,506.05,524.0,523.9,518.3,"9,85,612","51,08,44,541.25","26,080","5,44,285",55.22
ASIANPAINT,EQ,2014-03-25,523.9,524.5,533.6,522.0,526.75,525.3,527.21,"6,55,035","34,53,40,598.90","17,828","3,30,439",50.45
ASIANPAINT,EQ,2014-03-26,525.3,526.55,533.25,523.45,530.0,529.1,529.09,"5,77,241","30,54,11,106.05","21,884","3,95,032",68.43
ASIANPAINT,EQ,2014-03-27,529.1,527.45,544.0,527.45,541.2,539.05,538.82,"15,14,253","81,59,03,672.25","25,142","9,50,618",62.78
ASIANPAINT,EQ,2014-03-28,539.05,542.0,543.0,533.9,538.0,539.85,538.08,"5,59,627","30,11,23,716.85","22,473","3,10,818",55.54
ASIANPAINT,EQ,2014-03-31,539.85,540.0,550.0,535.0,547.1,547.95,544.12,"5,45,531","29,68,34,073.25","14,626","1,99,700",36.61
ASIANPAINT,EQ,2014-04-01,547.95,547.75,547.75,532.0,536.2,536.65,535.34,"5,90,285","31,60,04,344.10","16,729","3,27,094",55.41
ASIANPAINT,EQ,2014-04-02,536.65,536.0,542.8,521.0,523.05,522.8,527.05,"12,96,369","68,32,55,568.20","28,760","9,61,404",74.16
ASIANPAINT,EQ,2014-04-03,522.8,523.55,542.0,523.55,541.3,538.6,532.75,"9,60,789","51,18,59,950.25","28,242","3,24,365",33.76
ASIANPAINT,EQ,2014-04-04,538.6,543.0,543.0,527.5,530.0,530.7,530.99,"7,57,681","40,23,21,883.50","17,837","3,45,272",45.57
ASIANPAINT,EQ,2014-04-07,530.7,531.0,544.85,526.5,539.9,539.55,534.32,"10,64,991","56,90,50,916.40","20,884","4,63,004",43.47
ASIANPAINT,EQ,2014-04-09,539.55,542.35,549.5,538.85,547.15,547.7,544.48,"6,20,888","33,80,63,617.95","21,334","2,31,617",37.3
ASIANPAINT,EQ,2014-04-10,547.7,544.3,550.0,539.4,541.95,541.5,545.16,"7,40,700","40,37,98,210.10","24,843","4,70,308",63.5
ASIANPAINT,EQ,2014-04-11,541.5,540.0,546.85,535.4,543.0,543.7,541.71,"5,13,869","27,83,70,376.50","16,231","2,09,880",40.84
ASIANPAINT,EQ,2014-04-15,543.7,544.0,545.0,530.85,535.0,534.5,535.18,"4,03,358","21,58,69,237.10","12,793","2,31,337",57.35
ASIANPAINT,EQ,2014-04-16,534.5,537.65,538.5,532.5,533.6,534.9,535.14,"7,50,909","40,18,38,200.10","27,172","5,67,088",75.52
ASIANPAINT,EQ,2014-04-17,534.9,537.9,546.5,533.2,545.0,543.75,539.54,"6,97,395","37,62,70,231.20","18,734","4,01,748",57.61
ASIANPAINT,EQ,2014-04-21,543.75,547.0,547.0,533.15,541.0,539.2,536.9,"12,50,718","67,15,07,895.35","15,649","9,48,473",75.83
ASIANPAINT,EQ,2014-04-22,539.2,540.2,542.0,534.5,536.0,536.4,537.57,"4,05,176","21,78,08,918.90","8,861","2,25,656",55.69
ASIANPAINT,EQ,2014-04-23,536.4,532.25,540.05,528.55,531.15,529.6,531.0,"8,66,527","46,01,25,654.70","28,143","6,53,686",75.44
ASIANPAINT,EQ,2014-04-25,529.6,534.5,534.5,513.05,517.65,514.95,519.88,"5,12,656","26,65,21,347.00","13,659","2,68,924",52.46
ASIANPAINT,EQ,2014-04-28,514.95,515.0,518.65,498.55,500.0,500.55,504.72,"14,34,257","72,39,01,273.95","35,670","10,24,906",71.46
ASIANPAINT,EQ,2014-04-29,500.55,502.0,504.95,494.7,501.85,497.6,502.08,"8,71,746","43,76,87,626.55","20,602","5,60,256",64.27
ASIANPAINT,EQ,2014-04-30,497.6,498.2,511.95,498.2,505.4,505.15,506.38,"6,42,019","32,51,08,746.15","14,952","3,30,932",51.55
ASIANPAINT,EQ,2014-05-02,505.15,505.0,518.5,505.0,511.45,511.45,513.87,"5,21,441","26,79,54,515.65","15,267","2,52,225",48.37
ASIANPAINT,EQ,2014-05-05,511.45,510.25,519.75,507.45,518.0,518.6,515.06,"5,07,852","26,15,75,896.25","13,334","2,62,897",51.77
ASIANPAINT,EQ,2014-05-06,518.6,521.0,524.45,513.25,514.45,514.75,517.87,"3,46,381","17,93,80,460.10","9,407","1,32,243",38.18
ASIANPAINT,EQ,2014-05-07,514.75,510.0,515.0,504.0,504.7,505.65,510.22,"4,92,771","25,14,22,067.90","12,137","3,30,994",67.17
ASIANPAINT,EQ,2014-05-08,505.65,504.3,511.9,503.0,505.0,504.4,506.38,"4,73,377","23,97,10,508.25","13,800","2,67,227",56.45
ASIANPAINT,EQ,2014-05-09,504.4,504.45,522.5,503.0,519.0,521.15,515.78,"5,03,574","25,97,34,729.55","9,460","2,45,827",48.82
ASIANPAINT,EQ,2014-05-12,521.15,520.25,540.0,518.1,538.0,538.2,528.77,"8,96,112","47,38,34,476.30","23,095","3,38,373",37.76
ASIANPAINT,EQ,2014-05-13,538.2,539.3,551.0,534.95,540.0,540.35,542.95,"11,14,150","60,49,26,565.45","22,263","2,64,855",23.77
ASIANPAINT,EQ,2014-05-14,540.35,544.9,560.0,542.0,555.85,556.9,552.53,"12,12,854","67,01,42,554.25","32,626","4,45,503",36.73
ASIANPAINT,EQ,2014-05-15,556.9,563.9,563.9,523.5,525.0,529.05,533.51,"19,07,311","1,01,75,76,843.05","47,988","9,17,899",48.13
ASIANPAINT,EQ,2014-05-16,529.05,540.0,550.0,527.0,536.0,536.5,539.92,"20,66,679","1,11,58,44,339.30","27,719","11,14,357",53.92
ASIANPAINT,EQ,2014-05-19,536.5,542.0,542.0,522.5,525.9,527.45,528.85,"8,85,764","46,84,37,753.65","22,359","5,11,397",57.74
ASIANPAINT,EQ,2014-05-20,527.45,535.0,535.7,515.7,528.3,528.9,528.22,"10,25,384","54,16,25,374.50","19,279","7,08,000",69.05
ASIANPAINT,EQ,2014-05-21,528.9,528.0,549.5,528.0,548.9,546.3,537.57,"18,43,991","99,12,78,187.15","27,518","13,92,018",75.49
ASIANPAINT,EQ,2014-05-22,546.3,549.5,549.85,536.75,537.0,537.8,541.74,"12,96,696","70,24,72,032.50","23,643","7,89,010",60.85
ASIANPAINT,EQ,2014-05-23,537.8,538.5,542.25,533.0,539.0,540.55,538.08,"4,95,348","26,65,37,954.50","15,401","2,73,804",55.28
ASIANPAINT,EQ,2014-05-26,540.55,532.0,538.75,520.05,523.6,523.6,529.49,"6,87,589","36,40,72,280.00","18,824","3,72,797",54.22
ASIANPAINT,EQ,2014-05-27,523.6,526.0,529.5,515.0,521.95,523.75,524.06,"6,01,376","31,51,57,652.35","21,062","3,52,811",58.67
ASIANPAINT,EQ,2014-05-28,523.75,522.6,524.5,506.5,508.75,510.2,513.52,"9,59,457","49,27,02,274.70","33,862","7,23,782",75.44
ASIANPAINT,EQ,2014-05-29,510.2,510.0,514.9,504.0,507.0,506.35,508.46,"17,27,396","87,83,07,183.95","36,369","12,65,713",73.27
ASIANPAINT,EQ,2014-05-30,506.35,507.0,513.15,501.75,505.5,507.6,507.41,"16,29,445","82,68,02,931.80","29,795","11,71,366",71.89
ASIANPAINT,EQ,2014-06-02,507.6,504.35,515.0,503.35,510.0,509.85,509.8,"8,87,646","45,25,19,682.15","13,496","6,22,151",70.09
ASIANPAINT,EQ,2014-06-03,509.85,511.0,512.6,506.15,509.0,509.1,508.64,"5,86,753","29,84,47,241.35","14,700","4,06,830",69.34
ASIANPAINT,EQ,2014-06-04,509.1,507.7,510.9,504.4,509.0,509.0,509.06,"6,76,269","34,42,61,832.55","17,897","4,78,203",70.71
ASIANPAINT,EQ,2014-06-05,509.0,509.6,516.0,507.1,509.2,510.1,511.34,"12,30,823","62,93,73,125.30","41,030","8,64,242",70.22
ASIANPAINT,EQ,2014-06-06,510.1,512.0,512.85,503.5,505.9,505.35,505.95,"16,32,891","82,61,60,663.20","54,688","12,61,240",77.24
ASIANPAINT,EQ,2014-06-09,505.35,507.9,530.0,507.1,529.9,528.1,519.79,"42,90,170","2,22,99,79,739.95","77,750","26,57,182",61.94
ASIANPAINT,EQ,2014-06-10,528.1,530.0,539.8,523.0,535.7,536.25,533.75,"25,79,465","1,37,67,88,894.15","51,025","12,51,207",48.51
ASIANPAINT,EQ,2014-06-11,536.25,538.05,547.8,536.65,543.0,543.65,543.32,"19,93,349","1,08,30,19,538.35","38,814","12,43,842",62.4
ASIANPAINT,EQ,2014-06-12,543.65,541.0,552.45,539.35,550.4,549.3,546.95,"8,60,725","47,07,74,010.75","22,581","3,31,699",38.54
ASIANPAINT,EQ,2014-06-13,549.3,549.3,555.0,540.0,543.0,542.2,545.79,"5,73,503","31,30,15,069.70","14,197","2,50,945",43.76
ASIANPAINT,EQ,2014-06-16,542.2,535.9,543.5,533.3,540.9,539.85,539.53,"4,72,781","25,50,78,572.90","19,429","2,18,119",46.14
ASIANPAINT,EQ,2014-06-17,539.85,540.0,565.0,540.0,561.1,560.6,553.12,"15,80,095","87,39,75,975.75","50,497","7,43,045",47.03
ASIANPAINT,EQ,2014-06-18,560.6,560.0,569.0,552.25,554.0,557.9,560.27,"20,03,001","1,12,22,26,097.40","53,057","12,20,756",60.95
ASIANPAINT,EQ,2014-06-19,557.9,559.6,570.0,551.2,568.1,568.0,560.74,"11,12,449","62,37,89,707.75","49,253","6,45,184",58.0
ASIANPAINT,EQ,2014-06-20,568.0,570.0,573.75,557.0,567.1,568.45,567.07,"10,86,913","61,63,61,137.60","26,041","4,95,096",45.55
ASIANPAINT,EQ,2014-06-23,568.45,568.45,577.0,567.3,574.75,574.1,571.83,"6,10,166","34,89,10,903.35","24,146","3,43,382",56.28
ASIANPAINT,EQ,2014-06-24,574.1,574.1,582.0,571.6,577.25,579.9,577.56,"8,16,172","47,13,85,915.50","19,819","5,57,440",68.3
ASIANPAINT,EQ,2014-06-25,579.9,580.1,589.0,573.0,588.0,586.5,580.74,"7,96,312","46,24,53,260.10","20,403","5,07,492",63.73
ASIANPAINT,EQ,2014-06-26,586.5,589.9,590.0,577.8,586.9,584.8,584.78,"8,38,466","49,03,18,884.90","14,247","6,47,468",77.22
ASIANPAINT,EQ,2014-06-27,584.8,586.2,594.0,581.6,583.3,584.7,588.24,"7,38,734","43,45,51,598.65","18,328","4,60,432",62.33
ASIANPAINT,EQ,2014-06-30,584.7,585.0,597.9,584.7,593.0,594.0,592.1,"7,85,106","46,48,62,048.00","26,855","4,18,121",53.26
ASIANPAINT,EQ,2014-07-01,594.0,593.3,598.8,580.35,584.0,583.85,585.06,"6,96,050","40,72,32,847.30","23,548","3,58,855",51.56
ASIANPAINT,EQ,2014-07-02,583.85,586.55,596.0,582.0,583.1,584.05,587.76,"8,16,714","48,00,32,691.55","15,358","4,45,646",54.57
ASIANPAINT,EQ,2014-07-03,584.05,585.1,587.75,576.3,583.5,581.7,580.79,"5,11,556","29,71,08,917.90","17,269","1,91,623",37.46
ASIANPAINT,EQ,2014-07-04,581.7,584.9,592.85,584.0,587.5,588.65,589.38,"3,74,126","22,05,01,847.75","12,600","1,28,964",34.47
ASIANPAINT,EQ,2014-07-07,588.65,588.65,596.5,584.05,596.5,593.6,591.88,"7,13,824","42,24,98,257.15","17,100","4,02,029",56.32
ASIANPAINT,EQ,2014-07-08,593.6,590.4,604.0,584.7,589.1,590.1,596.77,"8,09,330","48,29,87,836.55","24,794","3,68,551",45.54
ASIANPAINT,EQ,2014-07-09,590.1,590.1,602.4,586.5,595.0,594.65,595.05,"6,53,792","38,90,41,643.25","19,486","2,56,190",39.19
ASIANPAINT,EQ,2014-07-10,594.65,595.0,597.8,580.0,585.0,587.0,587.52,"5,25,220","30,85,74,844.05","14,416","1,65,919",31.59
ASIANPAINT,EQ,2014-07-11,587.0,581.25,589.5,565.15,572.65,568.85,574.63,"8,11,989","46,65,92,305.65","23,571","3,58,264",44.12
ASIANPAINT,EQ,2014-07-14,568.85,571.15,597.9,568.1,590.95,589.5,585.1,"6,72,433","39,34,40,979.00","19,943","2,00,196",29.77
ASIANPAINT,EQ,2014-07-15,589.5,594.5,595.7,577.0,580.0,582.5,583.35,"5,74,018","33,48,52,571.35","17,881","2,18,172",38.01
ASIANPAINT,EQ,2014-07-16,582.5,580.5,588.6,577.0,580.0,579.85,581.7,"6,75,645","39,30,24,959.15","20,021","3,94,264",58.35
ASIANPAINT,EQ,2014-07-17,579.85,580.0,585.0,577.3,580.0,579.65,579.99,"3,56,143","20,65,60,374.25","9,608","2,00,212",56.22
ASIANPAINT,EQ,2014-07-18,579.65,580.9,589.95,578.35,582.0,580.45,584.06,"9,25,055","54,02,85,799.90","25,436","4,31,233",46.62
ASIANPAINT,EQ,2014-07-21,580.45,587.95,595.0,582.0,595.0,593.65,590.12,"5,93,459","35,02,13,731.80","14,909","2,08,233",35.09
ASIANPAINT,EQ,2014-07-22,593.65,597.9,610.9,592.7,602.6,603.6,603.7,"19,29,744","1,16,49,88,736.75","39,317","4,20,414",21.79
ASIANPAINT,EQ,2014-07-23,603.6,606.0,610.0,595.6,600.0,603.35,603.49,"10,50,820","63,41,58,604.95","24,594","4,60,539",43.83
ASIANPAINT,EQ,2014-07-24,603.35,602.75,625.05,599.65,620.3,620.1,612.31,"9,34,022","57,19,15,469.90","25,613","4,35,381",46.61
ASIANPAINT,EQ,2014-07-25,620.1,620.2,639.95,617.75,638.0,637.4,629.24,"11,29,698","71,08,48,674.75","35,428","4,34,188",38.43
ASIANPAINT,EQ,2014-07-28,637.4,640.0,644.9,627.5,635.2,636.0,637.93,"8,78,389","56,03,52,393.80","41,474","4,42,028",50.32
ASIANPAINT,EQ,2014-07-30,636.0,632.0,649.0,625.0,643.0,643.9,637.63,"6,41,494","40,90,33,941.40","19,148","2,67,055",41.63
ASIANPAINT,EQ,2014-07-31,643.9,644.0,644.95,625.1,628.0,628.65,633.82,"10,19,233","64,60,12,322.35","25,758","4,29,882",42.18
ASIANPAINT,EQ,2014-08-01,628.65,620.1,630.9,620.1,624.0,624.5,625.64,"5,08,437","31,80,98,016.60","17,667","2,13,617",42.01
ASIANPAINT,EQ,2014-08-04,624.5,625.1,633.7,620.75,630.0,629.85,628.21,"6,13,756","38,55,67,856.50","25,489","3,01,168",49.07
ASIANPAINT,EQ,2014-08-05,629.85,629.9,636.0,624.0,631.8,633.4,628.89,"5,09,925","32,06,84,970.50","22,236","2,46,210",48.28
ASIANPAINT,EQ,2014-08-06,633.4,628.25,651.65,627.65,640.0,640.65,641.16,"10,57,573","67,80,75,741.25","28,989","5,07,951",48.03
ASIANPAINT,EQ,2014-08-07,640.65,640.0,642.25,630.25,631.0,631.95,633.94,"4,67,998","29,66,80,395.25","13,038","1,83,153",39.14
