Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AXISBANK,EQ,2014-01-01,"1,299.55","1,301.50","1,305.00","1,288.20","1,293.25","1,292.20","1,293.87","5,69,885","73,73,56,261.65","17,853","81,391",14.28
AXISBANK,EQ,2014-01-02,"1,292.20","1,292.00","1,325.00","1,263.35","1,264.95","1,272.30","1,301.48","25,94,412","3,37,65,82,782.90","71,619","7,77,058",29.95
AXISBANK,EQ,2014-01-03,"1,272.30","1,258.00","1,269.50","1,245.60","1,264.15","1,260.90","1,256.26","24,03,748","3,01,97,22,129.55","87,664","10,30,566",42.87
AXISBANK,EQ,2014-01-06,"1,260.90","1,257.55","1,262.00","1,241.60","1,257.00","1,256.30","1,251.92","18,36,289","2,29,88,78,957.95","52,814","9,43,112",51.36
AXISBANK,EQ,2014-01-07,"1,256.30","1,257.50","1,265.80","1,215.50","1,235.00","1,234.25","1,231.23","30,20,062","3,71,83,77,715.15","1,12,267","13,05,619",43.23
AXISBANK,EQ,2014-01-08,"1,234.25","1,240.00","1,245.00","1,207.15","1,208.10","1,211.75","1,218.72","27,80,369","3,38,84,89,952.60","82,520","12,65,801",45.53
AXISBANK,EQ,2014-01-09,"1,211.75","1,205.00","1,210.55","1,176.20","1,185.60","1,184.85","1,188.06","51,10,747","6,07,18,66,432.15","1,72,403","31,82,598",62.27
AXISBANK,EQ,2014-01-10,"1,184.85","1,193.95","1,196.55","1,158.90","1,166.00","1,164.05","1,171.74","39,75,548","4,65,82,90,475.75","1,22,576","20,67,106",52.0
AXISBANK,EQ,2014-01-13,"1,164.05","1,165.00","1,200.00","1,165.00","1,194.90","1,184.90","1,177.55","16,94,072","1,99,48,48,809.10","68,887","6,58,717",38.88
AXISBANK,EQ,2014-01-14,"1,184.90","1,185.00","1,193.55","1,169.25","1,176.90","1,177.05","1,179.67","24,20,113","2,85,49,27,294.40","1,10,464","14,16,160",58.52
AXISBANK,EQ,2014-01-15,"1,177.05","1,185.00","1,188.00","1,166.40","1,183.00","1,178.30","1,176.45","28,40,552","3,34,17,81,288.85","86,131","13,29,088",46.79
AXISBANK,EQ,2014-01-16,"1,178.30","1,185.00","1,197.50","1,168.70","1,173.75","1,176.15","1,182.93","37,95,978","4,49,03,80,747.90","1,17,326","12,63,193",33.28
AXISBANK,EQ,2014-01-17,"1,176.15","1,178.00","1,188.00","1,145.00","1,149.75","1,152.95","1,160.37","37,86,564","4,39,38,00,490.65","90,114","22,67,782",59.89
AXISBANK,EQ,2014-01-20,"1,152.95","1,142.70","1,168.00","1,132.30","1,160.55","1,163.20","1,150.92","19,75,048","2,27,31,28,265.30","67,315","6,51,939",33.01
AXISBANK,EQ,2014-01-21,"1,163.20","1,164.90","1,192.20","1,158.50","1,188.80","1,188.55","1,174.92","21,95,982","2,58,01,06,572.20","1,00,972","8,56,281",38.99
AXISBANK,EQ,2014-01-22,"1,188.55","1,186.00","1,202.40","1,173.10","1,183.00","1,188.85","1,188.42","23,67,932","2,81,40,98,415.95","1,04,981","9,30,271",39.29
AXISBANK,EQ,2014-01-23,"1,188.85","1,183.25","1,220.20","1,181.35","1,214.90","1,216.00","1,203.25","30,05,432","3,61,62,76,205.85","1,14,967","14,78,984",49.21
AXISBANK,EQ,2014-01-24,"1,216.00","1,203.00","1,228.80","1,195.00","1,201.00","1,204.60","1,211.36","28,12,868","3,40,73,95,813.05","90,440","9,93,310",35.31
AXISBANK,EQ,2014-01-27,"1,204.60","1,176.00","1,183.60","1,155.00","1,156.95","1,161.10","1,169.77","21,75,910","2,54,53,08,509.30","78,378","9,20,622",42.31
AXISBANK,EQ,2014-01-28,"1,161.10","1,157.00","1,179.00","1,115.30","1,119.50","1,121.75","1,140.87","25,30,271","2,88,66,98,031.15","68,716","7,00,181",27.67
AXISBANK,EQ,2014-01-29,"1,121.75","1,130.30","1,149.95","1,121.20","1,143.55","1,140.25","1,136.23","21,85,105","2,48,27,79,272.50","80,526","8,50,398",38.92
AXISBANK,EQ,2014-01-30,"1,140.25","1,123.00","1,128.70","1,105.00","1,112.65","1,108.80","1,115.40","22,95,500","2,56,03,94,283.95","75,517","12,05,075",52.5
AXISBANK,EQ,2014-01-31,"1,108.80","1,113.20","1,127.00","1,110.35","1,123.00","1,122.95","1,119.55","11,44,558","1,28,13,84,452.65","49,438","2,62,691",22.95
AXISBANK,EQ,2014-02-03,"1,122.95","1,112.10","1,133.90","1,110.70","1,124.00","1,123.90","1,124.64","13,86,338","1,55,91,30,088.50","53,421","4,77,010",34.41
AXISBANK,EQ,2014-02-04,"1,123.90","1,106.75","1,127.35","1,101.00","1,126.00","1,121.80","1,114.60","17,09,081","1,90,49,35,841.60","57,903","4,96,452",29.05
AXISBANK,EQ,2014-02-05,"1,121.80","1,125.00","1,130.00","1,111.50","1,121.00","1,123.70","1,121.57","14,61,310","1,63,89,58,712.45","65,402","4,38,504",30.01
AXISBANK,EQ,2014-02-06,"1,123.70","1,125.10","1,136.00","1,098.55","1,108.00","1,102.95","1,111.79","20,64,960","2,29,57,91,663.95","68,579","7,27,256",35.22
AXISBANK,EQ,2014-02-07,"1,102.95","1,120.05","1,129.40","1,110.70","1,126.00","1,125.45","1,119.63","12,52,519","1,40,23,52,407.45","42,590","3,89,500",31.1
AXISBANK,EQ,2014-02-10,"1,125.45","1,131.95","1,139.40","1,112.05","1,120.00","1,118.95","1,127.22","8,79,377","99,12,49,508.00","26,023","2,41,207",27.43
AXISBANK,EQ,2014-02-11,"1,118.95","1,123.35","1,131.80","1,116.40","1,121.00","1,120.95","1,123.88","9,14,443","1,02,77,26,067.65","37,319","3,53,858",38.7
AXISBANK,EQ,2014-02-12,"1,120.95","1,130.00","1,133.00","1,114.35","1,119.40","1,119.60","1,126.05","14,76,819","1,66,29,69,602.50","47,459","7,36,559",49.87
AXISBANK,EQ,2014-02-13,"1,119.60","1,120.20","1,124.80","1,096.50","1,098.00","1,101.50","1,113.17","11,79,872","1,31,33,99,369.70","50,633","5,74,491",48.69
AXISBANK,EQ,2014-02-14,"1,101.50","1,109.00","1,111.00","1,082.60","1,106.05","1,103.05","1,098.32","17,55,687","1,92,82,98,814.70","92,033","6,53,380",37.22
AXISBANK,EQ,2014-02-17,"1,103.05","1,111.00","1,120.00","1,105.00","1,116.60","1,115.25","1,112.88","7,88,239","87,72,18,144.35","30,791","2,03,176",25.78
AXISBANK,EQ,2014-02-18,"1,115.25","1,115.00","1,176.50","1,108.55","1,163.00","1,165.40","1,150.48","21,36,977","2,45,85,49,772.70","76,297","6,40,970",29.99
AXISBANK,EQ,2014-02-19,"1,165.40","1,164.50","1,178.00","1,158.00","1,162.95","1,166.15","1,167.72","14,01,475","1,63,65,30,581.80","52,174","4,76,245",33.98
AXISBANK,EQ,2014-02-20,"1,166.15","1,154.00","1,171.90","1,146.45","1,156.00","1,157.85","1,157.27","19,54,784","2,26,22,10,046.25","50,875","9,15,868",46.85
AXISBANK,EQ,2014-02-21,"1,157.85","1,160.00","1,198.00","1,160.00","1,193.95","1,193.35","1,184.94","18,61,962","2,20,63,04,196.95","84,378","7,46,005",40.07
AXISBANK,EQ,2014-02-24,"1,193.35","1,185.00","1,244.90","1,182.95","1,236.50","1,238.20","1,224.72","25,62,362","3,13,81,70,428.75","1,02,601","9,54,999",37.27
AXISBANK,EQ,2014-02-25,"1,238.20","1,241.00","1,251.00","1,225.15","1,232.70","1,236.75","1,238.02","19,01,309","2,35,38,51,746.00","67,929","5,07,848",26.71
AXISBANK,EQ,2014-02-26,"1,236.75","1,232.00","1,247.00","1,228.20","1,238.95","1,239.25","1,237.76","18,76,039","2,32,20,80,372.15","81,586","8,63,169",46.01
AXISBANK,EQ,2014-02-28,"1,239.25","1,240.50","1,271.60","1,238.10","1,268.80","1,267.05","1,259.58","18,73,251","2,35,95,16,568.20","67,432","7,96,169",42.5
AXISBANK,EQ,2014-03-03,"1,267.05","1,260.00","1,285.70","1,247.60","1,253.60","1,255.50","1,264.64","19,31,195","2,44,22,62,976.55","66,455","6,76,408",35.03
AXISBANK,EQ,2014-03-04,"1,255.50","1,255.00","1,304.90","1,255.00","1,297.90","1,293.55","1,287.48","23,89,455","3,07,63,69,220.30","81,319","8,33,432",34.88
AXISBANK,EQ,2014-03-05,"1,293.55","1,300.00","1,314.20","1,294.05","1,300.50","1,307.65","1,304.42","26,42,792","3,44,73,16,567.20","85,414","11,25,896",42.6
AXISBANK,EQ,2014-03-06,"1,307.65","1,307.90","1,335.00","1,307.00","1,333.50","1,329.50","1,322.26","19,88,376","2,62,91,59,197.50","80,799","8,66,815",43.59
AXISBANK,EQ,2014-03-07,"1,329.50","1,334.00","1,423.65","1,329.30","1,409.05","1,406.80","1,393.92","47,16,790","6,57,48,10,376.70","1,55,180","21,03,595",44.6
AXISBANK,EQ,2014-03-10,"1,406.80","1,392.00","1,441.80","1,392.00","1,429.50","1,426.55","1,423.14","33,82,373","4,81,35,74,654.35","1,09,821","14,25,431",42.14
AXISBANK,EQ,2014-03-11,"1,426.55","1,426.00","1,453.00","1,410.05","1,424.50","1,417.50","1,432.19","39,66,087","5,68,02,02,785.75","1,39,997","16,98,075",42.81
AXISBANK,EQ,2014-03-12,"1,417.50","1,417.50","1,424.90","1,392.05","1,396.40","1,397.90","1,404.84","21,49,409","3,01,95,69,774.40","61,717","8,07,247",37.56
AXISBANK,EQ,2014-03-13,"1,397.90","1,409.90","1,425.00","1,375.05","1,384.85","1,381.15","1,404.15","21,06,791","2,95,82,45,349.15","63,274","9,06,142",43.01
AXISBANK,EQ,2014-03-14,"1,381.15","1,371.00","1,371.00","1,331.00","1,348.85","1,354.90","1,348.92","27,42,319","3,69,91,80,176.80","83,162","13,59,503",49.57
