Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJFINANCE,EQ,2014-01-01,"1,581.25","1,560.00","1,615.00","1,560.00","1,567.80","1,570.30","1,587.75","11,995","1,90,45,078.30","1,017","7,024",58.56
BAJFINANCE,EQ,2014-01-02,"1,570.30","1,570.50","1,580.05","1,558.80","1,574.00","1,569.20","1,567.32","6,973","1,09,28,898.65",559,"4,992",71.59
BAJFINANCE,EQ,2014-01-03,"1,569.20","1,571.80","1,604.00","1,538.65","1,604.00","1,555.50","1,556.95","51,282","7,98,43,391.40","12,191","38,275",74.64
BAJFINANCE,EQ,2014-01-06,"1,555.50","1,571.15","1,580.00","1,530.10","1,550.00","1,551.45","1,555.01","47,696","7,41,67,602.70","9,714","37,204",78.0
BAJFINANCE,EQ,2014-01-07,"1,551.45","1,555.25","1,571.90","1,545.30","1,547.00","1,554.05","1,554.36","22,539","3,50,33,818.65","1,167","18,093",80.27
BAJFINANCE,EQ,2014-01-08,"1,554.05","1,560.75","1,560.75","1,545.00","1,555.00","1,555.45","1,554.93","17,568","2,73,17,043.45","1,519","16,047",91.34
BAJFINANCE,EQ,2014-01-09,"1,555.45","1,546.10","1,557.80","1,537.00","1,551.00","1,550.35","1,548.69","31,882","4,93,75,340.95","1,851","26,200",82.18
BAJFINANCE,EQ,2014-01-10,"1,550.35","1,559.80","1,564.50","1,549.15","1,561.90","1,560.55","1,555.88","21,839","3,39,78,845.00","3,919","18,898",86.53
BAJFINANCE,EQ,2014-01-13,"1,560.55","1,561.05","1,571.80","1,555.15","1,571.80","1,565.90","1,565.11","14,456","2,26,25,173.65",439,"13,550",93.73
BAJFINANCE,EQ,2014-01-14,"1,565.90","1,569.95","1,569.95","1,550.10","1,552.25","1,553.05","1,560.17","3,660","57,10,219.80",374,"2,567",70.14
BAJFINANCE,EQ,2014-01-15,"1,553.05","1,554.00","1,569.80","1,532.00","1,558.00","1,554.90","1,556.83","63,626","9,90,55,156.05","4,494","25,628",40.28
BAJFINANCE,EQ,2014-01-16,"1,554.90","1,555.00","1,604.00","1,548.80","1,575.00","1,584.05","1,570.90","36,055","5,66,38,687.70","1,897","30,811",85.46
BAJFINANCE,EQ,2014-01-17,"1,584.05","1,568.00","1,584.00","1,535.00","1,570.10","1,573.75","1,567.65","19,083","2,99,15,371.10","1,112","13,348",69.95
BAJFINANCE,EQ,2014-01-20,"1,573.75","1,580.00","1,594.00","1,551.05","1,568.70","1,569.50","1,574.08","9,000","1,41,66,755.85","1,415","6,855",76.17
BAJFINANCE,EQ,2014-01-21,"1,569.50","1,570.00","1,600.00","1,567.80","1,595.00","1,596.85","1,587.69","11,414","1,81,21,886.85","1,374","8,033",70.38
BAJFINANCE,EQ,2014-01-22,"1,596.85","1,601.00","1,610.00","1,565.15","1,584.00","1,573.50","1,576.32","10,618","1,67,37,327.15","2,291","7,717",72.68
BAJFINANCE,EQ,2014-01-23,"1,573.50","1,585.00","1,585.00","1,550.10","1,570.00","1,574.35","1,568.91","6,934","1,08,78,814.40",991,"4,611",66.5
BAJFINANCE,EQ,2014-01-24,"1,574.35","1,584.90","1,584.90","1,534.30","1,554.00","1,550.55","1,546.73","17,340","2,68,20,219.80","1,344","14,764",85.14
BAJFINANCE,EQ,2014-01-27,"1,550.55","1,545.00","1,545.00","1,472.00","1,512.00","1,491.75","1,497.83","16,899","2,53,11,768.30","3,083","11,253",66.59
BAJFINANCE,EQ,2014-01-28,"1,491.75","1,476.85","1,548.00","1,475.00","1,531.00","1,535.75","1,502.48","23,832","3,58,07,059.55","2,751","18,618",78.12
BAJFINANCE,EQ,2014-01-29,"1,535.75","1,545.00","1,558.65","1,496.20","1,507.00","1,512.20","1,529.97","4,131","63,20,300.90",837,"2,641",63.93
BAJFINANCE,EQ,2014-01-30,"1,512.20","1,485.95","1,508.80","1,485.00","1,495.00","1,498.40","1,492.84","50,680","7,56,56,984.05","2,474","44,999",88.79
BAJFINANCE,EQ,2014-01-31,"1,498.40","1,500.55","1,555.00","1,500.00","1,539.00","1,531.15","1,516.74","7,348","1,11,45,006.45",519,"6,655",90.57
BAJFINANCE,EQ,2014-02-03,"1,531.15","1,544.00","1,544.00","1,482.05","1,495.50","1,492.40","1,493.42","9,839","1,46,93,737.35","2,154","6,279",63.82
BAJFINANCE,EQ,2014-02-04,"1,492.40","1,512.85","1,524.30","1,475.00","1,480.00","1,481.30","1,495.31","5,159","77,14,316.25",711,"2,888",55.98
