Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BEL,EQ,2014-01-01,"1,029.40","1,030.05","1,046.05","1,020.00","1,020.10","1,025.25","1,032.42","12,546","1,29,52,791.55","1,067","8,089",64.47
BEL,EQ,2014-01-02,"1,025.25","1,023.30","1,045.00","1,015.50","1,016.00","1,021.25","1,032.81","11,978","1,23,71,002.70","1,348","7,456",62.25
BEL,EQ,2014-01-03,"1,021.25","1,017.55","1,030.00","1,005.00","1,010.00","1,014.90","1,016.89","6,118","62,21,345.75",682,"4,629",75.66
BEL,EQ,2014-01-06,"1,014.90","1,025.00","1,040.00","1,016.50","1,023.00","1,026.45","1,028.46","7,618","78,34,815.90","1,000","4,532",59.49
BEL,EQ,2014-01-07,"1,026.45","1,030.00","1,038.00","1,008.00","1,019.95","1,021.40","1,023.22","7,712","78,91,070.40",970,"5,180",67.17
BEL,EQ,2014-01-08,"1,021.40","1,021.00","1,030.00","1,009.90","1,009.90","1,018.85","1,019.55","3,954","40,31,286.10",751,"2,463",62.29
BEL,EQ,2014-01-09,"1,018.85","1,025.00","1,025.00","1,006.00","1,006.00","1,012.05","1,013.21","5,508","55,80,773.30",872,"4,449",80.77
BEL,EQ,2014-01-10,"1,012.05","1,012.05","1,015.00",970.00,985.00,990.45,993.97,"30,391","3,02,07,616.45","3,807","20,151",66.31
BEL,EQ,2014-01-13,990.45,990.00,"1,015.00",990.00,"1,007.00","1,005.65","1,002.19","5,058","50,69,078.95",716,"3,561",70.4
BEL,EQ,2014-01-14,"1,005.65","1,002.00","1,020.00",992.75,"1,005.00","1,006.00","1,003.62","3,844","38,57,902.45",822,"2,075",53.98
BEL,EQ,2014-01-15,"1,006.00",996.05,"1,009.00",994.00,996.10,"1,000.95","1,001.49","6,043","60,52,016.80","1,121","4,383",72.53
BEL,EQ,2014-01-16,"1,000.95",995.05,"1,004.90",995.00,995.00,995.85,997.17,"35,151","3,50,51,455.70",913,"34,062",96.9
BEL,EQ,2014-01-17,995.85,992.05,"1,009.00",986.10,988.00,996.55,995.90,"6,586","65,58,965.35",607,"4,474",67.93
BEL,EQ,2014-01-20,996.55,995.00,"1,010.00",990.00,998.00,"1,005.80","1,003.52","6,031","60,52,202.15",349,"5,022",83.27
BEL,EQ,2014-01-21,"1,005.80",998.20,"1,004.75",995.05,995.05,997.00,999.72,"3,385","33,84,056.65",356,"2,530",74.74
BEL,EQ,2014-01-22,997.00,"1,000.00","1,008.95",993.00,"1,002.00","1,000.60",999.03,"3,598","35,94,520.10",667,"2,218",61.65
BEL,EQ,2014-01-23,"1,000.60",997.15,"1,015.00",994.35,"1,015.00","1,004.30","1,002.94","5,369","53,84,809.90",627,"2,939",54.74
BEL,EQ,2014-01-24,"1,004.30","1,000.00","1,006.00",956.10,967.30,972.00,974.39,"48,027","4,67,96,963.75","5,880","15,500",32.27
BEL,EQ,2014-01-27,972.00,972.00,972.05,933.00,947.00,947.80,948.07,"76,580","7,26,03,558.00","2,990","72,202",94.28
BEL,EQ,2014-01-28,947.80,938.15,960.00,938.15,955.00,955.00,954.88,"2,32,896","22,23,88,349.55","1,540","2,30,930",99.16
BEL,EQ,2014-01-29,955.00,955.00,957.00,937.55,940.00,941.90,942.21,"89,711","8,45,26,884.20","2,271","85,902",95.75
BEL,EQ,2014-01-30,941.90,942.05,948.80,925.05,928.00,934.85,935.19,"14,327","1,33,98,461.55","2,088","11,498",80.25
BEL,EQ,2014-01-31,934.85,934.35,934.35,928.00,928.00,928.50,929.00,"3,825","35,53,431.10","1,106","3,046",79.63
BEL,EQ,2014-02-03,928.50,929.00,934.55,908.50,914.00,913.55,918.81,"19,077","1,75,28,147.60","2,831","17,052",89.39
BEL,EQ,2014-02-04,913.55,913.85,934.40,893.00,920.00,922.10,912.09,"14,118","1,28,76,853.85","1,713","10,537",74.64
BEL,EQ,2014-02-05,922.10,922.00,922.00,911.05,911.05,918.50,917.65,"7,837","71,91,586.70",712,"6,224",79.42
BEL,EQ,2014-02-06,918.50,921.85,921.90,902.00,902.00,908.00,909.86,"1,33,115","12,11,15,733.10","1,861","1,28,849",96.8
BEL,EQ,2014-02-07,908.00,917.00,935.50,905.00,915.00,915.10,915.50,"81,296","7,44,26,202.70","2,683","75,233",92.54
BEL,EQ,2014-02-10,915.10,909.20,940.00,909.20,922.00,928.35,924.33,"30,873","2,85,36,905.35","1,468","25,434",82.38
BEL,EQ,2014-02-11,928.35,928.00,935.00,920.00,930.00,930.55,929.26,"4,927","45,78,478.40",472,"2,817",57.17
BEL,EQ,2014-02-12,930.55,929.00,960.00,922.50,949.95,951.95,942.89,"7,242","68,28,441.95",873,"4,295",59.31
BEL,EQ,2014-02-13,951.95,955.00,994.00,937.60,948.00,957.00,964.72,"10,395","1,00,28,276.40","1,279","6,179",59.44
BEL,EQ,2014-02-14,957.00,947.40,972.60,937.00,964.00,968.80,959.32,"5,603","53,75,093.45",719,"4,301",76.76
BEL,EQ,2014-02-17,968.80,966.00,972.00,940.00,942.00,949.65,958.95,"11,787","1,13,03,174.15",976,"8,752",74.25
BEL,EQ,2014-02-18,949.65,941.00,948.00,932.00,932.00,938.90,939.76,"2,726","25,61,776.30",489,"1,689",61.96
BEL,EQ,2014-02-19,938.90,940.05,950.00,925.25,949.95,938.00,936.73,"2,750","25,75,999.50",532,"1,576",57.31
BEL,EQ,2014-02-20,938.00,959.00,959.00,930.00,930.05,932.90,937.88,"2,415","22,64,975.65",339,"1,465",60.66
BEL,EQ,2014-02-21,932.90,945.50,945.50,921.60,930.00,928.70,928.63,"12,049","1,11,89,104.40",742,"5,004",41.53
BEL,EQ,2014-02-24,928.70,936.00,940.00,922.00,924.95,927.45,928.05,"2,418","22,44,023.05",333,"1,671",69.11
BEL,EQ,2014-02-25,927.45,927.15,949.40,926.95,941.05,944.15,939.45,"2,629","24,69,802.80",312,"1,550",58.96
BEL,EQ,2014-02-26,944.15,935.00,942.00,924.65,930.00,933.55,933.48,"92,570","8,64,12,228.90",944,"50,399",54.44
BEL,EQ,2014-02-28,933.55,940.00,947.15,925.50,929.00,930.20,935.22,"1,49,858","14,01,50,166.30","1,204","1,44,312",96.3
BEL,EQ,2014-03-03,930.20,930.05,946.00,920.00,921.35,926.20,932.94,"1,05,505","9,84,30,319.35",848,"1,03,903",98.48
BEL,EQ,2014-03-04,926.20,921.05,940.00,918.00,929.90,923.35,923.39,"38,102","3,51,82,861.45",578,"36,107",94.76
BEL,EQ,2014-03-05,923.35,925.10,970.00,925.10,965.00,968.25,954.02,"38,183","3,64,27,236.25","2,194","31,851",83.42
BEL,EQ,2014-03-06,968.25,960.00,986.15,959.95,984.95,981.80,972.35,"78,851","7,66,70,393.20","1,593","73,314",92.98
BEL,EQ,2014-03-07,981.80,"1,010.00","1,010.05",962.00,967.00,977.30,980.02,"88,901","8,71,24,468.30","8,228","66,306",74.58
