Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,2014-01-01,330.25,331.0,339.0,330.2,338.7,337.75,335.11,"16,97,629","56,88,86,446.50","19,899","6,24,499",36.79
BHARTIARTL,EQ,2014-01-02,337.75,338.0,339.0,326.5,329.2,328.7,332.9,"47,55,449","1,58,30,69,977.60","52,845","33,52,167",70.49
BHARTIARTL,EQ,2014-01-03,328.7,328.0,331.9,324.05,331.0,329.35,328.58,"42,37,118","1,39,22,22,519.60","66,154","27,37,918",64.62
BHARTIARTL,EQ,2014-01-06,329.35,328.5,330.65,325.75,329.85,329.35,328.95,"24,37,800","80,19,14,660.55","38,962","15,32,116",62.85
BHARTIARTL,EQ,2014-01-07,329.35,330.5,334.5,326.5,331.8,331.7,330.2,"37,04,661","1,22,32,65,029.95","42,251","23,38,401",63.12
BHARTIARTL,EQ,2014-01-08,331.7,333.0,334.0,327.7,332.0,332.4,331.9,"56,83,302","1,88,62,70,801.60","37,002","44,46,800",78.24
BHARTIARTL,EQ,2014-01-09,332.4,332.4,333.0,327.25,331.0,329.6,331.04,"33,62,087","1,11,29,79,207.15","22,952","26,43,271",78.62
BHARTIARTL,EQ,2014-01-10,329.6,327.0,333.15,327.0,331.0,330.55,330.61,"34,13,854","1,12,86,40,465.80","37,463","23,37,568",68.47
BHARTIARTL,EQ,2014-01-13,330.55,330.0,333.8,329.05,331.1,331.0,331.23,"23,02,991","76,28,13,365.75","42,240","15,85,599",68.85
BHARTIARTL,EQ,2014-01-14,331.0,331.0,332.0,326.0,329.3,327.95,328.87,"22,30,254","73,34,73,022.95","36,335","14,38,490",64.5
BHARTIARTL,EQ,2014-01-15,327.95,329.9,333.2,329.2,332.5,331.5,331.08,"25,24,252","83,57,40,039.60","29,766","16,71,569",66.22
BHARTIARTL,EQ,2014-01-16,331.5,332.95,332.95,313.55,315.05,315.55,317.8,"94,71,235","3,00,99,64,291.15","1,10,079","57,95,054",61.19
BHARTIARTL,EQ,2014-01-17,315.55,316.0,318.55,306.25,311.0,310.9,312.39,"58,62,244","1,83,13,03,911.80","1,18,569","31,25,579",53.32
BHARTIARTL,EQ,2014-01-20,310.9,311.1,312.8,307.15,307.65,308.55,309.28,"47,02,669","1,45,44,43,735.65","70,104","30,42,451",64.7
BHARTIARTL,EQ,2014-01-21,308.55,311.0,311.0,302.65,305.4,304.9,305.57,"70,67,976","2,15,97,56,182.35","1,30,655","51,72,403",73.18
BHARTIARTL,EQ,2014-01-22,304.9,305.2,311.8,305.2,309.5,309.75,309.7,"53,63,524","1,66,10,77,072.50","95,281","35,03,411",65.32
BHARTIARTL,EQ,2014-01-23,309.75,309.0,315.9,306.4,315.0,314.65,313.55,"47,57,394","1,49,16,69,211.90","80,139","31,93,248",67.12
BHARTIARTL,EQ,2014-01-24,314.65,313.0,314.75,307.75,313.0,313.15,311.57,"45,58,851","1,42,03,91,240.90","87,288","33,49,199",73.47
BHARTIARTL,EQ,2014-01-27,313.15,307.9,312.15,303.85,305.55,306.9,307.7,"50,18,364","1,54,41,29,748.85","1,18,383","28,48,677",56.77
BHARTIARTL,EQ,2014-01-28,306.9,306.9,309.5,302.15,307.2,306.0,305.31,"51,89,372","1,58,43,58,530.90","1,19,359","33,62,275",64.79
BHARTIARTL,EQ,2014-01-29,306.0,310.0,314.75,300.95,302.0,301.9,306.56,"77,61,126","2,37,92,15,007.05","1,40,441","34,66,604",44.67
BHARTIARTL,EQ,2014-01-30,301.9,302.0,310.65,300.1,308.6,308.65,308.03,"84,81,543","2,61,25,60,149.10","1,01,565","52,37,493",61.75
BHARTIARTL,EQ,2014-01-31,308.65,310.0,316.25,309.1,315.0,315.0,313.47,"33,12,518","1,03,83,62,741.80","53,646","21,29,835",64.3
BHARTIARTL,EQ,2014-02-03,315.0,313.1,313.1,303.8,306.5,305.85,306.88,"36,30,373","1,11,40,92,351.35","93,418","20,88,630",57.53
BHARTIARTL,EQ,2014-02-04,305.85,302.9,317.7,299.45,315.0,316.25,308.73,"68,82,938","2,12,49,48,578.75","1,28,464","34,88,039",50.68
BHARTIARTL,EQ,2014-02-05,316.25,316.9,317.7,311.4,314.95,314.3,314.73,"45,94,081","1,44,59,08,685.40","67,793","31,08,188",67.66
BHARTIARTL,EQ,2014-02-06,314.3,314.5,319.45,312.5,314.5,315.1,315.34,"68,42,879","2,15,78,63,715.30","91,168","51,27,783",74.94
BHARTIARTL,EQ,2014-02-07,315.1,314.75,318.25,307.45,315.0,315.55,313.43,"83,13,742","2,60,57,62,349.95","1,48,478","60,10,841",72.3
BHARTIARTL,EQ,2014-02-10,315.55,314.8,314.8,305.3,308.0,307.0,309.69,"94,33,701","2,92,15,38,666.90","93,660","78,88,936",83.63
BHARTIARTL,EQ,2014-02-11,307.0,305.0,307.05,299.6,306.85,304.6,302.92,"1,00,65,050","3,04,88,79,846.15","1,16,443","71,59,195",71.13
BHARTIARTL,EQ,2014-02-12,304.6,305.1,308.5,301.65,308.15,307.95,306.4,"65,39,715","2,00,37,98,191.75","1,00,969","44,47,661",68.01
BHARTIARTL,EQ,2014-02-13,307.95,307.45,310.1,301.1,302.35,302.9,304.02,"33,11,192","1,00,66,61,230.00","73,055","20,36,095",61.49
BHARTIARTL,EQ,2014-02-14,302.9,304.0,317.5,302.0,305.8,305.4,308.01,"1,27,61,731","3,93,07,52,880.30","1,67,977","83,04,011",65.07
BHARTIARTL,EQ,2014-02-17,305.4,310.85,310.9,303.0,304.65,304.65,305.45,"34,85,844","1,06,47,68,257.25","79,060","20,03,715",57.48
BHARTIARTL,EQ,2014-02-18,304.65,307.0,308.65,299.45,302.35,302.25,302.87,"66,76,786","2,02,22,11,266.20","85,817","36,90,161",55.27
BHARTIARTL,EQ,2014-02-19,302.25,302.0,305.7,301.35,302.55,302.55,303.65,"22,93,597","69,64,60,093.25","26,954","9,59,774",41.85
BHARTIARTL,EQ,2014-02-20,302.55,304.0,304.0,296.15,297.5,296.9,298.44,"43,13,306","1,28,72,79,435.10","61,637","22,40,839",51.95
BHARTIARTL,EQ,2014-02-21,296.9,297.5,298.4,286.1,288.4,288.15,291.21,"56,39,852","1,64,23,74,251.60","65,442","30,32,986",53.78
BHARTIARTL,EQ,2014-02-24,288.15,289.9,292.0,281.9,283.1,282.8,286.12,"64,84,211","1,85,52,67,991.70","1,01,446","37,57,758",57.95
BHARTIARTL,EQ,2014-02-25,282.8,283.8,289.4,283.8,286.9,287.1,287.37,"53,13,164","1,52,68,66,387.90","56,356","34,86,471",65.62
BHARTIARTL,EQ,2014-02-26,287.1,287.25,291.9,285.1,287.65,288.2,289.28,"72,57,494","2,09,94,56,530.35","66,834","42,83,451",59.02
BHARTIARTL,EQ,2014-02-28,288.2,290.0,292.35,283.3,288.1,287.6,287.32,"45,42,273","1,30,51,07,447.85","71,922","28,08,125",61.82
BHARTIARTL,EQ,2014-03-03,287.6,290.4,290.9,285.1,286.3,286.65,287.44,"33,74,224","96,98,79,021.10","48,077","20,16,324",59.76
BHARTIARTL,EQ,2014-03-04,286.65,288.5,290.9,285.85,287.4,287.35,287.96,"37,95,552","1,09,29,60,199.40","43,147","23,70,059",62.44
BHARTIARTL,EQ,2014-03-05,287.35,290.4,290.4,281.9,282.3,282.75,283.9,"76,37,920","2,16,84,23,495.15","87,033","56,69,744",74.23
BHARTIARTL,EQ,2014-03-06,282.75,284.0,286.5,283.5,285.9,285.85,285.52,"74,91,046","2,13,88,29,258.95","51,727","58,70,076",78.36
BHARTIARTL,EQ,2014-03-07,285.85,288.0,305.75,287.55,301.0,301.9,299.08,"1,28,42,274","3,84,08,39,453.05","1,21,827","72,59,173",56.53
BHARTIARTL,EQ,2014-03-10,301.9,301.95,309.9,300.9,304.0,305.15,306.11,"91,33,615","2,79,58,54,711.95","1,32,298","68,55,676",75.06
BHARTIARTL,EQ,2014-03-11,305.15,306.75,306.75,298.8,304.0,303.05,302.25,"40,09,342","1,21,18,18,487.35","50,161","23,95,208",59.74
BHARTIARTL,EQ,2014-03-12,303.05,305.0,307.0,298.1,299.55,300.15,301.02,"37,09,139","1,11,65,31,338.60","43,205","22,65,557",61.08
BHARTIARTL,EQ,2014-03-13,300.15,301.0,303.95,298.0,301.45,300.9,301.91,"20,58,471","62,14,82,578.55","40,698","12,74,209",61.9
BHARTIARTL,EQ,2014-03-14,300.9,300.6,302.3,290.35,295.85,295.0,294.78,"37,84,387","1,11,55,76,767.90","46,293","19,72,368",52.12
BHARTIARTL,EQ,2014-03-18,295.0,297.5,299.0,293.7,295.75,295.1,295.93,"31,04,006","91,85,57,913.20","45,566","21,73,024",70.01
BHARTIARTL,EQ,2014-03-19,295.1,296.95,301.9,295.6,300.0,299.7,299.54,"46,96,950","1,40,69,34,755.65","81,946","37,68,084",80.22
BHARTIARTL,EQ,2014-03-20,299.7,299.05,304.1,295.0,295.7,295.5,300.62,"32,28,869","97,06,49,381.50","53,840","20,45,903",63.36
BHARTIARTL,EQ,2014-03-21,295.5,299.3,300.0,291.55,292.35,292.45,294.1,"45,51,519","1,33,85,83,620.45","68,045","32,25,506",70.87
BHARTIARTL,EQ,2014-03-22,292.45,292.5,294.9,292.5,293.9,293.9,294.02,"1,70,901","5,02,47,639.50","1,787","96,899",56.7
BHARTIARTL,EQ,2014-03-24,293.9,295.0,297.75,292.2,293.75,293.95,294.1,"47,94,591","1,41,01,12,022.15","1,04,603","38,73,030",80.78
BHARTIARTL,EQ,2014-03-25,293.95,294.0,296.4,289.55,295.5,294.85,292.65,"68,94,113","2,01,75,29,629.10","1,30,259","55,24,640",80.14
BHARTIARTL,EQ,2014-03-26,294.85,296.5,299.5,295.0,299.1,298.55,297.21,"71,09,047","2,11,29,04,830.70","1,11,129","54,83,975",77.14
BHARTIARTL,EQ,2014-03-27,298.55,301.5,315.5,299.55,309.0,310.7,309.54,"1,29,08,463","3,99,56,87,452.55","1,21,567","90,89,036",70.41
BHARTIARTL,EQ,2014-03-28,310.7,311.0,319.9,309.6,319.0,317.4,314.35,"51,02,919","1,60,40,78,518.15","91,739","30,25,857",59.3
BHARTIARTL,EQ,2014-03-31,317.4,319.5,327.2,315.85,316.15,317.75,321.8,"58,87,374","1,89,45,29,706.55","69,403","35,50,472",60.31
BHARTIARTL,EQ,2014-04-01,317.75,318.0,321.4,312.0,317.2,315.35,315.79,"28,50,369","90,01,13,224.00","59,447","16,67,203",58.49
BHARTIARTL,EQ,2014-04-02,315.35,320.0,328.5,319.05,324.8,325.85,325.07,"60,40,679","1,96,36,25,922.10","78,440","36,30,030",60.09
BHARTIARTL,EQ,2014-04-03,325.85,328.7,328.7,319.45,320.8,320.7,321.98,"43,99,722","1,41,66,34,983.05","79,790","30,20,046",68.64
BHARTIARTL,EQ,2014-04-04,320.7,321.7,322.0,315.0,316.3,316.2,316.88,"22,53,884","71,42,13,403.75","33,404","13,75,945",61.05
BHARTIARTL,EQ,2014-04-07,316.2,316.2,319.7,314.0,318.7,317.45,316.46,"33,34,921","1,05,53,60,966.90","47,245","20,88,500",62.63
BHARTIARTL,EQ,2014-04-09,317.45,318.15,321.0,317.1,319.85,320.1,318.92,"38,51,685","1,22,83,66,294.05","64,467","27,21,708",70.66
BHARTIARTL,EQ,2014-04-10,320.1,321.0,324.75,316.25,316.9,319.75,321.89,"63,11,897","2,03,17,44,833.00","69,201","48,79,947",77.31
BHARTIARTL,EQ,2014-04-11,319.75,318.0,323.95,316.15,322.1,322.25,321.33,"50,97,557","1,63,79,76,223.80","50,526","40,02,664",78.52
BHARTIARTL,EQ,2014-04-15,322.25,320.6,330.4,320.6,323.0,325.25,326.38,"63,42,640","2,07,01,40,846.90","73,454","49,59,892",78.2
BHARTIARTL,EQ,2014-04-16,325.25,326.0,330.0,321.5,323.9,323.7,325.99,"23,59,506","76,91,66,765.90","39,781","11,24,769",47.67
BHARTIARTL,EQ,2014-04-17,323.7,325.0,326.9,321.0,326.25,325.55,324.6,"25,05,961","81,34,45,036.65","56,698","15,41,637",61.52
BHARTIARTL,EQ,2014-04-21,325.55,326.0,336.4,325.35,335.9,334.8,331.23,"21,01,270","69,60,06,217.05","34,879","11,17,047",53.16
BHARTIARTL,EQ,2014-04-22,334.8,336.0,337.65,331.6,334.4,335.25,334.47,"36,08,167","1,20,68,14,910.60","78,856","23,51,434",65.17
BHARTIARTL,EQ,2014-04-23,335.25,335.25,341.5,334.55,338.6,338.8,339.1,"91,25,576","3,09,45,03,816.85","70,264","68,85,985",75.46
BHARTIARTL,EQ,2014-04-25,338.8,339.25,345.5,337.35,342.0,341.7,342.78,"47,35,202","1,62,31,54,105.65","68,308","29,71,101",62.74
BHARTIARTL,EQ,2014-04-28,341.7,340.35,343.45,334.8,338.0,337.65,337.89,"18,58,182","62,78,56,556.50","39,980","10,97,747",59.08
BHARTIARTL,EQ,2014-04-29,337.65,340.95,341.6,330.65,335.65,335.0,336.69,"43,99,124","1,48,11,59,948.30","73,882","18,81,586",42.77
BHARTIARTL,EQ,2014-04-30,335.0,339.3,343.6,323.35,328.0,328.05,333.08,"59,75,894","1,99,04,25,974.15","81,812","27,19,778",45.51
BHARTIARTL,EQ,2014-05-02,328.05,328.05,331.55,322.1,325.6,325.6,326.77,"42,17,395","1,37,81,05,663.15","74,347","28,23,413",66.95
BHARTIARTL,EQ,2014-05-05,325.6,325.0,327.6,318.6,320.8,320.3,321.9,"24,81,756","79,88,86,191.60","39,110","13,32,981",53.71
BHARTIARTL,EQ,2014-05-06,320.3,321.75,323.0,313.35,314.5,314.9,316.45,"36,26,671","1,14,76,54,622.85","53,552","23,51,656",64.84
BHARTIARTL,EQ,2014-05-07,314.9,314.5,316.0,305.25,310.7,311.0,309.03,"58,81,938","1,81,76,75,283.45","77,423","37,63,768",63.99
