Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BPCL,EQ,2014-01-01,347.9,350.1,352.5,345.95,349.3,349.2,349.71,"6,35,277","22,21,61,058.05","9,518","74,017",11.65
BPCL,EQ,2014-01-02,349.2,354.7,354.7,338.6,339.2,339.45,346.21,"9,46,631","32,77,35,910.65","14,011","4,52,231",47.77
BPCL,EQ,2014-01-03,339.45,338.9,341.0,328.0,330.25,329.3,331.46,"10,64,535","35,28,45,688.85","21,294","5,59,606",52.57
BPCL,EQ,2014-01-06,329.3,335.6,336.9,328.05,329.05,329.8,331.67,"9,12,943","30,27,96,179.10","16,145","2,62,687",28.77
BPCL,EQ,2014-01-07,329.8,330.5,331.9,322.25,322.4,323.55,325.43,"9,63,772","31,36,45,009.10","18,648","3,83,490",39.79
BPCL,EQ,2014-01-08,323.55,324.15,326.7,316.25,316.8,317.55,320.28,"12,60,579","40,37,39,405.30","19,812","5,98,981",47.52
BPCL,EQ,2014-01-09,317.55,318.0,327.3,316.05,325.5,325.25,323.74,"16,47,071","53,32,22,905.85","30,434","7,94,407",48.23
BPCL,EQ,2014-01-10,325.25,325.9,331.4,322.5,326.8,326.3,327.78,"11,99,146","39,30,53,433.10","15,135","5,42,376",45.23
BPCL,EQ,2014-01-13,326.3,328.25,332.95,327.65,331.7,331.5,330.42,"10,83,729","35,80,87,473.60","24,173","5,10,073",47.07
BPCL,EQ,2014-01-14,331.5,329.1,333.5,327.2,328.1,328.2,330.53,"5,04,753","16,68,38,143.00","10,693","1,96,789",38.99
BPCL,EQ,2014-01-15,328.2,326.55,331.05,326.35,327.25,327.3,328.22,"10,01,838","32,88,25,953.60","26,893","5,63,025",56.2
BPCL,EQ,2014-01-16,327.3,329.0,333.6,325.2,332.6,330.35,329.59,"7,47,000","24,62,05,795.80","13,729","3,59,928",48.18
BPCL,EQ,2014-01-17,330.35,332.0,342.8,332.0,340.0,340.1,339.4,"17,39,898","59,05,23,715.55","33,114","9,05,260",52.03
BPCL,EQ,2014-01-20,340.1,339.0,344.5,333.3,342.0,342.55,338.86,"11,63,979","39,44,28,342.20","31,021","5,51,836",47.41
BPCL,EQ,2014-01-21,342.55,343.0,344.85,334.1,338.5,337.3,338.24,"9,60,196","32,47,71,988.85","15,083","5,57,743",58.09
BPCL,EQ,2014-01-22,337.3,337.2,346.0,334.6,345.5,343.95,341.42,"5,13,669","17,53,79,273.25","12,236","2,76,658",53.86
BPCL,EQ,2014-01-23,343.95,342.9,349.7,341.25,346.2,347.3,346.48,"10,30,105","35,69,11,207.50","25,572","5,82,688",56.57
BPCL,EQ,2014-01-24,347.3,344.0,348.9,340.05,343.9,343.15,344.13,"10,52,312","36,21,37,218.80","43,030","5,44,382",51.73
BPCL,EQ,2014-01-27,343.15,338.9,341.0,331.85,337.2,337.65,335.63,"10,34,415","34,71,77,529.75","27,122","4,76,339",46.05
BPCL,EQ,2014-01-28,337.65,337.7,344.15,333.85,342.1,342.2,339.34,"26,92,245","91,35,98,811.15","24,371","21,48,818",79.82
BPCL,EQ,2014-01-29,342.2,345.55,361.7,343.25,354.8,354.9,353.15,"18,52,806","65,43,23,874.75","36,052","8,74,351",47.19
BPCL,EQ,2014-01-30,354.9,351.0,355.6,339.65,352.6,352.5,349.43,"20,67,356","72,24,00,620.10","35,877","10,68,859",51.7
BPCL,EQ,2014-01-31,352.5,352.6,365.0,346.3,363.0,362.7,359.05,"14,23,766","51,12,10,103.90","38,351","8,10,148",56.9
BPCL,EQ,2014-02-03,362.7,366.0,366.0,354.2,355.65,356.45,357.57,"9,01,869","32,24,81,179.00","30,305","3,56,844",39.57
BPCL,EQ,2014-02-04,356.45,353.0,362.0,350.5,356.5,355.3,354.87,"8,60,963","30,55,26,869.15","27,870","3,71,800",43.18
BPCL,EQ,2014-02-05,355.3,352.5,357.9,352.0,355.0,354.6,354.03,"7,57,991","26,83,52,627.35","23,883","3,71,614",49.03
BPCL,EQ,2014-02-06,354.6,355.25,359.4,345.9,353.7,352.85,351.33,"10,33,580","36,31,29,865.35","40,035","4,58,858",44.4
BPCL,EQ,2014-02-07,352.85,354.85,355.85,349.55,352.2,352.15,351.72,"10,70,483","37,65,13,247.90","32,534","7,14,116",66.71
BPCL,EQ,2014-02-10,352.15,350.2,356.75,350.2,354.95,354.8,354.42,"3,62,422","12,84,50,179.60","13,471","1,30,257",35.94
BPCL,EQ,2014-02-11,354.8,356.15,361.8,352.7,360.6,359.65,358.42,"6,54,702","23,46,57,884.75","23,575","2,25,801",34.49
BPCL,EQ,2014-02-12,359.65,362.25,370.8,356.65,365.4,364.75,363.94,"27,48,387","1,00,02,59,056.20","46,602","9,33,226",33.96
BPCL,EQ,2014-02-13,364.75,364.75,364.75,353.55,355.0,355.0,356.55,"7,83,567","27,93,79,661.40","13,170","3,76,526",48.05
BPCL,EQ,2014-02-14,355.0,357.5,357.5,349.85,355.2,355.8,353.83,"4,32,573","15,30,56,623.40","10,475","1,38,458",32.01
BPCL,EQ,2014-02-17,355.8,355.95,359.7,351.65,357.4,357.5,355.32,"2,20,487","7,83,44,511.45","5,284","46,431",21.06
BPCL,EQ,2014-02-18,357.5,355.0,359.5,352.35,355.0,355.0,355.96,"6,66,340","23,71,92,348.30","13,224","2,85,180",42.8
BPCL,EQ,2014-02-19,355.0,355.1,357.0,347.7,351.65,351.4,351.39,"4,33,505","15,23,30,772.30","9,039","69,187",15.96
BPCL,EQ,2014-02-20,351.4,350.6,350.6,342.2,345.6,346.8,347.78,"5,64,267","19,62,41,437.35","11,269","2,55,895",45.35
BPCL,EQ,2014-02-21,346.8,346.25,362.55,346.25,362.2,361.25,357.24,"13,18,022","47,08,52,962.90","28,756","4,94,396",37.51
BPCL,EQ,2014-02-24,361.25,360.2,368.5,359.3,364.85,364.0,363.81,"8,62,081","31,36,36,274.35","16,016","3,74,528",43.44
BPCL,EQ,2014-02-25,364.0,365.25,374.8,365.25,371.35,371.85,370.19,"8,41,482","31,15,10,407.25","43,954","3,49,424",41.52
BPCL,EQ,2014-02-26,371.85,372.9,382.85,368.15,378.6,377.45,376.38,"18,80,724","70,78,71,727.70","33,829","10,46,199",55.63
BPCL,EQ,2014-02-28,377.45,378.1,385.0,372.1,376.55,378.0,378.67,"16,14,729","61,14,47,221.85","39,027","7,78,021",48.18
BPCL,EQ,2014-03-03,378.0,377.0,381.9,372.2,377.0,376.65,377.38,"10,33,290","38,99,46,575.20","17,328","4,50,934",43.64
