Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CIPLA,EQ,2014-01-01,400.8,402.5,405.9,400.8,401.25,401.75,403.26,"4,29,074","17,30,26,650.70","7,293","1,69,973",39.61
CIPLA,EQ,2014-01-02,401.75,402.0,406.35,391.5,392.45,392.3,399.11,"7,34,194","29,30,25,455.05","10,816","3,53,540",48.15
CIPLA,EQ,2014-01-03,392.3,391.55,394.0,386.0,393.95,391.75,389.48,"9,98,001","38,87,02,978.20","20,508","4,83,980",48.49
CIPLA,EQ,2014-01-06,391.75,393.9,395.95,387.65,391.0,391.6,391.71,"7,52,348","29,47,00,425.70","11,352","3,31,617",44.08
CIPLA,EQ,2014-01-07,391.6,393.9,394.9,389.0,390.15,390.85,390.73,"9,55,034","37,31,62,148.30","15,121","6,23,386",65.27
CIPLA,EQ,2014-01-08,390.85,391.1,405.0,389.1,404.0,404.2,400.16,"17,68,447","70,76,63,553.50","45,513","10,32,523",58.39
CIPLA,EQ,2014-01-09,404.2,404.0,407.4,400.0,403.3,403.1,403.61,"11,61,659","46,88,53,594.15","29,914","7,11,916",61.28
CIPLA,EQ,2014-01-10,403.1,401.2,406.7,397.0,399.0,399.1,401.73,"8,75,765","35,18,25,151.40","13,696","4,41,738",50.44
CIPLA,EQ,2014-01-13,399.1,396.35,403.45,396.35,402.75,402.25,400.2,"7,70,671","30,84,26,068.65","9,495","4,96,575",64.43
CIPLA,EQ,2014-01-14,402.25,400.9,412.25,400.9,410.5,411.15,407.57,"13,75,742","56,07,13,847.55","17,393","8,21,348",59.7
CIPLA,EQ,2014-01-15,411.15,414.35,423.9,414.35,417.25,418.05,418.91,"27,37,981","1,14,69,59,926.65","46,348","16,02,686",58.54
CIPLA,EQ,2014-01-16,418.05,419.0,420.95,412.0,412.05,412.65,415.86,"13,32,490","55,41,32,359.55","16,470","7,41,689",55.66
CIPLA,EQ,2014-01-17,412.65,412.5,421.95,412.5,420.45,417.6,417.46,"13,69,311","57,16,30,257.10","21,510","8,08,320",59.03
CIPLA,EQ,2014-01-20,417.6,419.0,421.7,416.15,419.1,419.85,419.36,"8,25,525","34,61,95,021.75","13,213","4,42,305",53.58
CIPLA,EQ,2014-01-21,419.85,420.25,424.0,416.35,417.0,417.4,420.29,"7,57,294","31,82,86,268.80","10,272","3,37,616",44.58
CIPLA,EQ,2014-01-22,417.4,417.7,425.85,415.3,423.6,422.7,422.77,"11,59,013","48,99,96,828.05","26,336","5,59,163",48.24
CIPLA,EQ,2014-01-23,422.7,422.9,425.05,417.4,419.65,419.55,420.95,"6,57,695","27,68,56,056.30","12,825","3,03,935",46.21
CIPLA,EQ,2014-01-24,419.55,418.0,423.0,413.4,414.0,414.4,417.47,"9,94,905","41,53,39,768.85","16,076","6,11,390",61.45
CIPLA,EQ,2014-01-27,414.4,411.5,418.0,407.75,418.0,415.0,413.54,"13,05,152","53,97,29,732.90","17,010","8,68,851",66.57
CIPLA,EQ,2014-01-28,415.0,416.3,420.5,406.8,408.8,409.25,411.43,"9,88,099","40,65,33,856.70","16,545","5,89,858",59.7
CIPLA,EQ,2014-01-29,409.25,411.0,418.5,409.5,415.3,414.5,415.21,"12,27,506","50,96,67,740.30","31,686","8,55,798",69.72
CIPLA,EQ,2014-01-30,414.5,410.95,415.9,407.95,414.95,413.45,412.97,"13,44,614","55,52,89,379.65","16,806","9,43,726",70.19
CIPLA,EQ,2014-01-31,413.45,415.0,419.0,408.55,410.3,410.6,412.7,"5,29,559","21,85,49,507.30","13,347","2,44,640",46.2
CIPLA,EQ,2014-02-03,410.6,408.5,415.75,408.5,412.85,412.5,412.1,"8,83,601","36,41,31,282.20","19,523","6,29,695",71.26
CIPLA,EQ,2014-02-04,412.5,410.7,417.95,410.0,414.15,415.15,415.38,"10,76,767","44,72,66,493.20","32,827","6,36,152",59.08
CIPLA,EQ,2014-02-05,415.15,416.9,416.9,410.5,415.4,415.15,413.58,"13,40,045","55,42,13,318.95","20,762","10,47,298",78.15
CIPLA,EQ,2014-02-06,415.15,417.5,420.0,409.25,410.35,410.05,413.25,"15,33,292","63,36,31,186.95","25,222","10,17,345",66.35
CIPLA,EQ,2014-02-07,410.05,412.85,418.0,412.5,417.0,417.05,415.54,"9,43,897","39,22,26,516.75","15,210","6,45,485",68.39
CIPLA,EQ,2014-02-10,417.05,419.45,423.6,409.7,410.8,414.55,419.16,"11,33,469","47,51,05,402.55","30,057","6,74,413",59.5
CIPLA,EQ,2014-02-11,414.55,415.0,415.0,405.2,411.0,412.5,410.37,"25,68,431","1,05,39,99,277.55","44,472","18,24,382",71.03
CIPLA,EQ,2014-02-12,412.5,414.9,414.9,408.0,413.5,412.75,411.43,"29,56,000","1,21,61,86,491.60","29,274","21,70,203",73.42
CIPLA,EQ,2014-02-13,412.75,390.0,404.25,379.0,380.95,380.3,389.22,"1,01,35,980","3,94,50,85,856.75","1,13,838","48,08,009",47.44
CIPLA,EQ,2014-02-14,380.3,384.7,384.7,370.0,372.8,373.35,375.29,"32,69,119","1,22,68,52,778.10","45,772","13,48,734",41.26
CIPLA,EQ,2014-02-17,373.35,373.35,378.05,371.15,376.05,374.35,374.79,"12,18,421","45,66,54,537.15","24,149","5,32,963",43.74
CIPLA,EQ,2014-02-18,374.35,374.0,377.7,371.25,371.75,371.9,374.2,"17,87,070","66,87,30,045.35","24,951","11,99,552",67.12
CIPLA,EQ,2014-02-19,371.9,373.0,375.2,371.0,373.95,373.2,373.34,"8,91,444","33,28,10,539.95","13,178","5,07,155",56.89
CIPLA,EQ,2014-02-20,373.2,373.2,376.6,370.4,370.75,371.2,372.48,"16,07,125","59,86,21,415.15","20,015","11,00,688",68.49
