Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DRREDDY,EQ,2014-01-01,"2,534.60","2,545.00","2,545.00","2,529.35","2,535.05","2,537.45","2,536.93","27,816","7,05,67,362.30","2,790","9,843",35.39
DRREDDY,EQ,2014-01-02,"2,537.45","2,525.60","2,550.00","2,513.35","2,521.00","2,528.50","2,533.10","1,02,531","25,97,20,884.60","7,237","61,460",59.94
DRREDDY,EQ,2014-01-03,"2,528.50","2,520.00","2,522.95","2,485.00","2,496.90","2,495.70","2,497.52","1,06,312","26,55,16,290.10","13,037","62,131",58.44
DRREDDY,EQ,2014-01-06,"2,495.70","2,514.95","2,514.95","2,460.20","2,473.40","2,471.25","2,475.95","1,32,967","32,92,20,296.55","10,273","79,747",59.98
DRREDDY,EQ,2014-01-07,"2,471.25","2,472.20","2,508.00","2,464.60","2,480.55","2,491.25","2,492.54","2,23,225","55,63,97,269.65","23,419","1,39,004",62.27
DRREDDY,EQ,2014-01-08,"2,491.25","2,495.00","2,540.00","2,470.80","2,526.10","2,532.25","2,521.19","2,23,471","56,34,13,054.65","22,587","1,21,972",54.58
DRREDDY,EQ,2014-01-09,"2,532.25","2,541.00","2,596.90","2,525.25","2,589.00","2,586.90","2,572.31","4,19,693","1,07,95,81,131.60","42,715","2,75,851",65.73
DRREDDY,EQ,2014-01-10,"2,586.90","2,600.00","2,631.00","2,562.25","2,625.50","2,625.55","2,601.93","5,19,695","1,35,22,09,604.85","45,281","3,90,632",75.17
DRREDDY,EQ,2014-01-13,"2,625.55","2,630.00","2,639.75","2,600.00","2,634.00","2,626.55","2,615.68","2,53,075","66,19,62,904.40","20,625","1,54,249",60.95
DRREDDY,EQ,2014-01-14,"2,626.55","2,622.00","2,665.50","2,616.55","2,647.25","2,649.00","2,637.27","2,63,864","69,58,79,999.55","23,059","1,44,062",54.6
DRREDDY,EQ,2014-01-15,"2,649.00","2,650.10","2,663.90","2,641.00","2,651.00","2,650.20","2,651.37","2,68,234","71,11,88,765.05","20,116","2,00,788",74.86
DRREDDY,EQ,2014-01-16,"2,650.20","2,652.00","2,656.00","2,624.00","2,645.00","2,644.50","2,640.01","3,17,440","83,80,43,700.60","16,810","2,67,147",84.16
DRREDDY,EQ,2014-01-17,"2,644.50","2,643.00","2,665.70","2,641.60","2,655.00","2,651.85","2,651.23","4,38,475","1,16,24,96,385.15","23,173","3,54,169",80.77
DRREDDY,EQ,2014-01-20,"2,651.85","2,630.00","2,682.50","2,629.25","2,652.00","2,653.40","2,656.39","2,95,063","78,38,03,536.10","10,616","2,38,470",80.82
DRREDDY,EQ,2014-01-21,"2,653.40","2,650.10","2,668.90","2,636.10","2,656.10","2,651.55","2,651.83","1,92,975","51,17,37,646.70","15,922","95,252",49.36
DRREDDY,EQ,2014-01-22,"2,651.55","2,653.55","2,688.00","2,645.25","2,685.00","2,670.60","2,665.13","1,97,313","52,58,64,775.95","14,751","1,07,028",54.24
DRREDDY,EQ,2014-01-23,"2,670.60","2,675.20","2,687.75","2,660.50","2,665.80","2,669.20","2,673.93","1,71,249","45,79,07,665.40","19,929","1,14,593",66.92
DRREDDY,EQ,2014-01-24,"2,669.20","2,663.00","2,691.95","2,646.50","2,661.15","2,660.95","2,661.16","3,51,829","93,62,71,708.65","25,894","2,80,584",79.75
DRREDDY,EQ,2014-01-27,"2,660.95","2,626.70","2,648.80","2,622.00","2,639.85","2,633.10","2,635.33","3,41,168","89,90,91,036.95","22,861","2,48,861",72.94
DRREDDY,EQ,2014-01-28,"2,633.10","2,635.85","2,660.80","2,626.35","2,641.35","2,651.85","2,651.81","1,81,923","48,24,25,443.90","11,329","1,20,282",66.12
DRREDDY,EQ,2014-01-29,"2,651.85","2,652.00","2,686.80","2,648.60","2,653.20","2,655.25","2,661.11","2,43,863","64,89,47,208.75","21,262","1,82,703",74.92
