Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EICHERMOT,EQ,2014-01-01,"4,975.85","5,004.60","5,020.00","4,975.00","5,001.00","5,001.95","4,996.28","2,444","1,22,10,901.10",631,"1,237",50.61
EICHERMOT,EQ,2014-01-02,"5,001.95","4,983.05","5,085.00","4,970.00","4,976.25","4,982.85","5,017.36","11,189","5,61,39,282.75","1,234","8,057",72.01
EICHERMOT,EQ,2014-01-03,"4,982.85","4,953.15","5,020.00","4,950.00","4,990.00","4,968.95","4,971.78","3,952","1,96,48,479.70",734,"2,079",52.61
EICHERMOT,EQ,2014-01-06,"4,968.95","5,019.00","5,045.00","4,900.00","5,006.00","4,985.95","4,978.75","4,266","2,12,39,331.65","1,040","2,277",53.38
EICHERMOT,EQ,2014-01-07,"4,985.95","5,008.00","5,066.00","4,973.25","4,982.05","4,993.10","5,007.10","7,334","3,67,22,107.25","1,503","3,990",54.4
EICHERMOT,EQ,2014-01-08,"4,993.10","4,943.00","5,167.65","4,943.00","5,080.00","5,074.90","5,085.93","12,424","6,31,87,568.70","3,200","5,616",45.2
EICHERMOT,EQ,2014-01-09,"5,074.90","5,120.00","5,120.00","5,000.00","5,019.75","5,042.55","5,067.61","10,669","5,40,66,310.30","2,761","6,815",63.88
EICHERMOT,EQ,2014-01-10,"5,042.55","4,995.10","5,056.50","4,990.00","5,001.00","5,009.05","5,034.40","14,208","7,15,28,790.95","2,699","11,541",81.23
EICHERMOT,EQ,2014-01-13,"5,009.05","4,985.00","5,080.00","4,985.00","5,040.00","5,055.00","5,055.41","65,224","32,97,34,264.30","4,596","60,954",93.45
EICHERMOT,EQ,2014-01-14,"5,055.00","5,020.00","5,070.00","5,000.75","5,005.00","5,012.55","5,037.59","29,639","14,93,09,222.20","1,387","27,921",94.2
EICHERMOT,EQ,2014-01-15,"5,012.55","5,045.00","5,045.00","4,901.00","4,939.80","4,937.35","4,987.23","10,479","5,22,61,220.75","2,383","7,604",72.56
EICHERMOT,EQ,2014-01-16,"4,937.35","5,000.00","5,065.00","4,940.00","4,947.00","4,953.05","4,982.22","4,156","2,07,06,091.75","1,516","2,424",58.33
EICHERMOT,EQ,2014-01-17,"4,953.05","5,040.00","5,040.00","4,901.00","4,940.00","4,945.75","4,960.27","3,428","1,70,03,816.50","1,101","1,828",53.33
EICHERMOT,EQ,2014-01-20,"4,945.75","4,993.00","5,130.00","4,930.65","5,109.95","5,059.15","5,027.79","8,641","4,34,45,138.65","1,882","5,134",59.41
EICHERMOT,EQ,2014-01-21,"5,059.15","5,088.00","5,115.00","5,062.00","5,080.00","5,085.75","5,086.99","6,861","3,49,01,804.15","1,155","5,140",74.92
EICHERMOT,EQ,2014-01-22,"5,085.75","5,114.95","5,114.95","5,025.00","5,035.15","5,041.45","5,045.27","2,482","1,25,22,369.05",679,"1,588",63.98
EICHERMOT,EQ,2014-01-23,"5,041.45","5,094.95","5,094.95","5,016.10","5,030.05","5,044.85","5,047.17","4,033","2,03,55,228.40",913,"2,874",71.26
EICHERMOT,EQ,2014-01-24,"5,044.85","5,001.00","5,044.95","4,881.00","4,900.00","4,921.80","4,970.86","8,606","4,27,79,233.35","1,984","6,888",80.04
EICHERMOT,EQ,2014-01-27,"4,921.80","4,903.10","4,903.10","4,823.00","4,840.00","4,840.15","4,839.72","3,910","1,89,23,318.60","1,713","2,686",68.7
EICHERMOT,EQ,2014-01-28,"4,840.15","4,900.00","4,940.40","4,780.00","4,781.00","4,808.15","4,830.82","6,080","2,93,71,377.70","2,289","4,598",75.62
EICHERMOT,EQ,2014-01-29,"4,808.15","4,837.75","4,870.00","4,710.00","4,716.00","4,725.20","4,779.46","4,669","2,23,15,317.60","1,287","3,231",69.2
EICHERMOT,EQ,2014-01-30,"4,725.20","4,716.00","4,744.00","4,654.00","4,690.10","4,688.90","4,699.66","8,121","3,81,65,908.65","1,544","6,268",77.18
EICHERMOT,EQ,2014-01-31,"4,688.90","4,700.00","4,790.00","4,608.70","4,665.00","4,646.10","4,659.81","7,907","3,68,45,152.35","1,760","5,149",65.12
EICHERMOT,EQ,2014-02-03,"4,646.10","4,607.00","4,715.00","4,550.00","4,550.00","4,563.40","4,617.14","20,409","9,42,31,279.40","1,436","18,024",88.31
EICHERMOT,EQ,2014-02-04,"4,563.40","4,520.10","4,581.00","4,520.10","4,560.00","4,555.30","4,562.85","9,958","4,54,36,812.35",919,"8,866",89.03
EICHERMOT,EQ,2014-02-05,"4,555.30","4,599.90","4,601.65","4,516.00","4,528.00","4,542.95","4,570.73","4,577","2,09,20,249.35","1,030","3,289",71.86
EICHERMOT,EQ,2014-02-06,"4,542.95","4,637.00","4,639.00","4,478.60","4,490.00","4,504.05","4,566.53","12,641","5,77,25,524.30","2,872","10,010",79.19
EICHERMOT,EQ,2014-02-07,"4,504.05","4,548.00","4,579.95","4,418.00","4,421.20","4,426.00","4,453.76","10,177","4,53,25,924.45","1,384","8,050",79.1
