Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRASIM,EQ,2014-01-01,"2,714.60","2,720.10","2,724.00","2,695.10","2,720.00","2,714.55","2,712.40","18,861","5,11,58,519.40","2,666","6,847",36.3
GRASIM,EQ,2014-01-02,"2,714.55","2,715.05","2,740.00","2,626.00","2,635.50","2,643.25","2,680.58","36,534","9,79,32,474.15","3,791","15,310",41.91
GRASIM,EQ,2014-01-03,"2,643.25","2,626.00","2,642.90","2,602.30","2,633.40","2,630.70","2,620.88","33,777","8,85,25,308.10","3,557","12,414",36.75
GRASIM,EQ,2014-01-06,"2,630.70","2,629.90","2,651.70","2,589.10","2,625.00","2,631.20","2,621.86","25,558","6,70,09,412.55","2,188","12,450",48.71
GRASIM,EQ,2014-01-07,"2,631.20","2,633.95","2,647.25","2,602.30","2,613.00","2,611.65","2,612.85","38,002","9,92,93,686.25","2,206","26,148",68.81
GRASIM,EQ,2014-01-08,"2,611.65","2,615.25","2,616.75","2,583.00","2,600.00","2,600.40","2,596.46","64,171","16,66,17,127.90","4,233","29,657",46.22
GRASIM,EQ,2014-01-09,"2,600.40","2,599.00","2,614.05","2,562.00","2,600.00","2,599.40","2,586.74","62,027","16,04,47,755.65","6,176","36,771",59.28
GRASIM,EQ,2014-01-10,"2,599.40","2,600.60","2,622.00","2,570.00","2,595.00","2,588.55","2,594.92","47,750","12,39,07,303.95","2,671","34,640",72.54
GRASIM,EQ,2014-01-13,"2,588.55","2,580.10","2,621.85","2,572.20","2,598.10","2,602.25","2,594.14","17,489","4,53,68,961.05","1,347","9,567",54.7
GRASIM,EQ,2014-01-14,"2,602.25","2,580.60","2,609.10","2,560.00","2,560.00","2,565.25","2,580.52","16,981","4,38,19,885.30","2,264","8,721",51.36
GRASIM,EQ,2014-01-15,"2,565.25","2,565.25","2,590.50","2,560.35","2,582.30","2,581.90","2,573.35","51,562","13,26,87,247.95","2,211","36,529",70.84
GRASIM,EQ,2014-01-16,"2,581.90","2,582.00","2,614.00","2,568.00","2,614.00","2,605.95","2,580.20","72,107","18,60,50,648.40","3,290","55,230",76.59
GRASIM,EQ,2014-01-17,"2,605.95","2,606.00","2,629.95","2,597.30","2,622.00","2,622.00","2,617.78","65,497","17,14,56,522.35","2,945","47,522",72.56
GRASIM,EQ,2014-01-20,"2,622.00","2,612.10","2,617.85","2,578.20","2,593.00","2,595.55","2,592.85","41,074","10,64,98,821.50","3,803","21,641",52.69
GRASIM,EQ,2014-01-21,"2,595.55","2,619.00","2,625.00","2,582.50","2,604.05","2,603.30","2,600.77","40,203","10,45,58,814.60","2,305","29,354",73.01
GRASIM,EQ,2014-01-22,"2,603.30","2,607.10","2,618.00","2,565.00","2,585.00","2,585.65","2,578.21","27,067","6,97,84,387.10","2,483","11,370",42.01
GRASIM,EQ,2014-01-23,"2,585.65","2,579.00","2,595.00","2,570.00","2,593.00","2,591.00","2,578.16","40,484","10,43,74,325.85","1,322","28,957",71.53
GRASIM,EQ,2014-01-24,"2,591.00","2,589.00","2,618.00","2,577.00","2,599.90","2,594.05","2,588.57","1,70,931","44,24,67,141.60","2,746","1,59,753",93.46
GRASIM,EQ,2014-01-27,"2,594.05","2,577.90","2,604.85","2,556.00","2,592.50","2,592.40","2,586.02","1,07,751","27,86,46,260.90","3,168","95,879",88.98
GRASIM,EQ,2014-01-28,"2,592.40","2,591.00","2,600.00","2,570.25","2,600.00","2,592.90","2,587.29","1,88,336","48,72,80,371.25","4,754","1,68,289",89.36
GRASIM,EQ,2014-01-29,"2,592.90","2,600.00","2,625.00","2,581.80","2,620.00","2,605.50","2,598.73","1,57,111","40,82,89,356.60","3,574","1,24,150",79.02
GRASIM,EQ,2014-01-30,"2,605.50","2,600.00","2,619.80","2,575.00","2,575.00","2,589.50","2,596.02","35,844","9,30,51,683.30","2,782","19,089",53.26
