Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCBANK,EQ,2014-01-01,665.85,668.0,669.8,663.0,667.0,665.15,666.09,"11,23,109","74,80,89,860.65","17,714","6,92,756",61.68
HDFCBANK,EQ,2014-01-02,665.15,665.0,674.75,653.55,658.0,657.0,665.37,"18,07,248","1,20,24,86,854.45","23,269","9,21,852",51.01
HDFCBANK,EQ,2014-01-03,657.0,652.0,666.0,650.0,665.0,663.1,661.19,"16,28,296","1,07,66,14,003.20","24,880","9,22,515",56.66
HDFCBANK,EQ,2014-01-06,663.1,663.0,663.0,657.0,662.25,661.7,660.56,"14,90,855","98,47,94,768.35","14,257","9,34,131",62.66
HDFCBANK,EQ,2014-01-07,661.7,667.1,670.95,653.3,664.55,664.4,662.03,"19,74,230","1,30,69,95,222.15","30,008","11,37,028",57.59
HDFCBANK,EQ,2014-01-08,664.4,665.2,666.95,660.0,665.2,664.7,664.6,"11,62,370","77,25,13,387.95","15,690","6,93,210",59.64
HDFCBANK,EQ,2014-01-09,664.7,663.2,666.05,657.1,664.5,662.95,662.46,"9,44,368","62,56,04,137.10","17,569","5,20,654",55.13
HDFCBANK,EQ,2014-01-10,662.95,662.95,674.7,656.3,663.0,662.05,666.8,"15,37,627","1,02,52,89,975.15","30,620","8,03,001",52.22
HDFCBANK,EQ,2014-01-13,662.05,660.1,676.95,656.9,674.0,672.85,670.07,"11,88,145","79,61,40,628.65","21,556","5,82,579",49.03
HDFCBANK,EQ,2014-01-14,672.85,669.05,676.0,668.3,672.2,672.3,673.28,"8,94,280","60,20,96,900.70","20,488","4,75,004",53.12
HDFCBANK,EQ,2014-01-15,672.3,673.0,682.7,669.6,680.0,680.55,678.04,"11,56,960","78,44,59,527.30","21,551","5,35,734",46.31
HDFCBANK,EQ,2014-01-16,680.55,684.4,685.0,670.35,671.9,673.05,678.03,"11,25,294","76,29,84,550.90","18,790","5,00,580",44.48
HDFCBANK,EQ,2014-01-17,673.05,675.0,675.0,659.05,672.15,665.0,665.93,"1,08,43,714","7,22,11,08,192.25","87,824","64,01,717",59.04
HDFCBANK,EQ,2014-01-20,665.0,668.1,676.7,666.4,669.85,670.05,671.35,"14,00,092","93,99,48,369.55","23,252","7,37,039",52.64
HDFCBANK,EQ,2014-01-21,670.05,672.95,678.8,670.0,678.5,676.1,675.41,"15,62,981","1,05,56,46,604.30","26,865","9,83,714",62.94
HDFCBANK,EQ,2014-01-22,676.1,675.5,684.7,674.65,676.0,677.1,680.02,"17,58,334","1,19,56,98,976.40","24,178","8,81,049",50.11
