Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDALCO,EQ,2014-01-01,122.6,122.6,123.8,121.35,121.85,121.8,122.26,"41,20,036","50,37,03,391.65","15,939","15,40,865",37.4
HINDALCO,EQ,2014-01-02,121.8,121.8,125.65,120.0,120.25,120.65,123.23,"72,75,995","89,66,28,841.50","35,126","27,09,569",37.24
HINDALCO,EQ,2014-01-03,120.65,120.0,120.7,117.1,118.45,118.75,118.55,"42,79,292","50,73,01,813.05","27,727","9,59,126",22.41
HINDALCO,EQ,2014-01-06,118.75,118.5,119.6,117.2,117.95,118.25,118.28,"33,07,710","39,12,46,310.10","18,091","9,08,114",27.45
HINDALCO,EQ,2014-01-07,118.25,118.15,118.95,115.0,116.2,116.05,116.28,"49,22,926","57,24,43,247.75","27,326","16,98,215",34.5
HINDALCO,EQ,2014-01-08,116.05,118.25,118.3,114.5,114.85,115.25,116.56,"50,02,283","58,30,82,991.45","29,251","19,92,024",39.82
HINDALCO,EQ,2014-01-09,115.25,115.0,115.25,112.0,112.7,112.65,113.17,"53,98,443","61,09,39,503.00","32,539","22,28,453",41.28
HINDALCO,EQ,2014-01-10,112.65,112.8,113.0,110.15,110.3,110.55,111.34,"90,12,277","1,00,34,19,466.10","49,387","46,70,318",51.82
HINDALCO,EQ,2014-01-13,110.55,110.2,112.25,108.5,110.8,110.0,110.23,"42,14,147","46,45,32,089.50","26,203","12,72,240",30.19
HINDALCO,EQ,2014-01-14,110.0,110.0,111.25,108.75,109.75,109.4,109.83,"29,23,798","32,11,10,282.90","20,006","10,88,103",37.22
HINDALCO,EQ,2014-01-15,109.4,110.3,112.9,110.2,110.75,110.85,111.57,"48,17,973","53,75,45,058.90","36,376","15,70,340",32.59
HINDALCO,EQ,2014-01-16,110.85,111.45,113.35,111.15,113.1,112.95,112.57,"47,45,742","53,42,18,815.30","25,083","15,61,870",32.91
HINDALCO,EQ,2014-01-17,112.95,113.5,114.0,110.5,111.6,111.3,112.06,"53,25,344","59,67,52,637.40","28,289","22,06,010",41.42
HINDALCO,EQ,2014-01-20,111.3,110.1,113.5,110.1,112.4,112.1,112.43,"31,13,909","35,00,86,987.65","17,212","9,20,537",29.56
HINDALCO,EQ,2014-01-21,112.1,112.45,113.4,110.65,113.1,113.0,112.32,"38,25,639","42,96,98,079.70","24,783","10,80,679",28.25
HINDALCO,EQ,2014-01-22,113.0,112.6,115.4,112.5,115.35,115.2,114.59,"55,17,465","63,22,60,350.80","33,166","25,30,500",45.86
HINDALCO,EQ,2014-01-23,115.2,114.2,115.25,113.6,114.3,114.3,114.24,"28,53,691","32,59,96,525.75","13,251","14,98,741",52.52
HINDALCO,EQ,2014-01-24,114.3,113.15,115.35,113.0,113.8,114.0,114.0,"57,37,135","65,40,31,675.60","26,950","37,55,887",65.47
HINDALCO,EQ,2014-01-27,114.0,112.0,112.7,109.3,111.45,111.1,110.85,"87,24,577","96,71,56,128.40","34,756","62,64,901",71.81
HINDALCO,EQ,2014-01-28,111.1,110.0,115.0,109.75,113.55,113.8,112.5,"45,13,345","50,77,41,732.10","24,167","14,86,123",32.93
HINDALCO,EQ,2014-01-29,113.8,114.5,114.75,111.15,111.85,111.75,112.34,"47,13,458","52,95,04,730.45","25,522","23,16,874",49.15
HINDALCO,EQ,2014-01-30,111.75,110.2,110.7,107.6,108.05,108.1,108.53,"50,77,231","55,10,47,827.55","24,036","26,39,929",52.0
HINDALCO,EQ,2014-01-31,108.1,109.05,110.0,107.0,109.7,109.55,109.0,"82,87,236","90,33,15,748.65","21,659","58,80,724",70.96
HINDALCO,EQ,2014-02-03,109.55,109.0,109.4,103.0,103.1,103.45,105.49,"55,72,627","58,78,72,767.40","36,446","22,16,541",39.78
