Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDUNILVR,EQ,2014-01-01,570.65,570.65,574.4,569.3,572.75,572.35,571.86,"2,51,204","14,36,54,492.90","5,393","1,00,873",40.16
HINDUNILVR,EQ,2014-01-02,572.35,571.0,575.75,558.6,563.5,562.4,566.94,"5,31,660","30,14,18,157.55","14,035","3,05,505",57.46
HINDUNILVR,EQ,2014-01-03,562.4,560.0,567.4,558.05,565.0,565.0,563.2,"10,18,173","57,34,30,423.75","16,911","7,45,360",73.21
HINDUNILVR,EQ,2014-01-06,565.0,567.0,567.8,560.2,563.95,563.5,562.8,"6,03,727","33,97,78,030.15","9,750","4,65,931",77.18
HINDUNILVR,EQ,2014-01-07,563.5,563.0,565.9,556.0,557.05,558.95,559.66,"6,05,461","33,88,50,930.10","12,854","4,30,436",71.09
HINDUNILVR,EQ,2014-01-08,558.95,558.0,562.15,557.0,558.25,559.15,559.41,"5,64,149","31,55,90,541.70","19,903","3,58,422",63.53
HINDUNILVR,EQ,2014-01-09,559.15,560.0,560.0,553.8,554.7,554.15,555.32,"8,54,783","47,46,77,684.60","30,473","6,14,294",71.87
HINDUNILVR,EQ,2014-01-10,554.15,555.35,556.95,548.4,548.95,549.8,552.47,"9,85,783","54,46,14,425.70","35,986","7,10,809",72.11
HINDUNILVR,EQ,2014-01-13,549.8,550.0,552.0,543.5,546.0,545.7,545.76,"14,88,598","81,24,15,679.45","32,845","11,71,924",78.73
HINDUNILVR,EQ,2014-01-14,545.7,545.1,548.9,537.2,537.3,538.4,541.18,"9,25,057","50,06,26,406.60","30,141","6,04,210",65.32
HINDUNILVR,EQ,2014-01-15,538.4,538.5,546.2,538.1,545.55,545.2,543.8,"20,60,042","1,12,02,60,623.40","44,449","16,33,516",79.3
HINDUNILVR,EQ,2014-01-16,545.2,545.0,552.65,544.25,552.0,552.1,549.17,"12,21,864","67,10,15,406.35","22,198","8,17,016",66.87
HINDUNILVR,EQ,2014-01-17,552.1,553.0,563.0,552.5,559.5,558.9,558.98,"14,75,015","82,44,98,773.60","26,845","10,85,154",73.57
HINDUNILVR,EQ,2014-01-20,558.9,559.9,562.3,548.3,556.0,555.1,555.06,"15,49,558","86,01,03,703.90","32,804","12,38,153",79.9
HINDUNILVR,EQ,2014-01-21,555.1,555.8,561.0,548.8,560.0,559.8,556.23,"19,27,455","1,07,21,14,622.45","24,725","11,17,746",57.99
HINDUNILVR,EQ,2014-01-22,559.8,561.95,567.85,552.9,565.4,566.45,560.22,"18,92,894","1,06,04,30,648.55","46,708","14,15,001",74.75
HINDUNILVR,EQ,2014-01-23,566.45,567.0,570.0,560.15,567.5,567.1,565.75,"8,56,175","48,43,84,982.95","29,030","5,61,037",65.53
