Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ICICIBANK,EQ,2014-01-01,"1,098.75","1,100.90","1,106.05","1,092.00","1,101.85","1,097.70","1,097.71","5,64,158","61,92,79,946.30","14,769","1,39,240",24.68
ICICIBANK,EQ,2014-01-02,"1,097.70","1,096.15","1,118.00","1,070.10","1,074.00","1,075.60","1,098.21","20,58,457","2,26,06,07,890.35","55,849","7,75,100",37.65
ICICIBANK,EQ,2014-01-03,"1,075.60","1,068.00","1,075.00","1,045.00","1,070.05","1,066.80","1,058.62","28,30,455","2,99,63,88,808.35","70,780","11,38,186",40.21
ICICIBANK,EQ,2014-01-06,"1,066.80","1,066.00","1,069.00","1,035.05","1,043.00","1,040.80","1,045.31","26,91,321","2,81,32,75,549.00","61,577","14,03,503",52.15
ICICIBANK,EQ,2014-01-07,"1,040.80","1,045.05","1,059.20","1,023.85","1,050.60","1,050.00","1,041.69","33,75,730","3,51,64,52,918.30","1,03,736","12,93,386",38.31
ICICIBANK,EQ,2014-01-08,"1,050.00","1,054.00","1,063.85","1,043.30","1,055.25","1,054.30","1,055.18","34,46,450","3,63,66,16,504.30","1,01,083","17,93,390",52.04
ICICIBANK,EQ,2014-01-09,"1,054.30","1,064.80","1,065.60","1,042.25","1,050.35","1,050.85","1,050.58","34,97,943","3,67,48,60,476.40","1,34,481","21,40,311",61.19
ICICIBANK,EQ,2014-01-10,"1,050.85","1,047.35","1,054.60","1,018.65","1,030.00","1,024.50","1,035.88","39,70,052","4,11,24,85,316.70","81,933","19,81,629",49.91
ICICIBANK,EQ,2014-01-13,"1,024.50","1,030.10","1,061.10","1,030.10","1,060.30","1,054.90","1,048.54","32,69,439","3,42,81,28,265.75","1,01,014","19,47,243",59.56
ICICIBANK,EQ,2014-01-14,"1,054.90","1,052.00","1,061.00","1,033.00","1,039.00","1,036.45","1,046.96","30,78,938","3,22,35,32,622.45","78,060","18,17,890",59.04
