Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDUSINDBK,EQ,2014-01-01,420.7,422.6,424.6,421.35,424.4,423.35,422.81,"4,36,060","18,43,71,966.95","8,153","1,73,251",39.73
INDUSINDBK,EQ,2014-01-02,423.35,423.5,432.9,410.6,411.75,413.05,423.52,"14,88,105","63,02,35,690.15","27,168","6,72,473",45.19
INDUSINDBK,EQ,2014-01-03,413.05,413.0,415.5,406.6,414.4,413.9,411.0,"17,44,494","71,69,81,439.90","41,944","7,75,825",44.47
INDUSINDBK,EQ,2014-01-06,413.9,414.15,415.0,409.1,412.6,413.3,412.05,"10,53,536","43,41,06,568.25","25,825","3,89,619",36.98
INDUSINDBK,EQ,2014-01-07,413.3,418.0,421.5,411.0,419.9,418.85,416.55,"17,51,684","72,96,71,237.80","39,722","5,58,145",31.86
INDUSINDBK,EQ,2014-01-08,418.85,423.5,426.5,420.3,421.95,421.9,423.45,"14,38,845","60,92,74,925.70","23,693","5,47,974",38.08
INDUSINDBK,EQ,2014-01-09,421.9,423.3,423.35,411.95,417.4,416.8,416.64,"14,44,817","60,19,66,392.85","27,935","6,31,676",43.72
INDUSINDBK,EQ,2014-01-10,416.8,421.95,428.5,402.4,403.6,405.9,416.14,"64,39,413","2,67,97,18,154.95","95,905","16,18,064",25.13
INDUSINDBK,EQ,2014-01-13,405.9,406.0,415.5,401.45,414.15,413.1,408.18,"25,78,191","1,05,23,56,684.15","46,388","8,61,268",33.41
INDUSINDBK,EQ,2014-01-14,413.1,411.0,420.95,410.9,420.0,418.85,416.55,"16,51,642","68,79,86,598.45","31,829","8,88,973",53.82
INDUSINDBK,EQ,2014-01-15,418.85,420.1,425.9,419.0,424.0,424.95,422.49,"16,04,906","67,80,62,924.05","53,276","7,74,187",48.24
INDUSINDBK,EQ,2014-01-16,424.95,425.6,429.65,424.4,428.55,428.7,427.19,"13,92,236","59,47,45,412.90","35,599","7,02,499",50.46
INDUSINDBK,EQ,2014-01-17,428.7,428.7,429.5,421.0,423.4,423.35,424.87,"11,64,331","49,46,91,352.25","47,292","5,67,126",48.71
INDUSINDBK,EQ,2014-01-20,423.35,422.9,437.0,420.55,435.0,433.6,429.29,"10,78,601","46,30,35,312.40","32,017","5,20,504",48.26
INDUSINDBK,EQ,2014-01-21,433.6,436.2,440.0,430.6,434.75,433.8,436.48,"12,91,285","56,36,25,121.80","23,842","4,74,148",36.72
INDUSINDBK,EQ,2014-01-22,433.8,431.65,438.0,430.9,433.1,434.25,435.11,"9,08,648","39,53,61,249.00","13,520","3,69,938",40.71
INDUSINDBK,EQ,2014-01-23,434.25,432.0,435.45,427.55,430.35,429.7,430.19,"10,49,336","45,14,18,334.65","12,842","5,55,375",52.93
INDUSINDBK,EQ,2014-01-24,429.7,425.5,431.5,414.05,415.0,414.75,420.28,"21,27,724","89,42,49,346.05","91,163","14,62,321",68.73
INDUSINDBK,EQ,2014-01-27,414.75,405.3,410.1,392.6,396.35,395.3,397.01,"36,37,896","1,44,42,90,538.75","97,590","21,58,309",59.33
INDUSINDBK,EQ,2014-01-28,395.3,397.5,400.35,377.6,389.85,389.85,390.01,"32,41,962","1,26,44,11,143.95","73,574","15,99,003",49.32
INDUSINDBK,EQ,2014-01-29,389.85,396.0,398.0,378.55,380.35,380.3,385.72,"17,03,617","65,71,21,290.30","59,675","8,61,937",50.59
INDUSINDBK,EQ,2014-01-30,380.3,376.0,380.3,369.5,379.7,378.45,375.51,"32,21,639","1,20,97,68,793.10","83,962","19,43,890",60.34
INDUSINDBK,EQ,2014-01-31,378.45,378.95,385.55,378.95,383.25,383.8,382.73,"15,75,659","60,30,45,535.75","39,317","8,66,821",55.01
INDUSINDBK,EQ,2014-02-03,383.8,380.45,384.95,377.7,382.0,382.3,381.63,"8,09,570","30,89,54,094.30","18,300","3,34,349",41.3
INDUSINDBK,EQ,2014-02-04,382.3,378.1,389.6,372.2,388.0,387.9,383.36,"17,83,912","68,38,78,278.10","42,449","7,78,551",43.64
INDUSINDBK,EQ,2014-02-05,387.9,387.5,395.35,386.3,394.95,394.5,391.63,"18,36,383","71,91,74,516.65","33,131","8,93,128",48.64
INDUSINDBK,EQ,2014-02-06,394.5,394.0,398.25,386.0,391.0,390.65,391.78,"12,23,712","47,94,24,194.10","22,316","4,29,890",35.13
INDUSINDBK,EQ,2014-02-07,390.65,395.0,397.5,385.3,387.8,388.65,389.25,"14,28,673","55,61,15,813.05","25,359","5,47,644",38.33
INDUSINDBK,EQ,2014-02-10,388.65,389.15,392.8,383.4,384.4,384.8,388.33,"7,19,987","27,95,94,758.95","12,182","3,11,438",43.26
INDUSINDBK,EQ,2014-02-11,384.8,384.9,390.0,384.3,386.3,386.45,387.12,"7,17,541","27,77,71,765.05","12,217","3,20,885",44.72
