Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ITC,EQ,2014-01-01,321.85,322.3,323.4,321.1,322.75,322.4,322.59,"12,39,519","39,98,60,491.75","17,450","6,40,346",51.66
ITC,EQ,2014-01-02,322.4,322.35,325.0,314.3,315.8,314.95,319.06,"45,23,191","1,44,31,88,866.90","55,314","31,89,507",70.51
ITC,EQ,2014-01-03,314.95,315.0,316.0,310.35,316.0,314.75,313.36,"79,99,918","2,50,68,63,398.40","88,945","60,92,996",76.16
ITC,EQ,2014-01-06,314.75,315.0,316.7,313.5,316.55,315.65,315.55,"54,36,752","1,71,55,93,397.25","55,433","43,40,089",79.83
ITC,EQ,2014-01-07,315.65,316.5,317.4,312.75,317.0,316.7,315.82,"51,86,092","1,63,78,95,132.95","56,963","40,43,530",77.97
ITC,EQ,2014-01-08,316.7,317.5,318.0,313.75,316.85,316.85,316.15,"49,83,658","1,57,55,78,369.15","67,758","39,88,207",80.03
ITC,EQ,2014-01-09,316.85,316.7,316.7,312.65,316.0,315.6,314.63,"51,09,246","1,60,75,25,747.30","77,106","39,22,350",76.77
ITC,EQ,2014-01-10,315.6,317.7,324.5,314.0,322.6,322.6,321.26,"61,24,872","1,96,76,81,361.25","72,982","36,66,709",59.87
ITC,EQ,2014-01-13,322.6,323.6,326.3,322.6,326.0,325.45,324.85,"42,38,931","1,37,70,08,387.25","65,986","28,13,451",66.37
ITC,EQ,2014-01-14,325.45,326.0,330.0,323.85,324.1,324.45,326.49,"50,45,534","1,64,73,13,903.30","77,542","33,03,772",65.48
ITC,EQ,2014-01-15,324.45,325.1,329.5,321.35,328.7,328.85,325.53,"58,99,190","1,92,03,79,006.65","1,61,397","41,90,655",71.04
ITC,EQ,2014-01-16,328.85,329.0,330.9,323.65,326.6,325.5,325.94,"31,63,725","1,03,11,80,240.75","56,529","18,78,168",59.37
ITC,EQ,2014-01-17,325.5,326.0,328.0,322.5,325.0,324.85,324.93,"75,18,595","2,44,30,44,749.80","71,280","40,20,978",53.48
ITC,EQ,2014-01-20,324.85,324.5,330.5,323.1,330.1,330.2,328.5,"57,38,121","1,88,49,95,005.80","64,788","37,46,063",65.28
ITC,EQ,2014-01-21,330.2,330.25,332.35,328.5,328.5,329.05,329.93,"46,50,020","1,53,41,61,033.70","41,384","34,19,690",73.54
ITC,EQ,2014-01-22,329.05,328.5,328.75,322.8,326.5,327.35,324.71,"75,78,940","2,46,09,56,374.65","61,872","60,55,571",79.9
ITC,EQ,2014-01-23,327.35,326.35,330.0,325.3,329.55,328.95,328.22,"41,95,413","1,37,70,08,722.95","48,121","29,10,026",69.36
ITC,EQ,2014-01-24,328.95,327.9,330.4,323.4,324.5,324.25,325.65,"34,18,348","1,11,31,73,239.75","75,045","20,21,880",59.15
ITC,EQ,2014-01-27,324.25,320.5,325.5,318.65,324.7,324.2,323.2,"61,62,652","1,99,17,51,848.50","69,520","40,80,358",66.21
ITC,EQ,2014-01-28,324.2,324.15,327.95,318.9,327.4,326.65,322.79,"87,43,040","2,82,21,59,377.15","95,507","64,30,409",73.55
ITC,EQ,2014-01-29,326.65,327.3,328.5,324.2,325.55,325.0,325.52,"60,83,587","1,98,03,28,042.05","96,824","44,72,299",73.51
ITC,EQ,2014-01-30,325.0,321.55,325.7,318.0,325.0,324.6,321.14,"1,02,28,302","3,28,47,17,500.00","82,138","77,50,834",75.78
