Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JSWSTEEL,EQ,2014-01-01,"1,017.20","1,019.80","1,022.70","1,011.55","1,015.70","1,015.40","1,016.73","2,59,256","26,35,94,073.85","5,762","81,567",31.46
JSWSTEEL,EQ,2014-01-02,"1,015.40","1,017.65","1,040.00",991.70,"1,004.95","1,009.10","1,024.03","13,79,033","1,41,21,73,389.85","28,340","7,34,524",53.26
JSWSTEEL,EQ,2014-01-03,"1,009.10","1,005.10","1,009.70",986.00,993.05,994.05,993.55,"7,38,014","73,32,56,583.85","16,090","3,43,789",46.58
JSWSTEEL,EQ,2014-01-06,994.05,998.70,"1,041.70",996.50,"1,034.45","1,034.30","1,029.90","11,09,492","1,14,26,63,130.90","30,007","3,61,093",32.55
JSWSTEEL,EQ,2014-01-07,"1,034.30","1,035.45","1,046.20","1,014.00","1,030.50","1,027.55","1,028.43","8,88,140","91,33,92,278.40","29,995","3,32,295",37.41
JSWSTEEL,EQ,2014-01-08,"1,027.55","1,027.25","1,033.70","1,018.00","1,029.00","1,026.30","1,025.42","4,74,541","48,66,05,178.65","19,124","1,87,579",39.53
JSWSTEEL,EQ,2014-01-09,"1,026.30","1,029.00","1,032.00","1,007.80","1,030.00","1,025.60","1,019.73","5,22,166","53,24,69,337.70","17,550","1,66,836",31.95
JSWSTEEL,EQ,2014-01-10,"1,025.60","1,030.00","1,034.00","1,015.20","1,023.05","1,023.30","1,024.15","4,79,360","49,09,38,188.70","18,196","2,04,794",42.72
JSWSTEEL,EQ,2014-01-13,"1,023.30","1,023.25","1,031.25","1,010.00","1,016.30","1,019.30","1,019.94","6,29,451","64,20,05,033.30","19,305","2,55,870",40.65
JSWSTEEL,EQ,2014-01-14,"1,019.30","1,015.00","1,024.90","1,002.10","1,005.95","1,009.85","1,011.70","4,51,497","45,67,78,419.35","13,424","1,81,718",40.25
JSWSTEEL,EQ,2014-01-15,"1,009.85","1,008.25","1,019.50",985.20,991.00,990.35,"1,002.39","7,43,118","74,48,95,433.45","25,427","3,98,134",53.58
JSWSTEEL,EQ,2014-01-16,990.35,996.95,"1,026.00",986.20,"1,024.90","1,023.45","1,012.55","7,16,737","72,57,32,613.25","27,132","2,40,296",33.53
JSWSTEEL,EQ,2014-01-17,"1,023.45","1,023.50","1,024.60",992.00,"1,000.00","1,000.20","1,003.26","4,44,206","44,56,54,145.95","17,109","1,27,544",28.71
JSWSTEEL,EQ,2014-01-20,"1,000.20",999.00,"1,010.25",981.50,984.25,987.00,992.37,"4,63,208","45,96,72,332.45","15,954","1,32,857",28.68
JSWSTEEL,EQ,2014-01-21,987.00,990.50,"1,001.85",983.85,991.50,990.75,991.39,"3,87,780","38,44,42,693.35","13,055","81,754",21.08
JSWSTEEL,EQ,2014-01-22,990.75,991.00,"1,000.00",987.00,996.50,994.55,993.90,"3,30,293","32,82,77,494.50","10,859","70,890",21.46
JSWSTEEL,EQ,2014-01-23,994.55,994.45,"1,007.35",990.10,993.25,994.25,997.67,"4,58,629","45,75,59,684.95","17,816","1,66,688",36.34
JSWSTEEL,EQ,2014-01-24,994.25,985.05,994.80,965.40,967.65,970.05,975.76,"6,43,599","62,79,96,925.85","23,715","2,61,793",40.68
JSWSTEEL,EQ,2014-01-27,970.05,960.00,960.00,908.65,915.10,914.70,928.64,"6,29,543","58,46,16,485.90","30,777","2,81,221",44.67
JSWSTEEL,EQ,2014-01-28,914.70,915.25,946.50,908.00,929.45,930.60,930.60,"13,97,221","1,30,02,59,645.40","42,278","2,72,366",19.49
JSWSTEEL,EQ,2014-01-29,930.60,937.25,944.20,922.50,931.00,933.05,932.34,"5,35,742","49,94,93,884.20","23,437","1,35,924",25.37
JSWSTEEL,EQ,2014-01-30,933.05,923.30,923.70,880.70,901.90,896.20,895.16,"11,66,595","1,04,42,91,593.30","35,357","3,95,997",33.94
JSWSTEEL,EQ,2014-01-31,896.20,902.00,921.15,898.20,917.50,917.35,913.37,"7,17,752","65,55,70,837.55","24,655","3,24,193",45.17
JSWSTEEL,EQ,2014-02-03,917.35,908.85,914.90,847.30,850.00,852.60,870.10,"9,27,684","80,71,80,451.75","27,171","1,89,822",20.46
JSWSTEEL,EQ,2014-02-04,852.60,839.00,865.00,826.25,844.55,843.30,847.19,"8,17,416","69,25,10,465.90","25,952","96,521",11.81
JSWSTEEL,EQ,2014-02-05,843.30,847.65,856.50,833.25,848.00,846.80,844.07,"6,37,562","53,81,46,155.75","20,057","73,321",11.5
JSWSTEEL,EQ,2014-02-06,846.80,854.25,861.20,827.65,843.90,842.35,846.01,"8,70,134","73,61,43,949.55","23,877","2,31,006",26.55
JSWSTEEL,EQ,2014-02-07,842.35,856.00,872.85,847.90,870.00,868.80,864.70,"10,62,774","91,89,75,975.15","26,780","4,29,803",40.44
JSWSTEEL,EQ,2014-02-10,868.80,870.10,883.00,840.65,843.15,849.95,862.03,"7,59,280","65,45,24,446.95","21,718","2,44,530",32.21
JSWSTEEL,EQ,2014-02-11,849.95,853.50,866.45,850.60,860.00,859.60,858.91,"5,02,126","43,12,82,687.85","19,434","1,89,673",37.77
JSWSTEEL,EQ,2014-02-12,859.60,862.55,865.25,836.15,837.05,843.40,846.04,"4,87,145","41,21,42,278.35","21,133","1,24,188",25.49
JSWSTEEL,EQ,2014-02-13,843.40,850.00,850.00,808.15,809.95,815.10,828.84,"5,40,654","44,81,15,030.95","19,949","1,23,416",22.83
JSWSTEEL,EQ,2014-02-14,815.10,815.90,838.00,804.00,836.70,834.25,822.04,"6,47,996","53,26,77,920.65","19,642","82,774",12.77
JSWSTEEL,EQ,2014-02-17,834.25,835.00,858.45,818.85,857.00,846.45,836.13,"4,77,517","39,92,63,981.95","15,592","65,643",13.75
JSWSTEEL,EQ,2014-02-18,846.45,855.95,878.80,855.95,871.10,871.10,869.45,"8,10,850","70,49,91,683.15","23,539","1,50,672",18.58
JSWSTEEL,EQ,2014-02-19,871.10,865.00,873.90,858.50,872.90,868.85,865.11,"3,57,112","30,89,42,872.65","10,167","34,422",9.64
JSWSTEEL,EQ,2014-02-20,868.85,862.00,873.00,852.50,870.00,867.90,865.25,"5,64,283","48,82,45,345.35","15,910","1,36,072",24.11
JSWSTEEL,EQ,2014-02-21,867.90,870.00,890.00,869.00,885.95,886.00,885.19,"6,02,799","53,35,90,103.60","21,739","76,823",12.74
JSWSTEEL,EQ,2014-02-24,886.00,887.00,898.60,875.60,880.05,882.80,883.78,"6,57,050","58,06,89,286.10","14,889","2,29,388",34.91
JSWSTEEL,EQ,2014-02-25,882.80,882.85,894.40,853.40,859.00,857.60,871.32,"8,79,263","76,61,17,331.15","28,466","3,42,709",38.98
JSWSTEEL,EQ,2014-02-26,857.60,858.95,869.90,846.05,858.75,858.15,856.77,"9,46,040","81,05,40,010.60","26,697","3,58,776",37.92
JSWSTEEL,EQ,2014-02-28,858.15,859.95,879.50,853.65,873.35,875.95,865.83,"7,86,120","68,06,42,987.15","26,060","3,13,826",39.92
JSWSTEEL,EQ,2014-03-03,875.95,874.50,881.30,862.10,867.80,868.80,871.15,"5,00,266","43,58,05,688.75","16,050","1,37,643",27.51
JSWSTEEL,EQ,2014-03-04,868.80,868.00,892.95,866.15,891.00,890.80,884.31,"7,11,243","62,89,60,335.10","22,001","1,99,713",28.08
JSWSTEEL,EQ,2014-03-05,890.80,897.80,903.00,882.00,894.00,896.70,893.80,"7,32,467","65,46,78,950.30","21,216","1,68,575",23.01
JSWSTEEL,EQ,2014-03-06,896.70,897.00,917.90,890.45,908.15,908.30,906.92,"8,87,132","80,45,57,783.50","29,019","2,11,643",23.86
JSWSTEEL,EQ,2014-03-07,908.30,915.00,946.95,908.00,942.20,940.85,935.45,"9,48,122","88,69,23,308.60","24,393","2,23,417",23.56
JSWSTEEL,EQ,2014-03-10,940.85,935.25,981.65,932.00,977.60,972.30,959.42,"9,86,038","94,60,28,038.25","30,172","2,34,479",23.78
JSWSTEEL,EQ,2014-03-11,972.30,978.00,978.95,932.00,935.00,936.70,947.68,"7,46,096","70,70,59,571.30","27,194","1,98,008",26.54
JSWSTEEL,EQ,2014-03-12,936.70,934.30,965.80,926.40,945.00,945.80,950.23,"7,01,004","66,61,17,522.15","28,720","1,16,161",16.57
JSWSTEEL,EQ,2014-03-13,945.80,946.70,959.60,922.80,924.10,928.50,938.93,"7,07,489","66,42,79,376.15","20,974","2,19,650",31.05
JSWSTEEL,EQ,2014-03-14,928.50,921.15,943.40,914.40,940.10,939.40,932.78,"6,36,614","59,38,20,976.90","23,105","1,49,957",23.56
JSWSTEEL,EQ,2014-03-18,939.40,943.25,960.85,940.80,942.00,948.15,952.08,"6,78,676","64,61,54,781.10","21,799","1,54,752",22.8
JSWSTEEL,EQ,2014-03-19,948.15,950.25,977.00,943.30,969.50,971.70,966.79,"7,63,742","73,83,81,326.75","24,680","1,34,902",17.66
JSWSTEEL,EQ,2014-03-20,971.70,971.00,974.60,942.85,949.50,948.65,958.27,"5,93,215","56,84,61,769.80","17,995","92,076",15.52
JSWSTEEL,EQ,2014-03-21,948.65,951.15,988.80,951.15,983.70,981.45,976.45,"9,55,553","93,30,46,945.05","29,100","2,34,943",24.59
JSWSTEEL,EQ,2014-03-22,981.45,980.00,990.00,977.50,990.00,985.25,982.38,"67,096","6,59,13,897.10","2,161","6,383",9.51
JSWSTEEL,EQ,2014-03-24,985.25,991.05,999.00,973.20,976.60,979.25,983.10,"5,73,593","56,38,96,864.30","18,801","76,006",13.25
JSWSTEEL,EQ,2014-03-25,979.25,975.50,998.40,975.50,978.00,980.45,987.17,"6,17,630","60,97,04,994.30","25,024","1,50,294",24.33
JSWSTEEL,EQ,2014-03-26,980.45,986.65,"1,004.00",985.05,998.00,997.50,995.62,"7,17,701","71,45,59,706.70","27,724","1,61,041",22.44
JSWSTEEL,EQ,2014-03-27,997.50,999.00,"1,008.00",986.10,"1,000.10","1,000.15",998.12,"11,32,826","1,13,07,00,662.50","31,037","6,31,622",55.76
