Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KOTAKBANK,EQ,2014-01-01,728.25,732.00,732.05,720.75,723.80,722.55,724.09,"3,92,768","28,44,00,857.05","9,567","2,53,455",64.53
KOTAKBANK,EQ,2014-01-02,722.55,722.60,731.45,703.00,705.50,707.40,720.98,"4,56,139","32,88,69,016.20","10,105","1,89,678",41.58
KOTAKBANK,EQ,2014-01-03,707.40,707.10,716.30,696.60,713.00,712.55,711.03,"5,72,567","40,71,11,839.50","21,391","2,86,840",50.1
KOTAKBANK,EQ,2014-01-06,712.55,710.00,717.00,705.60,712.00,714.10,711.31,"4,46,715","31,77,53,251.45","12,691","2,84,815",63.76
KOTAKBANK,EQ,2014-01-07,714.10,712.00,715.00,700.00,707.65,708.15,705.43,"6,43,794","45,41,51,760.50","29,097","3,44,371",53.49
KOTAKBANK,EQ,2014-01-08,708.15,709.00,717.00,703.65,713.00,712.90,713.05,"3,12,983","22,31,70,969.20","15,112","1,79,540",57.36
KOTAKBANK,EQ,2014-01-09,712.90,710.50,715.55,706.65,709.00,710.15,711.09,"3,07,583","21,87,19,247.40","16,037","1,87,355",60.91
KOTAKBANK,EQ,2014-01-10,710.15,704.10,714.80,698.00,699.80,700.45,706.66,"3,66,224","25,87,95,523.35","15,837","1,76,203",48.11
KOTAKBANK,EQ,2014-01-13,700.45,695.15,724.75,695.15,723.95,716.90,709.56,"4,72,492","33,52,59,933.90","38,606","2,56,472",54.28
KOTAKBANK,EQ,2014-01-14,716.90,716.00,723.10,707.00,714.00,711.30,712.88,"2,63,826","18,80,76,639.45","7,899","1,22,602",46.47
KOTAKBANK,EQ,2014-01-15,711.30,714.00,731.15,712.55,726.35,729.15,724.24,"5,55,643","40,24,16,754.70","22,535","3,11,276",56.02
KOTAKBANK,EQ,2014-01-16,729.15,730.30,735.00,723.00,730.35,731.45,731.72,"5,51,182","40,33,09,898.80","12,294","2,43,060",44.1
KOTAKBANK,EQ,2014-01-17,731.45,730.50,737.75,720.00,725.00,727.10,728.42,"3,23,149","23,53,88,215.80","10,006","1,72,575",53.4
KOTAKBANK,EQ,2014-01-20,727.10,725.80,737.50,720.00,726.00,728.15,727.74,"4,99,317","36,33,75,270.35","9,552","2,87,965",57.67
KOTAKBANK,EQ,2014-01-21,728.15,729.70,732.00,704.00,705.30,706.30,711.61,"17,00,142","1,20,98,35,306.60","41,805","6,35,413",37.37
KOTAKBANK,EQ,2014-01-22,706.30,705.00,718.00,698.20,709.00,710.30,709.90,"13,20,297","93,72,78,401.95","37,368","8,05,293",60.99
KOTAKBANK,EQ,2014-01-23,710.30,707.00,711.55,703.20,706.65,705.30,707.12,"3,37,870","23,89,13,557.20","14,759","1,68,098",49.75
KOTAKBANK,EQ,2014-01-24,705.30,695.00,704.80,681.00,683.95,684.75,687.79,"8,57,803","58,99,86,034.70","30,235","5,23,779",61.06
KOTAKBANK,EQ,2014-01-27,684.75,678.10,682.50,654.55,656.00,658.10,667.64,"16,14,766","1,07,80,84,267.25","36,843","10,58,834",65.57
KOTAKBANK,EQ,2014-01-28,658.10,657.00,670.00,645.05,660.35,659.80,660.59,"13,39,459","88,48,26,702.15","30,819","7,35,980",54.95
KOTAKBANK,EQ,2014-01-29,659.80,667.00,674.95,662.90,663.90,664.00,666.46,"5,37,280","35,80,74,372.55","23,429","3,16,850",58.97
KOTAKBANK,EQ,2014-01-30,664.00,650.10,660.00,647.75,648.00,650.05,652.23,"8,42,363","54,94,16,326.00","24,462","4,55,325",54.05
KOTAKBANK,EQ,2014-01-31,650.05,649.50,661.30,648.75,656.50,657.05,656.45,"5,57,033","36,56,65,520.55","18,369","3,40,476",61.12
KOTAKBANK,EQ,2014-02-03,657.05,651.30,658.00,649.80,655.10,654.95,651.77,"11,59,223","75,55,42,257.85","19,491","9,74,809",84.09
KOTAKBANK,EQ,2014-02-04,654.95,648.00,667.85,643.60,665.20,665.30,659.39,"5,07,935","33,49,27,305.80","22,797","2,81,422",55.41
KOTAKBANK,EQ,2014-02-05,665.30,665.00,671.40,650.35,670.75,667.50,660.85,"8,31,542","54,95,23,275.25","28,586","5,29,793",63.71
KOTAKBANK,EQ,2014-02-06,667.50,672.00,676.10,652.50,659.95,660.50,662.37,"10,90,566","72,23,57,244.50","29,745","6,58,505",60.38
KOTAKBANK,EQ,2014-02-07,660.50,662.00,666.50,652.40,656.00,658.85,658.67,"7,18,389","47,31,79,192.30","41,047","4,36,754",60.8
KOTAKBANK,EQ,2014-02-10,658.85,661.85,661.85,644.00,645.00,647.25,649.99,"7,39,896","48,09,25,823.20","26,761","5,26,020",71.09
KOTAKBANK,EQ,2014-02-11,647.25,648.90,652.00,640.65,646.00,647.25,648.32,"4,91,337","31,85,45,420.85","14,284","3,03,282",61.73
KOTAKBANK,EQ,2014-02-12,647.25,650.00,656.30,644.10,648.10,649.55,651.95,"5,22,187","34,04,37,437.20","23,950","3,25,832",62.4
KOTAKBANK,EQ,2014-02-13,649.55,649.00,654.10,632.50,634.40,636.80,641.83,"3,89,287","24,98,54,910.45","18,894","1,85,736",47.71
KOTAKBANK,EQ,2014-02-14,636.80,638.00,653.30,630.50,647.00,646.45,644.41,"8,02,791","51,73,24,246.25","19,271","4,34,302",54.1
KOTAKBANK,EQ,2014-02-17,646.45,647.20,653.35,643.10,653.00,650.75,648.27,"4,63,833","30,06,91,029.00","22,635","2,70,686",58.36
KOTAKBANK,EQ,2014-02-18,650.75,651.00,683.00,648.05,680.95,680.30,670.57,"10,66,159","71,49,38,915.30","34,876","6,61,609",62.06
KOTAKBANK,EQ,2014-02-19,680.30,680.00,688.40,670.50,688.00,685.90,679.92,"11,17,922","76,00,95,593.30","28,335","8,06,296",72.12
KOTAKBANK,EQ,2014-02-20,685.90,681.70,682.90,666.75,669.20,669.75,672.70,"5,69,856","38,33,41,674.00","29,604","3,24,306",56.91
KOTAKBANK,EQ,2014-02-21,669.75,670.00,677.80,664.50,668.95,672.05,671.36,"4,76,116","31,96,46,276.25","28,436","2,62,833",55.2
KOTAKBANK,EQ,2014-02-24,672.05,668.10,680.85,662.00,679.50,677.60,671.18,"7,37,179","49,47,77,770.55","25,838","5,40,575",73.33
KOTAKBANK,EQ,2014-02-25,677.60,680.30,683.40,672.15,674.95,675.75,677.66,"4,37,969","29,67,95,816.30","28,972","2,80,074",63.95
KOTAKBANK,EQ,2014-02-26,675.75,675.10,690.90,675.10,685.50,685.40,686.55,"7,55,679","51,88,11,334.15","31,340","4,87,307",64.49
KOTAKBANK,EQ,2014-02-28,685.40,685.40,694.00,675.95,684.30,684.50,684.07,"9,32,185","63,76,81,366.25","24,723","6,30,394",67.63
KOTAKBANK,EQ,2014-03-03,684.50,682.00,692.65,668.00,669.45,669.95,680.91,"4,50,227","30,65,62,464.70","24,008","2,49,124",55.33
KOTAKBANK,EQ,2014-03-04,669.95,671.00,678.90,665.45,676.30,676.70,674.26,"6,89,246","46,47,28,532.10","18,651","3,96,580",57.54
KOTAKBANK,EQ,2014-03-05,676.70,681.00,684.20,670.60,681.00,680.80,678.45,"7,15,217","48,52,38,550.65","44,345","3,69,825",51.71
KOTAKBANK,EQ,2014-03-06,680.80,683.00,691.45,678.00,690.40,687.35,685.54,"6,14,541","42,12,91,824.85","26,901","3,13,149",50.96
KOTAKBANK,EQ,2014-03-07,687.35,697.70,717.50,691.35,712.00,711.55,706.39,"18,56,207","1,31,11,97,506.05","45,895","9,46,038",50.97
KOTAKBANK,EQ,2014-03-10,711.55,710.00,755.00,700.35,753.00,752.40,736.90,"14,74,855","1,08,68,27,794.05","40,349","7,66,925",52.0
KOTAKBANK,EQ,2014-03-11,752.40,755.80,757.65,734.50,749.05,744.20,744.86,"7,22,103","53,78,65,698.10","23,404","3,14,739",43.59
KOTAKBANK,EQ,2014-03-12,744.20,745.25,752.70,735.05,743.10,744.85,744.70,"6,89,681","51,36,03,430.80","32,309","3,39,804",49.27
KOTAKBANK,EQ,2014-03-13,744.85,745.00,776.65,743.10,763.25,764.35,767.54,"10,01,207","76,84,67,530.75","27,683","4,86,157",48.56
KOTAKBANK,EQ,2014-03-14,764.35,756.65,761.40,733.00,756.75,755.95,746.89,"8,03,453","60,00,92,450.80","24,920","3,97,958",49.53
KOTAKBANK,EQ,2014-03-18,755.95,757.40,775.00,757.40,765.00,765.30,763.90,"8,31,145","63,49,12,020.15","19,317","5,51,560",66.36
KOTAKBANK,EQ,2014-03-19,765.30,767.65,769.75,756.75,764.00,762.40,761.74,"5,69,588","43,38,79,261.65","27,896","3,50,535",61.54
KOTAKBANK,EQ,2014-03-20,762.40,765.00,765.00,742.00,750.00,747.25,750.47,"8,13,158","61,02,47,184.90","17,229","5,25,371",64.61
KOTAKBANK,EQ,2014-03-21,747.25,753.50,755.00,738.35,741.40,744.10,745.24,"10,18,554","75,90,66,392.30","30,188","6,91,224",67.86
KOTAKBANK,EQ,2014-03-22,744.10,746.00,749.55,737.20,743.00,741.25,740.72,"45,351","3,35,92,455.95","1,457","6,134",13.53
KOTAKBANK,EQ,2014-03-24,741.25,744.30,769.85,744.30,769.85,765.55,762.39,"9,13,587","69,65,07,796.50","32,030","5,91,862",64.78
KOTAKBANK,EQ,2014-03-25,765.55,765.00,777.45,765.00,773.50,772.65,770.82,"8,28,786","63,88,42,564.55","24,416","5,98,869",72.26
KOTAKBANK,EQ,2014-03-26,772.65,775.00,779.90,763.35,769.80,771.55,772.19,"8,59,268","66,35,14,317.85","44,521","5,52,700",64.32
KOTAKBANK,EQ,2014-03-27,771.55,771.60,779.95,761.00,767.60,771.90,770.93,"14,20,067","1,09,47,76,639.75","35,163","7,65,619",53.91
KOTAKBANK,EQ,2014-03-28,771.90,776.70,788.00,767.00,780.30,778.00,776.06,"10,97,615","85,18,16,085.10","28,579","6,52,581",59.45
KOTAKBANK,EQ,2014-03-31,778.00,780.30,784.70,768.30,780.00,781.05,778.40,"7,62,073","59,31,95,552.35","34,041","4,21,212",55.27
KOTAKBANK,EQ,2014-04-01,781.05,781.50,782.10,752.00,763.00,763.70,765.07,"8,04,588","61,55,62,822.45","43,744","4,46,258",55.46
KOTAKBANK,EQ,2014-04-02,763.70,768.00,773.30,758.95,772.00,769.55,765.14,"11,48,295","87,86,04,605.60","23,411","8,33,728",72.61
KOTAKBANK,EQ,2014-04-03,769.55,771.30,771.80,755.55,760.40,759.80,760.40,"7,54,872","57,40,02,639.00","27,089","4,09,535",54.25
KOTAKBANK,EQ,2014-04-04,759.80,752.20,761.00,750.00,753.50,755.10,755.50,"5,09,684","38,50,65,967.00","19,275","2,15,758",42.33
KOTAKBANK,EQ,2014-04-07,755.10,757.00,772.00,752.90,767.50,769.45,762.17,"8,46,392","64,50,98,534.00","29,598","4,49,827",53.15
KOTAKBANK,EQ,2014-04-09,769.45,774.80,785.00,767.15,785.00,784.55,776.67,"10,44,819","81,14,78,915.90","35,786","5,07,157",48.54
KOTAKBANK,EQ,2014-04-10,784.55,782.55,812.00,780.25,800.00,803.25,798.66,"12,24,427","97,79,00,858.20","31,109","6,41,539",52.4
KOTAKBANK,EQ,2014-04-11,803.25,795.20,808.00,792.00,804.90,805.65,801.27,"7,80,936","62,57,43,572.90","27,765","5,21,240",66.75
KOTAKBANK,EQ,2014-04-15,805.65,805.00,805.00,782.55,789.35,790.85,790.99,"5,76,653","45,61,28,096.25","22,860","3,22,990",56.01
KOTAKBANK,EQ,2014-04-16,790.85,789.90,792.45,773.50,785.00,784.25,783.65,"4,15,763","32,58,11,351.50","20,632","1,92,071",46.2
KOTAKBANK,EQ,2014-04-17,784.25,784.00,804.00,780.10,801.55,800.80,793.25,"5,77,666","45,82,34,872.95","31,470","3,04,355",52.69
KOTAKBANK,EQ,2014-04-21,800.80,806.70,809.00,794.70,800.50,801.35,800.25,"15,61,001","1,24,91,85,097.30","19,516","11,40,609",73.07
KOTAKBANK,EQ,2014-04-22,801.35,803.15,806.75,795.55,801.90,801.30,801.07,"4,71,394","37,76,18,214.85","12,335","2,34,812",49.81
KOTAKBANK,EQ,2014-04-23,801.30,800.00,829.70,797.30,827.00,822.40,817.44,"12,93,194","1,05,71,02,875.00","34,743","6,27,456",48.52
KOTAKBANK,EQ,2014-04-25,822.40,822.00,834.60,805.70,807.00,808.50,817.27,"6,88,906","56,30,22,077.05","21,916","1,71,550",24.9
KOTAKBANK,EQ,2014-04-28,808.50,808.10,829.90,796.80,823.40,823.95,815.63,"7,34,270","59,88,92,240.25","22,827","2,50,965",34.18
KOTAKBANK,EQ,2014-04-29,823.95,821.10,824.55,804.40,808.60,807.00,811.99,"4,76,633","38,70,20,585.70","21,969","1,77,321",37.2
KOTAKBANK,EQ,2014-04-30,807.00,805.00,818.95,795.50,805.00,802.60,806.05,"7,71,049","62,15,01,155.75","28,057","2,39,633",31.08
KOTAKBANK,EQ,2014-05-02,802.60,803.55,810.60,798.75,802.70,802.70,803.28,"5,32,441","42,76,96,894.90","18,923","2,45,401",46.09
KOTAKBANK,EQ,2014-05-05,802.70,798.20,811.70,797.75,806.65,807.60,805.89,"3,45,131","27,81,38,589.75","10,017","1,30,351",37.77
KOTAKBANK,EQ,2014-05-06,807.60,809.60,812.00,800.55,808.60,806.95,805.08,"3,65,964","29,46,30,625.70","18,701","1,77,518",48.51
KOTAKBANK,EQ,2014-05-07,806.95,800.30,816.30,800.30,811.80,810.10,809.64,"5,19,729","42,07,94,675.15","18,148","2,73,108",52.55
KOTAKBANK,EQ,2014-05-08,810.10,812.20,820.50,807.35,808.95,812.00,814.20,"9,12,541","74,29,86,560.95","50,619","5,74,278",62.93
KOTAKBANK,EQ,2014-05-09,812.00,812.80,855.00,810.55,855.00,850.75,833.65,"10,66,626","88,91,87,579.90","33,198","5,80,765",54.45
KOTAKBANK,EQ,2014-05-12,850.75,852.20,865.00,847.20,848.65,850.70,855.64,"9,39,514","80,38,88,418.25","30,844","6,07,649",64.68
KOTAKBANK,EQ,2014-05-13,850.70,855.25,869.00,848.10,858.15,861.05,860.43,"11,27,551","97,01,82,178.60","23,353","6,06,284",53.77
KOTAKBANK,EQ,2014-05-14,861.05,859.50,885.00,852.60,859.85,859.45,862.00,"7,26,800","62,64,99,060.45","27,189","3,86,709",53.21
KOTAKBANK,EQ,2014-05-15,859.45,858.00,875.00,858.00,865.50,869.90,869.81,"7,73,735","67,29,99,550.40","33,274","5,17,752",66.92
KOTAKBANK,EQ,2014-05-16,869.90,886.00,951.00,886.00,904.10,905.65,930.68,"20,70,370","1,92,68,53,413.10","64,922","10,66,675",51.52
KOTAKBANK,EQ,2014-05-19,905.65,909.40,932.00,906.65,914.90,917.00,918.56,"10,02,156","92,05,37,888.50","40,775","5,54,452",55.33
KOTAKBANK,EQ,2014-05-20,917.00,919.70,919.90,898.20,898.60,903.05,909.45,"9,31,968","84,75,77,446.55","21,170","6,57,745",70.58
KOTAKBANK,EQ,2014-05-21,903.05,902.00,905.70,883.65,894.50,896.65,893.89,"7,42,782","66,39,61,971.90","23,235","4,83,889",65.15
KOTAKBANK,EQ,2014-05-22,896.65,900.00,909.60,887.40,889.45,893.35,894.90,"6,93,539","62,06,51,107.70","17,681","3,35,682",48.4
KOTAKBANK,EQ,2014-05-23,893.35,894.20,898.00,872.95,879.20,878.35,882.28,"10,68,211","94,24,56,212.90","20,119","6,99,237",65.46
