Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
LT,EQ,2014-01-01,"1,070.25","1,075.15","1,079.90","1,066.40","1,067.00","1,068.55","1,071.41","4,62,879","49,59,34,356.80","17,320","1,37,075",29.61
LT,EQ,2014-01-02,"1,068.55","1,067.25","1,079.90","1,028.30","1,034.00","1,036.05","1,052.35","15,48,334","1,62,93,91,605.40","62,769","6,85,169",44.25
LT,EQ,2014-01-03,"1,036.05","1,020.00","1,032.95","1,008.05","1,014.25","1,012.05","1,014.85","24,67,735","2,50,43,80,991.65","1,48,158","15,03,059",60.91
LT,EQ,2014-01-06,"1,012.05","1,012.10","1,025.95","1,000.05","1,009.90","1,010.50","1,011.89","17,19,745","1,74,02,00,268.10","73,791","5,64,999",32.85
LT,EQ,2014-01-07,"1,010.50","1,015.00","1,028.55","1,008.10","1,019.00","1,019.50","1,020.28","18,88,942","1,92,72,53,285.85","59,082","8,04,756",42.6
LT,EQ,2014-01-08,"1,019.50","1,022.00","1,025.90",996.75,998.80,998.35,"1,005.63","20,56,177","2,06,77,48,042.80","92,487","10,10,726",49.16
LT,EQ,2014-01-09,998.35,998.85,"1,004.00",970.00,972.25,971.90,980.72,"29,35,310","2,87,87,03,027.70","1,11,919","17,36,656",59.16
LT,EQ,2014-01-10,971.90,972.75,984.00,951.50,957.00,956.05,970.27,"32,12,216","3,11,67,21,614.85","1,15,138","17,45,205",54.33
LT,EQ,2014-01-13,956.05,955.10,987.90,955.10,987.00,980.55,972.92,"23,50,686","2,28,70,30,095.70","90,328","11,65,646",49.59
LT,EQ,2014-01-14,980.55,978.05,996.80,968.00,973.20,972.00,983.31,"18,17,257","1,78,69,25,493.10","69,369","7,32,417",40.3
LT,EQ,2014-01-15,972.00,975.30,"1,003.50",975.30,997.50,999.10,992.87,"18,01,661","1,78,88,15,285.45","87,771","6,21,429",34.49
LT,EQ,2014-01-16,999.10,"1,005.60","1,012.95",991.30,"1,002.35","1,004.00","1,004.07","18,44,717","1,85,22,25,607.50","66,182","8,20,159",44.46
LT,EQ,2014-01-17,"1,004.00",999.30,"1,011.65",995.65,"1,003.05","1,002.85","1,003.01","14,22,009","1,42,62,87,974.20","48,983","6,82,445",47.99
LT,EQ,2014-01-20,"1,002.85","1,002.00","1,009.90",989.25,"1,001.65",998.95,998.01,"15,41,104","1,53,80,29,847.20","54,665","8,01,341",52.0
LT,EQ,2014-01-21,998.95,"1,006.30","1,017.55","1,005.05","1,013.50","1,011.50","1,012.09","11,39,904","1,15,36,90,274.95","58,570","4,52,270",39.68
LT,EQ,2014-01-22,"1,011.50","1,013.90","1,017.30",996.55,"1,008.35","1,004.80","1,005.99","21,63,806","2,17,67,64,113.95","1,05,574","8,24,066",38.08
LT,EQ,2014-01-23,"1,004.80","1,010.10","1,043.40","1,010.10","1,031.50","1,032.95","1,033.70","45,25,023","4,67,75,14,113.80","1,57,285","21,73,601",48.04
LT,EQ,2014-01-24,"1,032.95","1,029.00","1,029.45","1,004.15","1,006.45","1,006.35","1,012.06","25,21,804","2,55,22,05,519.10","1,04,192","15,86,852",62.93
