Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MARUTI,EQ,2014-01-01,"1,763.90","1,770.00","1,776.90","1,756.55","1,763.00","1,764.00","1,767.52","2,14,453","37,90,49,358.65","8,019","56,682",26.43
MARUTI,EQ,2014-01-02,"1,764.00","1,759.00","1,814.80","1,759.00","1,770.00","1,768.40","1,795.52","15,65,710","2,81,12,57,306.35","32,695","11,19,167",71.48
MARUTI,EQ,2014-01-03,"1,768.40","1,766.00","1,808.65","1,752.25","1,807.00","1,798.60","1,783.20","5,83,504","1,04,05,01,737.65","28,778","2,42,527",41.56
MARUTI,EQ,2014-01-06,"1,798.60","1,805.00","1,819.40","1,792.55","1,808.00","1,807.70","1,805.20","5,49,379","99,17,36,292.90","40,747","2,61,298",47.56
MARUTI,EQ,2014-01-07,"1,807.70","1,838.00","1,854.25","1,820.10","1,849.00","1,845.75","1,842.78","16,14,578","2,97,53,05,365.65","64,159","9,37,964",58.09
MARUTI,EQ,2014-01-08,"1,845.75","1,850.00","1,860.00","1,827.05","1,850.40","1,837.50","1,842.67","13,98,622","2,57,72,00,159.20","46,114","6,06,233",43.35
MARUTI,EQ,2014-01-09,"1,837.50","1,858.80","1,859.00","1,801.10","1,811.45","1,811.80","1,827.79","9,47,521","1,73,18,73,596.65","54,092","5,23,538",55.25
MARUTI,EQ,2014-01-10,"1,811.80","1,811.10","1,814.55","1,768.00","1,791.05","1,794.10","1,798.18","6,70,378","1,20,54,62,507.55","41,112","3,68,259",54.93
MARUTI,EQ,2014-01-13,"1,794.10","1,800.00","1,814.75","1,765.00","1,787.70","1,782.75","1,785.90","5,59,984","1,00,00,73,467.85","24,506","2,29,645",41.01
MARUTI,EQ,2014-01-14,"1,782.75","1,783.00","1,791.80","1,759.10","1,770.85","1,773.35","1,771.58","5,30,939","94,06,02,003.50","36,970","2,00,039",37.68
