Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NESTLEIND,EQ,2014-01-01,"5,289.25","5,290.00","5,343.00","5,290.00","5,315.00","5,311.80","5,319.01","6,358","3,38,18,250.50","1,603","4,058",63.83
NESTLEIND,EQ,2014-01-02,"5,311.80","5,325.75","5,354.00","5,193.95","5,300.00","5,280.15","5,312.95","25,984","13,80,51,614.65","6,475","18,505",71.22
NESTLEIND,EQ,2014-01-03,"5,280.15","5,365.00","5,600.00","5,311.00","5,326.00","5,333.60","5,414.08","91,165","49,35,74,858.65","12,893","35,533",38.98
NESTLEIND,EQ,2014-01-06,"5,333.60","5,376.00","5,444.00","5,340.00","5,401.00","5,387.65","5,387.13","25,288","13,62,29,769.15","4,753","16,216",64.13
NESTLEIND,EQ,2014-01-07,"5,387.65","5,413.95","5,440.00","5,365.00","5,397.00","5,381.90","5,396.03","19,645","10,60,05,030.80","5,947","11,216",57.09
NESTLEIND,EQ,2014-01-08,"5,381.90","5,394.90","5,427.90","5,379.90","5,424.00","5,422.40","5,418.05","20,048","10,86,21,100.90","5,098","15,712",78.37
NESTLEIND,EQ,2014-01-09,"5,422.40","5,425.00","5,435.00","5,365.00","5,380.00","5,372.85","5,384.07","8,235","4,43,37,789.15","2,037","4,643",56.38
NESTLEIND,EQ,2014-01-10,"5,372.85","5,390.00","5,450.00","5,351.00","5,440.00","5,405.95","5,386.21","29,411","15,84,13,718.90","6,127","20,020",68.07
NESTLEIND,EQ,2014-01-13,"5,405.95","5,440.00","5,447.95","5,380.00","5,425.00","5,426.90","5,413.64","17,380","9,40,88,990.45","4,494","11,440",65.82
NESTLEIND,EQ,2014-01-14,"5,426.90","5,410.00","5,414.95","5,351.00","5,380.00","5,379.45","5,382.70","16,904","9,09,89,203.85","1,960","12,872",76.15
NESTLEIND,EQ,2014-01-15,"5,379.45","5,360.00","5,400.00","5,215.00","5,241.00","5,237.15","5,314.49","27,664","14,70,20,051.50","9,057","21,408",77.39
NESTLEIND,EQ,2014-01-16,"5,237.15","5,260.00","5,320.00","5,125.00","5,130.00","5,130.35","5,171.85","25,175","13,02,01,285.90","6,433","17,981",71.42
NESTLEIND,EQ,2014-01-17,"5,130.35","5,150.00","5,265.00","5,150.00","5,229.80","5,238.05","5,220.23","24,567","12,82,45,359.30","6,466","18,020",73.35
NESTLEIND,EQ,2014-01-20,"5,238.05","5,224.00","5,229.00","5,181.80","5,191.00","5,200.90","5,202.42","8,983","4,67,33,314.20","2,670","4,853",54.02
NESTLEIND,EQ,2014-01-21,"5,200.90","5,200.90","5,202.00","5,150.00","5,167.00","5,177.25","5,180.91","8,048","4,16,95,967.85","1,880","5,405",67.16
NESTLEIND,EQ,2014-01-22,"5,177.25","5,175.00","5,175.15","5,135.00","5,135.00","5,144.80","5,149.69","15,903","8,18,95,482.50","5,061","12,851",80.81
NESTLEIND,EQ,2014-01-23,"5,144.80","5,190.00","5,190.00","5,075.00","5,080.00","5,083.55","5,127.83","45,061","23,10,65,338.45","4,902","39,901",88.55
NESTLEIND,EQ,2014-01-24,"5,083.55","5,083.55","5,123.00","5,068.00","5,070.00","5,081.20","5,087.81","35,944","18,28,76,076.40","6,361","32,263",89.76
NESTLEIND,EQ,2014-01-27,"5,081.20","5,066.00","5,121.00","5,021.00","5,050.00","5,050.10","5,069.08","13,535","6,86,09,950.90","4,809","9,709",71.73
NESTLEIND,EQ,2014-01-28,"5,050.10","5,050.00","5,059.15","4,950.00","4,957.00","4,959.35","5,005.63","16,842","8,43,04,777.20","4,217","13,148",78.07
NESTLEIND,EQ,2014-01-29,"4,959.35","4,990.00","5,041.00","4,962.00","5,034.55","5,033.20","5,028.43","23,174","11,65,28,860.70","4,665","20,174",87.05
NESTLEIND,EQ,2014-01-30,"5,033.20","5,010.00","5,033.20","4,925.00","4,960.00","4,945.80","4,950.41","22,742","11,25,82,166.05","5,849","18,721",82.32
NESTLEIND,EQ,2014-01-31,"4,945.80","5,039.00","5,091.00","4,902.40","5,040.00","5,047.15","4,992.06","36,790","18,36,57,764.25","10,046","29,123",79.16
NESTLEIND,EQ,2014-02-03,"5,047.15","4,993.00","5,047.30","4,920.00","4,951.00","4,938.65","4,997.11","20,562","10,27,50,556.90","7,465","15,586",75.8
NESTLEIND,EQ,2014-02-04,"4,938.65","4,920.00","5,010.75","4,920.00","4,962.00","4,960.45","4,971.99","19,822","9,85,54,732.45","8,391","13,863",69.94
