Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
NTPC,EQ,2014-01-01,137.0,137.5,138.65,136.6,138.05,138.2,137.53,"12,13,227","16,68,58,408.65","7,992","6,25,986",51.6
NTPC,EQ,2014-01-02,138.2,138.8,138.8,134.65,134.8,134.9,136.49,"47,64,799","65,03,38,884.75","30,661","35,28,700",74.06
NTPC,EQ,2014-01-03,134.9,135.0,135.5,131.5,132.05,131.75,132.93,"72,28,862","96,09,02,555.30","51,709","56,13,128",77.65
NTPC,EQ,2014-01-06,131.75,132.8,133.0,130.35,132.2,132.15,131.92,"30,35,769","40,04,77,198.80","20,584","17,24,998",56.82
NTPC,EQ,2014-01-07,132.15,132.15,132.8,129.5,130.0,129.85,130.43,"34,45,366","44,93,81,369.40","29,290","24,59,549",71.39
NTPC,EQ,2014-01-08,129.85,130.65,132.9,129.1,129.3,129.55,130.61,"59,38,919","77,57,05,229.10","64,402","36,25,301",61.04
NTPC,EQ,2014-01-09,129.55,129.8,134.0,129.5,133.5,133.65,133.18,"73,15,773","97,43,12,053.70","43,439","50,22,328",68.65
NTPC,EQ,2014-01-10,133.65,133.75,133.9,131.0,131.1,131.4,132.58,"24,80,925","32,89,29,292.20","18,407","13,70,782",55.25
NTPC,EQ,2014-01-13,131.4,130.5,133.4,130.4,132.5,132.75,132.27,"22,83,443","30,20,40,321.85","11,981","15,91,846",69.71
NTPC,EQ,2014-01-14,132.75,131.7,132.5,130.8,131.3,131.25,131.37,"27,15,535","35,67,52,102.50","27,700","20,66,626",76.1
NTPC,EQ,2014-01-15,131.25,132.25,132.85,131.45,132.1,132.25,132.17,"55,83,147","73,78,99,278.00","51,008","46,04,947",82.48
NTPC,EQ,2014-01-16,132.25,132.55,134.2,132.55,133.05,133.15,133.79,"52,38,158","70,08,06,217.75","24,330","43,41,721",82.89
NTPC,EQ,2014-01-17,133.15,133.2,133.75,131.15,132.0,131.6,132.99,"96,86,445","1,28,81,99,153.70","41,462","83,21,097",85.9
NTPC,EQ,2014-01-20,131.6,132.0,133.5,131.5,131.55,131.85,132.33,"22,88,260","30,27,98,798.45","10,282","15,76,076",68.88
NTPC,EQ,2014-01-21,131.85,131.6,133.0,129.75,130.7,130.75,130.68,"90,67,857","1,18,49,45,918.00","19,701","79,49,817",87.67
NTPC,EQ,2014-01-22,130.75,130.5,133.2,130.5,132.4,132.65,132.61,"44,38,582","58,86,11,492.00","22,067","35,88,703",80.85
NTPC,EQ,2014-01-23,132.65,131.75,132.4,130.75,131.3,131.1,131.62,"39,64,418","52,18,05,665.20","14,937","29,18,028",73.61
NTPC,EQ,2014-01-24,131.1,130.8,131.9,130.65,131.65,131.5,131.16,"30,80,062","40,39,77,460.25","19,052","25,18,696",81.77
NTPC,EQ,2014-01-27,131.5,130.25,130.7,129.1,129.5,129.45,129.61,"26,99,822","34,99,29,077.90","16,514","18,82,754",69.74
NTPC,EQ,2014-01-28,129.45,129.8,132.0,128.15,128.4,128.5,129.12,"37,64,855","48,61,17,949.85","26,133","27,10,863",72.0
NTPC,EQ,2014-01-29,128.5,129.75,130.5,127.25,127.75,127.8,128.82,"40,19,121","51,77,62,091.20","45,412","26,29,467",65.42
NTPC,EQ,2014-01-30,127.8,127.05,130.15,126.15,128.6,128.2,127.67,"60,01,934","76,62,96,597.50","35,561","39,28,316",65.45
NTPC,EQ,2014-01-31,128.2,125.7,126.95,123.5,126.2,126.45,125.52,"43,69,223","54,84,24,912.95","33,801","28,22,382",64.6
NTPC,EQ,2014-02-03,126.45,126.0,126.3,125.1,126.2,126.0,125.74,"29,04,211","36,51,86,199.35","35,093","23,58,398",81.21
NTPC,EQ,2014-02-04,126.0,125.9,130.65,125.4,130.6,130.2,128.75,"1,05,08,446","1,35,29,58,940.45","45,421","87,16,589",82.95
NTPC,EQ,2014-02-05,130.2,130.6,132.7,127.1,132.5,132.4,130.55,"84,96,884","1,10,93,01,683.25","67,970","67,00,988",78.86
NTPC,EQ,2014-02-06,132.4,132.0,134.1,130.8,133.3,133.6,132.85,"82,05,918","1,09,01,60,937.15","36,328","67,58,935",82.37
NTPC,EQ,2014-02-07,133.6,133.7,136.1,132.75,135.8,135.95,135.24,"1,20,80,553","1,63,37,43,280.60","33,126","99,79,307",82.61
NTPC,EQ,2014-02-10,135.95,135.15,136.6,133.3,133.8,135.2,135.34,"1,06,42,466","1,44,03,44,746.50","67,668","83,61,444",78.57
NTPC,EQ,2014-02-11,135.2,134.4,134.7,130.05,131.25,132.15,133.65,"36,03,027","48,15,54,142.85","13,030","22,95,945",63.72
NTPC,EQ,2014-02-12,132.15,132.2,132.5,130.05,131.0,130.75,131.49,"61,54,520","80,92,30,696.30","38,955","46,74,784",75.96
NTPC,EQ,2014-02-13,130.75,131.2,131.45,129.65,130.1,130.1,130.25,"69,01,586","89,89,50,260.65","12,541","61,73,699",89.45
NTPC,EQ,2014-02-14,130.1,131.4,132.9,129.65,132.65,132.25,132.01,"22,51,143","29,71,68,927.15","18,816","13,00,742",57.78
