Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,2014-01-01,895.20,897.45,898.25,887.60,888.25,888.80,891.42,"13,37,074","1,19,18,92,428.40","26,754","6,07,039",45.4
RELIANCE,EQ,2014-01-02,888.80,887.70,896.00,870.10,873.00,875.00,885.11,"13,76,901","1,21,87,14,772.40","45,289","6,98,939",50.76
RELIANCE,EQ,2014-01-03,875.00,871.60,873.35,855.00,865.20,864.25,864.22,"29,33,613","2,53,52,78,981.70","95,307","15,75,724",53.71
RELIANCE,EQ,2014-01-06,864.25,862.10,863.25,850.00,855.15,854.95,854.84,"30,43,781","2,60,19,45,346.50","69,293","21,36,241",70.18
RELIANCE,EQ,2014-01-07,854.95,854.60,859.95,840.05,840.65,842.10,846.40,"39,57,111","3,34,93,05,775.80","2,02,802","27,91,907",70.55
RELIANCE,EQ,2014-01-08,842.10,844.40,857.35,844.40,849.00,849.05,850.03,"29,09,048","2,47,27,92,580.50","1,29,198","16,83,482",57.87
RELIANCE,EQ,2014-01-09,849.05,850.45,853.80,845.05,853.00,850.70,849.40,"18,99,340","1,61,32,98,088.65","94,510","10,85,278",57.14
RELIANCE,EQ,2014-01-10,850.70,848.35,876.30,848.00,856.15,858.15,863.52,"33,92,170","2,92,92,14,448.80","1,07,766","13,82,611",40.76
RELIANCE,EQ,2014-01-13,858.15,868.25,883.00,868.00,881.50,880.40,876.44,"27,56,390","2,41,58,20,516.40","61,589","14,90,091",54.06
RELIANCE,EQ,2014-01-14,880.40,878.50,884.55,872.45,879.20,881.50,880.74,"27,60,267","2,43,10,78,193.10","69,490","17,28,217",62.61
RELIANCE,EQ,2014-01-15,881.50,884.70,895.00,881.00,882.50,885.45,889.77,"28,93,960","2,57,49,46,741.45","89,015","17,74,302",61.31
RELIANCE,EQ,2014-01-16,885.45,888.70,893.30,882.05,885.20,886.15,888.21,"41,23,266","3,66,23,16,129.10","84,894","30,65,412",74.34
RELIANCE,EQ,2014-01-17,886.15,889.15,896.90,880.25,883.50,884.75,890.33,"35,34,630","3,14,69,80,528.75","96,563","23,43,127",66.29
RELIANCE,EQ,2014-01-20,884.75,886.90,889.00,866.10,868.00,869.75,872.35,"37,89,008","3,30,53,46,254.95","1,24,858","23,24,348",61.34
RELIANCE,EQ,2014-01-21,869.75,872.65,873.60,862.00,862.90,863.05,865.66,"22,41,570","1,94,04,28,294.30","75,224","12,72,790",56.78
RELIANCE,EQ,2014-01-22,863.05,863.50,875.35,858.15,868.00,872.45,869.82,"19,47,009","1,69,35,49,590.80","69,492","11,83,161",60.77
RELIANCE,EQ,2014-01-23,872.45,860.60,871.30,860.60,866.00,865.80,866.40,"31,46,981","2,72,65,44,716.80","95,616","23,91,312",75.99
RELIANCE,EQ,2014-01-24,865.80,862.00,874.65,861.10,866.80,867.65,868.87,"27,15,344","2,35,92,71,346.35","78,817","17,66,565",65.06
RELIANCE,EQ,2014-01-27,867.65,856.00,860.80,840.35,846.75,843.15,850.73,"28,22,051","2,40,07,97,631.10","87,797","19,05,116",67.51
RELIANCE,EQ,2014-01-28,843.15,847.00,856.00,842.70,845.70,844.85,848.94,"26,45,575","2,24,59,43,921.45","81,449","17,03,652",64.4
RELIANCE,EQ,2014-01-29,844.85,849.80,852.50,835.00,835.60,836.60,843.22,"28,28,526","2,38,50,70,074.80","65,752","19,59,270",69.27
RELIANCE,EQ,2014-01-30,836.60,831.40,833.85,822.20,825.60,825.00,827.27,"32,23,490","2,66,67,09,542.00","68,894","21,68,732",67.28
RELIANCE,EQ,2014-01-31,825.00,827.00,833.45,826.15,830.55,831.15,830.20,"25,23,182","2,09,47,42,988.35","85,962","18,08,902",71.69
RELIANCE,EQ,2014-02-03,831.15,826.20,829.80,819.45,820.50,820.90,824.70,"18,80,728","1,55,10,33,362.75","40,585","13,56,016",72.1
RELIANCE,EQ,2014-02-04,820.90,814.50,826.65,813.15,823.75,821.55,819.02,"28,25,803","2,31,43,86,690.60","90,471","18,39,228",65.09
RELIANCE,EQ,2014-02-05,821.55,820.10,821.50,806.90,816.30,817.25,815.06,"25,82,636","2,10,49,92,137.75","75,411","13,52,526",52.37
RELIANCE,EQ,2014-02-06,817.25,820.00,824.10,808.15,815.90,815.85,816.24,"24,74,757","2,02,00,01,612.30","73,975","13,90,102",56.17
RELIANCE,EQ,2014-02-07,815.85,822.10,823.80,810.60,813.00,814.45,816.81,"19,33,597","1,57,93,90,182.05","62,348","11,12,249",57.52
RELIANCE,EQ,2014-02-10,814.45,815.25,825.60,811.15,821.75,821.95,821.91,"23,64,740","1,94,36,02,538.45","47,168","15,48,389",65.48
RELIANCE,EQ,2014-02-11,821.95,823.00,825.00,802.75,803.75,805.25,810.89,"28,82,244","2,33,71,96,117.75","98,774","16,60,587",57.61
RELIANCE,EQ,2014-02-12,805.25,808.00,821.90,807.40,815.00,817.90,816.72,"22,46,719","1,83,49,38,958.05","80,982","11,64,160",51.82
RELIANCE,EQ,2014-02-13,817.90,818.90,818.90,805.05,806.80,807.40,810.99,"19,78,914","1,60,48,82,419.45","61,870","13,07,917",66.09
RELIANCE,EQ,2014-02-14,807.40,811.90,824.00,808.00,821.90,822.05,817.07,"21,07,250","1,72,17,64,399.80","71,157","13,15,892",62.45
RELIANCE,EQ,2014-02-17,822.05,817.65,822.00,807.05,812.75,812.30,813.47,"20,70,622","1,68,43,80,684.35","47,002","13,43,471",64.88
RELIANCE,EQ,2014-02-18,812.30,807.10,817.85,807.10,812.30,813.15,814.74,"13,12,359","1,06,92,28,270.80","35,271","7,28,539",55.51
RELIANCE,EQ,2014-02-19,813.15,813.00,820.00,810.00,813.10,812.25,814.84,"14,01,247","1,14,17,89,088.10","46,860","7,28,097",51.96
RELIANCE,EQ,2014-02-20,812.25,811.30,813.70,803.10,804.15,805.45,807.99,"18,38,151","1,48,51,98,578.35","59,171","12,08,858",65.76
RELIANCE,EQ,2014-02-21,805.45,807.10,816.00,805.60,810.75,811.50,810.98,"14,30,079","1,15,97,65,007.85","50,061","7,74,563",54.16
RELIANCE,EQ,2014-02-24,811.50,808.05,814.95,805.30,812.90,812.35,809.76,"15,54,509","1,25,87,81,653.00","55,055","9,06,027",58.28
RELIANCE,EQ,2014-02-25,812.35,814.30,816.00,807.55,809.45,810.55,812.26,"16,09,074","1,30,69,81,466.15","61,409","10,67,323",66.33
RELIANCE,EQ,2014-02-26,810.55,811.00,816.85,808.25,812.00,810.70,811.85,"31,10,571","2,52,53,21,437.75","70,887","23,80,977",76.54
RELIANCE,EQ,2014-02-28,810.70,810.70,815.35,793.10,797.30,799.95,801.57,"43,31,622","3,47,20,76,789.05","1,50,067","28,99,076",66.93
RELIANCE,EQ,2014-03-03,799.95,800.10,806.80,797.15,804.25,803.40,802.72,"26,59,675","2,13,49,76,241.20","86,665","16,97,512",63.82
RELIANCE,EQ,2014-03-04,803.40,803.00,814.65,802.60,812.35,812.95,810.74,"20,56,575","1,66,73,45,285.90","70,600","13,66,680",66.45
RELIANCE,EQ,2014-03-05,812.95,815.55,818.00,805.15,806.50,807.00,809.77,"27,03,603","2,18,92,99,347.45","1,44,272","19,30,191",71.39
RELIANCE,EQ,2014-03-06,807.00,809.35,824.40,809.30,822.25,822.45,818.32,"23,25,283","1,90,28,24,246.25","70,837","13,34,995",57.41
RELIANCE,EQ,2014-03-07,822.45,825.00,874.00,825.00,867.90,869.40,855.41,"76,79,752","6,56,93,68,606.35","2,29,349","54,33,531",70.75
RELIANCE,EQ,2014-03-10,869.40,865.10,903.65,863.40,883.90,885.45,889.63,"75,13,409","6,68,41,55,922.95","2,40,401","50,86,232",67.7
RELIANCE,EQ,2014-03-11,885.45,885.00,887.80,872.10,874.00,874.75,878.50,"29,21,335","2,56,63,88,631.50","77,472","16,70,904",57.2
RELIANCE,EQ,2014-03-12,874.75,874.00,882.90,867.65,869.25,871.35,873.56,"21,55,857","1,88,32,69,554.35","76,702","11,95,283",55.44
RELIANCE,EQ,2014-03-13,871.35,875.00,894.75,874.70,877.90,879.55,887.29,"39,36,620","3,49,29,40,478.55","97,516","25,90,750",65.81
RELIANCE,EQ,2014-03-14,879.55,874.00,889.95,869.05,886.00,886.15,878.11,"37,80,891","3,32,00,35,661.20","79,517","27,92,514",73.86
RELIANCE,EQ,2014-03-18,886.15,889.50,908.80,889.50,894.50,896.45,900.41,"43,51,046","3,91,77,06,431.95","1,35,768","29,00,618",66.66
RELIANCE,EQ,2014-03-19,896.45,900.00,909.90,895.25,902.90,903.00,902.16,"37,43,369","3,37,71,21,566.35","95,735","21,01,310",56.13
RELIANCE,EQ,2014-03-20,903.00,901.60,907.50,898.15,905.70,906.00,905.58,"67,91,651","6,15,03,56,376.25","72,165","37,01,855",54.51
RELIANCE,EQ,2014-03-21,906.00,907.00,913.35,882.15,884.60,885.80,894.30,"50,40,481","4,50,77,14,576.25","1,01,131","34,85,979",69.16
RELIANCE,EQ,2014-03-22,885.80,887.60,889.85,883.55,889.40,888.15,887.08,"2,31,511","20,53,68,142.60","5,236","1,15,571",49.92
RELIANCE,EQ,2014-03-24,888.15,891.25,908.75,891.10,906.00,905.40,903.35,"65,86,731","5,95,01,53,929.55","95,424","35,00,066",53.14
RELIANCE,EQ,2014-03-25,905.40,879.00,882.50,872.50,877.80,879.30,878.62,"71,54,556","6,28,61,22,266.75","92,718","42,58,172",59.52
RELIANCE,EQ,2014-03-26,879.30,881.25,902.95,881.15,891.00,891.20,892.07,"31,56,965","2,81,62,48,770.65","71,768","16,22,651",51.4
RELIANCE,EQ,2014-03-27,891.20,894.85,904.90,892.10,899.00,900.75,901.67,"1,26,65,322","11,41,99,09,214.35","75,157","90,62,930",71.56
RELIANCE,EQ,2014-03-28,900.75,900.00,919.95,900.00,914.80,916.15,914.31,"42,67,110","3,90,14,66,913.95","75,417","27,63,470",64.76
RELIANCE,EQ,2014-03-31,916.15,916.25,939.80,913.20,937.80,930.75,923.95,"42,86,368","3,96,03,75,109.30","1,09,416","27,29,368",63.68
RELIANCE,EQ,2014-04-01,930.75,936.00,945.00,929.30,941.40,942.60,937.24,"35,75,180","3,35,08,11,072.50","91,068","19,02,035",53.2
RELIANCE,EQ,2014-04-02,942.60,945.00,962.00,938.10,955.95,958.20,955.12,"61,21,499","5,84,67,73,765.50","96,616","30,65,161",50.07
RELIANCE,EQ,2014-04-03,958.20,956.80,962.95,940.40,951.50,952.65,951.03,"60,69,088","5,77,18,57,878.00","79,015","31,05,015",51.16
RELIANCE,EQ,2014-04-04,952.65,952.00,953.25,941.55,944.25,944.25,945.66,"28,60,462","2,70,50,35,429.10","73,252","17,06,164",59.65
RELIANCE,EQ,2014-04-07,944.25,944.00,954.95,934.35,941.00,944.15,942.57,"29,49,923","2,78,05,08,377.80","69,335","16,79,384",56.93
RELIANCE,EQ,2014-04-09,944.15,950.00,966.70,947.15,966.60,962.15,954.44,"30,71,917","2,93,19,55,188.10","1,16,088","20,75,926",67.58
RELIANCE,EQ,2014-04-10,962.15,964.70,973.90,962.20,968.95,969.05,968.44,"24,34,297","2,35,74,77,317.80","79,645","13,87,548",57.0
RELIANCE,EQ,2014-04-11,969.05,962.30,971.05,950.60,951.25,953.75,958.39,"26,72,508","2,56,12,97,697.65","78,289","16,72,944",62.6
RELIANCE,EQ,2014-04-15,953.75,950.00,954.00,936.60,945.80,949.10,944.92,"21,17,715","2,00,10,67,225.15","58,753","12,96,856",61.24
RELIANCE,EQ,2014-04-16,949.10,946.50,959.00,938.10,941.80,941.30,948.01,"28,30,152","2,68,30,06,479.15","64,798","20,37,474",71.99
RELIANCE,EQ,2014-04-17,941.30,945.00,961.80,943.80,961.00,959.10,954.84,"17,93,418","1,71,24,23,997.65","54,277","11,13,817",62.11
RELIANCE,EQ,2014-04-21,959.10,969.95,969.95,956.10,957.00,959.60,960.85,"27,01,214","2,59,54,59,750.85","77,933","14,99,011",55.49
RELIANCE,EQ,2014-04-22,959.60,960.00,988.75,956.10,966.95,967.75,973.54,"44,18,930","4,30,19,96,176.25","96,518","23,78,915",53.83
RELIANCE,EQ,2014-04-23,967.75,969.00,982.00,964.25,966.80,967.15,970.17,"34,94,693","3,39,04,52,354.60","64,113","22,03,397",63.05
RELIANCE,EQ,2014-04-25,967.15,968.00,969.00,946.00,946.60,948.25,952.06,"30,29,220","2,88,39,95,660.40","1,21,611","19,21,915",63.45
RELIANCE,EQ,2014-04-28,948.25,949.80,956.00,941.35,945.65,945.00,949.29,"37,96,899","3,60,43,70,608.50","59,276","31,61,617",83.27
RELIANCE,EQ,2014-04-29,945.00,946.05,951.75,938.00,940.50,940.30,942.04,"19,19,298","1,80,80,54,293.80","59,007","10,54,327",54.93
RELIANCE,EQ,2014-04-30,940.30,943.90,960.00,929.10,936.10,935.80,944.61,"32,89,582","3,10,73,78,165.95","84,582","18,17,961",55.26
RELIANCE,EQ,2014-05-02,935.80,940.00,947.40,926.00,928.10,928.10,933.63,"20,73,376","1,93,57,70,460.60","62,398","12,97,890",62.6
RELIANCE,EQ,2014-05-05,928.10,925.00,958.50,925.00,944.40,946.85,946.08,"34,74,292","3,28,69,54,568.45","60,809","19,76,350",56.88
RELIANCE,EQ,2014-05-06,946.85,947.90,967.00,947.55,965.15,963.35,960.34,"28,32,651","2,72,03,12,054.15","54,806","16,20,848",57.22
RELIANCE,EQ,2014-05-07,963.35,960.10,971.40,957.05,958.90,960.85,964.17,"24,16,483","2,32,99,11,071.10","49,398","12,17,975",50.4
RELIANCE,EQ,2014-05-08,960.85,963.10,970.10,950.75,962.00,960.30,960.99,"27,31,382","2,62,48,20,061.10","54,741","18,33,316",67.12
RELIANCE,EQ,2014-05-09,960.30,955.80,999.00,955.80,997.00,997.60,986.41,"42,17,843","4,16,05,18,619.60","1,45,066","25,34,620",60.09
RELIANCE,EQ,2014-05-12,997.60,994.90,"1,049.00",994.10,"1,027.00","1,028.70","1,028.70","70,51,280","7,25,36,73,332.30","1,74,802","45,60,850",64.68
RELIANCE,EQ,2014-05-13,"1,028.70","1,040.00","1,068.80","1,034.50","1,061.10","1,063.40","1,049.33","61,40,492","6,44,33,80,126.80","1,47,434","33,71,765",54.91
RELIANCE,EQ,2014-05-14,"1,063.40","1,064.00","1,068.00","1,041.10","1,044.90","1,045.50","1,050.60","44,28,958","4,65,30,78,318.75","99,674","29,29,756",66.15
RELIANCE,EQ,2014-05-15,"1,045.50","1,045.50","1,060.00","1,039.25","1,058.00","1,053.40","1,049.48","47,69,324","5,00,53,06,038.50","90,269","31,13,905",65.29
RELIANCE,EQ,2014-05-16,"1,053.40","1,090.10","1,145.25","1,062.10","1,075.00","1,079.25","1,105.14","1,20,31,151","13,29,61,17,100.65","2,57,255","69,36,068",57.65
RELIANCE,EQ,2014-05-19,"1,079.25","1,091.00","1,124.75","1,086.90","1,115.25","1,120.05","1,107.68","54,39,813","6,02,55,45,018.30","1,36,549","33,41,005",61.42
