Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,2014-01-01,"1,766.50","1,772.00","1,774.90","1,761.25","1,770.00","1,765.05","1,767.01","5,90,478","1,04,33,82,967.60","26,013","83,547",14.15
SBIN,EQ,2014-01-02,"1,765.05","1,765.90","1,806.00","1,732.20","1,736.00","1,742.60","1,778.15","19,45,190","3,45,88,47,000.55","84,897","4,66,573",23.99
SBIN,EQ,2014-01-03,"1,742.60","1,727.00","1,736.00","1,711.00","1,719.00","1,719.65","1,721.21","13,75,959","2,36,83,08,713.30","58,063","3,14,028",22.82
SBIN,EQ,2014-01-06,"1,719.65","1,721.90","1,724.00","1,682.00","1,685.00","1,688.15","1,695.02","13,90,783","2,35,74,02,715.30","66,356","3,81,718",27.45
SBIN,EQ,2014-01-07,"1,688.15","1,692.90","1,702.00","1,655.00","1,656.20","1,661.40","1,670.51","17,35,291","2,89,88,13,263.30","79,314","4,83,821",27.88
SBIN,EQ,2014-01-08,"1,661.40","1,664.25","1,677.95","1,651.00","1,653.70","1,657.15","1,665.48","14,24,879","2,37,31,08,442.15","76,537","3,92,760",27.56
SBIN,EQ,2014-01-09,"1,657.15","1,653.00","1,662.75","1,630.00","1,639.05","1,639.80","1,641.88","14,79,110","2,42,85,28,374.45","85,642","4,85,208",32.8
SBIN,EQ,2014-01-10,"1,639.80","1,639.55","1,656.00","1,600.00","1,602.80","1,608.15","1,631.94","20,47,307","3,34,10,83,873.15","1,20,531","7,08,667",34.61
SBIN,EQ,2014-01-13,"1,608.15","1,610.15","1,645.10","1,610.15","1,644.00","1,641.25","1,630.12","15,56,485","2,53,72,64,211.75","79,530","5,82,144",37.4
SBIN,EQ,2014-01-14,"1,641.25","1,635.00","1,649.00","1,623.35","1,626.00","1,627.50","1,637.17","10,19,700","1,66,94,17,925.65","47,139","3,07,832",30.19
SBIN,EQ,2014-01-15,"1,627.50","1,632.00","1,658.00","1,632.00","1,638.20","1,640.70","1,644.84","13,62,498","2,24,10,90,557.25","68,910","4,31,292",31.65
SBIN,EQ,2014-01-16,"1,640.70","1,644.15","1,651.75","1,632.45","1,633.05","1,636.20","1,640.30","7,24,197","1,18,78,98,532.05","32,903","1,49,748",20.68
SBIN,EQ,2014-01-17,"1,636.20","1,634.55","1,644.50","1,617.00","1,624.00","1,621.55","1,628.78","11,20,738","1,82,54,33,180.00","48,584","3,53,017",31.5
SBIN,EQ,2014-01-20,"1,621.55","1,621.55","1,645.90","1,616.65","1,645.90","1,641.85","1,634.04","9,46,865","1,54,72,16,168.50","45,292","2,66,328",28.13
SBIN,EQ,2014-01-21,"1,641.85","1,653.90","1,672.70","1,646.20","1,656.45","1,659.50","1,660.49","12,35,189","2,05,10,20,234.20","51,119","3,55,592",28.79
SBIN,EQ,2014-01-22,"1,659.50","1,654.00","1,657.95","1,635.25","1,644.00","1,646.85","1,647.41","9,82,192","1,61,80,74,470.90","42,457","2,42,111",24.65
SBIN,EQ,2014-01-23,"1,646.85","1,639.00","1,663.00","1,636.15","1,659.55","1,658.30","1,652.52","9,24,131","1,52,71,48,311.40","41,297","1,59,569",17.27
SBIN,EQ,2014-01-24,"1,658.30","1,649.00","1,664.90","1,618.00","1,623.60","1,621.20","1,635.21","16,61,656","2,71,71,59,203.60","63,182","6,40,603",38.55
SBIN,EQ,2014-01-27,"1,621.20","1,597.90","1,604.00","1,583.05","1,598.75","1,594.50","1,593.68","15,68,804","2,50,01,68,150.25","78,214","5,96,515",38.02
SBIN,EQ,2014-01-28,"1,594.50","1,603.05","1,628.00","1,578.25","1,601.80","1,596.30","1,599.75","18,29,691","2,92,70,43,726.35","78,638","4,44,030",24.27
SBIN,EQ,2014-01-29,"1,596.30","1,613.00","1,621.80","1,570.00","1,572.30","1,573.65","1,582.49","17,59,455","2,78,43,16,225.85","87,705","5,42,765",30.85
SBIN,EQ,2014-01-30,"1,573.65","1,555.00","1,558.00","1,510.05","1,518.05","1,516.60","1,531.39","20,95,532","3,20,90,72,302.95","84,121","10,46,631",49.95
SBIN,EQ,2014-01-31,"1,516.60","1,530.50","1,539.00","1,513.00","1,526.15","1,523.85","1,527.37","13,17,495","2,01,23,07,635.05","68,542","3,94,331",29.93
SBIN,EQ,2014-02-03,"1,523.85","1,525.00","1,529.00","1,485.00","1,486.95","1,488.35","1,502.77","14,15,023","2,12,64,51,037.55","81,744","4,52,241",31.96
SBIN,EQ,2014-02-04,"1,488.35","1,474.00","1,522.00","1,466.80","1,519.20","1,515.40","1,503.41","18,00,204","2,70,64,44,303.65","86,733","3,62,349",20.13
SBIN,EQ,2014-02-05,"1,515.40","1,518.90","1,529.90","1,501.10","1,519.00","1,521.70","1,518.68","13,22,719","2,00,87,82,481.40","61,138","2,88,200",21.79
SBIN,EQ,2014-02-06,"1,521.70","1,522.10","1,537.90","1,493.45","1,502.00","1,504.85","1,513.93","16,11,630","2,43,98,87,199.95","67,814","5,16,708",32.06
SBIN,EQ,2014-02-07,"1,504.85","1,520.05","1,534.70","1,503.50","1,525.15","1,527.60","1,520.21","18,20,340","2,76,72,92,982.50","67,347","9,58,962",52.68
SBIN,EQ,2014-02-10,"1,527.60","1,530.35","1,532.85","1,507.30","1,508.10","1,514.10","1,521.94","10,49,464","1,59,72,24,414.20","42,195","3,89,293",37.09
SBIN,EQ,2014-02-11,"1,514.10","1,514.95","1,527.50","1,514.50","1,518.05","1,519.70","1,520.34","7,11,872","1,08,22,90,399.90","31,334","1,88,574",26.49
SBIN,EQ,2014-02-12,"1,519.70","1,527.10","1,540.00","1,518.05","1,531.65","1,532.50","1,532.12","15,53,993","2,38,09,05,508.75","57,500","8,03,131",51.68
SBIN,EQ,2014-02-13,"1,532.50","1,533.00","1,535.80","1,496.05","1,503.00","1,500.55","1,510.07","13,25,191","2,00,11,26,060.10","57,036","3,75,367",28.33
SBIN,EQ,2014-02-14,"1,500.55","1,502.30","1,514.80","1,455.10","1,473.00","1,475.10","1,478.91","45,82,335","6,77,68,77,964.20","2,02,699","12,41,806",27.1
