Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SRTRANSFIN,EQ,2014-01-01,672.60,677.00,677.50,669.00,672.75,672.20,672.63,"51,193","3,44,33,814.00","5,656","10,375",20.27
SRTRANSFIN,EQ,2014-01-02,672.20,672.20,677.75,653.00,653.00,658.75,667.05,"1,02,172","6,81,53,411.25","7,245","40,974",40.1
SRTRANSFIN,EQ,2014-01-03,658.75,658.00,680.00,653.65,674.00,674.45,666.57,"1,62,571","10,83,64,766.20","24,794","77,607",47.74
SRTRANSFIN,EQ,2014-01-06,674.45,675.25,678.85,654.25,655.50,657.55,661.51,"2,17,799","14,40,76,171.90","21,949","1,43,594",65.93
SRTRANSFIN,EQ,2014-01-07,657.55,663.00,663.00,626.15,628.45,634.65,645.69,"3,14,631","20,31,55,287.20","16,207","2,17,112",69.01
SRTRANSFIN,EQ,2014-01-08,634.65,626.00,643.00,620.35,624.90,627.70,634.75,"4,98,879","31,66,62,990.55","21,494","3,87,500",77.67
SRTRANSFIN,EQ,2014-01-09,627.70,627.00,627.00,602.70,610.70,609.50,611.50,"7,09,027","43,35,71,205.05","15,112","5,87,353",82.84
SRTRANSFIN,EQ,2014-01-10,609.50,609.50,619.90,601.00,607.00,604.75,609.95,"2,76,389","16,85,82,956.05","15,886","1,74,291",63.06
SRTRANSFIN,EQ,2014-01-13,604.75,609.95,617.80,598.30,609.15,608.75,610.67,"1,98,040","12,09,37,073.70","18,472","1,33,553",67.44
SRTRANSFIN,EQ,2014-01-14,608.75,601.00,615.00,599.70,607.00,605.65,601.37,"6,86,800","41,30,18,983.15","13,719","6,06,026",88.24
SRTRANSFIN,EQ,2014-01-15,605.65,603.10,628.00,603.10,619.60,620.05,620.88,"2,75,011","17,07,49,702.65","20,768","1,46,035",53.1
SRTRANSFIN,EQ,2014-01-16,620.05,621.00,631.00,602.00,602.70,605.15,621.25,"3,21,498","19,97,29,869.70","13,909","2,24,043",69.69
SRTRANSFIN,EQ,2014-01-17,605.15,603.40,608.55,594.15,596.00,599.65,600.56,"2,51,374","15,09,64,959.85","12,682","1,81,585",72.24
SRTRANSFIN,EQ,2014-01-20,599.65,600.00,613.50,595.00,610.00,610.45,606.19,"88,444","5,36,14,024.50","5,703","34,619",39.14
