Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SUNPHARMA,EQ,2014-01-01,567.45,568.25,574.0,568.1,572.05,572.35,571.25,"4,25,464","24,30,47,268.15","8,679","1,89,185",44.47
SUNPHARMA,EQ,2014-01-02,572.35,572.1,585.0,570.0,574.5,573.85,578.79,"13,11,399","75,90,18,758.10","35,941","7,73,728",59.0
SUNPHARMA,EQ,2014-01-03,573.85,575.0,581.4,570.0,580.3,579.7,574.99,"14,43,488","82,99,92,683.30","38,741","8,58,412",59.47
SUNPHARMA,EQ,2014-01-06,579.7,583.0,590.85,579.45,588.3,588.25,587.2,"18,32,494","1,07,60,34,456.35","50,059","11,08,984",60.52
SUNPHARMA,EQ,2014-01-07,588.25,593.0,599.0,589.2,594.2,594.2,595.31,"29,86,634","1,77,79,59,940.85","1,25,083","21,27,696",71.24
SUNPHARMA,EQ,2014-01-08,594.2,600.0,610.0,598.35,600.5,600.9,604.49,"24,27,891","1,46,76,38,496.30","88,762","14,43,306",59.45
SUNPHARMA,EQ,2014-01-09,600.9,600.9,609.4,599.2,606.65,607.0,604.06,"18,67,544","1,12,81,06,353.45","73,470","13,02,623",69.75
SUNPHARMA,EQ,2014-01-10,607.0,607.0,617.7,605.1,610.0,609.4,611.33,"25,48,423","1,55,79,27,997.60","1,17,686","18,41,436",72.26
SUNPHARMA,EQ,2014-01-13,609.4,610.0,615.25,596.35,602.25,602.35,604.74,"15,70,396","94,96,75,741.50","50,198","9,93,432",63.26
SUNPHARMA,EQ,2014-01-14,602.35,600.0,606.75,597.8,604.75,603.55,600.47,"26,26,299","1,57,70,22,334.60","48,020","22,15,762",84.37
SUNPHARMA,EQ,2014-01-15,603.55,604.0,610.95,601.15,601.95,603.5,605.68,"15,82,614","95,85,53,160.60","72,409","11,23,764",71.01
SUNPHARMA,EQ,2014-01-16,603.5,604.0,606.25,590.35,594.5,592.75,596.37,"9,05,324","53,99,09,155.50","31,433","5,60,243",61.88
SUNPHARMA,EQ,2014-01-17,592.75,591.75,600.5,590.0,595.0,594.0,597.39,"12,76,748","76,27,11,938.30","46,674","8,91,726",69.84
SUNPHARMA,EQ,2014-01-20,594.0,595.0,600.0,586.0,589.0,589.4,590.16,"10,22,330","60,33,39,439.30","41,469","6,23,524",60.99
SUNPHARMA,EQ,2014-01-21,589.4,594.0,594.0,577.6,581.4,580.35,582.84,"14,35,394","83,66,03,555.70","55,357","9,66,236",67.32
