Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAGLOBAL,EQ,2014-01-01,160.45,160.85,162.65,159.9,160.35,160.5,161.34,"19,58,707","31,60,15,359.85","16,590","9,32,759",47.62
TATAGLOBAL,EQ,2014-01-02,160.5,160.5,161.75,153.75,154.6,154.95,158.35,"21,16,255","33,51,02,523.10","29,664","8,97,620",42.42
TATAGLOBAL,EQ,2014-01-03,154.95,154.45,157.0,153.65,156.75,156.35,155.26,"18,16,178","28,19,87,115.25","18,457","7,78,171",42.85
TATAGLOBAL,EQ,2014-01-06,156.35,156.95,158.6,155.1,157.15,156.8,156.71,"15,38,685","24,11,31,492.75","11,358","5,56,781",36.19
TATAGLOBAL,EQ,2014-01-07,156.8,157.0,158.2,155.2,156.5,156.5,156.67,"12,44,854","19,50,30,513.00","10,361","3,79,584",30.49
TATAGLOBAL,EQ,2014-01-08,156.5,157.1,159.3,156.0,157.2,157.1,157.49,"21,22,772","33,43,21,617.65","24,878","10,27,892",48.42
TATAGLOBAL,EQ,2014-01-09,157.1,157.4,158.5,156.15,157.1,157.25,157.33,"17,40,722","27,38,71,758.55","19,610","8,01,733",46.06
TATAGLOBAL,EQ,2014-01-10,157.25,158.05,159.95,154.75,155.55,155.95,158.25,"25,20,546","39,88,80,937.90","35,454","10,87,882",43.16
TATAGLOBAL,EQ,2014-01-13,155.95,156.1,156.8,151.9,153.55,152.9,153.85,"23,40,369","36,00,62,659.10","26,348","10,54,871",45.07
TATAGLOBAL,EQ,2014-01-14,152.9,153.05,154.5,150.3,151.9,152.05,152.13,"21,75,698","33,09,88,838.70","27,469","12,44,639",57.21
TATAGLOBAL,EQ,2014-01-15,152.05,152.85,152.85,150.4,152.0,152.05,151.68,"11,17,786","16,95,43,761.95","9,475","4,68,837",41.94
TATAGLOBAL,EQ,2014-01-16,152.05,152.25,152.9,148.5,149.0,149.05,149.82,"21,42,240","32,09,53,810.00","20,196","11,87,458",55.43
TATAGLOBAL,EQ,2014-01-17,149.05,149.5,150.25,145.8,146.5,146.2,147.74,"18,84,689","27,84,42,244.30","33,786","9,40,472",49.9
TATAGLOBAL,EQ,2014-01-20,146.2,146.25,149.3,146.25,148.35,148.3,148.04,"25,49,468","37,74,16,548.70","18,119","14,20,494",55.72
TATAGLOBAL,EQ,2014-01-21,148.3,148.5,150.1,147.55,147.8,147.85,148.55,"19,92,324","29,59,64,912.65","14,551","10,72,615",53.84
TATAGLOBAL,EQ,2014-01-22,147.85,148.35,152.2,148.1,149.6,149.85,150.12,"45,86,839","68,85,96,067.70","25,573","21,13,912",46.09
TATAGLOBAL,EQ,2014-01-23,149.85,149.05,150.35,147.5,148.1,148.2,148.48,"11,91,923","17,69,79,323.50","9,938","4,83,758",40.59
TATAGLOBAL,EQ,2014-01-24,148.2,147.25,147.85,143.65,144.5,144.25,145.36,"20,15,494","29,29,81,104.75","19,011","9,22,978",45.79
TATAGLOBAL,EQ,2014-01-27,144.25,143.0,144.9,140.3,141.25,141.35,142.23,"17,98,083","25,57,45,249.60","16,268","7,69,122",42.77
TATAGLOBAL,EQ,2014-01-28,141.35,140.9,143.0,138.4,139.0,138.95,140.75,"22,81,455","32,11,22,405.20","18,481","12,34,669",54.12
TATAGLOBAL,EQ,2014-01-29,138.95,140.0,144.4,139.6,141.8,142.15,142.42,"24,41,955","34,77,94,526.00","17,284","10,25,920",42.01
TATAGLOBAL,EQ,2014-01-30,142.15,141.8,144.75,139.7,141.1,140.45,141.71,"49,43,283","70,05,22,321.25","36,283","23,85,085",48.25
TATAGLOBAL,EQ,2014-01-31,140.45,141.35,143.0,139.65,140.5,141.0,140.98,"25,55,790","36,03,26,506.60","22,711","13,52,111",52.9
TATAGLOBAL,EQ,2014-02-03,141.0,140.85,142.95,140.0,140.5,140.7,141.27,"21,40,205","30,23,42,275.90","22,524","8,94,479",41.79
TATAGLOBAL,EQ,2014-02-04,140.7,141.2,143.7,138.5,143.4,143.15,141.37,"28,66,989","40,52,98,374.45","23,282","16,86,716",58.83
TATAGLOBAL,EQ,2014-02-05,143.15,143.15,144.85,142.55,143.1,143.05,143.92,"14,18,289","20,41,24,812.85","11,243","6,58,487",46.43
TATAGLOBAL,EQ,2014-02-06,143.05,144.3,144.3,140.15,141.35,141.15,141.79,"29,05,219","41,19,19,500.15","19,473","18,23,737",62.77
TATAGLOBAL,EQ,2014-02-07,141.15,142.45,144.5,141.8,143.7,143.35,143.41,"20,53,488","29,44,81,639.85","13,798","9,47,647",46.15
TATAGLOBAL,EQ,2014-02-10,143.35,144.35,144.5,142.7,143.5,143.6,143.84,"14,11,856","20,30,87,937.50","9,188","8,60,250",60.93
TATAGLOBAL,EQ,2014-02-11,143.6,144.2,145.85,143.05,144.65,144.85,144.57,"14,65,761","21,19,11,460.40","13,068","5,74,903",39.22
TATAGLOBAL,EQ,2014-02-12,144.85,145.3,145.9,143.5,144.05,144.05,144.26,"14,86,914","21,45,07,288.65","14,061","8,42,154",56.64
TATAGLOBAL,EQ,2014-02-13,144.05,144.0,144.85,141.15,141.5,141.75,142.37,"13,90,278","19,79,29,769.30","16,338","8,20,920",59.05
TATAGLOBAL,EQ,2014-02-14,141.75,141.55,142.4,139.1,140.9,140.55,140.6,"10,60,283","14,90,75,082.95","17,934","4,64,873",43.84
TATAGLOBAL,EQ,2014-02-17,140.55,140.55,141.35,137.7,138.9,138.9,139.13,"10,78,151","14,99,99,620.00","31,773","5,09,339",47.24
TATAGLOBAL,EQ,2014-02-18,138.9,139.1,140.95,138.35,140.25,140.2,139.99,"12,94,179","18,11,72,785.55","13,775","5,81,542",44.94
TATAGLOBAL,EQ,2014-02-19,140.2,140.35,141.75,139.6,140.25,140.35,140.64,"8,82,447","12,41,11,455.35","11,403","3,55,537",40.29
TATAGLOBAL,EQ,2014-02-20,140.35,139.35,141.95,139.15,141.25,141.1,141.01,"7,84,045","11,05,59,292.70","9,064","2,53,428",32.32
TATAGLOBAL,EQ,2014-02-21,141.1,141.25,143.0,141.2,142.0,142.0,142.16,"12,04,144","17,11,81,203.70","12,807","4,95,425",41.14
TATAGLOBAL,EQ,2014-02-24,142.0,142.75,143.0,141.8,142.9,142.7,142.48,"6,13,301","8,73,84,958.20","8,552","2,63,610",42.98
TATAGLOBAL,EQ,2014-02-25,142.7,143.2,143.55,141.0,141.1,141.2,142.0,"10,34,913","14,69,54,015.20","12,724","5,05,969",48.89
TATAGLOBAL,EQ,2014-02-26,141.2,141.7,141.9,139.1,140.4,139.8,140.2,"18,68,445","26,19,51,981.20","14,797","11,77,180",63.0
TATAGLOBAL,EQ,2014-02-28,139.8,140.15,142.15,139.15,139.85,139.7,140.36,"18,52,558","26,00,31,566.05","19,963","10,90,947",58.89
TATAGLOBAL,EQ,2014-03-03,139.7,139.95,141.0,135.25,135.75,135.95,137.76,"29,79,960","41,05,11,012.70","41,112","18,27,884",61.34
TATAGLOBAL,EQ,2014-03-04,135.95,136.8,141.15,135.9,141.05,140.4,139.62,"29,95,506","41,82,17,791.60","35,340","10,90,624",36.41
TATAGLOBAL,EQ,2014-03-05,140.4,141.45,142.25,139.45,140.85,140.9,140.66,"23,17,544","32,59,92,659.80","19,277","11,28,119",48.68
TATAGLOBAL,EQ,2014-03-06,140.9,141.5,143.0,140.15,142.95,142.55,141.38,"30,10,530","42,56,23,333.50","42,635","17,02,232",56.54
TATAGLOBAL,EQ,2014-03-07,142.55,143.5,144.35,141.3,143.0,143.3,143.08,"29,10,251","41,63,87,273.20","26,624","14,14,043",48.59
TATAGLOBAL,EQ,2014-03-10,143.3,143.9,145.1,142.25,143.4,143.8,144.07,"21,27,241","30,64,65,727.30","27,688","11,00,350",51.73
TATAGLOBAL,EQ,2014-03-11,143.8,143.8,146.0,143.0,146.0,145.15,144.29,"21,10,986","30,45,87,885.90","21,201","9,75,146",46.19
TATAGLOBAL,EQ,2014-03-12,145.15,146.05,147.5,145.15,145.6,145.65,146.5,"21,09,508","30,90,43,485.90","15,126","7,65,989",36.31
TATAGLOBAL,EQ,2014-03-13,145.65,146.0,146.9,141.9,142.45,142.55,144.51,"12,40,884","17,93,25,765.40","11,298","5,03,921",40.61
TATAGLOBAL,EQ,2014-03-14,142.55,142.0,143.4,141.0,142.4,142.7,142.31,"12,37,254","17,60,75,975.90","9,671","4,85,068",39.21
TATAGLOBAL,EQ,2014-03-18,142.7,142.7,144.8,142.55,143.4,143.15,143.48,"9,26,631","13,29,52,455.15","9,910","3,11,511",33.62
TATAGLOBAL,EQ,2014-03-19,143.15,143.2,143.8,141.1,141.5,141.3,141.99,"19,82,788","28,15,35,342.00","15,037","13,91,066",70.16
TATAGLOBAL,EQ,2014-03-20,141.3,140.7,143.2,140.7,141.1,141.4,142.16,"15,78,311","22,43,74,336.75","12,684","8,69,139",55.07
TATAGLOBAL,EQ,2014-03-21,141.4,143.0,146.0,142.45,143.7,143.4,144.31,"27,71,806","39,99,94,412.65","17,632","10,36,956",37.41
TATAGLOBAL,EQ,2014-03-22,143.4,144.15,144.15,143.2,143.7,143.65,143.63,"1,25,170","1,79,77,701.65","1,346","56,381",45.04
TATAGLOBAL,EQ,2014-03-24,143.65,143.15,144.85,142.5,142.8,142.85,143.3,"12,39,544","17,76,32,238.90","10,927","6,17,421",49.81
TATAGLOBAL,EQ,2014-03-25,142.85,142.55,144.0,142.4,143.0,142.9,143.0,"12,14,418","17,36,62,941.25","8,112","6,53,775",53.83
TATAGLOBAL,EQ,2014-03-26,142.9,144.0,144.8,142.25,142.5,142.75,143.28,"17,63,657","25,26,89,926.50","13,354","8,63,909",48.98
TATAGLOBAL,EQ,2014-03-27,142.75,143.0,143.75,141.3,141.9,141.8,142.14,"31,47,980","44,74,48,582.15","16,635","22,66,743",72.01
TATAGLOBAL,EQ,2014-03-28,141.8,142.85,148.6,142.3,148.2,148.0,145.7,"39,12,192","57,00,15,338.75","24,627","20,37,822",52.09
TATAGLOBAL,EQ,2014-03-31,148.0,150.0,152.7,148.1,150.05,150.05,150.31,"41,43,774","62,28,56,543.85","34,558","13,96,633",33.7
TATAGLOBAL,EQ,2014-04-01,150.05,151.45,154.75,148.8,154.7,154.25,152.41,"48,63,298","74,12,34,246.45","38,560","20,07,985",41.29
