Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAMOTORS,EQ,2014-01-01,376.4,377.55,378.8,374.05,374.5,374.95,376.95,"13,50,265","50,89,87,388.15","14,909","4,21,023",31.18
TATAMOTORS,EQ,2014-01-02,374.95,374.95,376.2,369.2,372.0,372.35,372.98,"29,83,093","1,11,26,37,239.40","39,644","16,69,996",55.98
TATAMOTORS,EQ,2014-01-03,372.35,368.0,368.0,360.0,363.0,362.7,362.87,"49,50,946","1,79,65,37,048.95","84,245","21,90,868",44.25
TATAMOTORS,EQ,2014-01-06,362.7,367.5,370.5,364.2,367.25,366.95,367.93,"54,31,816","1,99,85,37,588.70","67,547","29,06,695",53.51
TATAMOTORS,EQ,2014-01-07,366.95,367.0,370.0,363.75,363.9,365.1,367.15,"39,78,229","1,46,06,09,147.00","50,120","22,52,370",56.62
TATAMOTORS,EQ,2014-01-08,365.1,365.1,371.6,364.55,370.5,370.25,368.61,"53,97,831","1,98,96,81,490.95","90,284","36,37,538",67.39
TATAMOTORS,EQ,2014-01-09,370.25,372.2,372.4,365.0,369.0,367.95,367.9,"35,65,546","1,31,17,46,794.50","85,784","22,79,394",63.93
TATAMOTORS,EQ,2014-01-10,367.95,370.0,370.6,365.5,367.0,367.0,367.91,"30,67,850","1,12,86,91,158.20","50,598","16,37,816",53.39
TATAMOTORS,EQ,2014-01-13,367.0,372.65,379.45,371.75,375.5,376.15,375.76,"66,35,467","2,49,33,70,738.35","1,09,578","38,02,361",57.3
TATAMOTORS,EQ,2014-01-14,376.15,375.1,375.5,368.1,371.8,371.8,371.37,"32,37,644","1,20,23,75,693.25","45,274","16,89,278",52.18
TATAMOTORS,EQ,2014-01-15,371.8,374.0,378.15,372.7,377.7,377.3,375.87,"47,95,274","1,80,24,11,117.10","66,421","31,31,868",65.31
TATAMOTORS,EQ,2014-01-16,377.3,379.0,379.0,366.8,369.55,369.75,370.21,"77,05,700","2,85,27,30,043.65","76,889","53,70,835",69.7
TATAMOTORS,EQ,2014-01-17,369.75,367.5,373.9,367.05,368.55,369.7,370.25,"49,47,903","1,83,19,81,936.70","38,733","31,98,234",64.64
TATAMOTORS,EQ,2014-01-20,369.7,371.05,376.75,370.5,374.4,374.9,373.66,"32,12,466","1,20,03,68,514.30","29,444","18,64,996",58.05
TATAMOTORS,EQ,2014-01-21,374.9,375.0,387.8,372.2,384.25,384.8,383.78,"57,20,137","2,19,52,56,008.90","65,229","25,77,476",45.06
TATAMOTORS,EQ,2014-01-22,384.8,381.45,387.5,380.05,385.5,386.1,385.48,"55,94,747","2,15,66,88,148.40","66,842","35,80,666",64.0
TATAMOTORS,EQ,2014-01-23,386.1,385.25,389.0,380.7,384.0,383.6,385.12,"37,50,003","1,44,41,92,623.80","61,823","19,56,915",52.18
TATAMOTORS,EQ,2014-01-24,383.6,379.0,382.05,368.8,371.1,370.4,372.59,"35,81,923","1,33,45,81,339.20","45,491","18,88,486",52.72
TATAMOTORS,EQ,2014-01-27,370.4,363.0,363.0,345.55,348.35,348.25,353.05,"91,40,386","3,22,69,88,633.90","1,47,140","52,48,794",57.42
TATAMOTORS,EQ,2014-01-28,348.25,345.5,359.4,345.5,355.0,356.25,353.38,"65,42,003","2,31,18,20,695.30","71,309","32,98,295",50.42
TATAMOTORS,EQ,2014-01-29,356.25,360.1,362.55,350.55,352.35,351.75,357.09,"32,52,615","1,16,14,66,070.85","38,172","12,56,046",38.62
TATAMOTORS,EQ,2014-01-30,351.75,349.3,367.5,349.0,363.2,361.75,357.03,"90,19,795","3,22,03,81,392.75","75,744","40,26,982",44.65
TATAMOTORS,EQ,2014-01-31,361.75,358.4,358.4,347.0,349.95,349.55,350.46,"68,59,611","2,40,40,53,200.60","85,638","34,41,243",50.17
TATAMOTORS,EQ,2014-02-03,349.55,347.0,349.75,335.6,337.0,336.4,339.82,"55,77,370","1,89,53,12,277.35","76,144","26,71,835",47.9
TATAMOTORS,EQ,2014-02-04,336.4,332.1,346.7,332.1,346.1,345.85,341.59,"1,13,39,969","3,87,36,64,707.00","1,26,492","57,64,121",50.83
TATAMOTORS,EQ,2014-02-05,345.85,343.0,358.5,339.55,355.0,355.1,349.82,"93,37,843","3,26,65,44,385.10","1,34,320","43,15,356",46.21
TATAMOTORS,EQ,2014-02-06,355.1,353.05,360.25,349.0,357.45,357.65,355.79,"79,99,919","2,84,63,21,706.75","64,905","41,09,115",51.36
TATAMOTORS,EQ,2014-02-07,357.65,360.0,363.0,356.1,360.25,360.2,359.61,"54,32,815","1,95,36,87,120.40","55,493","25,28,277",46.54
TATAMOTORS,EQ,2014-02-10,360.2,365.0,367.4,358.0,363.8,364.05,364.56,"65,09,957","2,37,32,37,886.45","77,180","23,59,246",36.24
TATAMOTORS,EQ,2014-02-11,364.05,381.05,382.7,370.65,374.1,374.5,375.79,"1,56,61,815","5,88,55,54,870.95","1,68,062","68,55,911",43.77
TATAMOTORS,EQ,2014-02-12,374.5,376.0,383.0,375.15,376.8,376.65,378.23,"77,20,562","2,92,01,36,419.85","85,385","35,91,956",46.52
TATAMOTORS,EQ,2014-02-13,376.65,380.0,383.45,374.7,375.0,375.95,379.35,"67,53,321","2,56,18,98,404.65","94,374","29,99,927",44.42
