Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATASTEEL,EQ,2014-01-01,424.2,425.0,426.8,423.65,426.0,425.9,425.61,"11,93,408","50,79,20,530.40","18,827","3,41,371",28.6
TATASTEEL,EQ,2014-01-02,425.9,426.0,435.5,417.0,418.0,419.2,427.92,"40,00,266","1,71,17,75,549.35","58,196","8,12,554",20.31
TATASTEEL,EQ,2014-01-03,419.2,416.5,419.4,409.0,413.25,412.5,413.1,"31,83,770","1,31,52,02,482.90","47,622","10,28,243",32.3
TATASTEEL,EQ,2014-01-06,412.5,410.95,415.7,404.6,407.7,408.3,410.35,"27,04,614","1,10,98,47,972.40","38,597","5,12,120",18.94
TATASTEEL,EQ,2014-01-07,408.3,409.9,411.9,392.55,393.0,394.7,400.72,"39,00,410","1,56,29,80,259.25","63,469","10,57,570",27.11
TATASTEEL,EQ,2014-01-08,394.7,394.65,397.25,389.6,391.4,392.4,393.53,"45,41,009","1,78,70,33,553.50","93,400","12,82,983",28.25
TATASTEEL,EQ,2014-01-09,392.4,394.35,399.3,387.6,391.2,390.8,393.17,"39,88,227","1,56,80,70,760.95","66,816","8,60,296",21.57
TATASTEEL,EQ,2014-01-10,390.8,392.8,393.2,383.5,384.0,384.5,387.56,"32,65,618","1,26,56,32,066.05","49,272","7,56,926",23.18
TATASTEEL,EQ,2014-01-13,384.5,385.25,389.2,381.75,387.2,385.95,385.61,"27,48,209","1,05,97,35,571.45","45,737","5,72,748",20.84
TATASTEEL,EQ,2014-01-14,385.95,385.0,389.0,373.3,374.25,374.35,379.18,"36,45,778","1,38,24,11,249.20","50,669","9,96,040",27.32
TATASTEEL,EQ,2014-01-15,374.35,376.0,380.0,372.6,375.45,375.0,376.51,"33,07,933","1,24,54,61,759.35","63,933","11,05,226",33.41
TATASTEEL,EQ,2014-01-16,375.0,376.5,384.5,375.85,381.0,381.1,381.69,"36,44,145","1,39,09,42,089.85","49,491","7,58,701",20.82
TATASTEEL,EQ,2014-01-17,381.1,381.0,385.7,375.15,378.3,377.65,379.91,"34,36,367","1,30,55,05,356.65","52,679","10,56,700",30.75
TATASTEEL,EQ,2014-01-20,377.65,377.5,379.25,370.1,374.95,374.55,373.74,"32,85,182","1,22,78,07,036.15","46,328","9,71,223",29.56
TATASTEEL,EQ,2014-01-21,374.55,376.0,386.0,376.0,386.0,383.6,381.24,"40,92,506","1,56,02,31,788.70","45,560","11,98,624",29.29
TATASTEEL,EQ,2014-01-22,383.6,384.3,394.0,384.3,392.85,393.25,390.94,"46,33,136","1,81,12,58,203.65","66,808","11,33,247",24.46
TATASTEEL,EQ,2014-01-23,393.25,392.85,393.0,387.1,388.75,389.25,389.49,"24,97,038","97,25,60,542.75","37,258","5,32,043",21.31
TATASTEEL,EQ,2014-01-24,389.25,385.1,386.0,374.45,376.5,376.0,378.34,"29,81,354","1,12,79,69,758.05","51,220","8,97,255",30.1
TATASTEEL,EQ,2014-01-27,376.0,369.4,369.65,352.0,353.7,353.55,359.43,"44,13,205","1,58,62,21,422.05","70,581","15,95,692",36.16
