Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TECHM,EQ,2014-01-01,"1,837.85","1,845.00","1,845.00","1,825.10","1,827.75","1,828.10","1,832.15","1,74,558","31,98,17,084.60","7,326","72,721",41.66
TECHM,EQ,2014-01-02,"1,828.10","1,828.10","1,841.75","1,793.35","1,816.85","1,816.10","1,825.89","3,48,875","63,70,07,090.30","13,304","1,47,881",42.39
TECHM,EQ,2014-01-03,"1,816.10","1,818.00","1,845.90","1,810.25","1,835.00","1,835.50","1,832.67","3,31,824","60,81,24,216.00","18,308","66,960",20.18
TECHM,EQ,2014-01-06,"1,835.50","1,840.00","1,843.50","1,810.00","1,813.95","1,815.85","1,818.23","3,71,264","67,50,41,968.85","17,953","1,72,430",46.44
TECHM,EQ,2014-01-07,"1,815.85","1,816.55","1,825.35","1,786.00","1,806.90","1,804.05","1,802.96","4,78,580","86,28,59,584.40","29,631","2,66,836",55.76
TECHM,EQ,2014-01-08,"1,804.05","1,809.00","1,859.80","1,805.00","1,839.95","1,840.60","1,842.27","7,70,246","1,41,89,99,762.90","36,321","4,15,023",53.88
TECHM,EQ,2014-01-09,"1,840.60","1,849.85","1,853.90","1,811.30","1,829.00","1,829.05","1,829.02","5,28,676","96,69,61,383.65","57,488","2,97,052",56.19
TECHM,EQ,2014-01-10,"1,829.05","1,844.70","1,891.80","1,833.90","1,878.00","1,878.90","1,874.74","11,85,007","2,22,15,76,453.75","74,722","6,39,158",53.94
TECHM,EQ,2014-01-13,"1,878.90","1,880.90","1,905.00","1,873.15","1,885.60","1,884.50","1,890.29","7,06,487","1,33,54,64,392.00","40,087","3,81,371",53.98
TECHM,EQ,2014-01-14,"1,884.50","1,888.85","1,906.10","1,880.00","1,891.90","1,893.25","1,892.59","7,02,878","1,33,02,61,212.10","65,481","3,91,822",55.75
TECHM,EQ,2014-01-15,"1,893.25","1,900.00","1,905.75","1,857.45","1,883.45","1,884.05","1,883.73","7,49,411","1,41,16,91,500.25","60,027","4,69,494",62.65
TECHM,EQ,2014-01-16,"1,884.05","1,884.00","1,891.50","1,850.00","1,866.05","1,866.25","1,867.07","6,79,856","1,26,93,39,631.25","54,845","3,96,097",58.26
TECHM,EQ,2014-01-17,"1,866.25","1,867.50","1,869.60","1,770.00","1,774.00","1,775.25","1,801.35","8,92,144","1,60,70,61,795.85","62,446","4,40,793",49.41
TECHM,EQ,2014-01-20,"1,775.25","1,769.30","1,834.70","1,752.80","1,830.00","1,828.70","1,807.89","8,05,087","1,45,55,08,337.95","48,191","3,38,975",42.1
TECHM,EQ,2014-01-21,"1,828.70","1,830.65","1,855.00","1,811.00","1,828.00","1,828.65","1,829.69","5,42,938","99,34,06,134.65","30,448","2,17,910",40.14
TECHM,EQ,2014-01-22,"1,828.65","1,827.90","1,856.00","1,825.00","1,842.75","1,842.15","1,845.67","3,95,129","72,92,78,759.65","20,825","1,29,377",32.74
TECHM,EQ,2014-01-23,"1,842.15","1,842.00","1,849.45","1,815.55","1,827.15","1,830.65","1,827.02","6,16,668","1,12,66,65,402.40","38,758","4,05,862",65.82
TECHM,EQ,2014-01-24,"1,830.65","1,820.10","1,846.00","1,787.00","1,799.70","1,793.55","1,811.49","4,61,871","83,66,73,301.70","17,722","2,13,123",46.14
TECHM,EQ,2014-01-27,"1,793.55","1,790.00","1,793.00","1,757.50","1,759.00","1,760.25","1,770.85","8,12,590","1,43,89,75,029.40","40,841","5,08,354",62.56
TECHM,EQ,2014-01-28,"1,760.25","1,761.00","1,778.95","1,720.25","1,740.00","1,738.75","1,741.04","4,74,221","82,56,39,712.75","24,115","2,79,963",59.04
TECHM,EQ,2014-01-29,"1,738.75","1,750.00","1,771.25","1,743.95","1,750.50","1,749.55","1,755.84","7,12,722","1,25,14,23,111.95","43,544","4,69,832",65.92
TECHM,EQ,2014-01-30,"1,749.55","1,748.25","1,748.25","1,703.60","1,729.00","1,718.30","1,717.40","7,86,613","1,35,09,28,462.40","40,546","5,03,442",64.0
TECHM,EQ,2014-01-31,"1,718.30","1,745.00","1,800.00","1,724.15","1,795.00","1,786.95","1,774.50","9,16,397","1,62,61,42,776.25","61,706","5,21,718",56.93
TECHM,EQ,2014-02-03,"1,786.95","1,797.00","1,811.00","1,760.60","1,767.05","1,763.10","1,775.62","9,93,841","1,76,46,88,469.10","34,402","6,57,750",66.18
TECHM,EQ,2014-02-04,"1,763.10","1,747.95","1,784.05","1,696.40","1,775.20","1,770.85","1,743.73","9,45,632","1,64,89,30,759.20","41,913","2,53,477",26.81
TECHM,EQ,2014-02-05,"1,770.85","1,825.80","1,849.95","1,815.05","1,838.00","1,839.85","1,836.33","25,89,699","4,75,55,36,633.75","78,794","12,96,326",50.06
TECHM,EQ,2014-02-06,"1,839.85","1,839.00","1,851.40","1,821.50","1,846.00","1,845.50","1,838.18","7,54,033","1,38,60,48,759.35","29,325","3,87,129",51.34
TECHM,EQ,2014-02-07,"1,845.50","1,850.00","1,870.00","1,815.10","1,819.00","1,823.15","1,841.56","8,86,851","1,63,31,90,640.20","59,062","4,20,134",47.37
TECHM,EQ,2014-02-10,"1,823.15","1,823.25","1,840.75","1,801.00","1,835.00","1,832.15","1,824.41","6,18,201","1,12,78,54,863.00","43,912","3,67,952",59.52
TECHM,EQ,2014-02-11,"1,832.15","1,823.50","1,877.00","1,823.50","1,865.00","1,861.70","1,860.16","10,48,297","1,94,99,98,475.80","55,939","6,74,219",64.32
TECHM,EQ,2014-02-12,"1,861.70","1,874.00","1,883.90","1,865.25","1,874.95","1,875.65","1,876.15","7,25,837","1,36,17,80,507.65","32,167","4,94,468",68.12
TECHM,EQ,2014-02-13,"1,875.65","1,869.95","1,875.90","1,806.25","1,816.00","1,813.80","1,831.09","8,72,869","1,59,82,98,373.60","70,593","5,31,647",60.91
TECHM,EQ,2014-02-14,"1,813.80","1,829.00","1,851.10","1,819.00","1,826.50","1,831.85","1,835.65","7,43,222","1,36,42,95,099.20","45,276","4,27,154",57.47
TECHM,EQ,2014-02-17,"1,831.85","1,835.00","1,843.70","1,812.85","1,823.20","1,823.75","1,825.72","3,65,279","66,68,97,579.60","20,879","1,78,194",48.78
TECHM,EQ,2014-02-18,"1,823.75","1,829.00","1,834.10","1,815.40","1,822.50","1,822.05","1,823.47","3,88,354","70,81,51,412.05","32,717","1,97,186",50.77
TECHM,EQ,2014-02-19,"1,822.05","1,830.00","1,850.95","1,819.20","1,842.15","1,842.85","1,841.33","5,50,174","1,01,30,54,369.70","28,009","2,94,198",53.47
TECHM,EQ,2014-02-20,"1,842.85","1,834.05","1,859.95","1,820.15","1,834.95","1,832.25","1,835.37","4,37,442","80,28,68,273.30","34,973","2,06,274",47.15
TECHM,EQ,2014-02-21,"1,832.25","1,830.00","1,850.00","1,830.00","1,849.95","1,848.20","1,843.13","4,00,412","73,80,10,371.50","62,260","2,23,516",55.82
TECHM,EQ,2014-02-24,"1,848.20","1,845.00","1,848.10","1,824.80","1,835.40","1,831.45","1,833.42","5,04,369","92,47,21,946.05","39,717","3,59,266",71.23
TECHM,EQ,2014-02-25,"1,831.45","1,835.25","1,847.00","1,835.00","1,839.90","1,839.60","1,840.36","3,71,994","68,46,04,057.70","25,161","2,13,322",57.35
TECHM,EQ,2014-02-26,"1,839.60","1,840.00","1,845.75","1,813.35","1,827.05","1,820.95","1,827.88","8,48,488","1,55,09,34,257.75","41,312","6,04,697",71.27
TECHM,EQ,2014-02-28,"1,820.95","1,843.00","1,890.95","1,837.10","1,876.00","1,867.25","1,868.51","43,15,853","8,06,42,28,583.20","1,43,637","33,65,017",77.97
TECHM,EQ,2014-03-03,"1,867.25","1,870.00","1,921.00","1,870.00","1,907.00","1,906.45","1,904.54","11,16,905","2,12,71,89,171.60","67,106","5,64,424",50.53
TECHM,EQ,2014-03-04,"1,906.45","1,903.50","1,920.80","1,883.15","1,901.45","1,900.00","1,895.53","5,85,841","1,11,04,78,123.40","35,329","2,80,130",47.82
TECHM,EQ,2014-03-05,"1,900.00","1,905.00","1,930.00","1,892.55","1,902.35","1,903.85","1,910.38","5,92,275","1,13,14,69,333.05","50,613","2,57,911",43.55
TECHM,EQ,2014-03-06,"1,903.85","1,921.90","1,936.90","1,900.10","1,926.95","1,923.20","1,922.78","8,78,675","1,68,94,96,661.00","49,142","5,37,888",61.22
TECHM,EQ,2014-03-07,"1,923.20","1,935.00","1,935.00","1,825.25","1,835.00","1,836.00","1,855.28","13,11,918","2,43,39,70,401.55","93,006","8,10,710",61.8
TECHM,EQ,2014-03-10,"1,836.00","1,838.45","1,845.20","1,791.10","1,799.00","1,799.60","1,807.94","9,60,249","1,73,60,71,144.70","85,936","5,72,961",59.67
TECHM,EQ,2014-03-11,"1,799.60","1,808.60","1,828.75","1,762.25","1,778.55","1,781.75","1,800.00","8,00,227","1,44,04,06,672.40","60,811","3,96,575",49.56
TECHM,EQ,2014-03-12,"1,781.75","1,786.25","1,808.00","1,776.00","1,802.00","1,802.75","1,798.01","7,71,093","1,38,64,33,148.55","59,774","4,92,313",63.85
TECHM,EQ,2014-03-13,"1,802.75","1,800.00","1,825.00","1,756.80","1,781.00","1,780.55","1,796.34","7,32,920","1,31,65,75,789.05","46,038","3,41,893",46.65
TECHM,EQ,2014-03-14,"1,780.55","1,789.00","1,809.85","1,775.00","1,780.10","1,785.25","1,792.09","6,03,946","1,08,23,26,580.80","36,787","3,32,296",55.02
TECHM,EQ,2014-03-18,"1,785.25","1,783.20","1,808.20","1,765.25","1,793.00","1,794.35","1,787.76","7,11,433","1,27,18,69,682.50","45,156","4,01,709",56.46
TECHM,EQ,2014-03-19,"1,794.35","1,795.00","1,798.85","1,731.00","1,775.00","1,777.50","1,768.56","9,56,119","1,69,09,56,149.20","45,990","4,94,072",51.67
TECHM,EQ,2014-03-20,"1,777.50","1,760.70","1,829.00","1,760.70","1,820.85","1,822.15","1,808.17","9,63,915","1,74,29,20,948.40","51,186","5,29,512",54.93
TECHM,EQ,2014-03-21,"1,822.15","1,827.00","1,849.90","1,801.50","1,811.00","1,808.95","1,825.81","11,21,073","2,04,68,66,679.10","56,412","6,33,671",56.52
TECHM,EQ,2014-03-22,"1,808.95","1,800.00","1,826.00","1,800.00","1,821.00","1,819.65","1,819.44","57,964","10,54,62,114.35","2,391","14,899",25.7
TECHM,EQ,2014-03-24,"1,819.65","1,821.00","1,849.00","1,812.05","1,843.05","1,844.30","1,833.23","7,67,455","1,40,69,17,918.00","41,715","4,60,921",60.06
TECHM,EQ,2014-03-25,"1,844.30","1,837.15","1,841.80","1,811.20","1,836.50","1,828.80","1,828.05","4,24,838","77,66,23,025.55","37,627","2,32,319",54.68
TECHM,EQ,2014-03-26,"1,828.80","1,834.00","1,849.30","1,795.25","1,806.00","1,815.35","1,818.20","7,42,356","1,34,97,48,376.50","51,711","4,21,251",56.75
TECHM,EQ,2014-03-27,"1,815.35","1,809.00","1,875.70","1,791.00","1,836.20","1,833.45","1,828.37","23,70,082","4,33,33,79,864.25","61,454","17,35,702",73.23
TECHM,EQ,2014-03-28,"1,833.45","1,848.80","1,850.00","1,822.00","1,825.00","1,836.75","1,837.91","11,03,476","2,02,80,91,928.30","48,985","8,02,126",72.69
