Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TITAN,EQ,2014-01-01,229.5,230.0,232.5,229.35,230.65,230.8,231.17,"5,38,938","12,45,88,330.00","7,615","1,96,933",36.54
TITAN,EQ,2014-01-02,230.8,229.5,235.95,225.1,226.4,226.35,232.1,"15,70,396","36,44,91,673.55","17,856","4,96,517",31.62
TITAN,EQ,2014-01-03,226.35,226.0,228.75,224.0,228.25,227.4,226.9,"8,18,984","18,58,23,548.65","9,943","3,14,189",38.36
TITAN,EQ,2014-01-06,227.4,228.0,230.3,225.55,227.35,227.8,228.22,"4,97,192","11,34,69,538.55","6,959","1,50,006",30.17
TITAN,EQ,2014-01-07,227.8,230.0,230.9,224.8,226.0,226.05,226.49,"7,13,955","16,17,04,822.30","8,356","2,32,769",32.6
TITAN,EQ,2014-01-08,226.05,226.9,226.95,222.1,223.2,222.75,224.19,"8,78,308","19,69,03,675.50","10,359","3,56,652",40.61
TITAN,EQ,2014-01-09,222.75,225.15,227.45,221.4,223.75,223.85,224.25,"11,26,716","25,26,62,984.20","14,644","3,38,772",30.07
TITAN,EQ,2014-01-10,223.85,224.0,227.25,219.0,220.05,220.25,223.6,"9,83,757","21,99,65,468.60","12,222","2,75,880",28.04
TITAN,EQ,2014-01-13,220.25,221.0,223.4,214.1,220.95,221.1,221.04,"12,53,786","27,71,38,384.65","15,468","5,12,972",40.91
TITAN,EQ,2014-01-14,221.1,221.25,222.4,220.0,220.65,221.0,221.01,"3,64,394","8,05,36,020.95","5,146","1,13,200",31.07
TITAN,EQ,2014-01-15,221.0,221.15,222.25,216.15,218.0,218.05,218.56,"10,60,362","23,17,56,765.40","13,656","4,64,966",43.85
TITAN,EQ,2014-01-16,218.05,218.05,219.7,216.65,217.5,218.2,217.99,"8,09,129","17,63,79,490.50","15,288","2,19,285",27.1
TITAN,EQ,2014-01-17,218.2,216.7,220.75,216.55,217.15,217.05,218.33,"6,45,915","14,10,20,706.75","8,487","2,27,530",35.23
TITAN,EQ,2014-01-20,217.05,216.1,217.95,215.0,216.4,216.5,216.45,"3,92,820","8,50,25,353.25","6,571","1,16,332",29.61
