Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TRENT,EQ,2014-01-01,"1,264.70","1,258.00","1,265.00","1,223.95","1,225.50","1,228.70","1,241.09","32,859","4,07,80,921.60","2,426","13,659",41.57
TRENT,EQ,2014-01-02,"1,228.70","1,229.00","1,248.00","1,200.00","1,201.50","1,205.65","1,225.21","28,635","3,50,83,872.60","2,310","11,216",39.17
TRENT,EQ,2014-01-03,"1,205.65","1,200.65","1,205.00","1,165.65","1,200.20","1,197.85","1,184.01","26,084","3,08,83,656.80","2,162","9,468",36.3
TRENT,EQ,2014-01-06,"1,197.85","1,196.30","1,215.00","1,166.25","1,166.25","1,174.25","1,193.65","19,907","2,37,62,063.55","2,088","6,745",33.88
TRENT,EQ,2014-01-07,"1,174.25","1,177.00","1,214.00","1,170.00","1,196.90","1,195.60","1,195.05","22,141","2,64,59,518.70","2,371","7,191",32.48
TRENT,EQ,2014-01-08,"1,195.60","1,200.00","1,203.95","1,165.00","1,166.00","1,169.50","1,178.50","14,377","1,69,43,310.30","1,468","5,342",37.16
TRENT,EQ,2014-01-09,"1,169.50","1,164.00","1,184.35","1,142.00","1,151.80","1,150.15","1,155.42","13,127","1,51,67,166.60","1,570","7,164",54.57
TRENT,EQ,2014-01-10,"1,150.15","1,139.00","1,143.60","1,110.00","1,127.90","1,125.25","1,127.85","25,418","2,86,67,575.70","1,857","16,009",62.98
TRENT,EQ,2014-01-13,"1,125.25","1,158.00","1,188.00","1,109.55","1,149.90","1,163.45","1,153.97","82,649","9,53,74,693.75","9,609","25,725",31.13
TRENT,EQ,2014-01-14,"1,163.45","1,150.00","1,165.00","1,116.60","1,131.50","1,132.20","1,133.09","28,180","3,19,30,348.90","2,590","16,437",58.33
TRENT,EQ,2014-01-15,"1,132.20","1,133.50","1,155.00","1,122.10","1,145.00","1,140.80","1,137.76","14,730","1,67,59,245.90","1,263","7,149",48.53
TRENT,EQ,2014-01-16,"1,140.80","1,130.35","1,150.00","1,130.00","1,130.00","1,132.35","1,137.87","3,876","44,10,383.25",547,"1,689",43.58
TRENT,EQ,2014-01-17,"1,132.35","1,130.05","1,145.75","1,104.55","1,138.00","1,134.40","1,127.42","8,124","91,59,144.20","1,006","4,213",51.86
TRENT,EQ,2014-01-20,"1,134.40","1,135.00","1,136.45","1,111.60","1,114.00","1,116.85","1,122.95","6,174","69,33,104.50",583,"3,486",56.46
TRENT,EQ,2014-01-21,"1,116.85","1,122.45","1,135.15","1,105.00","1,111.00","1,108.80","1,113.07","4,602","51,22,339.45",644,"1,844",40.07
TRENT,EQ,2014-01-22,"1,108.80","1,098.00","1,120.00","1,081.65","1,096.55","1,093.75","1,097.78","8,607","94,48,550.55","1,048","4,236",49.22
