Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ULTRACEMCO,EQ,2014-01-01,"1,764.10","1,769.00","1,773.00","1,746.00","1,772.00","1,769.25","1,761.82","51,796","9,12,55,164.25","4,403","20,289",39.17
ULTRACEMCO,EQ,2014-01-02,"1,769.25","1,760.50","1,777.90","1,726.00","1,731.00","1,731.10","1,748.53","81,220","14,20,15,461.75","7,225","46,639",57.42
ULTRACEMCO,EQ,2014-01-03,"1,731.10","1,720.00","1,753.45","1,705.10","1,727.00","1,727.20","1,727.97","78,848","13,62,46,733.70","5,819","50,042",63.47
ULTRACEMCO,EQ,2014-01-06,"1,727.20","1,726.50","1,732.80","1,706.90","1,723.05","1,724.30","1,720.59","65,748","11,31,25,056.85","3,579","43,195",65.7
ULTRACEMCO,EQ,2014-01-07,"1,724.30","1,729.00","1,734.65","1,682.00","1,687.00","1,690.20","1,703.63","98,004","16,69,62,259.15","11,598","60,112",61.34
ULTRACEMCO,EQ,2014-01-08,"1,690.20","1,695.00","1,712.00","1,681.45","1,692.00","1,700.85","1,699.22","84,069","14,28,51,934.30","6,522","43,419",51.65
ULTRACEMCO,EQ,2014-01-09,"1,700.85","1,700.00","1,700.00","1,675.60","1,676.50","1,688.55","1,690.73","3,32,263","56,17,67,482.30","20,806","3,04,373",91.61
ULTRACEMCO,EQ,2014-01-10,"1,688.55","1,684.70","1,691.85","1,643.65","1,672.00","1,671.80","1,669.06","2,51,293","41,94,22,445.55","8,260","2,04,263",81.28
ULTRACEMCO,EQ,2014-01-13,"1,671.80","1,670.25","1,691.90","1,651.90","1,669.50","1,669.55","1,672.66","1,52,716","25,54,42,566.25","6,278","1,27,175",83.28
ULTRACEMCO,EQ,2014-01-14,"1,669.55","1,660.50","1,670.00","1,634.00","1,650.05","1,648.00","1,653.99","87,817","14,52,48,508.55","6,893","57,377",65.34
ULTRACEMCO,EQ,2014-01-15,"1,648.00","1,652.25","1,720.00","1,641.30","1,710.00","1,710.10","1,686.13","1,32,016","22,25,95,537.95","18,271","82,095",62.19
ULTRACEMCO,EQ,2014-01-16,"1,710.10","1,712.25","1,755.00","1,697.40","1,752.00","1,747.20","1,734.27","2,14,732","37,24,03,615.40","9,545","1,07,287",49.96
ULTRACEMCO,EQ,2014-01-17,"1,747.20","1,748.00","1,756.00","1,706.50","1,716.00","1,719.25","1,731.36","2,85,994","49,51,57,711.95","15,740","2,36,730",82.77
ULTRACEMCO,EQ,2014-01-20,"1,719.25","1,719.50","1,725.00","1,685.00","1,718.75","1,718.95","1,713.47","2,42,621","41,57,23,768.05","20,914","1,41,080",58.15
ULTRACEMCO,EQ,2014-01-21,"1,718.95","1,720.00","1,720.00","1,696.20","1,700.10","1,699.75","1,706.38","2,23,992","38,22,15,143.05","7,823","1,87,074",83.52
ULTRACEMCO,EQ,2014-01-22,"1,699.75","1,704.00","1,704.00","1,668.00","1,702.05","1,694.70","1,686.75","6,64,324","1,12,05,49,008.20","8,818","6,12,209",92.16
ULTRACEMCO,EQ,2014-01-23,"1,694.70","1,695.05","1,729.90","1,676.00","1,724.95","1,706.05","1,700.72","70,498","11,98,97,092.90","5,121","19,484",27.64
ULTRACEMCO,EQ,2014-01-24,"1,706.05","1,711.00","1,732.00","1,691.50","1,700.00","1,699.75","1,702.04","1,40,784","23,96,20,480.70","13,152","1,06,134",75.39
ULTRACEMCO,EQ,2014-01-27,"1,699.75","1,674.00","1,708.50","1,662.05","1,700.00","1,700.05","1,695.64","1,57,548","26,71,45,460.50","8,466","1,08,429",68.82
ULTRACEMCO,EQ,2014-01-28,"1,700.05","1,693.00","1,709.50","1,670.05","1,695.00","1,694.80","1,691.17","63,905","10,80,74,399.25","5,261","34,586",54.12
ULTRACEMCO,EQ,2014-01-29,"1,694.80","1,701.10","1,729.00","1,672.10","1,701.00","1,703.35","1,698.55","1,00,701","17,10,46,058.20","8,980","49,209",48.87
ULTRACEMCO,EQ,2014-01-30,"1,703.35","1,681.00","1,709.90","1,662.50","1,698.90","1,686.15","1,685.44","2,27,549","38,35,20,718.50","14,427","1,42,568",62.65
ULTRACEMCO,EQ,2014-01-31,"1,686.15","1,714.90","1,720.00","1,678.00","1,714.00","1,710.70","1,700.16","95,706","16,27,15,878.05","9,413","59,846",62.53
ULTRACEMCO,EQ,2014-02-03,"1,710.70","1,725.00","1,736.95","1,675.80","1,683.70","1,690.05","1,713.20","84,364","14,45,32,129.85","6,509","44,732",53.02
ULTRACEMCO,EQ,2014-02-04,"1,690.05","1,678.00","1,717.00","1,665.00","1,671.05","1,674.10","1,680.97","91,012","15,29,88,699.65","8,288","44,102",48.46
ULTRACEMCO,EQ,2014-02-05,"1,674.10","1,675.20","1,687.10","1,665.00","1,681.00","1,679.65","1,673.64","5,77,216","96,60,49,410.10","8,968","5,31,671",92.11
ULTRACEMCO,EQ,2014-02-06,"1,679.65","1,699.80","1,703.00","1,650.30","1,692.80","1,696.75","1,683.17","1,50,039","25,25,40,975.25","7,364","99,453",66.28
ULTRACEMCO,EQ,2014-02-07,"1,696.75","1,692.00","1,739.00","1,692.00","1,739.00","1,729.05","1,719.75","78,752","13,54,34,117.25","8,426","30,574",38.82
ULTRACEMCO,EQ,2014-02-10,"1,729.05","1,738.00","1,750.25","1,720.15","1,723.80","1,724.85","1,728.79","51,216","8,85,41,477.70","9,476","24,907",48.63
ULTRACEMCO,EQ,2014-02-11,"1,724.85","1,731.30","1,731.30","1,692.00","1,700.00","1,699.35","1,701.20","50,543","8,59,83,651.90","7,338","24,167",47.81
ULTRACEMCO,EQ,2014-02-12,"1,699.35","1,705.50","1,714.00","1,696.00","1,705.15","1,705.70","1,705.29","77,023","13,13,46,894.35","7,802","48,513",62.99
ULTRACEMCO,EQ,2014-02-13,"1,705.70","1,709.60","1,714.60","1,676.00","1,679.50","1,688.45","1,695.64","89,929","15,24,87,422.45","5,826","61,501",68.39
ULTRACEMCO,EQ,2014-02-14,"1,688.45","1,688.45","1,690.10","1,651.10","1,653.00","1,666.35","1,664.90","70,557","11,74,70,165.60","6,471","33,631",47.67
ULTRACEMCO,EQ,2014-02-17,"1,666.35","1,670.10","1,679.85","1,657.50","1,662.25","1,667.50","1,667.47","31,840","5,30,92,165.80","2,728","8,384",26.33
ULTRACEMCO,EQ,2014-02-18,"1,667.50","1,675.00","1,703.00","1,673.65","1,690.00","1,690.90","1,691.55","76,714","12,97,65,571.55","2,498","54,480",71.02
ULTRACEMCO,EQ,2014-02-19,"1,690.90","1,705.00","1,715.00","1,696.35","1,705.00","1,706.45","1,708.59","71,257","12,17,49,237.60","4,192","47,022",65.99
ULTRACEMCO,EQ,2014-02-20,"1,706.45","1,693.40","1,716.00","1,675.25","1,703.80","1,702.05","1,699.37","92,694","15,75,21,853.90","4,974","65,735",70.92
ULTRACEMCO,EQ,2014-02-21,"1,702.05","1,700.00","1,813.30","1,690.05","1,799.00","1,799.95","1,768.53","2,74,804","48,59,98,687.00","24,361","1,45,650",53.0
ULTRACEMCO,EQ,2014-02-24,"1,799.95","1,786.00","1,845.00","1,771.15","1,840.00","1,838.15","1,818.41","1,57,657","28,66,85,123.15","11,127","76,811",48.72
ULTRACEMCO,EQ,2014-02-25,"1,838.15","1,838.00","1,879.00","1,834.00","1,863.00","1,865.75","1,852.04","1,48,155","27,43,88,351.45","13,707","94,496",63.78
ULTRACEMCO,EQ,2014-02-26,"1,865.75","1,853.20","1,863.00","1,818.25","1,843.00","1,844.10","1,842.89","2,19,350","40,42,36,924.55","15,294","1,22,140",55.68
ULTRACEMCO,EQ,2014-02-28,"1,844.10","1,851.75","1,864.00","1,826.15","1,830.00","1,839.20","1,841.93","2,26,586","41,73,54,680.30","28,391","1,74,914",77.2
ULTRACEMCO,EQ,2014-03-03,"1,839.20","1,834.80","1,845.90","1,820.40","1,828.00","1,826.75","1,833.27","46,525","8,52,92,871.50","5,413","23,402",50.3
