Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
WIPRO,EQ,2014-01-01,559.2,564.0,564.0,551.1,552.0,552.7,554.87,"4,43,007","24,58,09,241.45","12,779","1,64,263",37.08
WIPRO,EQ,2014-01-02,552.7,552.7,556.8,546.15,553.2,552.95,552.62,"9,15,486","50,59,13,230.70","27,113","5,04,221",55.08
WIPRO,EQ,2014-01-03,552.95,547.0,558.4,546.3,557.9,556.6,554.64,"11,07,663","61,43,52,240.15","33,450","5,23,487",47.26
WIPRO,EQ,2014-01-06,556.6,559.9,564.8,555.0,557.0,558.0,559.54,"18,55,578","1,03,82,65,810.35","42,632","11,95,728",64.44
WIPRO,EQ,2014-01-07,558.0,558.0,558.7,545.0,549.0,550.2,551.3,"12,32,292","67,93,65,829.40","31,041","7,66,767",62.22
WIPRO,EQ,2014-01-08,550.2,549.0,550.9,543.45,546.15,547.15,547.26,"10,77,593","58,97,23,233.40","44,603","6,31,766",58.63
WIPRO,EQ,2014-01-09,547.15,547.0,553.75,537.55,542.0,540.9,542.79,"16,37,153","88,86,27,556.30","55,209","10,75,168",65.67
WIPRO,EQ,2014-01-10,540.9,543.1,556.9,531.6,552.0,553.35,550.36,"26,57,892","1,46,28,07,303.75","54,275","14,45,101",54.37
WIPRO,EQ,2014-01-13,553.35,555.0,568.0,555.0,562.5,561.45,561.77,"18,91,221","1,06,24,24,549.55","52,127","11,24,031",59.43
WIPRO,EQ,2014-01-14,561.45,562.55,563.0,549.6,553.75,553.6,554.17,"14,60,471","80,93,51,713.40","47,494","9,59,353",65.69
WIPRO,EQ,2014-01-15,553.6,557.25,564.0,551.7,560.0,560.7,558.26,"13,03,011","72,74,20,077.45","47,664","7,98,008",61.24
WIPRO,EQ,2014-01-16,560.7,555.0,573.85,555.0,570.5,571.55,565.92,"17,17,084","97,17,39,510.60","48,646","8,57,589",49.94
WIPRO,EQ,2014-01-17,571.55,575.0,575.9,549.3,556.7,552.7,557.78,"25,17,653","1,40,43,08,282.30","79,655","12,10,662",48.09
WIPRO,EQ,2014-01-20,552.7,552.6,577.7,552.1,574.0,573.05,570.88,"47,12,091","2,69,00,20,530.50","75,616","22,63,318",48.03
WIPRO,EQ,2014-01-21,573.05,574.75,578.0,568.4,572.05,571.55,572.93,"22,14,120","1,26,85,46,446.75","31,175","14,18,065",64.05
WIPRO,EQ,2014-01-22,571.55,570.0,582.85,568.05,576.9,577.95,576.74,"20,96,716","1,20,92,65,165.15","49,447","13,08,162",62.39
WIPRO,EQ,2014-01-23,577.95,576.0,580.35,565.0,578.6,578.5,573.4,"20,39,827","1,16,96,31,824.65","62,790","12,96,270",63.55
WIPRO,EQ,2014-01-24,578.5,575.6,587.0,570.45,573.0,572.85,580.19,"21,51,627","1,24,83,53,757.40","43,012","11,87,466",55.19
WIPRO,EQ,2014-01-27,572.85,570.0,579.0,565.7,569.05,570.55,572.49,"19,49,218","1,11,59,04,595.90","66,046","11,63,142",59.67
WIPRO,EQ,2014-01-28,570.55,568.8,572.9,564.1,569.0,567.6,567.76,"11,52,906","65,45,74,025.60","27,973","6,63,980",57.59
WIPRO,EQ,2014-01-29,567.6,565.0,575.8,565.0,571.0,571.5,572.25,"11,40,851","65,28,48,170.70","35,258","6,81,896",59.77
WIPRO,EQ,2014-01-30,571.5,568.0,574.8,561.65,570.5,571.2,569.43,"19,43,078","1,10,64,49,714.50","46,071","11,59,300",59.66
WIPRO,EQ,2014-01-31,571.2,571.9,579.65,569.8,573.8,575.05,575.38,"10,46,685","60,22,45,212.35","22,199","5,38,341",51.43
WIPRO,EQ,2014-02-03,575.05,563.2,574.0,562.15,563.1,565.95,569.11,"11,31,649","64,40,31,504.15","33,074","8,32,951",73.61
WIPRO,EQ,2014-02-04,565.95,561.7,561.7,544.0,556.0,555.65,551.89,"21,08,872","1,16,38,67,700.25","51,596","14,45,524",68.54
WIPRO,EQ,2014-02-05,555.65,558.0,565.45,550.8,560.4,560.4,560.9,"15,85,005","88,90,34,149.15","35,832","10,42,746",65.79
WIPRO,EQ,2014-02-06,560.4,559.1,571.7,555.0,567.0,568.55,566.16,"26,69,065","1,51,11,07,293.45","41,075","18,99,945",71.18
WIPRO,EQ,2014-02-07,568.55,569.95,573.85,556.55,561.5,561.65,564.58,"13,80,044","77,91,51,610.60","41,470","8,65,288",62.7
WIPRO,EQ,2014-02-10,561.65,563.0,569.6,561.1,561.1,563.2,566.02,"10,45,040","59,15,13,188.25","24,495","8,30,998",79.52
WIPRO,EQ,2014-02-11,563.2,566.0,571.4,560.3,562.3,563.15,565.33,"13,64,572","77,14,33,124.60","22,550","8,32,889",61.04
WIPRO,EQ,2014-02-12,563.15,564.55,571.2,558.05,562.0,562.45,563.5,"14,18,547","79,93,48,825.85","28,846","8,42,253",59.37
WIPRO,EQ,2014-02-13,562.45,565.0,566.0,549.8,557.0,555.2,554.72,"10,89,476","60,43,49,455.95","37,840","6,61,120",60.68
WIPRO,EQ,2014-02-14,555.2,556.55,566.25,552.7,565.0,563.8,558.9,"11,94,129","66,73,98,285.15","25,195","6,57,513",55.06
WIPRO,EQ,2014-02-17,563.8,565.0,569.5,557.0,563.2,561.0,561.5,"8,56,546","48,09,46,922.10","22,373","4,65,053",54.29
WIPRO,EQ,2014-02-18,561.0,559.25,564.9,554.45,555.65,557.05,559.81,"9,22,441","51,63,90,836.40","25,052","4,91,192",53.25
WIPRO,EQ,2014-02-19,557.05,556.0,568.0,556.0,567.25,565.55,561.65,"7,46,613","41,93,32,042.05","20,698","4,24,657",56.88
WIPRO,EQ,2014-02-20,565.55,564.95,570.65,561.1,564.9,565.2,566.07,"10,95,687","62,02,33,478.20","25,015","5,64,619",51.53
WIPRO,EQ,2014-02-21,565.2,565.5,575.0,565.5,571.55,571.55,571.19,"13,53,479","77,30,94,177.40","43,384","8,50,073",62.81
WIPRO,EQ,2014-02-24,571.55,573.1,581.95,570.0,578.65,577.65,576.93,"10,41,237","60,07,19,184.40","40,949","5,69,758",54.72
WIPRO,EQ,2014-02-25,577.65,580.0,598.0,580.0,595.0,596.25,590.22,"16,51,574","97,47,83,978.90","64,372","8,17,611",49.5
WIPRO,EQ,2014-02-26,596.25,596.0,611.0,593.7,599.7,603.05,604.18,"27,39,680","1,65,52,49,321.00","59,866","14,96,025",54.61
WIPRO,EQ,2014-02-28,603.05,603.0,605.0,589.5,597.2,597.25,596.68,"18,20,677","1,08,63,69,574.55","43,888","11,40,714",62.65
WIPRO,EQ,2014-03-03,597.25,600.0,600.0,583.1,585.0,585.9,590.31,"9,34,482","55,16,33,291.20","27,562","4,99,898",53.49
WIPRO,EQ,2014-03-04,585.9,586.0,594.8,585.15,588.4,588.2,589.83,"14,03,123","82,76,06,707.50","32,831","9,54,967",68.06
WIPRO,EQ,2014-03-05,588.2,593.1,596.0,586.45,590.2,590.5,593.19,"16,79,861","99,64,78,210.80","27,519","11,51,159",68.53
WIPRO,EQ,2014-03-06,590.5,592.0,594.85,583.5,584.6,584.85,588.57,"12,44,942","73,27,41,433.90","28,938","9,19,102",73.83
WIPRO,EQ,2014-03-07,584.85,588.0,588.0,559.95,565.5,565.35,566.49,"19,81,648","1,12,25,91,715.45","54,498","10,40,207",52.49
WIPRO,EQ,2014-03-10,565.35,564.1,571.75,555.1,557.0,557.25,560.99,"20,73,312","1,16,31,05,696.05","52,420","13,20,968",63.71
WIPRO,EQ,2014-03-11,557.25,557.0,566.55,553.4,558.0,559.85,560.29,"17,96,880","1,00,67,68,180.95","35,994","11,63,694",64.76
WIPRO,EQ,2014-03-12,559.85,559.9,570.0,559.0,568.35,566.75,566.86,"12,11,907","68,69,83,030.30","33,572","7,04,050",58.09
WIPRO,EQ,2014-03-13,566.75,562.0,574.8,550.6,564.05,563.6,564.39,"19,69,289","1,11,14,47,856.10","43,525","10,40,583",52.84
WIPRO,EQ,2014-03-14,563.6,564.0,564.0,544.6,547.55,547.6,551.74,"22,34,360","1,23,27,76,221.65","44,355","15,06,321",67.42
WIPRO,EQ,2014-03-18,547.6,550.0,551.0,537.25,540.25,540.45,544.52,"18,20,785","99,14,61,753.60","46,186","10,83,138",59.49
WIPRO,EQ,2014-03-19,540.45,540.55,549.95,528.7,545.0,545.1,539.91,"21,38,912","1,15,48,28,017.90","46,895","10,63,404",49.72
WIPRO,EQ,2014-03-20,545.1,547.0,559.8,546.0,552.0,552.35,554.87,"16,91,269","93,84,29,953.70","35,771","8,70,068",51.44
WIPRO,EQ,2014-03-21,552.35,558.65,577.5,554.0,567.15,568.2,567.81,"34,12,152","1,93,74,45,949.50","67,742","19,00,479",55.7
WIPRO,EQ,2014-03-22,568.2,567.9,571.4,564.1,569.9,569.65,568.86,"1,06,326","6,04,84,110.05","2,527","22,921",21.56
WIPRO,EQ,2014-03-24,569.65,571.0,575.0,561.15,563.05,562.8,567.43,"10,45,777","59,34,05,785.15","29,371","6,18,138",59.11
WIPRO,EQ,2014-03-25,562.8,557.35,559.95,546.15,547.35,548.5,553.7,"23,00,896","1,27,39,96,786.60","56,494","17,84,395",77.55
WIPRO,EQ,2014-03-26,548.5,550.9,557.7,544.0,545.0,545.55,551.0,"13,44,740","74,09,57,652.70","52,263","8,58,057",63.81
WIPRO,EQ,2014-03-27,545.55,546.0,559.95,540.0,555.0,553.4,548.88,"22,07,336","1,21,15,53,066.65","48,126","12,79,220",57.95
WIPRO,EQ,2014-03-28,553.4,554.05,559.45,550.45,551.8,552.05,554.37,"11,33,226","62,82,28,538.55","37,548","7,46,496",65.87
WIPRO,EQ,2014-03-31,552.05,552.0,554.1,538.5,545.0,543.2,543.19,"26,66,235","1,44,82,63,612.40","93,381","16,33,597",61.27
WIPRO,EQ,2014-04-01,543.2,547.0,563.0,546.95,562.0,561.05,556.64,"18,86,694","1,05,02,00,588.65","42,046","10,03,144",53.17
WIPRO,EQ,2014-04-02,561.05,564.5,572.5,559.0,563.6,565.9,567.66,"17,96,200","1,01,96,29,296.25","56,815","11,29,701",62.89
WIPRO,EQ,2014-04-03,565.9,565.0,568.05,557.65,559.95,560.95,561.66,"9,23,771","51,88,46,138.00","30,163","5,12,849",55.52
WIPRO,EQ,2014-04-04,560.95,565.0,568.95,551.45,553.05,553.4,560.67,"10,28,562","57,66,80,383.40","39,451","5,61,449",54.59
WIPRO,EQ,2014-04-07,553.4,553.0,560.6,551.45,557.0,556.9,556.77,"11,39,018","63,41,67,813.55","26,825","7,11,320",62.45
WIPRO,EQ,2014-04-09,556.9,559.0,562.45,549.5,555.5,554.45,553.9,"14,44,851","80,03,08,674.00","51,034","8,85,077",61.26
WIPRO,EQ,2014-04-10,554.45,555.0,564.9,550.5,561.0,561.2,560.59,"14,45,069","81,00,87,441.10","45,862","7,95,529",55.05
WIPRO,EQ,2014-04-11,561.2,555.6,570.8,551.0,567.55,568.1,560.09,"17,66,113","98,91,86,827.35","35,540","7,28,084",41.23
WIPRO,EQ,2014-04-15,568.1,565.05,591.35,565.05,590.5,588.55,583.15,"23,55,416","1,37,35,54,368.80","47,364","10,57,495",44.9
WIPRO,EQ,2014-04-16,588.55,594.7,594.7,568.1,572.5,572.1,580.84,"19,79,808","1,14,99,55,398.10","68,900","10,19,750",51.51
