Company,N-bars,Date,Link
HDFCBANK,6,05-05-2014,https://kiranjadhav.com/chart_snapshots/pisnetin689afc9670ede3.67328932.png
HDFCBANK,5,05-01-2015,https://kiranjadhav.com/chart_snapshots/pisnetin689afd1eb67b11.43651798.png
HDFCBANK,5,13-06-2016,https://kiranjadhav.com/chart_snapshots/pisnetin689aff605cdbe7.70779691.png
HDFCBANK,20,13-02-2017,https://kiranjadhav.com/chart_snapshots/pisnetin689affcf71a357.20141080.png
HDFCBANK,5,24-07-2017,https://kiranjadhav.com/chart_snapshots/pisnetin689b002896bd59.30855776.png
HDFCBANK,14,11-03-2019,https://kiranjadhav.com/chart_snapshots/pisnetin689b008495f658.93885028.png
HDFCBANK,4,02-11-2020,https://kiranjadhav.com/chart_snapshots/pisnetin689b01400919b6.10332401.png
HDFCBANK,10,01-02-2021,https://kiranjadhav.com/chart_snapshots/pisnetin689b018d4f61b7.97650254.png
HDFCBANK,30,07-11-2022,https://kiranjadhav.com/chart_snapshots/pisnetin689b01e144e627.14336013.png
HDFCBANK,11,16-09-2024,https://kiranjadhav.com/chart_snapshots/pisnetin689b026661b795.81786841.png
ICICIBANK,8,05-05-2014,https://kiranjadhav.com/chart_snapshots/pisnetin689b37087ceac2.61240331.png
ICICIBANK,13,18-08-2014,https://kiranjadhav.com/chart_snapshots/pisnetin689b37751cd173.29424977.png
ICICIBANK,12,01-05-2017,https://kiranjadhav.com/chart_snapshots/pisnetin689b37e054c414.64435861.png
ICICIBANK,10,15-01-2018,https://kiranjadhav.com/chart_snapshots/pisnetin689b38365ff5e3.08258786.png
ICICIBANK,16,04-11-2019,https://kiranjadhav.com/chart_snapshots/pisnetin689b38ca57d629.74419481.png
ICICIBANK,32,02-11-2020,https://kiranjadhav.com/chart_snapshots/pisnetin689b390a2f6ff5.33517909.png
ICICIBANK,13,17-05-2021,https://kiranjadhav.com/chart_snapshots/pisnetin689b39507d55b7.05540704.png
ICICIBANK,35,04-07-2022,https://kiranjadhav.com/chart_snapshots/pisnetin689b3a05bc1e01.31788865.png
ICICIBANK,8,10-07-2023,https://kiranjadhav.com/chart_snapshots/pisnetin689b3a491239b7.30775927.png
ICICIBANK,18,27-11-2023,https://kiranjadhav.com/chart_snapshots/pisnetin689b3a981e7168.76520719.png
HEROMOTOCO,6,12-05-2014,https://kiranjadhav.com/chart_snapshots/pisnetin689b3bbb58b911.68203341.png
HEROMOTOCO,11,25-08-2014,https://kiranjadhav.com/chart_snapshots/pisnetin689b3d3ee56fa9.55799249.png
HEROMOTOCO,54,29-02-2016,https://kiranjadhav.com/chart_snapshots/pisnetin689b3dbe8c8281.19081983.png
