Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
M&M,EQ,2014-01-01,944.20,948.00,953.00,942.50,947.90,948.00,948.36,"3,11,759","29,56,59,206.40","7,834","1,07,014",34.33
M&M,EQ,2014-01-02,948.00,944.00,959.00,930.00,931.00,936.10,949.56,"5,03,776","47,83,65,876.25","18,923","2,97,554",59.06
M&M,EQ,2014-01-03,936.10,928.00,934.00,897.50,901.15,900.25,907.56,"10,45,971","94,92,80,352.55","43,489","5,90,112",56.42
M&M,EQ,2014-01-06,900.25,903.70,904.90,887.40,900.60,895.40,894.41,"6,38,053","57,06,82,418.65","29,853","3,37,483",52.89
M&M,EQ,2014-01-07,895.40,896.00,908.05,890.10,906.95,903.10,898.46,"8,99,197","80,78,88,797.35","40,821","5,19,470",57.77
M&M,EQ,2014-01-08,903.10,908.00,914.90,899.05,910.00,908.60,908.12,"5,88,184","53,41,39,639.35","21,092","2,92,331",49.7
M&M,EQ,2014-01-09,908.60,910.00,917.45,890.00,891.40,894.35,906.17,"4,59,440","41,63,29,251.05","18,181","1,72,610",37.57
M&M,EQ,2014-01-10,894.35,894.00,896.00,864.80,872.65,874.55,876.38,"8,96,627","78,57,90,355.40","48,319","4,50,918",50.29
M&M,EQ,2014-01-13,874.55,873.00,891.05,873.00,888.70,888.25,884.33,"5,07,675","44,89,50,074.85","20,329","2,45,067",48.27
M&M,EQ,2014-01-14,888.25,883.00,900.85,882.65,890.00,891.05,893.16,"6,71,699","59,99,36,550.70","18,723","3,81,358",56.78
M&M,EQ,2014-01-15,891.05,891.50,907.00,886.95,905.65,904.90,896.11,"8,24,994","73,92,86,383.20","34,094","4,03,960",48.97
M&M,EQ,2014-01-16,904.90,905.50,906.10,888.35,893.50,892.65,893.90,"8,26,060","73,84,13,283.65","48,292","5,88,588",71.25
M&M,EQ,2014-01-17,892.65,891.00,905.40,891.00,900.00,899.55,900.08,"9,16,751","82,51,47,394.95","30,908","7,03,001",76.68
M&M,EQ,2014-01-20,899.55,891.00,913.25,891.00,906.00,906.75,907.44,"5,08,424","46,13,62,889.95","24,765","2,40,766",47.36
M&M,EQ,2014-01-21,906.75,906.00,921.75,898.00,900.80,903.60,911.90,"5,19,638","47,38,58,415.65","29,401","2,65,822",51.16
M&M,EQ,2014-01-22,903.60,898.15,918.00,898.15,914.45,916.45,912.98,"9,55,815","87,26,40,383.35","24,462","6,46,322",67.62
M&M,EQ,2014-01-23,916.45,916.45,917.00,886.70,890.00,890.10,893.92,"10,47,415","93,63,05,088.70","62,356","7,12,610",68.04
M&M,EQ,2014-01-24,890.10,882.50,892.50,874.00,886.50,884.80,881.49,"19,91,029","1,75,50,65,006.80","81,596","15,31,982",76.94
M&M,EQ,2014-01-27,884.80,861.20,875.00,858.25,867.00,866.85,866.54,"13,04,447","1,13,03,53,903.55","44,546","9,92,549",76.09
M&M,EQ,2014-01-28,866.85,865.00,880.00,863.05,875.80,875.10,874.69,"11,29,327","98,78,14,572.80","41,334","8,46,996",75.0
M&M,EQ,2014-01-29,875.10,878.95,886.55,859.00,863.40,861.95,874.76,"7,84,718","68,64,36,739.85","41,680","5,76,623",73.48
M&M,EQ,2014-01-30,861.95,859.00,878.00,849.95,871.10,867.90,865.14,"7,74,710","67,02,33,534.25","22,936","5,15,933",66.6
M&M,EQ,2014-01-31,867.90,874.00,898.60,869.05,887.50,890.20,890.76,"9,42,208","83,92,85,230.75","27,440","6,40,175",67.94
M&M,EQ,2014-02-03,890.20,882.20,891.60,867.00,885.05,884.85,880.72,"9,90,012","87,19,24,838.60","37,793","7,08,349",71.55
M&M,EQ,2014-02-04,884.85,875.00,876.00,846.60,858.00,853.75,854.34,"18,22,968","1,55,74,42,810.95","67,737","12,50,753",68.61
M&M,EQ,2014-02-05,853.75,857.00,881.00,856.00,876.00,878.35,870.43,"9,17,994","79,90,53,864.95","29,388","5,62,515",61.28
M&M,EQ,2014-02-06,878.35,875.50,899.70,866.90,898.00,896.95,884.32,"11,10,998","98,24,77,208.75","35,215","7,45,921",67.14
M&M,EQ,2014-02-07,896.95,902.55,903.00,886.45,895.00,895.55,893.06,"7,21,608","64,44,35,817.95","17,089","4,67,239",64.75
M&M,EQ,2014-02-10,895.55,895.25,902.50,887.00,895.00,894.20,891.68,"7,90,281","70,46,75,937.40","30,246","6,28,371",79.51
M&M,EQ,2014-02-11,894.20,898.10,902.30,887.00,896.50,897.05,894.46,"6,96,770","62,32,34,752.75","33,227","4,88,384",70.09
M&M,EQ,2014-02-12,897.05,897.70,900.85,889.95,895.10,895.50,895.80,"4,38,370","39,26,93,489.10","21,552","3,25,763",74.31
M&M,EQ,2014-02-13,895.50,895.00,911.00,895.00,905.75,906.65,906.04,"8,04,727","72,91,17,672.80","48,046","4,49,559",55.86
M&M,EQ,2014-02-14,906.65,907.00,913.70,886.65,906.00,904.40,901.39,"12,68,648","1,14,35,43,407.00","39,725","5,65,839",44.6
M&M,EQ,2014-02-17,904.40,904.95,935.70,897.30,934.00,928.10,917.28,"11,21,503","1,02,87,35,486.75","26,849","4,72,840",42.16
M&M,EQ,2014-02-18,928.10,935.00,939.90,924.50,935.00,935.15,933.93,"10,21,824","95,43,14,160.05","36,837","5,49,815",53.81
M&M,EQ,2014-02-19,935.15,936.00,947.30,935.95,943.00,943.20,942.42,"8,91,891","84,05,39,864.40","27,394","5,26,557",59.04
M&M,EQ,2014-02-20,943.20,936.15,941.60,927.10,931.00,929.95,934.94,"8,25,663","77,19,46,319.10","21,959","6,12,590",74.19
M&M,EQ,2014-02-21,929.95,930.30,939.00,922.85,931.00,930.00,931.56,"4,67,313","43,53,28,966.95","25,458","3,06,746",65.64
M&M,EQ,2014-02-24,930.00,930.00,946.00,928.05,943.10,944.10,941.90,"3,91,298","36,85,62,505.65","13,417","1,95,029",49.84
M&M,EQ,2014-02-25,944.10,945.90,949.30,935.55,942.00,943.90,942.92,"9,55,190","90,06,66,794.90","33,247","7,47,066",78.21
M&M,EQ,2014-02-26,943.90,943.00,970.00,936.45,965.20,964.70,957.69,"8,54,094","81,79,56,078.00","24,422","5,77,658",67.63
M&M,EQ,2014-02-28,964.70,965.00,978.90,949.00,973.00,974.50,965.69,"9,53,836","92,11,13,204.95","34,294","5,82,411",61.06
M&M,EQ,2014-03-03,974.50,972.70,977.95,950.00,951.80,952.25,964.11,"5,34,471","51,52,89,071.60","23,293","3,22,412",60.32
M&M,EQ,2014-03-04,952.25,950.10,965.35,944.60,954.00,955.80,956.26,"5,75,424","55,02,54,020.20","27,225","3,49,587",60.75
M&M,EQ,2014-03-05,955.80,957.50,958.75,940.20,950.00,948.55,946.52,"6,09,756","57,71,47,557.35","22,408","3,58,421",58.78
M&M,EQ,2014-03-06,948.55,950.30,961.00,948.55,954.15,955.35,954.93,"9,58,756","91,55,48,754.15","28,645","6,80,773",71.01
M&M,EQ,2014-03-07,955.35,960.00,991.95,951.55,980.15,983.55,978.34,"10,01,714","98,00,16,203.50","27,708","4,49,166",44.84
M&M,EQ,2014-03-10,983.55,979.30,"1,021.00",975.00,"1,018.80","1,015.85","1,003.76","12,34,628","1,23,92,73,979.10","44,820","6,60,120",53.47
M&M,EQ,2014-03-11,"1,015.85","1,012.00","1,021.85",984.10,991.95,994.50,994.94,"7,67,406","76,35,24,499.10","38,041","4,27,629",55.72
M&M,EQ,2014-03-12,994.50,989.40,998.00,983.30,996.00,991.25,988.72,"16,33,533","1,61,51,03,741.00","32,509","12,28,165",75.18
M&M,EQ,2014-03-13,991.25,"1,001.90","1,025.00",994.35,"1,017.50","1,016.05","1,015.05","12,15,049","1,23,33,31,975.40","48,259","8,15,059",67.08
M&M,EQ,2014-03-14,"1,016.05","1,012.90","1,035.50",996.00,"1,029.05","1,027.00","1,012.21","12,37,442","1,25,25,53,688.90","48,585","8,37,319",67.67
