Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-05,1915.0,1928.75,1870.0,1895.55,595653,1133546182.25,40514,"20,6631,62,9321,28,482",1899.55,1905.0733333333335,BAJAJ-AUTO,EQ
2014-01-12,1896.0,1923.0,1865.0,1900.3,1828749,3470771326.5,97786,"1,64,1811,77,4574,44,7292,04,1423,08,613",1900.0,1896.354,BAJAJ-AUTO,EQ
2014-01-19,1895.25,1939.0,1864.95,1933.45,2074747,3951918689.8500004,126645,"1,92,5631,70,5481,79,5533,84,0193,79,890",1934.05,1900.7959999999998,BAJAJ-AUTO,EQ
2014-01-26,1938.2,1953.0,1911.85,1931.7,1983397,3835022494.3500004,76376,"1,40,73999,3971,66,5366,79,1305,11,363",1934.75,1936.4759999999999,BAJAJ-AUTO,EQ
2014-02-02,1920.0,1968.0,1882.05,1901.5,1843471,3525229343.5,83793,"3,98,6922,69,05195,2774,05,0612,65,627",1908.0,1915.854,BAJAJ-AUTO,EQ
2014-02-09,1901.05,1939.8,1793.2,1935.35,1245021,2340539252.7999997,78922,"1,19,9101,86,5731,07,5601,14,5412,40,258",1935.0,1879.2040000000002,BAJAJ-AUTO,EQ
2014-02-16,1930.0,1959.45,1818.0,1839.6,1172121,2220894274.65,73933,"64,0991,46,6201,57,61049,5862,32,851",1844.8,1909.4419999999998,BAJAJ-AUTO,EQ
2014-02-23,1845.0,1869.35,1810.0,1862.7,1273630,2347921669.55,102150,"1,36,3861,19,7111,05,9841,29,1631,04,688",1858.0,1843.8799999999999,BAJAJ-AUTO,EQ
2014-03-02,1862.7,1957.95,1850.0,1946.35,1114557,2131403384.1000001,88525,"72,4221,25,2852,66,4752,49,813",1943.0,1903.5,BAJAJ-AUTO,EQ
2014-03-09,1942.0,2005.0,1885.05,1954.7,1176419,2283842503.45,120548,"1,61,9161,31,55770,9481,01,8362,33,234",1960.2,1933.85,BAJAJ-AUTO,EQ
2014-03-16,1958.0,2038.2,1950.3,1974.3,1492912,2958356926.5,95885,"1,72,5881,56,8761,77,32078,4481,17,582",1973.15,1980.5220000000002,BAJAJ-AUTO,EQ
2014-03-23,1990.0,2014.95,1968.1,1981.1,979844,1952356330.8999999,76049,"1,24,6252,55,49375,7212,22,3751,290",1985.0,1989.5819999999999,BAJAJ-AUTO,EQ
2014-03-30,1983.2,2096.8,1979.75,2058.0,1488532,3051506125.45,99342,"91,5621,52,5591,53,9993,68,4632,48,158",2066.6,2041.636,BAJAJ-AUTO,EQ
2014-04-06,2068.7,2100.0,2017.2,2028.9,1319940,2711051557.55,104892,"1,75,04966,1301,07,0413,06,1142,20,027",2024.2,2056.228,BAJAJ-AUTO,EQ
2014-04-13,2006.55,2057.9,1990.65,2007.55,994013,2007061620.7,74190,"1,28,7401,59,1311,46,2791,91,283",2000.0,2019.8474999999999,BAJAJ-AUTO,EQ
2014-04-20,2009.7,2025.7,1954.4,2016.05,586974,1174768297.55,49203,"1,32,6641,28,77797,763",2018.5,2002.54,BAJAJ-AUTO,EQ
2014-04-27,2010.55,2035.9,1982.3,1996.05,1108082,2220095431.1,50350,"1,01,0551,12,7822,19,3813,29,566",1996.0,2006.855,BAJAJ-AUTO,EQ
2014-05-04,1998.75,1999.0,1900.0,1906.7,1195265,2326052138.55,82209,"3,09,6732,72,3431,69,3111,05,533",1906.7,1940.105,BAJAJ-AUTO,EQ
2014-05-11,1910.0,1927.0,1861.0,1919.95,1192386,2266907226.5,51827,"2,11,5362,13,73691,7151,20,8792,51,063",1927.0,1897.22,BAJAJ-AUTO,EQ
2014-05-18,1911.1,2094.7,1908.0,1931.7,2476055,4905256140.9,148262,"3,42,2932,60,1821,01,4152,15,8674,82,962",1924.0,1984.152,BAJAJ-AUTO,EQ
2014-05-25,1969.0,2028.7,1840.1,1976.25,2164679,4174668716.6499996,151893,"3,34,4043,49,4142,41,9231,65,61893,106",1978.0,1939.3919999999998,BAJAJ-AUTO,EQ
2014-06-01,1990.0,2012.9,1912.7,1943.95,1268975,2479688845.95,88174,"93,69758,4742,42,6512,35,9092,13,192",1945.05,1957.9260000000002,BAJAJ-AUTO,EQ
2014-06-08,1947.95,2054.0,1924.2,2048.4,1233772,2471886467.25,91271,"1,16,68267,6581,30,8081,36,0642,11,321",2050.1,1997.15,BAJAJ-AUTO,EQ
2014-06-15,2056.9,2228.0,2044.3,2170.7,2133099,4596271097.95,119937,"2,31,5803,20,4862,67,6141,13,5251,87,231",2174.0,2159.398,BAJAJ-AUTO,EQ
2014-06-22,2173.0,2210.0,2134.2,2179.8,1684249,3656670999.95,146562,"3,78,7181,93,5251,60,1381,54,8031,79,941",2182.0,2167.434,BAJAJ-AUTO,EQ
2014-06-29,2180.0,2320.0,2161.6,2309.1,1742983,3945132476.6,112514,"1,95,9161,09,2161,91,3122,06,9913,60,099",2313.1,2255.4880000000003,BAJAJ-AUTO,EQ
2014-07-06,2297.6,2364.85,2281.0,2299.2,1271217,2950319771.35,69922,"2,21,65093,9081,85,8641,57,0681,19,887",2293.4,2319.404,BAJAJ-AUTO,EQ
2014-07-13,2310.0,2324.6,2102.7,2133.95,1634415,3649937332.95,133974,"1,86,1474,42,3292,34,9561,22,94389,670",2139.0,2215.612,BAJAJ-AUTO,EQ
2014-07-20,2133.95,2169.0,2051.5,2081.25,2673157,5636401385.5,128367,"1,86,9102,17,7224,12,1945,83,1293,95,298",2088.05,2117.502,BAJAJ-AUTO,EQ
2014-07-27,2083.2,2122.9,2060.4,2100.75,1733137,3611438041.5,93118,"3,07,4613,27,7112,37,8971,05,5561,85,679",2100.0,2086.688,BAJAJ-AUTO,EQ
2014-08-03,2092.0,2108.05,2045.2,2057.9,2237409,4638902281.15,89899,"1,56,3134,86,9396,97,3844,70,010",2061.35,2074.3675000000003,BAJAJ-AUTO,EQ
2014-08-10,2065.0,2178.0,2041.5,2121.65,2237222,4742274690.0,101075,"4,84,5902,89,4643,56,4882,25,8931,00,978",2120.0,2124.5060000000003,BAJAJ-AUTO,EQ
2014-08-17,2140.0,2165.0,2101.2,2135.0,1454731,3094704806.65,75826,"1,91,4093,46,7162,78,9271,81,851",2130.0,2127.0074999999997,BAJAJ-AUTO,EQ
2014-08-24,2125.1,2278.6,2125.1,2266.35,1997368,4408684447.55,128450,"2,81,5471,60,5571,13,2264,62,83388,408",2275.0,2203.964,BAJAJ-AUTO,EQ
2014-08-31,2274.9,2304.6,2224.4,2258.7,1303959,2959503440.15,76715,"96,21169,7852,54,7564,04,195",2261.85,2266.315,BAJAJ-AUTO,EQ
2014-09-07,2279.7,2349.0,2207.95,2339.65,2243881,5105760369.1,130904,"2,85,6033,58,8162,37,7541,69,5081,75,571",2337.7,2274.4700000000003,BAJAJ-AUTO,EQ
2014-09-14,2345.0,2382.95,2315.2,2348.45,971514,2282279193.45,59727,"1,26,85597,92779,68134,74288,697",2340.15,2346.654,BAJAJ-AUTO,EQ
2014-09-21,2351.85,2428.2,2293.4,2412.35,1031926,2434372738.7,66155,"64,90759,39190,2991,13,5991,24,622",2407.2,2351.096,BAJAJ-AUTO,EQ
2014-09-28,2421.95,2457.0,2300.0,2340.8,945428,2252683001.85,58819,"52,09967,4821,11,3891,04,24762,795",2330.65,2381.924,BAJAJ-AUTO,EQ
2014-10-05,2349.95,2371.35,2296.0,2336.1,590497,1380614119.0,34941,"67,8811,73,66244,632",2332.8,2336.4933333333333,BAJAJ-AUTO,EQ
2014-10-12,2314.0,2380.75,2311.05,2353.65,563154,1322004981.2,47142,"81,17362,77852,80560,018",2357.9,2347.5825,BAJAJ-AUTO,EQ
2014-10-19,2330.2,2440.9,2330.05,2373.2,1494882,3570234157.0,89639,"29,1871,30,4512,08,8752,23,027",2359.0,2379.59,BAJAJ-AUTO,EQ
2014-10-26,2383.0,2541.0,2381.25,2529.7,818569,2006702724.35,57573,"95,9011,09,1222,25,37912,990",2532.0,2455.1575000000003,BAJAJ-AUTO,EQ
2014-11-02,2535.6,2628.25,2470.45,2611.05,984400,2508421601.45,75805,"63,62078,4281,23,8771,37,9331,29,972",2608.85,2540.218,BAJAJ-AUTO,EQ
2014-11-09,2611.0,2624.75,2532.8,2539.7,827667,2128887679.1999998,66546,"1,51,6012,29,3401,40,293",2543.0,2569.66,BAJAJ-AUTO,EQ
2014-11-16,2545.0,2663.65,2520.6,2652.85,1401878,3660520258.5,60877,"48,23677,38583,6154,33,7883,28,855",2647.0,2590.9880000000003,BAJAJ-AUTO,EQ
2014-11-23,2645.0,2688.0,2635.1,2673.45,2532531,6749360492.6,54138,"3,46,9193,58,7158,01,1792,56,0904,01,200",2675.95,2662.308,BAJAJ-AUTO,EQ
2014-11-30,2661.0,2695.0,2570.15,2640.8,1715442,4513268093.7,74285,"1,80,7281,14,3963,76,3452,00,8992,81,720",2644.6,2637.434,BAJAJ-AUTO,EQ
2014-12-07,2642.5,2660.8,2555.7,2619.9,1276623,3327795812.3,58777,"1,03,5002,49,4192,28,4711,97,37959,914",2611.25,2611.306,BAJAJ-AUTO,EQ
2014-12-14,2625.0,2641.2,2510.3,2521.35,1767669,4575149571.45,91225,"2,02,1454,19,1124,21,3491,10,2841,43,796",2515.15,2582.288,BAJAJ-AUTO,EQ
2014-12-21,2500.0,2545.05,2444.85,2473.55,1242145,3099570309.7,78124,"1,01,3381,17,3681,77,9161,79,7871,95,193",2459.0,2497.88,BAJAJ-AUTO,EQ
2014-12-28,2510.0,2539.0,2453.1,2480.7,947764,2355842843.55,51178,"1,26,39369,8872,90,16532,007",2488.1,2486.585,BAJAJ-AUTO,EQ
2015-01-04,2499.7,2505.0,2414.5,2451.75,623361,1529050690.45,44769,"48,17641,02697,65211,27558,411",2446.0,2457.3559999999998,BAJAJ-AUTO,EQ
2015-01-11,2452.0,2481.2,2350.0,2375.85,5435882,13302421503.900002,87959,"39,8884,75,2831,11,37241,54,4921,04,671",2375.0,2441.344,BAJAJ-AUTO,EQ
2015-01-18,2385.0,2442.0,2313.8,2420.15,1579035,3768363886.05,97674,"90,60175,7301,02,5901,75,5731,43,056",2415.0,2371.2560000000003,BAJAJ-AUTO,EQ
2015-01-25,2420.1,2491.25,2375.25,2441.5,1873195,4561384831.0,78833,"2,93,46493,04392,3856,13,4812,20,716",2437.8,2427.974,BAJAJ-AUTO,EQ
2015-02-01,2428.2,2439.95,2374.2,2391.7,2124255,5096737099.95,126023,"3,37,4257,88,6872,99,2901,69,531",2389.05,2397.81,BAJAJ-AUTO,EQ
2015-02-08,2390.0,2421.25,2020.9,2223.3,2140913,4869988527.75,148689,"2,71,0474,95,1662,69,5701,79,3081,31,516",2220.0,2268.116,BAJAJ-AUTO,EQ
2015-02-15,2210.0,2314.9,2195.05,2260.8,1927765,4368520884.9,99889,"1,59,5921,47,6061,26,1124,84,2654,41,826",2265.35,2266.3360000000002,BAJAJ-AUTO,EQ
2015-02-22,2263.2,2280.85,2200.0,2206.8,2812787,6292329432.65,74451,"9,72,5022,39,3808,15,0333,40,607",2210.0,2234.7425000000003,BAJAJ-AUTO,EQ
2015-03-01,2215.0,2222.6,2108.3,2153.45,2436899,5270824547.85,117858,"3,30,3501,79,0883,18,2505,96,6972,63,81745,635",2165.15,2166.2833333333333,BAJAJ-AUTO,EQ
2015-03-08,2168.0,2209.35,2053.0,2118.65,1775015,3743163211.6,99194,"4,06,2711,82,7643,14,3231,74,458",2119.0,2111.6475,BAJAJ-AUTO,EQ
2015-03-15,2110.0,2156.0,2011.0,2023.1,2378767,4957978924.65,159272,"2,06,5932,32,3402,38,8953,09,9475,93,171",2028.3,2098.0080000000003,BAJAJ-AUTO,EQ
2015-03-22,2010.0,2059.0,2007.25,2017.85,2342391,4761537784.8,98902,"1,99,5121,59,8275,12,7833,87,5454,50,595",2014.3,2034.364,BAJAJ-AUTO,EQ
2015-03-29,2011.8,2041.8,1980.0,2016.9,3631933,7328560545.950001,120987,"3,19,4229,22,8856,01,1238,43,7163,15,569",2019.0,2017.4180000000001,BAJAJ-AUTO,EQ
2015-04-05,2030.0,2043.7,1998.3,2019.8,707867,1429705916.3,48556,"1,56,5641,84,4921,23,760",2019.0,2019.8999999999999,BAJAJ-AUTO,EQ
2015-04-12,2030.0,2128.0,1993.65,2098.75,1275429,2647898367.45,106352,"1,60,6751,73,6941,34,3451,23,21794,471",2093.0,2079.02,BAJAJ-AUTO,EQ
2015-04-19,2115.0,2115.3,2040.0,2065.3,871481,1812458031.85,69786,"1,54,7081,11,6021,43,78189,871",2068.0,2078.7225,BAJAJ-AUTO,EQ
2015-04-26,2065.0,2083.05,1943.0,1998.85,1258529,2523798388.4,109730,"1,34,0181,28,8761,69,38642,5461,36,134",1999.8,2005.7099999999998,BAJAJ-AUTO,EQ
2015-05-03,2006.0,2009.95,1912.5,1948.65,1861308,3646679272.6499996,99686,"1,16,7721,11,86990,1588,48,964",1939.0,1975.96,BAJAJ-AUTO,EQ
2015-05-10,1958.8,2148.1,1932.95,2123.05,2323439,4778628357.7,135191,"2,56,6341,34,5904,43,5292,14,4921,32,635",2123.3,2063.498,BAJAJ-AUTO,EQ
2015-05-17,2131.0,2193.25,2092.35,2186.5,1466991,3158671601.4,117106,"1,60,4211,35,0721,56,1802,33,05965,365",2188.0,2154.066,BAJAJ-AUTO,EQ
2015-05-24,2192.0,2340.9,2123.3,2307.45,4420432,9844398790.15,262486,"1,11,00094,8691,73,7535,37,8613,38,665",2305.0,2219.998,BAJAJ-AUTO,EQ
2015-05-31,2300.0,2336.75,2275.0,2316.1,2162569,4993523119.1,112527,"1,11,71289,9373,26,0162,16,6603,86,907",2312.25,2308.292,BAJAJ-AUTO,EQ
2015-06-07,2318.55,2351.0,2190.55,2198.5,1413045,3227596461.95,85665,"1,12,7872,91,65469,15858,47354,379",2199.9,2268.574,BAJAJ-AUTO,EQ
2015-06-14,2200.0,2297.0,2177.4,2286.3,2004298,4485015123.75,129242,"2,11,8071,30,8881,92,7721,89,8313,10,902",2282.0,2233.106,BAJAJ-AUTO,EQ
2015-06-21,2286.3,2425.0,2261.6,2407.75,1961377,4632485219.0,157056,"2,68,9312,67,2222,01,7191,62,4341,84,832",2403.0,2368.314,BAJAJ-AUTO,EQ
2015-06-28,2405.05,2554.0,2388.6,2544.8,2389740,5897557323.200001,152430,"1,40,4811,93,5381,50,6504,59,9703,53,271",2545.0,2448.178,BAJAJ-AUTO,EQ
2015-07-05,2500.0,2609.0,2480.45,2588.0,2145279,5487187035.9,125160,"2,91,4783,52,7741,18,1471,17,8181,77,588",2586.2,2558.3559999999998,BAJAJ-AUTO,EQ
2015-07-12,2572.0,2612.9,2453.65,2466.8,1196151,3046928043.45,112696,"1,46,49996,21281,7101,20,7081,91,002",2467.0,2556.568,BAJAJ-AUTO,EQ
2015-07-19,2480.0,2567.6,2439.6,2529.45,1470988,3704500272.5499997,112855,"1,84,1902,54,5011,89,1111,31,0101,16,530",2534.0,2520.43,BAJAJ-AUTO,EQ
2015-07-26,2533.0,2656.0,2477.15,2497.35,2903124,7393706645.4,178642,"64,1001,16,7272,83,8863,64,3501,69,537",2501.0,2543.602,BAJAJ-AUTO,EQ
2015-08-02,2494.0,2555.6,2460.75,2525.3,1452397,3648719478.9500003,93265,"2,50,1721,31,7031,02,3501,96,1881,21,925",2522.4,2511.756,BAJAJ-AUTO,EQ
2015-08-09,2525.0,2608.0,2477.15,2537.4,1709572,4358958065.65,117007,"1,60,4511,52,0413,87,4632,45,92398,840",2539.0,2543.8540000000003,BAJAJ-AUTO,EQ
2015-08-16,2544.95,2573.65,2422.0,2558.6,1106603,2792468318.1,83204,"1,53,9091,12,2781,23,07969,2061,14,639",2560.0,2522.732,BAJAJ-AUTO,EQ
2015-08-23,2569.0,2570.0,2385.0,2406.2,1302257,3226554191.1,84494,"78,53970,62185,1031,22,9253,69,591",2397.0,2507.5919999999996,BAJAJ-AUTO,EQ
2015-08-30,2339.7,2355.7,2133.65,2279.55,2929778,6509820393.75,198524,"2,34,3412,94,6612,20,6914,90,7602,96,678",2272.0,2225.078,BAJAJ-AUTO,EQ
2015-09-06,2261.0,2282.45,2183.4,2211.0,2039896,4556184738.2,127022,"2,99,8953,85,5322,34,4681,94,3341,58,782",2212.0,2231.798,BAJAJ-AUTO,EQ
2015-09-13,2225.0,2334.2,2175.55,2325.8,1276142,2874557628.0,95720,"96,8581,62,01785,0801,27,0891,77,757",2320.05,2247.5860000000002,BAJAJ-AUTO,EQ
2015-09-20,2345.0,2378.55,2273.0,2297.5,1090765,2533484258.0,77005,"61,6071,10,4132,01,0072,53,725",2273.55,2318.7025000000003,BAJAJ-AUTO,EQ
2015-09-27,2275.0,2333.0,2210.15,2282.95,1155393,2619462173.85,77054,"63,4541,36,6671,81,4962,21,586",2279.85,2271.77,BAJAJ-AUTO,EQ
2015-10-04,2300.0,2327.35,2205.0,2315.1,932670,2126004652.95,76092,"75,2751,29,6051,63,36281,130",2320.1,2281.4725,BAJAJ-AUTO,EQ
2015-10-11,2325.0,2486.0,2311.65,2449.6,1180009,2847492131.6499996,74098,"80,2011,03,7391,10,05089,38356,878",2441.15,2412.0,BAJAJ-AUTO,EQ
2015-10-18,2450.5,2487.75,2405.7,2461.5,780954,1916013811.35,47630,"36,4011,27,63345,62966,17376,005",2458.0,2450.4939999999997,BAJAJ-AUTO,EQ
2015-10-25,2461.5,2564.2,2400.0,2515.65,2157538,5387851871.8,128943,"1,21,1951,19,4763,49,2402,17,561",2509.1,2482.1,BAJAJ-AUTO,EQ
2015-11-01,2530.0,2600.0,2530.0,2550.45,1782942,4587327718.15,116273,"2,88,9972,11,5041,98,8201,95,99483,851",2547.25,2571.728,BAJAJ-AUTO,EQ
2015-11-08,2542.0,2575.0,2392.0,2429.45,1369226,3343613166.35,112385,"1,98,49384,8831,18,57186,16693,814",2430.0,2441.0,BAJAJ-AUTO,EQ
2015-11-15,2394.8,2475.0,2367.05,2380.45,717115,1742367857.7,58712,"69,9601,12,3058,5941,32,820",2372.0,2431.2875,BAJAJ-AUTO,EQ
2015-11-22,2374.0,2510.0,2336.5,2476.65,1453828,3498323517.0,108605,"1,68,2761,40,7401,28,8351,13,3981,34,549",2468.1,2399.838,BAJAJ-AUTO,EQ
2015-11-29,2481.0,2544.9,2405.0,2447.85,1434705,3580088561.4,103974,"3,48,6801,74,3211,70,52044,000",2451.9,2486.4875,BAJAJ-AUTO,EQ
2015-12-06,2458.0,2515.0,2426.35,2472.55,1553312,3852865696.1,123945,"3,67,96670,1391,20,1701,51,88897,353",2460.3,2478.25,BAJAJ-AUTO,EQ
2015-12-13,2471.05,2485.0,2383.25,2416.25,964589,2351293757.35,92853,"1,05,84289,30272,4811,00,01680,377",2420.0,2438.04,BAJAJ-AUTO,EQ
2015-12-20,2412.0,2541.7,2375.1,2469.55,1232466,3032356232.0,99110,"63,13478,16560,7231,16,7322,27,475",2471.2,2450.034,BAJAJ-AUTO,EQ
2015-12-27,2489.0,2507.0,2467.65,2482.9,696752,1732200121.7,56186,"89,94178,9091,13,73713,713",2484.35,2485.605,BAJAJ-AUTO,EQ
2016-01-03,2483.0,2546.1,2483.0,2518.0,888901,2238421692.4500003,60245,"1,00,90781,56257,4711,63,42415,910",2517.0,2516.532,BAJAJ-AUTO,EQ
2016-01-10,2490.0,2547.6,2360.0,2375.85,1032505,2548306174.15,90550,"62,7871,15,4701,13,48698,61583,358",2371.05,2469.174,BAJAJ-AUTO,EQ
2016-01-17,2359.9,2387.9,2313.0,2322.15,1145003,2685394811.95,75054,"53,0931,06,6921,21,6731,09,9762,20,183",2321.0,2347.554,BAJAJ-AUTO,EQ
2016-01-24,2310.0,2335.1,2230.0,2318.85,1011208,2298784479.8,97575,"1,46,07972,35678,13881,44380,191",2322.25,2276.8959999999997,BAJAJ-AUTO,EQ
2016-01-31,2323.3,2359.9,2255.7,2341.95,878328,2027608400.2,81763,"1,13,5841,60,60787,4651,26,583",2356.0,2307.38,BAJAJ-AUTO,EQ
2016-02-07,2360.0,2395.0,2295.0,2366.35,2025922,4745364580.0,128853,"72,6061,01,14345,5992,49,81593,163",2366.0,2348.572,BAJAJ-AUTO,EQ
2016-02-14,2366.3,2390.0,2251.0,2304.4,1077391,2517419238.3,86043,"18,83076,3921,06,2211,74,0211,58,824",2304.0,2346.366,BAJAJ-AUTO,EQ
