Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-05,2083.0,2119.0,2055.0,2101.05,504172,1056109656.6999999,34977,"28,44857,1521,54,312",2099.9,2092.1733333333336,HEROMOTOCO,EQ
2014-01-12,2101.05,2101.05,2032.0,2039.1,1155169,2390225822.55,105446,"93,7751,30,1911,31,21876,2921,08,936",2034.5,2069.2200000000003,HEROMOTOCO,EQ
2014-01-19,2032.05,2108.95,2021.0,2075.75,1086852,2242151879.7,85952,"1,44,8421,36,90262,38580,18895,074",2066.9,2063.824,HEROMOTOCO,EQ
2014-01-26,2080.0,2104.0,2022.5,2036.65,1114438,2300681160.85,78223,"1,92,07090,9411,33,2011,11,7451,90,934",2031.0,2064.41,HEROMOTOCO,EQ
2014-02-02,2029.7,2094.0,1953.25,1969.2,2562647,5157842224.85,143898,"4,96,9881,41,0821,84,7423,76,2343,75,188",1979.65,2019.382,HEROMOTOCO,EQ
2014-02-09,1972.0,2011.3,1939.2,2005.5,1049350,2079122926.0,92088,"47,6601,72,6931,26,3351,29,1621,21,119",1998.0,1982.744,HEROMOTOCO,EQ
2014-02-16,1999.0,2019.9,1912.2,1937.3,937669,1840308757.85,94851,"19,3182,08,34847,82179,8532,06,243",1941.0,1970.8619999999999,HEROMOTOCO,EQ
2014-02-23,1945.15,2014.95,1907.1,1919.15,1733768,3387980126.6,141124,"2,39,5751,55,6072,21,9702,86,2371,39,830",1917.6,1952.5919999999999,HEROMOTOCO,EQ
2014-03-02,1917.0,1993.8,1917.0,1967.15,878818,1719830620.6,70170,"44,11775,3381,79,5052,24,609",1964.0,1952.4775,HEROMOTOCO,EQ
2014-03-09,1950.0,2057.0,1939.0,2008.95,1441755,2867003398.5,108136,"91,5141,15,1192,24,6651,90,0573,98,839",2006.15,1980.3419999999999,HEROMOTOCO,EQ
2014-03-16,2008.85,2140.6,1985.65,2124.35,2370887,4884559305.2,114222,"2,55,7602,68,1853,44,5193,98,7622,18,701",2120.0,2057.07,HEROMOTOCO,EQ
2014-03-23,2126.0,2149.45,2057.0,2070.85,1495883,3142668287.8500004,83661,"1,92,55487,5621,92,0513,07,9692,269",2074.9,2097.2200000000003,HEROMOTOCO,EQ
2014-03-30,2066.2,2274.0,2065.95,2253.25,2071440,4561206791.299999,141006,"90,7011,56,4131,96,6835,21,4981,61,025",2249.0,2183.7439999999997,HEROMOTOCO,EQ
2014-04-06,2263.9,2300.0,2226.0,2250.9,978585,2208565311.15,104867,"1,15,36576,6081,16,6521,34,39075,927",2245.1,2256.338,HEROMOTOCO,EQ
2014-04-13,2250.0,2254.9,2164.7,2174.05,1480141,3280709137.65,113457,"2,53,6132,70,5463,22,5971,98,805",2171.0,2214.14,HEROMOTOCO,EQ
2014-04-20,2174.05,2246.5,2123.05,2218.85,692901,1516703049.05,54925,"1,83,3571,13,78664,380",2216.05,2191.75,HEROMOTOCO,EQ
2014-04-27,2201.0,2296.0,2195.05,2200.15,888821,2000092445.2,59459,"96,3821,00,4181,74,4781,11,751",2205.0,2247.4275,HEROMOTOCO,EQ
2014-05-04,2197.6,2224.95,2140.0,2198.65,769342,1675927778.3,58622,"93,03670,2442,16,57149,407",2198.65,2177.295,HEROMOTOCO,EQ
2014-05-11,2196.35,2233.0,2115.05,2217.4,840291,1825606643.3,53684,"69,23636,1701,62,2741,47,87596,192",2225.65,2176.3959999999997,HEROMOTOCO,EQ
2014-05-18,2224.9,2787.7,2222.0,2397.65,2026207,4947058508.6,125783,"1,16,4751,20,0151,86,7171,87,4803,78,913",2383.0,2413.848,HEROMOTOCO,EQ
2014-05-25,2429.9,2472.7,2305.0,2349.2,1654012,3926408062.15,115043,"2,62,1481,77,6692,95,3971,78,5571,12,750",2350.1,2368.5260000000003,HEROMOTOCO,EQ
2014-06-01,2370.0,2383.0,2260.5,2345.85,2338586,5480130214.35,123968,"1,45,33146,2084,49,6244,12,4274,46,656",2344.05,2336.528,HEROMOTOCO,EQ
2014-06-08,2348.0,2700.0,2348.0,2682.75,2413156,6087393121.95,184941,"2,61,1522,25,0842,17,9192,54,4743,68,352",2689.85,2506.8419999999996,HEROMOTOCO,EQ
2014-06-15,2694.0,2757.8,2578.25,2592.05,6875260,18292540890.0,168080,"1,83,7901,26,6492,24,0851,43,36435,83,334",2584.55,2689.668,HEROMOTOCO,EQ
2014-06-22,2600.0,2623.0,2512.25,2521.0,1761524,4518632021.3,143220,"1,44,6061,90,4582,63,2062,90,0832,21,898",2520.0,2566.154,HEROMOTOCO,EQ
2014-06-29,2523.0,2678.65,2523.0,2622.9,1561171,4085591101.05,150125,"1,99,1312,05,9401,23,0972,87,16996,698",2619.95,2617.828,HEROMOTOCO,EQ
2014-07-06,2618.05,2693.7,2572.35,2583.95,1386392,3642602097.0,137019,"2,30,96165,9091,78,8392,15,3661,57,014",2584.0,2628.87,HEROMOTOCO,EQ
2014-07-13,2599.0,2629.95,2400.15,2433.15,1677757,4244264487.3500004,167198,"1,82,9522,30,1531,91,5431,34,0763,72,672",2436.9,2541.692,HEROMOTOCO,EQ
2014-07-20,2410.0,2512.35,2393.15,2504.5,1260855,3079760376.1,124822,"62,0601,80,8662,09,2301,20,3181,20,125",2504.0,2444.688,HEROMOTOCO,EQ
2014-07-27,2525.0,2584.0,2495.5,2574.7,976502,2481275442.6,81140,"87,42886,5441,15,47346,9822,06,594",2574.05,2537.922,HEROMOTOCO,EQ
2014-08-03,2625.0,2626.2,2504.05,2596.55,1638656,4242373506.3,138268,"1,57,7671,63,3534,68,5892,52,996",2606.35,2585.7825000000003,HEROMOTOCO,EQ
2014-08-10,2610.0,2625.0,2526.0,2591.75,2782055,7188913328.85,156584,"3,71,5353,04,1605,35,6672,85,2531,27,912",2598.95,2585.804,HEROMOTOCO,EQ
2014-08-17,2601.0,2618.0,2488.0,2510.55,1136898,2908110599.45,77303,"1,78,05580,2351,07,3092,91,352",2514.0,2571.26,HEROMOTOCO,EQ
2014-08-24,2514.9,2575.0,2494.0,2536.45,1391852,3522046497.75,114136,"2,76,3431,60,21177,6151,58,6521,41,173",2529.9,2532.472,HEROMOTOCO,EQ
2014-08-31,2540.0,2677.95,2515.0,2604.8,5065540,13175914596.9,219492,"1,77,1922,16,0855,03,84328,27,740",2605.0,2578.36,HEROMOTOCO,EQ
2014-09-07,2612.1,2839.85,2597.9,2761.8,2293475,6331783477.3,159959,"4,57,4962,16,8321,38,7351,73,0542,09,714",2756.05,2770.392,HEROMOTOCO,EQ
2014-09-14,2850.0,2850.0,2670.0,2758.55,1369608,3739712865.7,111218,"1,00,36266,3901,76,5552,39,30578,543",2758.15,2737.428,HEROMOTOCO,EQ
2014-09-21,2750.0,3017.0,2726.3,2951.4,2383635,6839595097.0,150856,"2,31,4252,20,3393,42,2802,47,6521,22,523",2960.0,2868.432,HEROMOTOCO,EQ
2014-09-28,2940.0,3029.0,2844.1,2896.9,1881808,5540475861.3,113185,"75,1551,43,9921,51,1453,96,2442,05,186",2895.0,2951.368,HEROMOTOCO,EQ
2014-10-05,2909.7,2926.75,2817.2,2874.95,1223048,3521770979.7,82733,"1,58,7963,04,9171,76,723",2871.0,2879.6800000000003,HEROMOTOCO,EQ
2014-10-12,2874.95,2874.95,2765.0,2841.0,1700379,4797923804.400001,96729,"1,85,3322,53,5513,34,2503,11,311",2842.75,2822.135,HEROMOTOCO,EQ
2014-10-19,2827.0,2910.0,2725.95,2873.9,2868802,8177391467.450001,208772,"3,00,6163,06,5714,92,4944,70,623",2863.45,2854.9925000000003,HEROMOTOCO,EQ
2014-10-26,2914.95,3140.0,2827.5,3110.05,2198553,6579478544.45,125855,"3,39,9534,23,2263,46,22023,735",3098.25,3020.3424999999997,HEROMOTOCO,EQ
2014-11-02,3120.0,3129.0,3006.0,3064.25,3170266,9699907342.849998,196525,"2,03,3343,63,4375,84,7845,19,6054,00,391",3063.05,3061.362,HEROMOTOCO,EQ
2014-11-09,3044.0,3050.0,2862.6,2887.6,13058805,37756567290.95,149394,"3,79,9595,70,26288,62,088",2890.0,2954.0766666666664,HEROMOTOCO,EQ
2014-11-16,2909.0,2983.0,2895.0,2964.4,2748059,8087382606.7,198298,"4,40,4523,67,4016,06,8921,66,6332,61,748",2960.1,2943.8959999999997,HEROMOTOCO,EQ
2014-11-23,2950.05,3048.75,2950.05,3028.35,2230893,6728502516.85,125361,"5,70,5331,74,5822,51,5481,62,8513,93,832",3027.0,3012.63,HEROMOTOCO,EQ
2014-11-30,3028.0,3162.4,3012.25,3147.4,2998324,9255539072.4,127877,"4,83,0675,67,5031,53,6508,09,9071,36,493",3144.6,3092.404,HEROMOTOCO,EQ
2014-12-07,3167.0,3269.95,3161.45,3187.0,2004954,6436256917.05,157517,"2,71,4681,17,4922,70,8771,91,9293,82,207",3185.25,3212.376,HEROMOTOCO,EQ
2014-12-14,3205.0,3205.0,3099.3,3124.9,1330608,4196150766.25,175870,"1,16,4752,18,7351,94,1291,77,2281,23,845",3125.0,3153.0099999999998,HEROMOTOCO,EQ
2014-12-21,3126.0,3250.0,3028.05,3074.1,2843610,8817672320.7,183519,"1,59,9354,82,2212,81,2862,90,0657,29,479",3051.0,3104.0879999999997,HEROMOTOCO,EQ
2014-12-28,3070.0,3162.0,3061.4,3096.4,1035542,3221933810.95,53786,"1,18,9751,26,2693,07,04439,252",3094.0,3107.605,HEROMOTOCO,EQ
2015-01-04,3119.0,3160.0,3046.75,3098.1,1229992,3823079752.2,88232,"1,37,9092,21,9132,62,42735,2011,15,446",3099.0,3109.582,HEROMOTOCO,EQ
2015-01-11,3104.0,3146.9,2951.75,2992.25,1875387,5642702017.75,127440,"62,6273,09,5392,40,2603,26,5712,39,881",2986.5,3023.218,HEROMOTOCO,EQ
2015-01-18,2988.0,2988.0,2883.0,2897.7,2276331,6659023919.9,177053,"2,80,8902,69,7303,86,8924,18,7973,19,046",2895.0,2925.198,HEROMOTOCO,EQ
2015-01-25,2900.05,2920.0,2797.2,2862.8,2850718,8132343222.8,216555,"3,77,4934,26,5063,40,3474,07,0744,59,662",2867.15,2853.2799999999997,HEROMOTOCO,EQ
2015-02-01,2860.0,2936.85,2823.0,2865.5,1970778,5656302285.6,141375,"4,45,4462,57,3333,96,9412,40,248",2870.0,2871.3875,HEROMOTOCO,EQ
2015-02-08,2877.95,2888.8,2750.0,2776.3,2598850,7306618290.650001,164776,"1,59,4271,71,3035,18,2143,31,0933,89,767",2774.65,2817.87,HEROMOTOCO,EQ
2015-02-15,2750.0,2868.2,2690.7,2852.9,2135131,5888704461.849999,139012,"3,05,7473,53,5292,72,2883,24,3991,51,324",2851.65,2765.0080000000003,HEROMOTOCO,EQ
2015-02-22,2855.0,2861.65,2645.7,2658.9,15725898,41998634563.25,196581,"1,60,55677,31,25438,79,7203,40,013",2650.5,2704.6625,HEROMOTOCO,EQ
2015-03-01,2658.9,2695.0,2600.0,2684.65,5028770,13318420213.300001,221327,"3,97,0262,36,7494,29,0637,92,33815,78,1071,63,596",2693.0,2647.721666666667,HEROMOTOCO,EQ
