Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-05,1770.0,1814.8,1752.25,1798.6,2363667,4230808402.65,69492,"56,68211,19,1672,42,527","1,807.00",1782.08,MARUTI,EQ
2014-01-12,1805.0,1860.0,1768.0,1794.1,5180478,9481577921.95,246224,"2,61,2989,37,9646,06,2335,23,5383,68,259","1,791.05",1823.324,MARUTI,EQ
2014-01-19,1800.0,1814.75,1759.1,1775.2,2443147,4361555073.0,137674,"2,29,6452,00,0392,84,2252,23,66199,540","1,777.00",1785.696,MARUTI,EQ
2014-01-26,1774.0,1819.9,1762.0,1774.25,2178278,3918042958.45,99957,"1,69,0442,67,9982,30,0002,52,5911,52,356","1,770.80",1797.1239999999998,MARUTI,EQ
2014-02-02,1755.0,1755.0,1540.4,1636.25,16640656,27449750337.45,599527,"5,91,48826,38,90836,52,7759,49,0444,14,471","1,641.40",1656.64,MARUTI,EQ
2014-02-09,1620.0,1670.4,1590.0,1664.95,4447178,7246118627.65,193582,"5,11,8934,09,6093,70,5918,88,7876,49,570","1,666.00",1627.866,MARUTI,EQ
2014-02-16,1665.0,1701.6,1615.65,1643.4,2525244,4198163252.65,130930,"6,21,8771,86,5492,43,2692,44,8892,79,423","1,640.05",1659.3319999999999,MARUTI,EQ
2014-02-23,1635.0,1733.65,1635.0,1675.6,2598823,4386660933.0,116859,"2,38,6794,18,2221,33,3911,67,2111,78,195","1,672.70",1687.6599999999999,MARUTI,EQ
2014-03-02,1675.0,1695.0,1573.0,1589.0,2925751,4748722061.6,184665,"98,3711,11,7702,97,7869,07,009","1,592.00",1653.4924999999998,MARUTI,EQ
2014-03-09,1582.0,1747.0,1550.0,1735.05,4008838,6523830774.65,201470,"5,52,3631,90,4211,75,91955,5461,11,4813,56,216","1,738.00",1628.7933333333333,MARUTI,EQ
2014-03-16,1730.0,1817.25,1680.0,1738.45,4702365,8280154790.1,190908,"4,96,5902,43,2191,82,0761,73,18883,990","1,737.00",1760.4240000000002,MARUTI,EQ
2014-03-23,1900.0,1915.0,1848.05,1872.5,4267872,8018771105.5,130727,"3,72,5373,08,2841,82,5423,48,03966,5821,22,5694,40,00066,2498,440","1,869.15",1883.3022222222223,MARUTI,EQ
2014-03-30,1915.0,1983.0,1873.25,1931.4,2993203,5763562447.0,97384,"3,74,28174,2631,73,3202,86,8121,04,105-3,06,3211,37,440","1,927.00",1934.1575,MARUTI,EQ
2014-04-06,1937.95,1980.0,1917.15,1927.2,1498571,2916124758.7,64000,"1,47,90768,99377,8671,07,76971,179","1,925.00",1943.568,MARUTI,EQ
2014-04-13,1925.0,1973.5,1872.0,1935.7,2023573,3898157799.55,89769,"89,584-2,21,0151,44,0891,88,410","1,936.25",1922.7760000000003,MARUTI,EQ
2014-04-20,1924.3,1964.8,1904.0,1951.35,937941,1821280816.55,47138,"1,02,2501,80,7211,88,381","1,960.10",1939.37,MARUTI,EQ
2014-04-27,1953.45,2006.85,1917.0,1956.2,2319309,4559317426.05,102279,"1,88,78493,9361,70,06350,0003,04,112","1,955.00",1977.384,MARUTI,EQ
2014-05-04,1950.0,1966.8,1880.05,1883.4,1162839,2239135610.45,61326,"51,06890,64089,9871,19,498","1,883.40",1927.0525,MARUTI,EQ
2014-05-11,1883.0,1983.75,1866.0,1974.85,1476290,2822406889.5,68113,"1,23,68994,1831,43,50166,7871,89,982","1,976.15",1905.462,MARUTI,EQ
2014-05-18,1975.0,2318.5,1965.05,2152.15,2874976,6105206847.85,141312,"1,94,8321,39,2341,91,5701,40,7552,42,60272,0003,75,793","2,157.65",2130.2114285714283,MARUTI,EQ
2014-05-25,2190.0,2403.0,2166.0,2385.85,2050470,4617041078.7,95505,"3,03,47570,4001,00,32396,6252,94,03194,476","2,390.15",2238.2533333333336,MARUTI,EQ
2014-06-01,2485.0,2505.0,2254.0,2271.8,2578487,6087744473.05,86508,"2,9662,78,20557,0266,50,00084,6471,11,91953,173","2,266.15",2359.867142857143,MARUTI,EQ
2014-06-08,2270.0,2429.0,2270.0,2392.05,1807159,4282418851.1000004,79991,"63,4511,72,89559,8562,01,38350,00037,0001,16,682","2,388.00",2381.112857142857,MARUTI,EQ
2014-06-15,2450.0,2496.0,2387.05,2480.0,2433485,5975914523.7,97471,"50,00086,9102,88,8501,97,7321,47,8971,97,8431,02,76850,000",-,2457.83375,MARUTI,EQ
2014-06-22,2399.0,2449.0,2360.5,2366.4,1589225,3823704177.45,82262,"77,3012,30,00053,8052,59,8381,18,56210043,047","2,365.15",2397.4557142857143,MARUTI,EQ
2014-06-29,2392.0,2528.0,2351.05,2454.7,1638373,3996229875.45,68197,"40,4611,04,2941,40,0001,72,1751,51,71543,071","2,443.00",2427.221666666667,MARUTI,EQ
2014-07-06,2454.95,2710.0,2428.2,2642.5,3319811,8578391149.65,158417,"88,9135,03,7728,3391,65,60439,68279,4301,01,753","2,643.00",2613.1485714285714,MARUTI,EQ
