Date,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,Last Price,Average Price,Symbol,Series
2014-01-05,377.55,378.8,360.0,362.7,9284304,3418161676.5,138798,"4,21,02316,69,99621,90,868",363.0,370.93333333333334,TATAMOTORS,EQ
2014-01-12,367.5,372.4,363.75,367.0,21441272,7889266179.35,344333,"29,06,69522,52,37036,37,53822,79,39416,37,816",367.0,367.9,TATAMOTORS,EQ
2014-01-19,372.65,379.45,366.8,369.7,27321988,10182869529.05,336895,"38,02,36116,89,27831,31,86853,70,83531,98,234",368.55,372.692,TATAMOTORS,EQ
2014-01-26,371.05,389.0,368.8,370.4,21859276,8331086634.6,268829,"18,64,99625,77,47635,80,66619,56,91518,88,486",371.1,380.12600000000003,TATAMOTORS,EQ
2014-02-02,363.0,367.5,345.5,349.55,34814410,12324709993.4,418003,"52,48,79432,98,29512,56,04640,26,98234,41,243",349.95,354.202,TATAMOTORS,EQ
2014-02-09,347.0,363.0,332.1,360.2,39687916,13835530196.6,457354,"26,71,83557,64,12143,15,35641,09,11525,28,277",360.25,349.326,TATAMOTORS,EQ
2014-02-16,365.0,390.0,358.0,388.8,43334609,16311696591.4,512434,"23,59,24668,55,91135,91,95629,99,92728,46,670",389.65,376.456,TATAMOTORS,EQ
2014-02-23,392.05,397.8,384.25,396.2,31460997,12309197989.9,531886,"31,46,20128,05,89018,64,94137,01,43938,62,219",396.0,391.326,TATAMOTORS,EQ
2014-03-02,397.05,418.2,393.55,416.95,28009391,11351028347.3,391154,"25,10,79714,43,43140,02,93674,98,934",416.2,401.81,TATAMOTORS,EQ
2014-03-09,415.0,420.7,404.4,409.1,27826325,11411346160.75,408272,"41,83,57120,77,14616,78,91427,94,10425,40,168",408.0,410.11199999999997,TATAMOTORS,EQ
2014-03-16,404.4,406.65,383.0,393.25,23371639,9233099841.6,365018,"28,50,16925,81,89826,33,05118,64,41112,64,758",393.6,394.16999999999996,TATAMOTORS,EQ
2014-03-23,394.0,397.35,378.75,389.0,23155289,8914427439.55,417376,"43,22,68036,61,35221,81,75533,11,65887,048",388.9,385.482,TATAMOTORS,EQ
2014-03-30,391.0,404.95,386.65,397.3,26929913,10695484742.199999,376068,"16,73,93222,33,43641,14,56363,76,07615,28,747",397.0,396.04,TATAMOTORS,EQ
2014-04-06,401.0,418.0,396.65,405.5,22561407,9196295097.6,313266,"18,61,42618,98,59634,40,42030,14,70715,53,096",405.0,406.78200000000004,TATAMOTORS,EQ
2014-04-13,405.05,437.8,400.85,423.6,23081416,9734900321.8,325957,"20,88,17239,78,88729,41,82330,70,781",423.0,420.27,TATAMOTORS,EQ
2014-04-20,425.6,430.6,409.05,429.1,15225414,6352804785.1,220298,"35,29,23915,95,06917,72,729",430.2,417.47333333333336,TATAMOTORS,EQ
2014-04-27,424.9,434.7,422.3,423.25,14808706,6335899731.15,206732,"9,73,7209,92,84529,51,85722,54,092",424.15,428.35,TATAMOTORS,EQ
