Symbol,total_weeks,avg_weekly_return,std_weekly_return,avg_volume,Breakout,Consolidation,NotImportant
ADANIENT,575,0.8962861894233637,8.738731497782103,23310177.462608695,9,198,368
APOLLOHOSP,575,0.44519287553161063,4.211808344319623,2615560.307826087,10,94,471
ASIANPAINT,575,0.3293449133064181,3.5049393062617615,6121496.638260869,9,80,486
BAJAJFINSV,575,0.4948718289940146,6.1660775670346375,2708313.6156521738,13,136,426
BAJFINANCE,575,0.6416781688123684,6.394121991255326,7347332.182608696,8,94,473
HDFCBANK,575,0.2460869333331104,3.649550454378456,34560746.19478261,10,100,465
HEROMOTOCO,575,0.19511105523570008,3.848815555387987,3164859.302608696,8,130,437
ICICIBANK,575,0.2721097927404932,5.487828304424935,81353523.37043478,10,155,410
M&M,575,0.3361383015640646,4.749014829041452,13095677.107826088,10,90,475
MARUTI,575,0.3919244093529492,3.9961989545067773,3313874.5426086956,10,127,438
SBIN,575,0.2138477391090364,6.009563484247757,108627367.63304348,7,102,466
