"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ADANIENT","EQ","03-Jan-2022","1,709.45","1,713.00","1,733.00","1,711.20","1,715.00","1,717.15","1,722.25","10,94,708","1,88,53,63,642.30","20,578","3,74,691","34.23"
"ADANIENT","EQ","04-Jan-2022","1,717.15","1,725.75","1,728.00","1,700.00","1,718.00","1,719.00","1,716.12","11,91,189","2,04,42,28,395.40","20,693","4,79,909","40.29"
"ADANIENT","EQ","05-Jan-2022","1,719.00","1,722.00","1,744.65","1,702.55","1,714.00","1,715.45","1,721.84","15,83,598","2,72,66,99,448.30","35,561","4,85,359","30.65"
"ADANIENT","EQ","06-Jan-2022","1,715.45","1,710.00","1,723.85","1,675.60","1,711.00","1,713.10","1,696.85","16,15,375","2,74,10,46,013.05","33,277","4,96,678","30.75"
"ADANIENT","EQ","07-Jan-2022","1,713.10","1,719.90","1,730.80","1,689.50","1,694.90","1,699.10","1,712.34","12,95,933","2,21,90,76,794.10","29,195","4,11,355","31.74"
"ADANIENT","EQ","10-Jan-2022","1,699.10","1,707.55","1,766.00","1,699.10","1,762.50","1,752.60","1,732.90","16,70,551","2,89,48,91,390.50","34,104","6,76,531","40.50"
"ADANIENT","EQ","11-Jan-2022","1,752.60","1,758.00","1,850.00","1,737.00","1,850.00","1,843.90","1,799.11","51,26,019","9,22,22,54,746.30","1,32,637","9,03,214","17.62"
"ADANIENT","EQ","12-Jan-2022","1,843.90","1,873.00","1,873.00","1,808.30","1,826.90","1,830.10","1,836.84","25,18,912","4,62,68,34,808.60","78,815","4,70,358","18.67"
"ADANIENT","EQ","13-Jan-2022","1,830.10","1,834.00","1,863.00","1,808.00","1,845.00","1,853.35","1,841.12","18,81,069","3,46,32,75,284.30","52,663","3,33,842","17.75"
"ADANIENT","EQ","14-Jan-2022","1,853.35","1,850.00","1,890.45","1,831.10","1,868.95","1,870.25","1,867.37","23,57,616","4,40,25,39,546.40","58,570","3,01,343","12.78"
"ADANIENT","EQ","17-Jan-2022","1,870.25","1,876.00","1,901.40","1,855.65","1,875.00","1,877.80","1,881.03","17,00,525","3,19,87,41,288.25","48,854","2,44,930","14.40"
"ADANIENT","EQ","18-Jan-2022","1,877.80","1,885.00","1,908.50","1,830.05","1,836.00","1,840.95","1,881.13","22,94,146","4,31,55,93,294.45","68,183","3,40,755","14.85"
"ADANIENT","EQ","19-Jan-2022","1,840.95","1,839.80","1,857.00","1,811.25","1,847.95","1,849.30","1,836.13","15,44,606","2,83,60,89,872.50","41,220","2,98,153","19.30"
"ADANIENT","EQ","20-Jan-2022","1,849.30","1,855.00","1,880.35","1,843.70","1,863.00","1,865.85","1,862.91","12,52,017","2,33,24,00,633.75","35,179","1,87,872","15.01"
"ADANIENT","EQ","21-Jan-2022","1,865.85","1,860.85","1,873.00","1,810.75","1,824.95","1,828.35","1,840.16","19,29,667","3,55,08,94,319.40","50,974","4,25,624","22.06"
"ADANIENT","EQ","24-Jan-2022","1,828.35","1,822.00","1,827.45","1,696.55","1,702.00","1,715.80","1,748.62","23,81,112","4,16,36,69,086.45","60,825","5,59,941","23.52"
"ADANIENT","EQ","25-Jan-2022","1,715.80","1,668.00","1,750.55","1,668.00","1,725.00","1,741.40","1,733.27","18,17,963","3,15,10,22,642.20","44,654","4,12,434","22.69"
"ADANIENT","EQ","27-Jan-2022","1,741.40","1,718.00","1,725.55","1,654.50","1,677.00","1,686.00","1,696.29","35,49,583","6,02,11,26,275.20","63,855","14,08,231","39.67"
"ADANIENT","EQ","28-Jan-2022","1,686.00","1,702.50","1,744.10","1,683.95","1,694.00","1,693.70","1,715.02","16,24,750","2,78,64,72,880.90","48,448","3,58,917","22.09"
"ADANIENT","EQ","31-Jan-2022","1,693.70","1,708.95","1,734.00","1,705.00","1,713.00","1,714.95","1,720.96","10,24,738","1,76,35,30,476.50","27,848","2,22,511","21.71"
"ADANIENT","EQ","01-Feb-2022","1,714.95","1,727.95","1,765.10","1,699.15","1,746.00","1,746.90","1,735.03","15,74,361","2,73,15,56,560.45","36,800","1,86,852","11.87"
"ADANIENT","EQ","02-Feb-2022","1,746.90","1,755.00","1,786.00","1,747.00","1,777.95","1,779.35","1,768.90","14,05,276","2,48,57,87,504.60","31,246","3,79,426","27.00"
"ADANIENT","EQ","03-Feb-2022","1,779.35","1,771.95","1,787.00","1,746.40","1,748.50","1,751.85","1,767.83","5,88,866","1,04,10,16,409.55","19,672","1,13,916","19.34"
"ADANIENT","EQ","04-Feb-2022","1,751.85","1,758.00","1,770.00","1,733.70","1,754.40","1,757.30","1,755.46","8,55,996","1,50,26,69,464.35","22,314","1,62,686","19.01"
