"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ADANIPORTS","EQ","02-Jan-2017","268.45","269.80","276.90","267.00","274.00","273.80","270.73","26,22,173","70,98,89,903.40","20,424","11,65,259","44.44"
"ADANIPORTS","EQ","03-Jan-2017","273.80","275.20","277.70","272.05","274.00","273.95","274.98","20,64,823","56,77,79,943.20","21,844","9,67,184","46.84"
"ADANIPORTS","EQ","04-Jan-2017","273.95","275.15","276.90","272.20","275.25","274.90","274.96","27,41,205","75,37,29,515.30","31,041","16,34,460","59.63"
"ADANIPORTS","EQ","05-Jan-2017","274.90","276.30","288.90","275.50","285.90","287.50","283.99","59,97,054","1,70,30,95,864.50","68,394","27,50,478","45.86"
"ADANIPORTS","EQ","06-Jan-2017","287.50","288.80","291.80","285.00","285.25","286.05","288.97","56,51,466","1,63,30,97,307.30","61,136","34,73,423","61.46"
"ADANIPORTS","EQ","09-Jan-2017","286.05","286.35","289.00","282.60","284.55","284.70","286.25","28,77,279","82,36,10,858.25","28,297","18,23,327","63.37"
"ADANIPORTS","EQ","10-Jan-2017","284.70","285.10","294.70","285.00","293.90","293.90","290.70","57,79,720","1,68,01,58,032.90","72,020","30,80,245","53.29"
"ADANIPORTS","EQ","11-Jan-2017","293.90","295.90","299.75","294.50","294.60","295.65","297.38","33,23,800","98,84,19,923.05","58,742","15,27,096","45.94"
"ADANIPORTS","EQ","12-Jan-2017","295.65","297.00","298.85","289.55","292.45","292.75","294.19","34,20,733","1,00,63,54,954.15","37,961","15,72,996","45.98"
"ADANIPORTS","EQ","13-Jan-2017","292.75","294.50","295.15","290.55","293.55","294.05","293.15","16,99,998","49,83,54,468.25","19,650","5,60,133","32.95"
"ADANIPORTS","EQ","16-Jan-2017","294.05","294.70","302.95","292.40","301.25","300.65","299.40","36,14,730","1,08,22,56,543.80","44,027","13,48,545","37.31"
"ADANIPORTS","EQ","17-Jan-2017","300.65","302.45","302.45","292.60","294.90","294.85","295.71","22,31,245","65,98,02,497.10","23,516","3,83,954","17.21"
"ADANIPORTS","EQ","18-Jan-2017","294.85","296.75","300.55","290.05","292.00","291.90","295.03","26,13,239","77,09,76,187.30","33,590","9,13,846","34.97"
"ADANIPORTS","EQ","19-Jan-2017","291.90","292.10","297.50","292.00","295.15","295.35","295.21","22,90,542","67,61,84,774.00","26,571","8,13,303","35.51"
"ADANIPORTS","EQ","20-Jan-2017","295.35","295.00","296.35","283.40","284.25","284.15","289.13","32,79,639","94,82,27,123.40","38,077","12,40,308","37.82"
"ADANIPORTS","EQ","23-Jan-2017","284.15","285.15","289.35","284.15","285.95","286.25","286.39","22,61,781","64,77,54,833.25","18,406","7,16,383","31.67"
"ADANIPORTS","EQ","24-Jan-2017","286.25","287.00","294.95","286.00","294.90","293.15","291.16","19,45,278","56,63,93,261.80","23,856","4,32,805","22.25"
"ADANIPORTS","EQ","25-Jan-2017","293.15","295.25","306.10","294.45","304.50","304.65","300.86","44,77,090","1,34,69,82,269.20","49,029","18,26,751","40.80"
"ADANIPORTS","EQ","27-Jan-2017","304.65","305.00","308.95","302.10","304.00","303.95","305.20","33,86,640","1,03,35,89,979.50","44,176","9,43,358","27.86"
"ADANIPORTS","EQ","30-Jan-2017","303.95","303.75","305.85","301.35","303.50","302.60","303.51","22,41,418","68,03,00,439.55","31,135","9,68,991","43.23"
"ADANIPORTS","EQ","31-Jan-2017","302.60","303.50","305.95","292.50","293.70","293.35","298.19","38,59,712","1,15,09,36,914.70","61,220","19,35,581","50.15"
"ADANIPORTS","EQ","01-Feb-2017","293.35","295.55","306.00","293.65","304.30","304.60","300.25","31,58,512","94,83,58,575.50","44,791","11,35,905","35.96"
"ADANIPORTS","EQ","02-Feb-2017","304.60","305.45","308.60","301.20","302.70","304.15","305.20","30,18,242","92,11,73,522.65","51,384","11,39,094","37.74"
"ADANIPORTS","EQ","03-Feb-2017","304.15","304.55","311.25","301.70","304.30","303.55","305.85","33,52,462","1,02,53,64,349.20","33,132","13,81,035","41.19"
"ADANIPORTS","EQ","06-Feb-2017","303.55","305.85","311.00","302.60","308.65","309.20","307.26","24,26,463","74,55,46,861.35","31,867","9,04,359","37.27"
"ADANIPORTS","EQ","07-Feb-2017","309.20","309.30","310.40","301.25","303.85","303.65","305.65","18,03,476","55,12,26,544.50","19,676","5,65,788","31.37"
"ADANIPORTS","EQ","08-Feb-2017","303.65","306.05","306.90","299.00","305.05","305.55","303.90","15,81,009","48,04,69,151.85","16,715","4,68,983","29.66"
"ADANIPORTS","EQ","09-Feb-2017","305.55","306.50","308.10","300.85","305.00","304.80","304.27","20,32,244","61,83,52,108.95","27,929","9,00,305","44.30"
"ADANIPORTS","EQ","10-Feb-2017","304.80","305.60","313.70","305.10","311.50","311.25","311.04","53,13,049","1,65,25,50,204.00","48,394","23,18,284","43.63"
"ADANIPORTS","EQ","13-Feb-2017","311.25","313.20","314.80","304.60","309.05","309.55","310.17","22,91,161","71,06,49,635.10","20,377","4,29,302","18.74"
"ADANIPORTS","EQ","14-Feb-2017","309.55","310.00","315.90","305.25","306.15","307.00","311.70","69,96,004","2,18,06,59,002.75","67,807","16,04,989","22.94"
"ADANIPORTS","EQ","15-Feb-2017","307.00","308.10","313.50","297.00","299.85","299.95","304.79","45,62,477","1,39,06,11,087.45","60,951","12,75,480","27.96"
"ADANIPORTS","EQ","16-Feb-2017","299.95","300.00","303.00","294.00","299.55","298.60","298.40","28,37,571","84,67,43,961.35","37,356","5,79,430","20.42"
"ADANIPORTS","EQ","17-Feb-2017","298.60","300.10","302.50","295.80","296.00","297.25","298.64","22,64,046","67,61,37,081.15","36,622","6,18,202","27.31"
