"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"APOLLOHOSP","EQ","01-Jan-2014","946.40","940.25","987.65","940.25","967.30","969.30","972.87","3,35,988","32,68,71,460.30","15,034","1,00,810","30.00"
"APOLLOHOSP","EQ","02-Jan-2014","969.30","969.95","975.55","920.45","933.00","930.55","954.24","1,72,239","16,43,57,803.25","9,560","85,545","49.67"
"APOLLOHOSP","EQ","03-Jan-2014","930.55","925.00","962.40","921.15","953.00","951.95","947.44","1,48,814","14,09,92,383.40","10,420","32,362","21.75"
"APOLLOHOSP","EQ","06-Jan-2014","951.95","946.00","951.90","937.05","946.00","945.70","944.56","95,362","9,00,75,474.75","7,185","58,404","61.24"
"APOLLOHOSP","EQ","07-Jan-2014","945.70","940.05","948.70","922.25","932.50","932.10","931.76","1,37,831","12,84,25,735.40","6,427","73,671","53.45"
"APOLLOHOSP","EQ","08-Jan-2014","932.10","937.00","938.30","903.30","908.00","907.65","911.28","1,70,459","15,53,36,401.30","12,049","79,640","46.72"
"APOLLOHOSP","EQ","09-Jan-2014","907.65","913.00","913.00","876.05","895.00","894.40","892.20","2,60,764","23,26,54,038.40","14,588","1,70,064","65.22"
"APOLLOHOSP","EQ","10-Jan-2014","894.40","895.60","920.00","894.40","917.05","916.60","913.31","1,72,729","15,77,54,806.45","18,916","92,524","53.57"
"APOLLOHOSP","EQ","13-Jan-2014","916.60","921.70","930.00","891.00","896.60","899.10","905.48","1,56,681","14,18,70,946.65","14,759","65,958","42.10"
"APOLLOHOSP","EQ","14-Jan-2014","899.10","891.15","912.40","891.15","901.05","902.30","904.22","59,681","5,39,64,550.10","5,029","16,411","27.50"
"APOLLOHOSP","EQ","15-Jan-2014","902.30","903.00","912.00","893.00","907.95","906.60","906.63","1,35,377","12,27,37,295.10","10,242","76,211","56.30"
"APOLLOHOSP","EQ","16-Jan-2014","906.60","912.70","929.80","901.30","922.00","922.05","922.23","2,08,882","19,26,38,139.50","7,879","98,954","47.37"
"APOLLOHOSP","EQ","17-Jan-2014","922.05","919.00","933.45","917.00","925.15","927.40","927.34","89,085","8,26,12,383.70","4,740","45,973","51.61"
"APOLLOHOSP","EQ","20-Jan-2014","927.40","931.00","942.00","927.40","940.00","939.40","937.55","93,297","8,74,71,031.65","5,852","45,014","48.25"
"APOLLOHOSP","EQ","21-Jan-2014","939.40","941.10","949.00","931.00","948.00","946.00","942.35","1,53,772","14,49,06,869.30","6,364","1,01,331","65.90"
"APOLLOHOSP","EQ","22-Jan-2014","946.00","949.70","949.70","927.50","944.00","941.40","937.28","74,869","7,01,73,555.80","9,696","42,526","56.80"
"APOLLOHOSP","EQ","23-Jan-2014","941.40","942.20","945.00","929.00","942.00","940.80","938.72","65,283","6,12,82,460.85","5,486","37,937","58.11"
"APOLLOHOSP","EQ","24-Jan-2014","940.80","935.00","945.00","927.10","941.05","941.90","937.15","1,02,697","9,62,42,635.30","6,864","69,946","68.11"
"APOLLOHOSP","EQ","27-Jan-2014","941.90","941.50","941.50","925.00","936.00","934.85","933.50","99,977","9,33,28,971.25","9,177","69,171","69.19"
"APOLLOHOSP","EQ","28-Jan-2014","934.85","929.00","934.95","906.10","918.00","916.60","915.76","1,33,197","12,19,76,240.15","11,631","79,822","59.93"
"APOLLOHOSP","EQ","29-Jan-2014","916.60","918.20","928.00","900.90","909.00","905.55","915.21","46,413","4,24,77,789.80","5,235","21,429","46.17"
"APOLLOHOSP","EQ","30-Jan-2014","905.55","896.05","933.00","896.05","921.70","921.85","918.88","89,529","8,22,66,648.95","7,876","35,325","39.46"
"APOLLOHOSP","EQ","31-Jan-2014","921.85","917.10","944.60","906.20","944.60","930.20","922.94","70,146","6,47,40,542.25","4,997","34,381","49.01"
"APOLLOHOSP","EQ","03-Feb-2014","930.20","935.00","969.80","933.85","938.00","937.60","951.25","1,90,405","18,11,23,381.00","14,545","72,026","37.83"
"APOLLOHOSP","EQ","04-Feb-2014","937.60","935.00","942.80","915.60","930.10","930.15","927.95","90,853","8,43,06,607.90","4,997","49,867","54.89"
"APOLLOHOSP","EQ","05-Feb-2014","930.15","923.25","947.65","923.25","935.00","935.20","934.15","60,835","5,68,28,997.25","5,428","32,646","53.66"
"APOLLOHOSP","EQ","06-Feb-2014","935.20","936.25","948.00","923.05","947.20","945.20","938.74","1,00,385","9,42,35,844.20","8,696","57,278","57.06"
"APOLLOHOSP","EQ","07-Feb-2014","945.20","950.25","954.65","940.00","945.00","945.75","945.53","3,48,982","32,99,72,502.00","4,164","95,862","27.47"
"APOLLOHOSP","EQ","10-Feb-2014","945.75","946.80","958.65","930.35","945.60","945.65","944.38","2,49,117","23,52,60,646.20","15,886","64,988","26.09"
"APOLLOHOSP","EQ","11-Feb-2014","945.65","946.70","948.00","931.20","945.00","942.10","940.65","1,07,337","10,09,67,003.95","8,910","72,409","67.46"
"APOLLOHOSP","EQ","12-Feb-2014","942.10","943.15","945.00","931.05","933.20","936.05","935.85","89,113","8,33,96,363.20","7,462","67,738","76.01"
"APOLLOHOSP","EQ","13-Feb-2014","936.05","935.00","943.70","925.90","928.45","930.70","935.95","1,23,494","11,55,84,823.00","16,709","83,535","67.64"
"APOLLOHOSP","EQ","14-Feb-2014","930.70","931.75","935.00","907.95","908.10","910.80","917.54","88,358","8,10,72,328.55","7,859","43,356","49.07"
"APOLLOHOSP","EQ","17-Feb-2014","910.80","918.00","924.80","910.20","917.00","920.65","919.93","83,621","7,69,25,050.05","8,540","50,618","60.53"
"APOLLOHOSP","EQ","18-Feb-2014","920.65","932.90","932.90","920.05","928.90","925.35","924.61","74,253","6,86,54,781.65","12,046","44,813","60.35"
"APOLLOHOSP","EQ","19-Feb-2014","925.35","926.40","937.40","922.10","928.40","928.60","931.47","1,15,736","10,78,04,221.05","5,701","79,102","68.35"
"APOLLOHOSP","EQ","20-Feb-2014","928.60","926.35","926.35","902.20","905.00","907.20","913.29","86,194","7,87,19,819.40","5,447","60,293","69.95"
"APOLLOHOSP","EQ","21-Feb-2014","907.20","908.25","917.75","897.00","903.00","900.30","906.42","77,983","7,06,85,073.00","12,034","45,132","57.87"
"APOLLOHOSP","EQ","24-Feb-2014","900.30","905.00","914.80","900.25","908.00","909.15","908.51","39,523","3,59,07,216.95","3,493","18,763","47.47"
"APOLLOHOSP","EQ","25-Feb-2014","909.15","910.20","917.70","909.00","912.00","912.80","913.57","49,759","4,54,58,214.90","4,909","18,342","36.86"
"APOLLOHOSP","EQ","26-Feb-2014","912.80","919.95","919.95","905.40","911.90","908.80","910.92","63,923","5,82,28,693.65","5,740","40,777","63.79"
"APOLLOHOSP","EQ","28-Feb-2014","908.80","895.70","928.00","895.70","923.50","920.30","917.72","2,29,839","21,09,28,898.65","20,736","1,56,945","68.28"
"APOLLOHOSP","EQ","03-Mar-2014","920.30","920.00","923.95","901.25","903.80","902.50","911.38","39,652","3,61,37,926.95","4,354","20,286","51.16"
"APOLLOHOSP","EQ","04-Mar-2014","902.50","903.55","911.00","895.05","900.00","899.55","900.04","74,965","6,74,71,834.40","9,839","52,781","70.41"
"APOLLOHOSP","EQ","05-Mar-2014","899.55","902.90","912.80","902.90","909.00","907.45","908.02","1,61,162","14,63,38,180.45","21,577","1,19,800","74.34"
"APOLLOHOSP","EQ","06-Mar-2014","907.45","908.50","913.90","896.15","897.15","898.35","902.27","1,17,509","10,60,24,488.25","16,272","76,127","64.78"
"APOLLOHOSP","EQ","07-Mar-2014","898.35","908.00","908.00","885.00","889.40","887.15","896.25","1,21,701","10,90,74,276.25","11,411","85,755","70.46"
"APOLLOHOSP","EQ","10-Mar-2014","887.15","889.00","889.35","865.00","873.00","872.40","872.13","1,41,440","12,33,54,586.95","12,631","93,450","66.07"
"APOLLOHOSP","EQ","11-Mar-2014","872.40","874.40","886.00","853.00","855.00","854.95","865.64","1,32,434","11,46,40,024.75","7,377","93,666","70.73"
"APOLLOHOSP","EQ","12-Mar-2014","854.95","855.00","871.50","852.10","866.50","863.70","863.55","1,41,798","12,24,50,100.00","14,156","90,160","63.58"
"APOLLOHOSP","EQ","13-Mar-2014","863.70","873.00","880.00","854.50","857.10","858.25","867.72","1,16,702","10,12,64,192.50","17,301","70,209","60.16"
"APOLLOHOSP","EQ","14-Mar-2014","858.25","873.00","873.00","858.00","863.50","863.95","864.10","2,21,085","19,10,40,277.80","10,187","1,82,536","82.56"
"APOLLOHOSP","EQ","18-Mar-2014","863.95","863.30","877.00","859.60","875.40","874.45","872.49","1,24,700","10,87,99,454.75","18,219","74,435","59.69"
"APOLLOHOSP","EQ","19-Mar-2014","874.45","879.90","889.80","861.00","880.00","882.60","880.01","1,34,676","11,85,15,573.10","14,025","62,291","46.25"
"APOLLOHOSP","EQ","20-Mar-2014","882.60","874.00","882.00","870.00","876.00","875.10","876.52","53,398","4,68,04,489.65","5,905","18,334","34.33"
"APOLLOHOSP","EQ","21-Mar-2014","875.10","876.85","907.40","876.85","907.00","898.00","891.51","1,74,879","15,59,05,938.00","8,009","97,733","55.89"
"APOLLOHOSP","EQ","22-Mar-2014","898.00","901.00","908.00","900.20","903.25","902.75","903.22","16,101","1,45,42,709.80","761","7,107","44.14"
"APOLLOHOSP","EQ","24-Mar-2014","902.75","903.80","908.80","889.60","897.00","903.95","902.52","1,16,263","10,49,29,277.25","13,857","66,354","57.07"
"APOLLOHOSP","EQ","25-Mar-2014","903.95","896.00","902.40","890.90","895.00","895.05","897.69","78,974","7,08,94,025.45","7,830","52,857","66.93"
"APOLLOHOSP","EQ","26-Mar-2014","895.05","891.00","897.20","884.45","887.00","891.10","893.53","87,586","7,82,60,394.50","11,514","59,078","67.45"
"APOLLOHOSP","EQ","27-Mar-2014","891.10","877.10","925.00","877.10","912.00","911.60","902.18","2,66,461","24,03,97,091.50","37,778","1,71,589","64.40"
"APOLLOHOSP","EQ","28-Mar-2014","911.60","905.00","915.00","901.10","909.90","912.30","908.12","1,32,294","12,01,39,281.85","10,556","89,754","67.84"
"APOLLOHOSP","EQ","31-Mar-2014","912.30","902.05","918.00","902.05","912.05","916.45","913.84","1,18,241","10,80,53,297.70","14,890","74,753","63.22"
