"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"AXISBANK","EQ","01-Jan-2024","1,102.30","1,095.00","1,104.00","1,093.00","1,095.00","1,097.70","1,099.75","40,83,732","4,49,11,02,999.50","1,60,126","22,58,877","55.31"
"AXISBANK","EQ","02-Jan-2024","1,097.70","1,095.10","1,099.35","1,082.30","1,089.25","1,093.25","1,091.41","78,95,577","8,61,73,45,938.55","1,87,704","44,95,327","56.93"
"AXISBANK","EQ","03-Jan-2024","1,093.25","1,091.00","1,102.60","1,081.30","1,098.00","1,098.60","1,093.81","1,02,25,290","11,18,44,74,919.70","2,32,835","58,91,206","57.61"
"AXISBANK","EQ","04-Jan-2024","1,098.60","1,103.00","1,130.00","1,100.05","1,125.00","1,123.40","1,120.15","1,14,11,683","12,78,27,78,096.05","1,79,554","78,54,267","68.83"
"AXISBANK","EQ","05-Jan-2024","1,123.40","1,124.00","1,139.90","1,119.00","1,134.30","1,136.95","1,131.22","80,25,466","9,07,85,62,317.50","1,93,046","52,73,965","65.72"
"AXISBANK","EQ","08-Jan-2024","1,136.95","1,145.00","1,146.00","1,118.50","1,122.00","1,122.00","1,131.56","47,35,538","5,35,85,48,732.15","1,40,745","20,91,167","44.16"
"AXISBANK","EQ","09-Jan-2024","1,122.00","1,128.55","1,135.55","1,112.35","1,118.80","1,116.55","1,124.29","63,59,362","7,14,97,64,859.70","1,84,213","31,76,752","49.95"
"AXISBANK","EQ","10-Jan-2024","1,116.55","1,115.25","1,116.00","1,099.05","1,106.95","1,107.00","1,106.11","59,34,163","6,56,38,41,404.30","1,33,259","36,92,980","62.23"
"AXISBANK","EQ","11-Jan-2024","1,107.00","1,111.05","1,127.90","1,111.05","1,125.00","1,125.75","1,122.67","46,83,035","5,25,74,89,790.30","1,43,442","30,14,465","64.37"
"AXISBANK","EQ","12-Jan-2024","1,125.75","1,126.35","1,129.45","1,118.05","1,119.05","1,120.35","1,122.27","56,16,755","6,30,35,28,702.20","2,48,340","37,95,162","67.57"
"AXISBANK","EQ","15-Jan-2024","1,120.35","1,122.00","1,130.45","1,116.60","1,120.50","1,119.50","1,121.23","67,19,079","7,53,36,58,320.55","2,48,969","40,49,161","60.26"
"AXISBANK","EQ","16-Jan-2024","1,119.50","1,116.65","1,127.80","1,115.10","1,120.20","1,119.10","1,121.84","52,29,753","5,86,69,22,578.85","1,51,286","30,84,217","58.97"
"AXISBANK","EQ","17-Jan-2024","1,119.10","1,082.00","1,115.00","1,079.20","1,080.75","1,082.30","1,095.23","2,49,13,719","27,28,61,73,643.85","5,34,448","1,16,48,070","46.75"
"AXISBANK","EQ","18-Jan-2024","1,082.30","1,066.00","1,108.75","1,066.00","1,093.25","1,097.50","1,095.78","1,14,73,135","12,57,20,42,567.15","2,64,860","63,34,895","55.22"
"AXISBANK","EQ","19-Jan-2024","1,097.50","1,107.15","1,126.30","1,105.00","1,116.00","1,116.55","1,118.44","1,23,03,696","13,76,09,61,329.10","3,48,516","80,59,225","65.50"
"AXISBANK","EQ","20-Jan-2024","1,116.55","1,121.00","1,126.45","1,102.80","1,118.10","1,121.00","1,115.57","50,55,594","5,63,98,82,327.70","1,13,131","7,67,598","15.18"
"AXISBANK","EQ","23-Jan-2024","1,121.00","1,125.90","1,141.60","1,078.80","1,082.00","1,089.25","1,101.48","1,89,24,087","20,84,45,33,168.65","2,98,496","1,11,25,189","58.79"
"AXISBANK","EQ","24-Jan-2024","1,089.25","1,034.80","1,073.20","1,020.90","1,059.60","1,059.15","1,050.55","2,08,84,046","21,93,96,93,940.10","3,81,021","1,04,75,578","50.16"
"AXISBANK","EQ","25-Jan-2024","1,059.15","1,058.00","1,063.70","1,025.80","1,050.10","1,042.25","1,037.96","2,08,35,434","21,62,63,12,133.15","3,93,518","1,25,40,498","60.19"
"AXISBANK","EQ","29-Jan-2024","1,042.25","1,036.00","1,068.00","1,036.00","1,060.85","1,061.25","1,058.12","1,11,88,604","11,83,89,09,653.55","2,05,125","59,18,863","52.90"
"AXISBANK","EQ","30-Jan-2024","1,061.25","1,060.05","1,070.45","1,050.80","1,053.50","1,054.10","1,057.78","94,26,983","9,97,16,98,908.40","3,25,034","49,29,307","52.29"
"AXISBANK","EQ","31-Jan-2024","1,054.10","1,048.20","1,084.10","1,042.70","1,067.50","1,067.75","1,068.90","1,26,00,390","13,46,85,19,443.45","3,03,223","64,37,032","51.09"
"AXISBANK","EQ","01-Feb-2024","1,067.75","1,072.65","1,087.65","1,056.80","1,083.45","1,084.25","1,073.44","97,56,682","10,47,32,26,767.75","2,13,721","58,25,259","59.71"
"AXISBANK","EQ","02-Feb-2024","1,084.25","1,088.05","1,096.20","1,065.00","1,067.70","1,067.05","1,078.73","86,67,415","9,34,97,78,291.60","2,62,152","42,29,192","48.79"
"AXISBANK","EQ","05-Feb-2024","1,067.05","1,067.05","1,079.50","1,058.00","1,059.20","1,061.50","1,068.12","1,25,69,454","13,42,56,87,174.35","2,67,496","62,55,483","49.77"
"AXISBANK","EQ","06-Feb-2024","1,061.50","1,061.55","1,065.10","1,048.20","1,053.00","1,050.05","1,054.50","80,11,171","8,44,77,59,890.10","2,00,742","45,75,694","57.12"
"AXISBANK","EQ","07-Feb-2024","1,050.05","1,061.05","1,073.70","1,057.50","1,072.00","1,069.10","1,067.49","72,81,793","7,77,32,07,507.55","2,18,920","31,22,307","42.88"
"AXISBANK","EQ","08-Feb-2024","1,069.10","1,072.00","1,075.60","1,031.65","1,036.90","1,035.90","1,043.39","98,69,141","10,29,73,86,835.70","2,72,590","54,52,343","55.25"
"AXISBANK","EQ","09-Feb-2024","1,035.90","1,039.95","1,054.90","1,034.55","1,052.60","1,051.40","1,046.39","82,33,454","8,61,53,86,873.55","2,45,062","44,00,703","53.45"
"AXISBANK","EQ","12-Feb-2024","1,051.40","1,051.40","1,057.25","1,035.35","1,047.00","1,046.70","1,047.27","86,94,379","9,10,53,81,172.30","2,13,483","47,99,440","55.20"
"AXISBANK","EQ","13-Feb-2024","1,046.70","1,051.00","1,075.55","1,044.80","1,070.60","1,070.75","1,063.39","84,13,609","8,94,69,47,169.40","2,22,013","28,04,927","33.34"
