"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJAJ-AUTO","EQ","01-Jan-2014","1,910.85","1,915.00","1,924.40","1,890.30","1,915.05","1,917.40","1,914.00","90,587","17,33,83,857.75","6,526","20,663","22.81"
"BAJAJ-AUTO","EQ","02-Jan-2014","1,917.40","1,918.00","1,928.75","1,895.45","1,901.00","1,900.05","1,907.80","2,68,521","51,22,84,032.80","13,103","1,62,932","60.68"
"BAJAJ-AUTO","EQ","03-Jan-2014","1,900.05","1,893.00","1,909.00","1,870.00","1,899.55","1,895.55","1,893.42","2,36,545","44,78,78,291.70","20,885","1,28,482","54.32"
"BAJAJ-AUTO","EQ","06-Jan-2014","1,895.55","1,896.00","1,899.90","1,875.00","1,888.00","1,888.30","1,886.44","2,84,336","53,63,83,599.65","12,099","1,64,181","57.74"
"BAJAJ-AUTO","EQ","07-Jan-2014","1,888.30","1,880.00","1,899.80","1,880.00","1,888.00","1,889.95","1,889.18","2,47,757","46,80,56,356.70","14,269","1,77,457","71.63"
"BAJAJ-AUTO","EQ","08-Jan-2014","1,889.95","1,894.90","1,923.00","1,894.90","1,912.00","1,918.30","1,908.27","5,78,916","1,10,47,27,376.40","32,998","4,44,729","76.82"
"BAJAJ-AUTO","EQ","09-Jan-2014","1,918.30","1,914.20","1,917.65","1,895.10","1,913.00","1,909.45","1,906.22","2,66,751","50,84,85,816.00","20,649","2,04,142","76.53"
"BAJAJ-AUTO","EQ","10-Jan-2014","1,909.45","1,905.20","1,913.45","1,865.00","1,900.00","1,900.30","1,891.66","4,50,989","85,31,18,177.75","17,771","3,08,613","68.43"
"BAJAJ-AUTO","EQ","13-Jan-2014","1,900.30","1,895.25","1,917.00","1,887.40","1,890.00","1,895.80","1,898.62","2,74,307","52,08,05,046.30","18,105","1,92,563","70.20"
"BAJAJ-AUTO","EQ","14-Jan-2014","1,895.80","1,888.00","1,898.60","1,864.95","1,871.00","1,870.55","1,878.81","2,61,322","49,09,73,918.20","16,416","1,70,548","65.26"
"BAJAJ-AUTO","EQ","15-Jan-2014","1,870.55","1,874.00","1,904.00","1,871.10","1,894.20","1,894.00","1,890.37","3,50,260","66,21,20,953.15","28,057","1,79,553","51.26"
"BAJAJ-AUTO","EQ","16-Jan-2014","1,894.00","1,900.00","1,917.90","1,892.00","1,908.00","1,907.75","1,905.08","6,83,523","1,30,21,68,595.00","37,789","3,84,019","56.18"
