"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJAJFINSV","EQ","01-Jan-2016","1,987.90","1,990.00","2,012.00","1,964.95","1,980.00","1,983.80","1,989.78","44,488","8,85,21,288.05","3,011","26,122","58.72"
"BAJAJFINSV","EQ","04-Jan-2016","1,983.80","1,984.00","1,989.95","1,953.00","1,964.00","1,959.50","1,966.19","16,633","3,27,03,702.25","2,841","9,832","59.11"
"BAJAJFINSV","EQ","05-Jan-2016","1,959.50","1,965.85","1,979.95","1,935.10","1,938.00","1,946.00","1,950.89","28,971","5,65,19,266.35","3,695","18,676","64.46"
"BAJAJFINSV","EQ","06-Jan-2016","1,946.00","1,947.95","1,955.00","1,931.00","1,943.00","1,938.55","1,943.11","18,352","3,56,59,988.15","2,467","11,249","61.30"
"BAJAJFINSV","EQ","07-Jan-2016","1,938.55","1,946.00","1,946.00","1,905.00","1,930.00","1,927.05","1,924.29","31,399","6,04,20,731.50","2,357","8,757","27.89"
"BAJAJFINSV","EQ","08-Jan-2016","1,927.05","1,947.95","2,045.00","1,926.50","1,998.00","2,000.40","2,000.02","77,557","15,51,15,732.45","7,195","39,166","50.50"
"BAJAJFINSV","EQ","11-Jan-2016","2,000.40","1,979.35","1,998.00","1,930.10","1,937.00","1,943.40","1,961.23","68,441","13,42,28,833.05","5,816","46,976","68.64"
"BAJAJFINSV","EQ","12-Jan-2016","1,943.40","1,958.95","1,975.05","1,940.00","1,959.50","1,957.50","1,957.62","22,626","4,42,93,098.35","2,570","11,527","50.95"
"BAJAJFINSV","EQ","13-Jan-2016","1,957.50","1,960.00","1,996.00","1,929.95","1,990.00","1,987.45","1,968.06","52,449","10,32,22,680.40","7,636","31,838","60.70"
"BAJAJFINSV","EQ","14-Jan-2016","1,987.45","1,978.00","1,978.05","1,945.00","1,950.00","1,948.90","1,956.28","25,844","5,05,58,099.10","2,133","18,924","73.22"
"BAJAJFINSV","EQ","15-Jan-2016","1,948.90","1,950.05","1,964.95","1,900.00","1,905.00","1,905.50","1,932.54","31,407","6,06,95,409.35","2,962","19,294","61.43"
"BAJAJFINSV","EQ","18-Jan-2016","1,905.50","1,947.95","1,947.95","1,804.00","1,834.15","1,831.90","1,834.48","52,245","9,58,42,667.25","8,495","37,994","72.72"
"BAJAJFINSV","EQ","19-Jan-2016","1,831.90","1,850.00","1,858.00","1,825.00","1,858.00","1,848.80","1,839.16","46,750","8,59,80,879.65","4,658","34,870","74.59"
"BAJAJFINSV","EQ","20-Jan-2016","1,848.80","1,824.00","1,868.00","1,824.00","1,850.00","1,852.25","1,846.39","23,726","4,38,07,452.00","3,958","15,941","67.19"
"BAJAJFINSV","EQ","21-Jan-2016","1,852.25","1,855.10","1,890.05","1,837.00","1,850.00","1,846.75","1,850.22","61,047","11,29,50,470.80","4,023","49,336","80.82"
"BAJAJFINSV","EQ","22-Jan-2016","1,846.75","1,875.00","1,911.05","1,852.50","1,885.00","1,891.80","1,891.35","26,759","5,06,10,739.25","3,465","17,697","66.13"
"BAJAJFINSV","EQ","25-Jan-2016","1,891.80","1,902.00","1,949.00","1,896.20","1,919.50","1,924.45","1,933.08","21,208","4,09,96,742.85","4,271","13,819","65.16"
"BAJAJFINSV","EQ","27-Jan-2016","1,924.45","1,940.00","1,940.00","1,875.10","1,898.00","1,892.55","1,905.13","28,805","5,48,77,244.60","3,105","22,255","77.26"
"BAJAJFINSV","EQ","28-Jan-2016","1,892.55","1,880.00","1,927.00","1,862.00","1,880.05","1,874.15","1,878.58","34,487","6,47,86,607.30","2,643","29,216","84.72"
"BAJAJFINSV","EQ","29-Jan-2016","1,874.15","1,889.40","1,898.30","1,850.10","1,864.25","1,861.65","1,859.07","64,444","11,98,06,108.45","3,164","55,047","85.42"
"BAJAJFINSV","EQ","01-Feb-2016","1,861.65","1,894.00","1,894.00","1,851.00","1,861.15","1,863.55","1,871.99","43,093","8,06,69,530.20","10,479","29,671","68.85"
"BAJAJFINSV","EQ","02-Feb-2016","1,863.55","1,886.00","1,886.00","1,801.00","1,807.05","1,818.10","1,836.04","46,350","8,51,00,673.45","5,136","25,824","55.72"
"BAJAJFINSV","EQ","03-Feb-2016","1,818.10","1,818.00","1,939.00","1,735.05","1,868.00","1,878.55","1,855.40","2,51,352","46,63,58,561.15","24,439","1,00,603","40.02"
"BAJAJFINSV","EQ","04-Feb-2016","1,878.55","1,882.00","1,915.70","1,850.00","1,885.00","1,880.80","1,875.80","93,061","17,45,63,806.65","8,437","55,354","59.48"
"BAJAJFINSV","EQ","05-Feb-2016","1,880.80","1,894.95","1,919.25","1,880.00","1,908.00","1,908.60","1,903.14","73,964","14,07,63,670.90","4,922","52,534","71.03"
"BAJAJFINSV","EQ","08-Feb-2016","1,908.60","1,890.05","1,902.10","1,829.05","1,833.00","1,835.60","1,850.89","67,272","12,45,13,203.45","8,066","42,889","63.75"
