"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BAJFINANCE","EQ","02-Jan-2017","842.20","852.00","873.90","842.00","870.50","870.05","860.91","9,49,967","81,78,37,030.10","23,737","1,90,329","20.04"
"BAJFINANCE","EQ","03-Jan-2017","870.05","870.00","889.00","859.25","880.55","884.00","873.63","12,60,264","1,10,10,00,816.05","39,554","2,91,855","23.16"
"BAJFINANCE","EQ","04-Jan-2017","884.00","887.10","891.00","868.00","871.00","871.90","875.73","9,71,428","85,07,10,791.70","37,925","3,54,998","36.54"
"BAJFINANCE","EQ","05-Jan-2017","871.90","883.35","903.00","875.05","900.30","899.75","887.42","14,23,447","1,26,31,92,511.70","35,763","7,19,046","50.51"
"BAJFINANCE","EQ","06-Jan-2017","899.75","911.00","914.90","875.90","878.10","878.45","889.25","40,40,625","3,59,31,30,424.45","43,203","7,08,397","17.53"
"BAJFINANCE","EQ","09-Jan-2017","878.45","887.80","893.75","875.10","879.80","878.25","883.86","6,15,381","54,39,13,624.90","18,859","1,86,386","30.29"
"BAJFINANCE","EQ","10-Jan-2017","878.25","884.70","901.95","880.05","899.90","899.75","893.73","11,47,293","1,02,53,67,621.75","30,582","5,12,697","44.69"
"BAJFINANCE","EQ","11-Jan-2017","899.75","905.00","909.50","891.00","893.00","896.15","900.01","20,05,189","1,80,46,91,095.70","39,421","13,14,327","65.55"
"BAJFINANCE","EQ","12-Jan-2017","896.15","902.50","909.95","886.00","892.00","891.20","896.73","7,37,750","66,15,59,725.45","20,053","2,10,931","28.59"
"BAJFINANCE","EQ","13-Jan-2017","891.20","893.20","905.50","888.10","898.95","900.05","899.38","8,21,185","73,85,59,647.60","24,353","2,98,428","36.34"
"BAJFINANCE","EQ","16-Jan-2017","900.05","900.00","920.10","894.45","918.50","917.70","909.82","11,17,504","1,01,67,27,137.70","28,713","4,97,159","44.49"
"BAJFINANCE","EQ","17-Jan-2017","917.70","923.90","924.60","910.50","913.50","914.35","916.26","8,49,554","77,84,14,280.60","23,247","3,63,164","42.75"
"BAJFINANCE","EQ","18-Jan-2017","914.35","918.70","938.00","915.00","930.05","930.35","930.90","15,25,144","1,41,97,60,517.05","32,879","6,20,073","40.66"
"BAJFINANCE","EQ","19-Jan-2017","930.35","929.80","932.30","916.00","926.00","926.30","923.37","5,98,997","55,30,96,888.95","18,891","2,25,425","37.63"
"BAJFINANCE","EQ","20-Jan-2017","926.30","924.80","930.00","904.00","905.90","907.70","915.20","6,97,857","63,86,76,208.20","20,295","2,47,168","35.42"
"BAJFINANCE","EQ","23-Jan-2017","907.70","909.40","931.70","905.15","928.95","929.65","920.56","8,29,648","76,37,41,650.50","16,203","4,08,849","49.28"
"BAJFINANCE","EQ","24-Jan-2017","929.65","934.95","934.95","921.00","928.10","929.75","928.64","8,26,288","76,73,23,931.65","22,205","4,84,222","58.60"
"BAJFINANCE","EQ","25-Jan-2017","929.75","931.20","1,006.00","931.20","1,000.00","999.85","979.49","38,74,946","3,79,54,70,129.15","65,441","15,35,568","39.63"
"BAJFINANCE","EQ","27-Jan-2017","999.85","1,000.00","1,020.00","991.35","997.00","995.85","1,002.51","13,86,916","1,39,03,97,755.45","31,245","5,74,971","41.46"
"BAJFINANCE","EQ","30-Jan-2017","995.85","990.00","1,059.00","989.15","1,054.30","1,054.80","1,034.82","48,66,384","5,03,58,09,507.65","1,03,050","12,63,764","25.97"
"BAJFINANCE","EQ","31-Jan-2017","1,054.80","1,058.90","1,072.00","1,030.75","1,034.15","1,036.90","1,054.00","23,04,584","2,42,90,30,398.25","61,746","7,49,152","32.51"
"BAJFINANCE","EQ","01-Feb-2017","1,036.90","1,039.00","1,069.90","1,025.00","1,062.05","1,066.15","1,052.79","18,60,379","1,95,85,91,149.75","41,256","6,07,543","32.66"
"BAJFINANCE","EQ","02-Feb-2017","1,066.15","1,067.40","1,083.95","1,050.00","1,052.50","1,054.15","1,063.42","16,81,729","1,78,83,76,527.80","40,810","5,52,057","32.83"
"BAJFINANCE","EQ","03-Feb-2017","1,054.15","1,055.30","1,068.00","1,042.30","1,045.00","1,047.35","1,052.82","9,03,079","95,07,82,772.00","27,796","3,82,615","42.37"
"BAJFINANCE","EQ","06-Feb-2017","1,047.35","1,056.00","1,085.50","1,050.10","1,068.30","1,073.70","1,071.55","12,18,063","1,30,52,20,935.95","28,078","4,25,290","34.92"
"BAJFINANCE","EQ","07-Feb-2017","1,073.70","1,070.00","1,075.00","1,052.40","1,063.45","1,060.95","1,063.07","6,58,786","70,03,32,593.60","26,886","2,62,099","39.79"
"BAJFINANCE","EQ","08-Feb-2017","1,060.95","1,060.00","1,069.40","1,025.00","1,048.05","1,049.45","1,046.51","10,46,297","1,09,49,63,515.05","30,588","5,05,903","48.35"
"BAJFINANCE","EQ","09-Feb-2017","1,049.45","1,058.00","1,061.65","1,026.00","1,039.55","1,040.85","1,039.56","9,16,871","95,31,38,903.45","34,270","3,63,206","39.61"
"BAJFINANCE","EQ","10-Feb-2017","1,040.85","1,045.20","1,059.00","1,038.00","1,057.70","1,055.45","1,049.00","6,43,391","67,49,16,163.70","15,490","2,80,923","43.66"
"BAJFINANCE","EQ","13-Feb-2017","1,055.45","1,057.00","1,070.00","1,043.25","1,060.00","1,058.95","1,058.16","4,84,476","51,26,54,517.45","12,659","1,12,824","23.29"
"BAJFINANCE","EQ","14-Feb-2017","1,058.95","1,064.00","1,069.00","1,055.00","1,059.75","1,059.50","1,061.45","4,38,100","46,50,21,554.30","13,746","1,19,038","27.17"
"BAJFINANCE","EQ","15-Feb-2017","1,059.50","1,060.30","1,065.00","1,029.00","1,042.20","1,040.40","1,046.17","6,79,204","71,05,65,057.00","19,416","3,04,543","44.84"
"BAJFINANCE","EQ","16-Feb-2017","1,040.40","1,040.90","1,106.00","1,035.00","1,100.00","1,094.35","1,073.20","10,35,007","1,11,07,73,804.45","29,510","4,82,944","46.66"
"BAJFINANCE","EQ","17-Feb-2017","1,094.35","1,110.00","1,118.00","1,081.10","1,084.90","1,089.50","1,099.06","14,08,853","1,54,84,10,754.55","48,949","4,67,219","33.16"
