"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BEL","EQ","03-Jan-2022","209.95","209.75","212.20","209.50","211.15","211.25","211.24","29,91,447","63,19,02,481.45","27,211","11,84,811","39.61"
"BEL","EQ","04-Jan-2022","211.25","212.50","219.05","211.20","216.00","216.15","215.78","1,04,45,579","2,25,39,43,185.60","86,574","43,85,131","41.98"
"BEL","EQ","05-Jan-2022","216.15","215.75","216.90","212.60","213.00","213.30","214.62","39,85,837","85,54,24,270.45","37,340","19,93,056","50.00"
"BEL","EQ","06-Jan-2022","213.30","211.00","213.15","210.60","212.00","211.90","212.06","29,40,305","62,35,17,533.00","24,498","16,16,959","54.99"
"BEL","EQ","07-Jan-2022","211.90","211.90","213.95","207.50","208.30","208.05","209.89","43,24,988","90,77,67,724.40","31,800","22,81,531","52.75"
"BEL","EQ","10-Jan-2022","208.05","208.95","211.50","208.00","211.30","210.85","209.51","31,36,299","65,70,89,252.35","35,545","17,14,872","54.68"
"BEL","EQ","11-Jan-2022","210.85","211.00","212.15","208.55","210.00","210.45","209.90","33,40,706","70,12,00,934.40","47,977","15,49,573","46.38"
"BEL","EQ","12-Jan-2022","210.45","211.00","211.95","208.80","210.50","210.60","209.97","25,98,248","54,55,52,978.40","42,150","15,19,128","58.47"
"BEL","EQ","13-Jan-2022","210.60","211.90","212.30","207.25","209.80","209.55","209.41","40,48,229","84,77,31,824.00","58,596","16,70,890","41.27"
"BEL","EQ","14-Jan-2022","209.55","209.10","222.10","208.40","221.50","220.10","216.56","91,54,550","1,98,25,11,032.60","69,273","28,73,983","31.39"
"BEL","EQ","17-Jan-2022","220.10","222.00","222.80","215.80","216.80","216.50","218.75","96,14,296","2,10,31,07,774.45","81,370","43,74,559","45.50"
"BEL","EQ","18-Jan-2022","216.50","218.30","218.50","207.60","209.65","208.35","211.95","59,79,925","1,26,74,61,857.90","94,614","21,64,412","36.19"
"BEL","EQ","19-Jan-2022","208.35","209.15","210.40","205.00","208.40","208.15","207.36","1,01,26,239","2,09,98,09,764.50","99,258","51,00,142","50.37"
"BEL","EQ","20-Jan-2022","208.15","209.00","212.80","207.45","212.35","212.35","209.94","67,59,397","1,41,90,85,125.05","53,099","29,02,039","42.93"
"BEL","EQ","21-Jan-2022","212.35","211.40","211.65","205.00","206.90","206.95","208.61","59,07,966","1,23,24,61,838.90","44,470","23,00,749","38.94"
"BEL","EQ","24-Jan-2022","206.95","206.95","208.75","195.05","196.40","197.30","200.24","66,75,179","1,33,66,10,057.70","60,166","24,11,890","36.13"
"BEL","EQ","25-Jan-2022","197.30","196.30","205.50","194.20","204.50","204.20","202.75","99,06,114","2,00,84,28,712.05","71,307","42,88,025","43.29"
"BEL","EQ","27-Jan-2022","204.20","201.90","206.30","198.15","204.95","204.90","203.21","79,33,437","1,61,21,15,672.10","65,657","36,70,242","46.26"
