"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BHARTIARTL","EQ","01-Jan-2021","509.70","512.25","516.40","508.20","515.00","515.15","511.92","1,01,85,843","5,21,43,58,970.20","1,15,803","28,57,212","28.05"
"BHARTIARTL","EQ","04-Jan-2021","515.15","517.00","520.50","511.60","517.05","517.10","516.17","1,32,40,524","6,83,43,36,261.05","2,06,776","60,16,122","45.44"
"BHARTIARTL","EQ","05-Jan-2021","517.10","514.00","516.90","511.10","513.55","514.00","514.07","1,04,92,428","5,39,38,46,628.05","1,13,527","56,47,859","53.83"
"BHARTIARTL","EQ","06-Jan-2021","514.00","515.00","531.75","513.10","528.20","525.30","525.27","3,02,69,288","15,89,94,69,920.65","2,68,788","1,06,66,667","35.24"
"BHARTIARTL","EQ","07-Jan-2021","525.30","532.00","554.45","527.10","544.15","545.25","544.18","3,87,17,913","21,06,95,20,839.00","3,34,312","1,12,81,016","29.14"
"BHARTIARTL","EQ","08-Jan-2021","545.25","549.30","549.75","537.30","540.00","540.25","542.82","1,42,70,435","7,74,63,45,547.15","1,25,210","63,94,886","44.81"
"BHARTIARTL","EQ","11-Jan-2021","540.25","541.50","554.35","541.50","546.20","547.15","548.55","1,95,25,604","10,71,08,19,559.15","1,58,909","87,33,229","44.73"
"BHARTIARTL","EQ","12-Jan-2021","547.15","549.00","569.00","545.00","568.75","565.75","559.81","2,53,80,555","14,20,81,70,262.65","2,47,319","98,32,210","38.74"
"BHARTIARTL","EQ","13-Jan-2021","565.75","588.00","601.70","567.00","576.30","578.25","586.01","8,36,68,562","49,03,02,53,523.35","6,91,695","2,44,01,136","29.16"
"BHARTIARTL","EQ","14-Jan-2021","578.25","582.70","584.80","570.05","579.30","580.55","578.26","1,66,61,518","9,63,46,52,219.65","2,49,335","69,68,221","41.82"
"BHARTIARTL","EQ","15-Jan-2021","580.55","609.55","610.65","593.80","603.50","602.65","601.78","5,63,92,307","33,93,57,85,593.70","5,10,948","1,63,80,024","29.05"
"BHARTIARTL","EQ","18-Jan-2021","602.65","602.65","603.00","584.00","584.50","586.95","593.11","2,09,65,905","12,43,51,10,814.50","2,48,064","74,99,246","35.77"
