"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"BPCL","EQ","01-Jan-2019","362.75","361.05","369.30","360.00","368.50","367.20","363.76","15,52,711","56,48,11,458.20","16,239","2,27,983","14.68"
"BPCL","EQ","02-Jan-2019","367.20","366.00","366.00","346.75","355.65","357.95","356.03","98,62,795","3,51,14,89,388.75","1,12,530","36,81,400","37.33"
"BPCL","EQ","03-Jan-2019","357.95","352.00","354.80","348.15","351.80","352.50","351.27","49,86,130","1,75,14,98,290.60","61,850","14,87,442","29.83"
"BPCL","EQ","04-Jan-2019","352.50","351.80","361.70","351.50","359.45","359.45","358.35","38,58,610","1,38,27,30,556.45","47,465","10,25,915","26.59"
"BPCL","EQ","07-Jan-2019","359.45","360.00","362.80","354.00","354.75","355.55","358.59","28,95,410","1,03,82,65,162.40","41,584","11,72,334","40.49"
"BPCL","EQ","08-Jan-2019","355.55","355.10","355.90","350.05","350.65","351.95","352.88","21,71,045","76,61,20,899.60","44,063","8,84,382","40.74"
"BPCL","EQ","09-Jan-2019","351.95","351.00","351.50","338.00","340.00","340.05","343.45","45,65,866","1,56,81,39,413.80","62,035","19,03,136","41.68"
"BPCL","EQ","10-Jan-2019","340.05","336.90","338.75","333.00","335.40","335.60","335.31","48,86,802","1,63,86,03,911.60","51,237","26,45,904","54.14"
"BPCL","EQ","11-Jan-2019","335.60","336.00","339.70","334.55","336.00","337.30","337.39","23,34,810","78,77,46,803.80","29,733","7,54,558","32.32"
"BPCL","EQ","14-Jan-2019","337.30","338.90","339.85","331.55","334.50","334.95","334.40","37,58,311","1,25,67,81,510.25","39,643","20,88,088","55.56"
"BPCL","EQ","15-Jan-2019","334.95","336.90","343.35","336.20","341.85","341.70","340.20","34,56,956","1,17,60,63,245.40","49,469","21,43,273","62.00"
"BPCL","EQ","16-Jan-2019","341.70","345.40","349.00","342.35","347.10","347.25","346.13","47,81,001","1,65,48,50,418.40","65,476","14,14,562","29.59"
"BPCL","EQ","17-Jan-2019","347.25","347.10","357.00","346.05","354.15","355.20","352.26","39,49,498","1,39,12,48,160.20","45,420","14,52,091","36.77"
"BPCL","EQ","18-Jan-2019","355.20","353.90","357.70","351.30","353.90","354.20","354.26","25,04,157","88,71,22,458.75","38,048","9,82,550","39.24"
"BPCL","EQ","21-Jan-2019","354.20","351.10","355.70","348.30","351.60","351.55","351.70","19,42,818","68,32,96,869.95","23,367","3,24,251","16.69"
"BPCL","EQ","22-Jan-2019","351.55","351.50","357.60","351.05","352.45","353.80","355.27","23,43,970","83,27,41,128.90","46,935","8,13,734","34.72"
"BPCL","EQ","23-Jan-2019","353.80","354.50","358.65","354.40","356.20","357.15","356.74","19,86,513","70,86,63,846.60","29,647","7,57,561","38.14"
