"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"CIPLA","EQ","01-Jan-2014","400.80","402.50","405.90","400.80","401.25","401.75","403.26","4,29,074","17,30,26,650.70","7,293","1,69,973","39.61"
"CIPLA","EQ","02-Jan-2014","401.75","402.00","406.35","391.50","392.45","392.30","399.11","7,34,194","29,30,25,455.05","10,816","3,53,540","48.15"
"CIPLA","EQ","03-Jan-2014","392.30","391.55","394.00","386.00","393.95","391.75","389.48","9,98,001","38,87,02,978.20","20,508","4,83,980","48.49"
"CIPLA","EQ","06-Jan-2014","391.75","393.90","395.95","387.65","391.00","391.60","391.71","7,52,348","29,47,00,425.70","11,352","3,31,617","44.08"
"CIPLA","EQ","07-Jan-2014","391.60","393.90","394.90","389.00","390.15","390.85","390.73","9,55,034","37,31,62,148.30","15,121","6,23,386","65.27"
"CIPLA","EQ","08-Jan-2014","390.85","391.10","405.00","389.10","404.00","404.20","400.16","17,68,447","70,76,63,553.50","45,513","10,32,523","58.39"
"CIPLA","EQ","09-Jan-2014","404.20","404.00","407.40","400.00","403.30","403.10","403.61","11,61,659","46,88,53,594.15","29,914","7,11,916","61.28"
"CIPLA","EQ","10-Jan-2014","403.10","401.20","406.70","397.00","399.00","399.10","401.73","8,75,765","35,18,25,151.40","13,696","4,41,738","50.44"
"CIPLA","EQ","13-Jan-2014","399.10","396.35","403.45","396.35","402.75","402.25","400.20","7,70,671","30,84,26,068.65","9,495","4,96,575","64.43"
"CIPLA","EQ","14-Jan-2014","402.25","400.90","412.25","400.90","410.50","411.15","407.57","13,75,742","56,07,13,847.55","17,393","8,21,348","59.70"
"CIPLA","EQ","15-Jan-2014","411.15","414.35","423.90","414.35","417.25","418.05","418.91","27,37,981","1,14,69,59,926.65","46,348","16,02,686","58.54"
"CIPLA","EQ","16-Jan-2014","418.05","419.00","420.95","412.00","412.05","412.65","415.86","13,32,490","55,41,32,359.55","16,470","7,41,689","55.66"
