"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"COALINDIA","EQ","03-Jan-2022","146.05","147.25","155.95","147.00","155.35","155.30","152.76","2,94,86,720","4,50,44,12,963.30","1,51,574","94,08,958","31.91"
"COALINDIA","EQ","04-Jan-2022","155.30","156.00","156.65","152.35","153.00","153.00","154.24","1,37,44,440","2,11,99,44,387.90","86,509","39,11,650","28.46"
"COALINDIA","EQ","05-Jan-2022","153.00","153.00","154.30","152.10","154.00","153.70","153.35","84,54,060","1,29,64,61,246.25","53,430","31,88,575","37.72"
"COALINDIA","EQ","06-Jan-2022","153.70","154.50","155.25","153.05","154.65","154.65","154.11","1,24,46,900","1,91,81,29,637.35","72,781","40,93,656","32.89"
"COALINDIA","EQ","07-Jan-2022","154.65","155.00","157.45","154.95","156.50","156.95","156.35","1,16,79,683","1,82,61,33,037.85","66,686","44,80,304","38.36"
"COALINDIA","EQ","10-Jan-2022","156.95","157.80","161.00","157.05","160.65","160.70","159.54","1,46,55,298","2,33,80,77,006.95","94,733","75,47,495","51.50"
"COALINDIA","EQ","11-Jan-2022","160.70","160.65","160.65","158.10","158.85","158.55","159.19","76,70,386","1,22,10,51,847.55","66,645","32,94,011","42.94"
"COALINDIA","EQ","12-Jan-2022","158.55","160.40","160.75","158.50","159.00","159.35","159.31","63,34,581","1,00,91,79,945.55","57,057","30,30,861","47.85"
"COALINDIA","EQ","13-Jan-2022","159.35","159.35","166.45","159.00","164.55","164.75","164.41","2,02,71,714","3,33,27,82,723.85","1,46,191","59,50,630","29.35"
"COALINDIA","EQ","14-Jan-2022","164.75","164.75","166.15","163.25","164.80","164.75","164.60","1,02,11,720","1,68,08,23,094.65","64,614","47,99,951","47.00"
"COALINDIA","EQ","17-Jan-2022","164.75","165.60","166.10","162.05","163.60","163.70","163.54","83,84,625","1,37,12,11,871.05","60,224","33,05,054","39.42"
"COALINDIA","EQ","18-Jan-2022","163.70","164.00","165.50","160.30","160.80","160.80","162.82","65,74,122","1,07,04,29,008.50","59,226","25,72,207","39.13"
"COALINDIA","EQ","19-Jan-2022","160.80","161.00","164.85","160.80","163.65","163.90","163.34","1,15,03,199","1,87,88,81,600.05","70,869","47,27,681","41.10"
"COALINDIA","EQ","20-Jan-2022","163.90","164.50","168.25","163.85","165.00","165.05","166.37","1,74,62,235","2,90,52,40,874.80","1,17,311","52,07,756","29.82"
"COALINDIA","EQ","21-Jan-2022","165.05","163.30","163.30","157.50","158.95","158.75","159.64","1,44,66,758","2,30,94,02,252.35","92,840","59,27,295","40.97"
"COALINDIA","EQ","24-Jan-2022","158.75","158.20","160.40","154.80","156.55","156.30","157.44","1,08,54,431","1,70,89,31,275.05","77,911","37,70,380","34.74"
"COALINDIA","EQ","25-Jan-2022","156.30","155.00","161.60","154.30","161.00","161.15","159.14","72,67,866","1,15,65,74,780.75","61,864","27,76,862","38.21"
"COALINDIA","EQ","27-Jan-2022","161.15","158.90","161.30","158.00","161.00","160.55","159.93","92,69,062","1,48,24,39,418.30","65,555","43,93,587","47.40"
"COALINDIA","EQ","28-Jan-2022","160.55","160.60","165.00","160.60","161.90","161.65","163.18","1,03,10,726","1,68,24,72,543.15","60,063","49,00,402","47.53"
"COALINDIA","EQ","31-Jan-2022","161.65","163.40","163.40","159.15","159.45","159.80","161.12","58,11,200","93,63,08,987.45","51,570","20,61,412","35.47"
"COALINDIA","EQ","01-Feb-2022","159.80","162.00","163.45","158.60","163.00","163.05","161.15","72,48,713","1,16,81,42,171.75","54,077","21,53,487","29.71"
"COALINDIA","EQ","02-Feb-2022","163.05","163.00","164.60","162.25","163.70","163.85","163.43","53,69,074","87,74,75,841.30","47,969","18,53,276","34.52"
"COALINDIA","EQ","03-Feb-2022","163.85","163.10","164.15","160.60","160.70","161.30","162.14","46,54,885","75,47,27,577.80","35,032","19,58,876","42.08"
"COALINDIA","EQ","04-Feb-2022","161.30","161.30","162.80","160.00","160.30","160.40","161.61","64,02,287","1,03,47,03,040.20","60,377","26,52,200","41.43"
"COALINDIA","EQ","07-Feb-2022","160.40","160.65","163.00","159.65","161.25","160.95","161.53","58,71,041","94,83,54,361.20","43,333","18,43,734","31.40"
"COALINDIA","EQ","08-Feb-2022","160.95","161.85","162.50","158.35","159.75","159.95","159.90","1,41,58,927","2,26,40,76,871.90","58,727","59,84,886","42.27"
"COALINDIA","EQ","09-Feb-2022","159.95","160.50","169.35","160.00","168.95","168.60","167.14","3,50,79,516","5,86,31,02,780.15","1,77,536","1,32,92,058","37.89"
"COALINDIA","EQ","10-Feb-2022","168.60","169.00","170.30","165.00","168.15","168.05","167.86","1,77,24,098","2,97,50,84,184.25","1,04,692","53,93,651","30.43"
"COALINDIA","EQ","11-Feb-2022","168.05","167.95","169.30","165.20","166.85","166.50","167.01","1,00,97,767","1,68,64,48,480.60","68,547","37,50,885","37.15"
"COALINDIA","EQ","14-Feb-2022","166.50","166.10","166.25","161.15","161.70","161.65","163.44","94,78,670","1,54,92,10,355.50","82,039","42,43,541","44.77"
"COALINDIA","EQ","15-Feb-2022","161.65","162.75","164.85","159.85","164.15","163.65","162.53","1,68,50,616","2,73,87,72,100.80","98,140","46,03,666","27.32"
"COALINDIA","EQ","16-Feb-2022","163.65","165.25","166.00","162.80","163.85","163.85","164.09","1,06,53,203","1,74,81,10,322.90","53,275","52,03,487","48.84"
"COALINDIA","EQ","17-Feb-2022","163.85","164.70","165.50","162.70","162.90","163.05","163.96","69,06,440","1,13,24,05,409.75","46,655","30,34,800","43.94"
"COALINDIA","EQ","18-Feb-2022","163.05","163.00","168.25","162.60","167.30","167.30","166.77","2,37,40,696","3,95,92,19,067.25","1,14,929","68,66,717","28.92"
"COALINDIA","EQ","21-Feb-2022","167.30","163.15","163.50","159.85","161.10","161.20","161.12","1,48,70,901","2,39,59,48,145.20","91,754","50,51,375","33.97"
"COALINDIA","EQ","22-Feb-2022","161.20","159.50","160.65","155.50","160.00","159.90","157.85","1,16,54,816","1,83,97,67,014.90","91,942","38,55,584","33.08"
