"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DRREDDY","EQ","01-Jan-2015","3,246.20","3,230.00","3,235.00","3,204.00","3,210.00","3,210.50","3,216.89","75,642","24,33,31,916.90","4,935","22,132","29.26"
"DRREDDY","EQ","02-Jan-2015","3,210.50","3,220.00","3,242.65","3,215.00","3,224.90","3,221.40","3,227.06","86,014","27,75,71,939.85","4,661","35,009","40.70"
"DRREDDY","EQ","05-Jan-2015","3,221.40","3,221.40","3,221.40","3,141.00","3,146.00","3,148.40","3,165.42","2,93,765","92,98,90,990.15","27,851","1,80,060","61.29"
"DRREDDY","EQ","06-Jan-2015","3,148.40","3,130.00","3,130.00","3,055.00","3,055.00","3,065.55","3,082.25","3,91,335","1,20,61,94,165.10","19,849","2,83,756","72.51"
"DRREDDY","EQ","07-Jan-2015","3,065.55","3,075.10","3,078.05","3,010.00","3,040.50","3,039.20","3,032.24","3,19,437","96,86,11,005.95","29,741","1,91,418","59.92"
"DRREDDY","EQ","08-Jan-2015","3,039.20","3,060.00","3,094.05","3,041.00","3,064.00","3,066.30","3,065.31","2,78,836","85,47,17,488.25","15,157","1,92,150","68.91"
"DRREDDY","EQ","09-Jan-2015","3,066.30","3,095.00","3,170.00","3,091.20","3,159.00","3,163.80","3,136.40","5,93,638","1,86,18,84,182.95","29,466","4,29,282","72.31"
"DRREDDY","EQ","12-Jan-2015","3,163.80","3,153.00","3,214.00","3,126.65","3,210.00","3,207.25","3,188.22","3,34,222","1,06,55,72,009.85","25,481","1,99,064","59.56"
"DRREDDY","EQ","13-Jan-2015","3,207.25","3,210.00","3,238.00","3,190.00","3,223.00","3,223.35","3,222.09","4,90,674","1,58,09,94,096.05","33,074","4,14,809","84.54"
"DRREDDY","EQ","14-Jan-2015","3,223.35","3,205.00","3,223.20","3,191.00","3,220.00","3,208.25","3,210.28","3,31,309","1,06,35,95,455.75","37,268","2,56,882","77.54"
"DRREDDY","EQ","15-Jan-2015","3,208.25","3,226.60","3,253.95","3,203.95","3,240.00","3,240.55","3,227.94","4,43,672","1,43,21,48,161.70","27,424","3,16,748","71.39"
"DRREDDY","EQ","16-Jan-2015","3,240.55","3,242.00","3,295.00","3,231.25","3,257.40","3,285.80","3,275.90","4,22,004","1,38,24,43,646.90","33,461","3,01,754","71.51"
"DRREDDY","EQ","19-Jan-2015","3,285.80","3,280.00","3,330.00","3,269.70","3,328.90","3,323.90","3,312.49","2,48,669","82,37,14,211.95","17,425","1,54,065","61.96"
"DRREDDY","EQ","20-Jan-2015","3,323.90","3,342.00","3,342.00","3,292.35","3,300.00","3,306.20","3,306.30","2,97,710","98,43,17,202.20","17,575","2,18,874","73.52"
"DRREDDY","EQ","21-Jan-2015","3,306.20","3,277.50","3,348.90","3,252.00","3,332.00","3,335.85","3,302.56","4,31,156","1,42,39,16,847.40","28,912","2,84,675","66.03"
"DRREDDY","EQ","22-Jan-2015","3,335.85","3,330.10","3,365.00","3,330.10","3,360.00","3,361.25","3,354.83","2,45,798","82,46,10,342.35","14,618","1,70,534","69.38"
"DRREDDY","EQ","23-Jan-2015","3,361.25","3,389.75","3,389.75","3,335.00","3,335.00","3,349.60","3,360.73","4,41,479","1,48,36,91,149.35","44,232","3,43,201","77.74"
"DRREDDY","EQ","27-Jan-2015","3,349.60","3,324.85","3,324.85","3,195.35","3,201.00","3,212.40","3,224.47","4,12,304","1,32,94,63,217.95","44,691","2,64,759","64.21"
"DRREDDY","EQ","28-Jan-2015","3,212.40","3,220.00","3,245.00","3,172.10","3,239.95","3,239.05","3,227.48","2,49,711","80,59,37,243.60","16,939","1,23,499","49.46"
"DRREDDY","EQ","29-Jan-2015","3,239.05","3,234.00","3,380.00","3,210.35","3,362.10","3,363.30","3,313.09","14,01,638","4,64,37,49,019.95","91,149","6,86,840","49.00"
"DRREDDY","EQ","30-Jan-2015","3,363.30","3,370.00","3,372.85","3,201.00","3,226.95","3,233.25","3,254.89","6,32,758","2,05,95,56,386.25","38,249","3,92,856","62.09"
"DRREDDY","EQ","02-Feb-2015","3,233.25","3,179.75","3,184.00","3,135.10","3,137.00","3,139.10","3,153.57","3,86,253","1,21,80,74,976.25","26,914","2,15,945","55.91"
"DRREDDY","EQ","03-Feb-2015","3,139.10","3,102.00","3,119.00","3,074.90","3,086.95","3,087.15","3,091.90","5,22,573","1,61,57,42,295.35","33,744","3,76,638","72.07"
"DRREDDY","EQ","04-Feb-2015","3,087.15","3,105.00","3,126.25","3,085.00","3,098.90","3,096.90","3,109.51","2,14,845","66,80,63,218.45","18,644","1,21,613","56.60"
"DRREDDY","EQ","05-Feb-2015","3,096.90","3,088.00","3,095.00","3,061.20","3,074.80","3,072.05","3,072.98","4,22,142","1,29,72,32,613.90","23,079","3,18,709","75.50"
"DRREDDY","EQ","06-Feb-2015","3,072.05","3,075.00","3,117.00","3,030.00","3,049.00","3,044.30","3,074.97","2,44,496","75,18,18,353.55","18,194","1,19,031","48.68"
"DRREDDY","EQ","09-Feb-2015","3,044.30","3,033.00","3,112.95","3,007.00","3,108.00","3,099.10","3,072.23","3,52,149","1,08,18,83,615.70","26,174","2,22,407","63.16"
"DRREDDY","EQ","10-Feb-2015","3,099.10","3,111.05","3,145.50","3,075.00","3,134.00","3,130.50","3,119.27","3,38,985","1,05,73,85,744.75","37,019","2,07,890","61.33"
"DRREDDY","EQ","11-Feb-2015","3,130.50","3,140.30","3,180.90","3,123.95","3,170.00","3,152.40","3,155.00","2,32,891","73,47,71,255.85","14,205","1,30,887","56.20"
"DRREDDY","EQ","12-Feb-2015","3,152.40","3,195.00","3,343.15","3,192.35","3,343.00","3,331.20","3,282.30","4,57,240","1,50,07,98,460.90","25,085","2,92,931","64.07"
"DRREDDY","EQ","13-Feb-2015","3,331.20","3,360.00","3,369.00","3,321.00","3,338.90","3,343.95","3,342.68","2,11,055","70,54,89,644.75","17,035","88,341","41.86"
"DRREDDY","EQ","16-Feb-2015","3,343.95","3,352.00","3,402.80","3,338.15","3,349.60","3,351.25","3,374.34","1,49,937","50,59,38,563.00","10,336","70,484","47.01"
"DRREDDY","EQ","18-Feb-2015","3,351.25","3,317.00","3,376.00","3,312.10","3,350.00","3,354.25","3,341.97","2,09,696","70,07,97,982.05","17,123","1,23,918","59.09"
"DRREDDY","EQ","19-Feb-2015","3,354.25","3,347.05","3,396.75","3,312.70","3,387.00","3,382.90","3,365.13","1,71,684","57,77,39,370.00","11,789","71,325","41.54"
"DRREDDY","EQ","20-Feb-2015","3,382.90","3,398.00","3,424.95","3,371.00","3,390.00","3,403.90","3,406.94","1,51,478","51,60,77,018.80","10,373","50,104","33.08"
"DRREDDY","EQ","23-Feb-2015","3,403.90","3,402.20","3,424.00","3,362.60","3,375.00","3,389.80","3,392.99","4,15,998","1,41,14,76,617.25","31,969","3,18,550","76.57"
"DRREDDY","EQ","24-Feb-2015","3,389.80","3,375.00","3,410.00","3,340.40","3,364.00","3,359.75","3,372.86","2,16,410","72,99,21,020.55","22,285","1,20,948","55.89"
"DRREDDY","EQ","25-Feb-2015","3,359.75","3,375.00","3,385.05","3,265.00","3,282.50","3,279.35","3,322.86","4,05,564","1,34,76,33,067.25","22,710","2,50,307","61.72"
"DRREDDY","EQ","26-Feb-2015","3,279.35","3,253.00","3,283.00","3,227.00","3,248.00","3,252.20","3,255.61","4,97,009","1,61,80,66,841.60","40,908","3,19,630","64.31"
"DRREDDY","EQ","27-Feb-2015","3,252.20","3,249.00","3,299.00","3,201.00","3,268.00","3,278.05","3,262.60","4,33,848","1,41,54,72,595.75","40,773","3,15,691","72.77"
"DRREDDY","EQ","28-Feb-2015","3,278.05","3,284.60","3,371.35","3,260.10","3,370.00","3,349.05","3,316.75","1,06,206","35,22,58,286.20","7,767","33,661","31.69"
"DRREDDY","EQ","02-Mar-2015","3,349.05","3,363.00","3,419.90","3,332.10","3,382.20","3,386.65","3,390.49","2,72,219","92,29,55,592.40","19,109","1,74,553","64.12"
"DRREDDY","EQ","03-Mar-2015","3,386.65","3,409.00","3,482.80","3,363.15","3,395.05","3,407.90","3,434.86","3,99,929","1,37,36,98,565.75","32,278","2,19,434","54.87"
"DRREDDY","EQ","04-Mar-2015","3,407.90","3,407.90","3,468.00","3,370.60","3,382.00","3,390.45","3,423.31","2,90,728","99,52,51,595.85","30,421","1,63,725","56.32"
"DRREDDY","EQ","05-Mar-2015","3,390.45","3,388.10","3,449.90","3,388.10","3,437.55","3,441.50","3,433.33","2,80,898","96,44,14,137.35","23,884","1,65,605","58.96"
"DRREDDY","EQ","09-Mar-2015","3,441.50","3,451.90","3,517.00","3,451.90","3,464.70","3,467.55","3,478.91","2,34,118","81,44,76,531.10","22,568","1,16,030","49.56"
"DRREDDY","EQ","10-Mar-2015","3,467.55","3,480.00","3,480.00","3,410.75","3,442.70","3,437.30","3,454.39","2,22,064","76,70,96,391.55","37,339","1,28,260","57.76"
"DRREDDY","EQ","11-Mar-2015","3,437.30","3,458.85","3,531.95","3,368.05","3,477.05","3,468.00","3,464.98","3,09,701","1,07,31,07,256.25","26,790","1,50,492","48.59"
"DRREDDY","EQ","12-Mar-2015","3,468.00","3,470.00","3,505.00","3,415.20","3,429.25","3,432.80","3,440.82","3,68,268","1,26,71,43,960.10","23,364","2,45,464","66.65"
"DRREDDY","EQ","13-Mar-2015","3,432.80","3,459.00","3,464.10","3,358.50","3,383.00","3,376.55","3,393.78","1,94,107","65,87,56,623.95","14,992","1,05,940","54.58"
"DRREDDY","EQ","16-Mar-2015","3,376.55","3,390.00","3,398.60","3,300.15","3,320.95","3,313.00","3,345.14","2,17,805","72,85,88,078.70","15,755","1,40,744","64.62"
"DRREDDY","EQ","17-Mar-2015","3,313.00","3,360.00","3,452.75","3,351.00","3,432.00","3,437.45","3,408.95","3,54,407","1,20,81,55,106.40","27,855","2,01,640","56.90"
"DRREDDY","EQ","18-Mar-2015","3,437.45","3,444.90","3,453.95","3,400.00","3,429.90","3,427.05","3,426.74","1,70,461","58,41,25,871.85","15,513","82,585","48.45"
"DRREDDY","EQ","19-Mar-2015","3,427.05","3,470.00","3,480.00","3,411.05","3,427.05","3,424.70","3,446.67","2,77,953","95,80,11,377.45","32,822","1,77,093","63.71"
"DRREDDY","EQ","20-Mar-2015","3,424.70","3,438.20","3,465.00","3,371.50","3,435.00","3,426.60","3,426.98","3,07,930","1,05,52,69,835.50","20,552","1,72,705","56.09"
"DRREDDY","EQ","23-Mar-2015","3,426.60","3,430.00","3,469.85","3,428.50","3,456.25","3,458.65","3,457.57","1,89,693","65,58,76,283.65","17,115","1,16,869","61.61"
"DRREDDY","EQ","24-Mar-2015","3,458.65","3,499.00","3,525.00","3,463.00","3,513.00","3,511.45","3,503.91","5,22,455","1,83,06,36,837.65","14,753","3,83,016","73.31"
"DRREDDY","EQ","25-Mar-2015","3,511.45","3,525.00","3,575.00","3,504.00","3,504.05","3,510.60","3,526.17","3,93,983","1,38,92,50,949.85","31,644","2,48,489","63.07"
"DRREDDY","EQ","26-Mar-2015","3,510.60","3,470.00","3,492.05","3,351.50","3,437.00","3,445.70","3,455.96","5,37,319","1,85,69,51,603.25","45,939","3,76,901","70.14"
"DRREDDY","EQ","27-Mar-2015","3,445.70","3,434.90","3,434.90","3,360.20","3,414.00","3,415.40","3,391.19","2,43,912","82,71,51,864.65","20,901","1,34,673","55.21"
"DRREDDY","EQ","30-Mar-2015","3,415.40","3,457.80","3,457.80","3,373.00","3,431.60","3,425.30","3,420.17","2,81,925","96,42,31,728.40","14,036","2,05,483","72.89"
"DRREDDY","EQ","31-Mar-2015","3,425.30","3,454.00","3,515.00","3,454.00","3,490.00","3,488.75","3,491.34","2,80,091","97,78,93,227.15","20,373","1,76,535","63.03"
"DRREDDY","EQ","01-Apr-2015","3,488.75","3,541.00","3,566.80","3,501.70","3,550.00","3,533.65","3,536.88","2,82,785","1,00,01,75,425.90","29,786","1,50,753","53.31"
"DRREDDY","EQ","06-Apr-2015","3,533.65","3,530.00","3,694.50","3,529.00","3,694.50","3,677.85","3,618.46","4,36,764","1,58,04,12,456.60","27,551","2,39,621","54.86"
"DRREDDY","EQ","07-Apr-2015","3,677.85","3,668.00","3,704.95","3,645.20","3,675.00","3,684.85","3,674.99","2,32,946","85,60,74,318.55","20,139","87,287","37.47"
"DRREDDY","EQ","08-Apr-2015","3,684.85","3,675.00","3,775.30","3,662.15","3,742.00","3,755.45","3,730.15","4,43,971","1,65,60,79,431.00","34,140","2,25,303","50.75"
"DRREDDY","EQ","09-Apr-2015","3,755.45","3,755.05","3,764.00","3,679.00","3,739.00","3,740.25","3,717.89","3,09,859","1,15,20,22,686.45","28,707","1,61,366","52.08"
"DRREDDY","EQ","10-Apr-2015","3,740.25","3,746.00","3,807.80","3,706.35","3,781.25","3,797.40","3,759.19","2,15,427","80,98,31,925.25","21,816","83,185","38.61"
"DRREDDY","EQ","13-Apr-2015","3,797.40","3,780.00","3,807.70","3,731.50","3,775.95","3,795.35","3,774.74","2,63,460","99,44,92,620.20","21,231","1,29,815","49.27"
"DRREDDY","EQ","15-Apr-2015","3,795.35","3,780.00","3,800.00","3,731.65","3,747.35","3,753.60","3,775.70","2,93,648","1,10,87,25,555.50","30,311","1,80,869","61.59"
"DRREDDY","EQ","16-Apr-2015","3,753.60","3,730.00","3,741.25","3,663.20","3,676.00","3,680.30","3,693.21","2,33,587","86,26,84,757.30","25,938","1,27,779","54.70"
"DRREDDY","EQ","17-Apr-2015","3,680.30","3,665.40","3,700.00","3,620.00","3,650.00","3,647.15","3,654.00","2,58,444","94,43,54,093.40","26,622","1,54,777","59.89"
"DRREDDY","EQ","20-Apr-2015","3,647.15","3,650.00","3,715.95","3,540.20","3,577.70","3,567.00","3,616.95","3,02,996","1,09,59,20,067.05","27,778","1,59,469","52.63"
"DRREDDY","EQ","21-Apr-2015","3,567.00","3,575.90","3,614.00","3,452.00","3,462.00","3,462.00","3,490.45","3,87,220","1,35,15,73,179.80","38,390","2,19,214","56.61"
"DRREDDY","EQ","22-Apr-2015","3,462.00","3,490.05","3,585.00","3,488.00","3,564.00","3,570.30","3,530.09","3,39,644","1,19,89,73,238.55","38,841","1,60,837","47.35"
"DRREDDY","EQ","23-Apr-2015","3,570.30","3,579.20","3,595.00","3,509.00","3,528.30","3,528.80","3,535.07","1,71,687","60,69,25,603.00","15,756","76,941","44.81"
