"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"EICHERMOT","EQ","01-Jan-2015","15,075.00","15,011.00","15,360.65","15,011.00","15,250.00","15,262.35","15,252.98","29,115","44,40,90,553.55","6,438","5,728","19.67"
"EICHERMOT","EQ","02-Jan-2015","15,262.35","15,450.00","15,450.05","15,013.00","15,048.00","15,081.95","15,254.47","39,973","60,97,66,912.60","7,534","17,851","44.66"
"EICHERMOT","EQ","05-Jan-2015","15,081.95","15,020.00","15,246.00","15,020.00","15,154.00","15,150.55","15,143.86","35,376","53,57,29,254.15","7,466","19,551","55.27"
"EICHERMOT","EQ","06-Jan-2015","15,150.55","15,000.00","15,015.00","14,640.00","14,754.35","14,755.90","14,799.95","48,118","71,21,43,895.75","9,104","20,191","41.96"
"EICHERMOT","EQ","07-Jan-2015","14,755.90","14,760.00","14,999.70","14,715.65","14,920.00","14,959.90","14,850.04","31,815","47,24,53,892.55","6,051","10,552","33.17"
"EICHERMOT","EQ","08-Jan-2015","14,959.90","14,963.00","15,100.00","14,811.00","14,850.00","14,873.70","14,955.97","29,487","44,10,06,620.40","6,697","14,742","49.99"
"EICHERMOT","EQ","09-Jan-2015","14,873.70","14,925.45","14,980.00","14,550.00","14,673.75","14,738.70","14,800.76","38,742","57,34,10,923.50","8,515","21,367","55.15"
"EICHERMOT","EQ","12-Jan-2015","14,738.70","14,652.00","15,145.00","14,600.25","14,800.00","14,857.65","14,903.52","65,723","97,95,04,355.35","12,334","36,466","55.48"
"EICHERMOT","EQ","13-Jan-2015","14,857.65","14,899.95","14,947.20","14,690.00","14,799.90","14,799.15","14,835.12","14,432","21,41,00,483.20","3,902","3,964","27.47"
"EICHERMOT","EQ","14-Jan-2015","14,799.15","14,765.00","14,946.00","14,720.10","14,876.80","14,833.55","14,832.33","15,794","23,42,61,769.35","5,566","5,609","35.51"
"EICHERMOT","EQ","15-Jan-2015","14,833.55","14,990.00","15,269.00","14,845.00","15,110.00","15,127.25","15,098.41","46,169","69,70,78,460.00","8,884","20,957","45.39"
"EICHERMOT","EQ","16-Jan-2015","15,127.25","15,120.00","15,385.00","15,011.00","15,335.00","15,349.70","15,302.43","32,984","50,47,35,467.80","6,904","12,905","39.13"
"EICHERMOT","EQ","19-Jan-2015","15,349.70","15,380.00","15,590.90","15,360.00","15,420.05","15,474.60","15,473.74","38,266","59,21,18,098.30","8,547","16,017","41.86"
"EICHERMOT","EQ","20-Jan-2015","15,474.60","15,476.05","15,581.80","15,402.00","15,480.00","15,490.70","15,516.38","36,741","57,00,87,379.75","9,648","23,496","63.95"
"EICHERMOT","EQ","21-Jan-2015","15,490.70","15,511.00","15,550.00","15,240.00","15,375.10","15,372.35","15,352.84","26,060","40,00,94,936.00","6,641","13,864","53.20"
"EICHERMOT","EQ","22-Jan-2015","15,372.35","15,301.00","15,411.15","15,241.30","15,329.00","15,314.95","15,333.59","14,085","21,59,73,563.05","3,292","5,922","42.04"
"EICHERMOT","EQ","23-Jan-2015","15,314.95","15,372.00","15,420.10","15,113.00","15,160.00","15,145.95","15,160.53","1,04,097","1,57,81,65,303.50","7,407","89,064","85.56"
"EICHERMOT","EQ","27-Jan-2015","15,145.95","15,190.00","16,133.00","15,094.20","16,102.00","16,089.25","15,661.19","1,34,065","2,09,96,18,003.10","19,473","69,390","51.76"
"EICHERMOT","EQ","28-Jan-2015","16,089.25","16,166.95","16,491.75","16,000.00","16,387.90","16,340.25","16,183.45","85,026","1,37,60,13,794.55","20,006","42,710","50.23"
"EICHERMOT","EQ","29-Jan-2015","16,340.25","16,454.00","16,650.20","16,301.00","16,484.00","16,478.85","16,466.02","61,534","1,01,32,20,288.90","10,365","28,556","46.41"
"EICHERMOT","EQ","30-Jan-2015","16,478.85","16,501.00","16,640.00","16,020.00","16,242.00","16,275.90","16,369.86","37,457","61,31,65,987.60","7,948","16,494","44.03"
"EICHERMOT","EQ","02-Feb-2015","16,275.90","16,397.00","16,895.00","16,377.80","16,500.00","16,561.75","16,624.90","50,836","84,51,43,568.05","10,413","23,391","46.01"
"EICHERMOT","EQ","03-Feb-2015","16,561.75","16,495.00","16,713.90","16,255.00","16,255.00","16,323.60","16,464.07","31,021","51,07,32,003.95","8,385","16,239","52.35"
"EICHERMOT","EQ","04-Feb-2015","16,323.60","16,375.00","16,399.90","15,792.40","15,860.00","15,919.50","16,094.16","27,280","43,90,48,718.70","6,639","16,353","59.95"
"EICHERMOT","EQ","05-Feb-2015","15,919.50","15,920.00","16,082.70","15,760.45","15,801.05","15,837.55","15,952.24","29,185","46,55,66,237.00","9,058","13,426","46.00"
"EICHERMOT","EQ","06-Feb-2015","15,837.55","15,898.00","15,980.00","15,502.00","15,580.00","15,587.75","15,667.78","21,560","33,77,97,314.05","4,914","7,065","32.77"
"EICHERMOT","EQ","09-Feb-2015","15,587.75","15,580.00","15,580.00","15,067.60","15,100.00","15,115.55","15,268.59","26,596","40,60,83,412.45","7,275","12,432","46.74"
