"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HDFCBANK","EQ","01-Jan-2020","1,272.10","1,276.10","1,280.00","1,270.60","1,279.00","1,278.60","1,276.64","18,36,849","2,34,50,00,988.70","46,625","8,09,152","44.05"
"HDFCBANK","EQ","02-Jan-2020","1,278.60","1,279.00","1,288.00","1,279.00","1,286.00","1,286.75","1,284.56","30,68,583","3,94,17,91,536.35","1,04,570","19,57,617","63.80"
"HDFCBANK","EQ","03-Jan-2020","1,286.75","1,282.20","1,285.00","1,263.60","1,268.50","1,268.40","1,270.48","54,27,775","6,89,58,85,753.85","1,57,066","34,59,267","63.73"
"HDFCBANK","EQ","06-Jan-2020","1,268.40","1,260.00","1,261.80","1,236.00","1,240.25","1,240.95","1,247.24","54,45,093","6,79,13,47,831.05","1,55,007","36,47,637","66.99"
"HDFCBANK","EQ","07-Jan-2020","1,240.95","1,258.90","1,271.45","1,252.25","1,261.00","1,260.60","1,261.48","73,62,247","9,28,73,01,543.65","1,89,026","37,90,730","51.49"
"HDFCBANK","EQ","08-Jan-2020","1,260.60","1,246.95","1,262.15","1,240.05","1,256.00","1,257.30","1,253.71","56,66,055","7,10,36,12,130.00","1,41,795","35,49,321","62.64"
"HDFCBANK","EQ","09-Jan-2020","1,257.30","1,265.00","1,275.80","1,263.10","1,271.80","1,271.40","1,271.27","47,73,158","6,06,79,65,129.35","1,25,829","26,50,051","55.52"
"HDFCBANK","EQ","10-Jan-2020","1,271.40","1,284.10","1,286.90","1,275.10","1,281.00","1,282.70","1,282.11","46,07,290","5,90,70,37,339.20","1,23,583","28,57,227","62.02"
"HDFCBANK","EQ","13-Jan-2020","1,282.70","1,282.70","1,296.50","1,276.00","1,287.00","1,286.00","1,289.33","37,25,784","4,80,37,55,674.70","1,07,121","22,15,612","59.47"
"HDFCBANK","EQ","14-Jan-2020","1,286.00","1,289.00","1,292.55","1,277.50","1,288.00","1,289.50","1,284.81","39,43,145","5,06,62,03,793.15","91,722","25,73,348","65.26"
"HDFCBANK","EQ","15-Jan-2020","1,289.50","1,286.40","1,287.95","1,274.10","1,285.05","1,284.25","1,280.62","58,93,724","7,54,76,49,403.30","1,05,548","39,70,136","67.36"
"HDFCBANK","EQ","16-Jan-2020","1,284.25","1,282.05","1,291.00","1,279.35","1,287.50","1,287.65","1,285.32","35,75,200","4,59,52,66,982.80","93,131","22,51,808","62.98"
"HDFCBANK","EQ","17-Jan-2020","1,287.65","1,281.75","1,284.90","1,271.90","1,277.40","1,278.15","1,277.38","84,59,407","10,80,59,01,963.60","1,36,379","66,92,529","79.11"
"HDFCBANK","EQ","20-Jan-2020","1,278.15","1,304.85","1,304.85","1,252.50","1,257.35","1,254.90","1,265.00","1,10,89,225","14,02,78,27,939.05","2,45,672","57,96,841","52.27"
"HDFCBANK","EQ","21-Jan-2020","1,254.90","1,250.00","1,250.00","1,238.40","1,244.90","1,244.35","1,244.14","74,92,402","9,32,16,21,104.55","2,16,589","45,87,266","61.23"
"HDFCBANK","EQ","22-Jan-2020","1,244.35","1,248.05","1,255.00","1,234.40","1,241.85","1,240.85","1,243.37","91,84,155","11,41,92,77,034.85","1,46,555","65,62,205","71.45"
"HDFCBANK","EQ","23-Jan-2020","1,240.85","1,240.00","1,246.85","1,231.00","1,245.35","1,244.85","1,240.93","57,54,460","7,14,09,06,437.50","1,76,401","35,35,947","61.45"
"HDFCBANK","EQ","24-Jan-2020","1,244.85","1,246.00","1,254.00","1,239.10","1,245.80","1,244.55","1,247.28","59,15,878","7,37,87,71,197.30","1,38,884","39,35,384","66.52"
"HDFCBANK","EQ","27-Jan-2020","1,244.55","1,235.00","1,235.00","1,211.75","1,213.50","1,213.20","1,220.97","94,44,276","11,53,11,92,819.45","2,68,331","61,45,074","65.07"
"HDFCBANK","EQ","28-Jan-2020","1,213.20","1,218.80","1,227.80","1,213.25","1,223.10","1,223.20","1,221.37","67,06,079","8,19,05,99,143.00","2,19,199","37,12,912","55.37"
"HDFCBANK","EQ","29-Jan-2020","1,223.20","1,225.30","1,242.00","1,222.25","1,235.80","1,235.85","1,235.01","68,94,175","8,51,43,72,123.25","1,55,174","45,88,335","66.55"
"HDFCBANK","EQ","30-Jan-2020","1,235.85","1,238.95","1,238.95","1,217.20","1,227.90","1,226.05","1,224.75","60,55,992","7,41,70,90,655.15","1,95,593","39,37,675","65.02"
"HDFCBANK","EQ","31-Jan-2020","1,226.05","1,231.45","1,237.80","1,220.25","1,224.25","1,226.30","1,230.24","55,89,134","6,87,60,00,868.35","1,69,641","35,63,738","63.76"
"HDFCBANK","EQ","01-Feb-2020","1,226.30","1,220.00","1,227.70","1,191.35","1,192.50","1,198.70","1,210.20","49,13,643","5,94,64,67,662.40","1,32,683","25,36,143","51.61"
"HDFCBANK","EQ","03-Feb-2020","1,198.70","1,197.00","1,197.95","1,177.70","1,194.00","1,192.80","1,188.67","65,38,505","7,77,20,96,364.25","2,51,382","40,24,345","61.55"
"HDFCBANK","EQ","04-Feb-2020","1,192.80","1,198.00","1,234.00","1,198.00","1,229.00","1,229.80","1,222.00","1,04,48,852","12,76,85,29,290.90","1,73,447","69,00,844","66.04"
"HDFCBANK","EQ","05-Feb-2020","1,229.80","1,234.90","1,248.00","1,227.30","1,246.00","1,244.65","1,237.42","90,10,341","11,14,95,64,568.10","1,50,882","69,55,471","77.19"
"HDFCBANK","EQ","06-Feb-2020","1,244.65","1,244.65","1,248.70","1,237.20","1,239.95","1,239.80","1,242.01","59,13,775","7,34,49,82,424.55","1,26,190","36,40,808","61.56"
"HDFCBANK","EQ","07-Feb-2020","1,239.80","1,246.00","1,247.00","1,231.60","1,240.00","1,242.20","1,238.21","34,07,724","4,21,94,86,810.85","81,299","21,93,596","64.37"
"HDFCBANK","EQ","10-Feb-2020","1,242.20","1,242.95","1,242.95","1,226.05","1,240.95","1,240.30","1,235.68","46,09,917","5,69,63,88,107.65","1,05,140","32,08,623","69.60"
"HDFCBANK","EQ","11-Feb-2020","1,240.30","1,243.30","1,255.00","1,238.05","1,239.90","1,240.60","1,246.80","58,06,760","7,23,98,73,153.45","98,063","37,70,138","64.93"
"HDFCBANK","EQ","12-Feb-2020","1,240.60","1,245.20","1,252.90","1,244.05","1,249.00","1,249.00","1,249.42","31,48,965","3,93,43,83,166.55","87,413","21,14,375","67.15"
"HDFCBANK","EQ","13-Feb-2020","1,249.00","1,259.90","1,259.90","1,233.60","1,239.50","1,241.40","1,241.95","45,56,070","5,65,84,32,160.20","97,099","28,50,913","62.57"
"HDFCBANK","EQ","14-Feb-2020","1,241.40","1,243.20","1,248.40","1,215.00","1,219.45","1,219.35","1,227.78","73,44,429","9,01,73,58,547.30","1,67,779","47,83,189","65.13"
"HDFCBANK","EQ","17-Feb-2020","1,219.35","1,225.00","1,233.00","1,214.45","1,218.00","1,217.15","1,221.46","50,76,345","6,20,05,35,024.85","1,57,333","30,75,780","60.59"
"HDFCBANK","EQ","18-Feb-2020","1,217.15","1,216.90","1,218.50","1,203.50","1,217.05","1,213.25","1,209.57","52,64,558","6,36,78,72,772.45","1,19,172","37,04,300","70.36"
"HDFCBANK","EQ","19-Feb-2020","1,213.25","1,222.50","1,230.00","1,213.90","1,227.20","1,227.20","1,221.68","50,06,134","6,11,59,09,249.10","1,01,692","34,44,477","68.81"
"HDFCBANK","EQ","20-Feb-2020","1,227.20","1,230.00","1,230.00","1,214.10","1,217.00","1,217.10","1,221.38","55,61,707","6,79,29,70,359.70","1,46,273","32,40,543","58.27"
"HDFCBANK","EQ","24-Feb-2020","1,217.10","1,208.95","1,214.75","1,200.00","1,210.25","1,209.95","1,205.66","82,84,042","9,98,77,53,564.30","1,99,969","62,42,053","75.35"
"HDFCBANK","EQ","25-Feb-2020","1,209.95","1,204.00","1,209.00","1,198.00","1,201.80","1,200.30","1,201.07","69,43,340","8,33,94,58,217.80","1,93,249","51,85,085","74.68"
"HDFCBANK","EQ","26-Feb-2020","1,200.30","1,197.50","1,204.70","1,185.65","1,201.10","1,199.25","1,195.09","69,07,393","8,25,49,56,318.75","1,91,519","46,91,104","67.91"
"HDFCBANK","EQ","27-Feb-2020","1,199.25","1,195.00","1,202.50","1,181.00","1,199.65","1,199.45","1,191.25","1,03,27,549","12,30,26,65,880.20","2,41,038","61,38,007","59.43"
"HDFCBANK","EQ","28-Feb-2020","1,199.45","1,175.50","1,185.00","1,170.10","1,178.80","1,177.65","1,176.25","1,21,56,528","14,29,91,67,014.40","2,76,737","86,62,385","71.26"
"HDFCBANK","EQ","02-Mar-2020","1,177.65","1,200.20","1,201.15","1,166.15","1,185.00","1,179.60","1,184.61","73,32,449","8,68,60,77,365.55","1,97,905","45,40,186","61.92"
"HDFCBANK","EQ","03-Mar-2020","1,179.60","1,175.00","1,185.35","1,168.00","1,182.50","1,181.80","1,178.14","1,11,84,775","13,17,71,81,997.65","2,33,028","74,97,411","67.03"
"HDFCBANK","EQ","04-Mar-2020","1,181.80","1,178.35","1,180.00","1,133.10","1,149.15","1,148.85","1,152.73","1,71,44,435","19,76,28,46,784.70","5,03,032","1,18,34,147","69.03"
"HDFCBANK","EQ","05-Mar-2020","1,148.85","1,153.00","1,165.00","1,142.75","1,149.00","1,151.35","1,155.77","97,74,854","11,29,74,50,389.35","2,62,470","56,81,138","58.12"
"HDFCBANK","EQ","06-Mar-2020","1,151.35","1,125.00","1,140.90","1,101.00","1,134.00","1,134.90","1,124.34","1,15,26,783","12,95,99,99,027.40","2,72,373","67,44,175","58.51"
"HDFCBANK","EQ","09-Mar-2020","1,134.90","1,110.00","1,118.40","1,065.00","1,112.00","1,107.30","1,094.80","1,72,10,297","18,84,18,71,874.25","4,27,518","1,11,11,864","64.57"
"HDFCBANK","EQ","11-Mar-2020","1,107.30","1,105.00","1,120.00","1,092.00","1,110.00","1,113.80","1,105.77","1,77,69,198","19,64,86,40,086.25","3,44,285","1,24,92,811","70.31"
"HDFCBANK","EQ","12-Mar-2020","1,113.80","1,075.00","1,080.00","1,003.45","1,032.00","1,021.30","1,036.26","2,95,00,406","30,57,00,04,192.95","5,03,472","1,86,95,622","63.37"
"HDFCBANK","EQ","13-Mar-2020","1,021.30","980.05","1,081.45","919.20","1,074.00","1,069.80","1,018.30","3,31,71,603","33,77,86,14,285.40","5,41,649","1,86,72,328","56.29"
"HDFCBANK","EQ","16-Mar-2020","1,069.80","1,035.00","1,037.00","995.00","1,001.25","999.50","1,013.09","1,59,93,174","16,20,24,84,604.30","4,30,742","93,57,160","58.51"
"HDFCBANK","EQ","17-Mar-2020","999.50","1,008.00","1,010.00","954.70","976.20","975.10","982.62","2,13,38,641","20,96,78,41,371.15","4,47,922","1,13,52,389","53.20"
"HDFCBANK","EQ","18-Mar-2020","975.10","985.00","993.00","865.00","898.50","876.90","916.25","3,05,93,809","28,03,14,32,118.60","6,52,391","1,85,13,396","60.51"
"HDFCBANK","EQ","19-Mar-2020","876.90","847.00","919.95","795.00","904.60","895.55","857.03","3,36,10,239","28,80,50,78,999.25","6,32,617","1,62,43,587","48.33"
"HDFCBANK","EQ","20-Mar-2020","895.55","875.00","914.60","824.55","881.25","882.85","868.05","4,43,19,015","38,47,10,82,495.00","7,90,631","1,88,85,164","42.61"
"HDFCBANK","EQ","23-Mar-2020","882.85","794.60","838.75","765.00","778.90","771.55","784.50","2,51,42,273","19,72,41,38,348.90","5,90,210","1,52,18,583","60.53"
"HDFCBANK","EQ","24-Mar-2020","771.55","795.25","810.00","738.75","774.80","767.70","775.82","3,05,28,676","23,68,47,12,047.25","6,34,897","1,54,24,639","50.53"
"HDFCBANK","EQ","25-Mar-2020","767.70","770.45","867.45","755.25","863.00","856.75","803.92","2,36,14,449","18,98,40,55,133.70","6,08,039","1,09,25,368","46.27"
"HDFCBANK","EQ","26-Mar-2020","856.75","870.10","937.70","841.00","898.00","901.10","898.62","2,85,21,681","25,63,01,40,172.80","6,27,160","1,20,10,671","42.11"
"HDFCBANK","EQ","27-Mar-2020","901.10","944.95","988.65","872.10","900.00","904.45","923.14","2,76,19,436","25,49,66,67,368.35","6,51,440","94,42,614","34.19"
"HDFCBANK","EQ","30-Mar-2020","904.45","880.00","887.00","828.00","831.00","831.65","858.48","1,96,34,313","16,85,56,55,095.40","4,91,743","90,22,080","45.95"
"HDFCBANK","EQ","31-Mar-2020","831.65","853.80","873.60","838.00","857.95","861.90","854.73","1,76,05,997","15,04,84,45,041.15","4,11,360","80,65,907","45.81"
"HDFCBANK","EQ","01-Apr-2020","861.90","863.85","863.85","820.00","829.55","829.65","831.99","1,45,51,758","12,10,69,33,301.25","3,54,947","59,57,515","40.94"
"HDFCBANK","EQ","03-Apr-2020","829.65","843.00","844.00","810.00","811.00","813.85","825.26","1,74,99,063","14,44,13,17,976.20","3,92,455","86,90,196","49.66"
"HDFCBANK","EQ","07-Apr-2020","813.85","874.00","907.30","845.35","895.80","896.10","871.57","3,02,06,626","26,32,73,15,325.80","4,75,198","1,70,83,041","56.55"
"HDFCBANK","EQ","08-Apr-2020","896.10","879.95","945.00","866.10","888.70","888.90","902.09","2,81,09,877","25,35,76,09,084.60","5,03,019","1,19,52,742","42.52"
"HDFCBANK","EQ","09-Apr-2020","888.90","913.00","930.90","890.00","922.10","925.05","913.38","2,22,29,012","20,30,34,62,865.40","4,17,910","77,59,278","34.91"
"HDFCBANK","EQ","13-Apr-2020","925.05","934.00","946.70","886.20","897.80","895.35","907.82","1,70,79,259","15,50,48,28,498.50","3,89,148","-","-"
"HDFCBANK","EQ","15-Apr-2020","895.35","930.50","930.50","843.00","865.15","863.30","885.42","2,89,89,523","25,66,79,31,187.70","5,17,354","1,32,61,188","45.74"
"HDFCBANK","EQ","16-Apr-2020","863.30","865.00","890.70","856.25","884.25","879.75","870.76","2,69,27,231","23,44,70,30,480.50","4,67,724","1,28,99,088","47.90"
"HDFCBANK","EQ","17-Apr-2020","879.75","915.00","920.00","887.25","915.10","910.30","906.63","2,79,41,831","25,33,30,29,144.80","4,53,652","1,34,82,185","48.25"
"HDFCBANK","EQ","20-Apr-2020","910.30","951.00","960.95","935.00","943.30","944.85","945.70","3,31,16,614","31,31,84,95,817.80","5,55,965","1,35,30,602","40.86"
"HDFCBANK","EQ","21-Apr-2020","944.85","925.00","934.00","908.00","919.15","921.65","922.24","1,65,89,148","15,29,91,96,199.55","2,91,815","73,14,644","44.09"
"HDFCBANK","EQ","22-Apr-2020","921.65","919.15","933.00","907.30","929.75","928.60","920.24","1,91,44,678","17,61,76,71,415.90","2,58,479","1,01,77,427","53.16"
"HDFCBANK","EQ","23-Apr-2020","928.60","935.00","958.50","912.55","952.10","954.95","939.81","2,04,50,895","19,21,99,11,302.15","4,24,855","98,26,569","48.05"
"HDFCBANK","EQ","24-Apr-2020","954.95","933.00","958.40","926.00","937.00","938.05","938.02","1,66,42,831","15,61,12,68,244.20","2,93,787","80,00,341","48.07"
"HDFCBANK","EQ","27-Apr-2020","938.05","945.15","957.40","926.30","929.95","929.70","941.28","1,37,10,727","12,90,56,69,876.50","2,66,336","60,56,487","44.17"
"HDFCBANK","EQ","28-Apr-2020","929.70","943.80","943.80","922.00","933.30","931.40","930.50","1,47,20,773","13,69,76,06,349.35","2,39,400","63,02,095","42.81"
"HDFCBANK","EQ","29-Apr-2020","931.40","935.00","992.70","934.10","970.05","977.10","964.08","2,79,39,019","26,93,54,17,994.95","4,50,180","1,09,60,329","39.23"
"HDFCBANK","EQ","30-Apr-2020","977.10","1,001.40","1,019.00","992.10","1,000.00","1,001.80","1,006.05","2,18,97,643","22,03,01,30,436.10","4,51,072","85,34,959","38.98"
"HDFCBANK","EQ","04-May-2020","1,001.80","957.50","960.00","917.50","924.90","923.00","932.42","1,33,61,177","12,45,81,66,946.10","3,83,166","62,46,738","46.75"
"HDFCBANK","EQ","05-May-2020","923.00","938.00","944.00","908.05","914.50","911.45","928.05","1,48,37,190","13,76,95,83,591.90","2,98,424","48,48,835","32.68"
"HDFCBANK","EQ","06-May-2020","911.45","919.00","950.00","905.65","946.55","946.40","936.39","1,68,93,140","15,81,85,01,983.40","3,10,813","41,69,602","24.68"
"HDFCBANK","EQ","07-May-2020","946.40","940.50","943.30","921.35","927.30","925.00","930.31","1,09,16,003","10,15,53,09,605.55","2,26,640","33,99,155","31.14"
