"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HEROMOTOCO","EQ","01-Jan-2016","2,694.10","2,689.00","2,695.00","2,675.20","2,682.05","2,686.05","2,686.41","1,41,582","38,03,47,516.50","5,191","72,884","51.48"
"HEROMOTOCO","EQ","04-Jan-2016","2,686.05","2,652.00","2,669.00","2,631.10","2,631.10","2,637.80","2,647.49","2,54,167","67,29,05,434.40","30,039","1,57,996","62.16"
"HEROMOTOCO","EQ","05-Jan-2016","2,637.80","2,642.50","2,655.20","2,610.05","2,610.05","2,616.85","2,634.31","2,90,015","76,39,88,021.05","24,343","1,70,840","58.91"
"HEROMOTOCO","EQ","06-Jan-2016","2,616.85","2,604.20","2,623.00","2,572.95","2,578.80","2,578.20","2,595.80","3,07,058","79,70,61,748.75","21,429","2,14,103","69.73"
"HEROMOTOCO","EQ","07-Jan-2016","2,578.20","2,556.90","2,592.00","2,510.05","2,520.85","2,520.10","2,532.26","1,86,980","47,34,82,070.60","21,272","82,075","43.90"
"HEROMOTOCO","EQ","08-Jan-2016","2,520.10","2,525.10","2,538.35","2,485.00","2,488.05","2,489.65","2,501.95","1,98,609","49,69,09,873.00","16,630","82,342","41.46"
"HEROMOTOCO","EQ","11-Jan-2016","2,489.65","2,475.15","2,525.00","2,450.20","2,525.00","2,505.45","2,489.71","1,68,536","41,96,06,566.50","15,457","63,847","37.88"
"HEROMOTOCO","EQ","12-Jan-2016","2,505.45","2,500.00","2,510.10","2,461.40","2,472.00","2,467.20","2,472.50","2,28,350","56,45,95,867.05","14,674","1,38,306","60.57"
"HEROMOTOCO","EQ","13-Jan-2016","2,467.20","2,480.25","2,485.00","2,420.70","2,472.90","2,473.70","2,460.57","2,37,742","58,49,80,496.75","15,321","1,33,300","56.07"
"HEROMOTOCO","EQ","14-Jan-2016","2,473.70","2,444.00","2,474.05","2,418.00","2,432.10","2,437.55","2,435.46","3,12,029","75,99,33,682.05","12,484","2,18,028","69.87"
"HEROMOTOCO","EQ","15-Jan-2016","2,437.55","2,445.00","2,454.95","2,410.20","2,426.30","2,427.75","2,429.76","1,77,133","43,03,91,184.45","13,817","1,06,947","60.38"
