"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDALCO","EQ","02-Jan-2017","155.05","155.85","159.75","154.20","159.50","158.85","156.77","95,37,127","1,49,51,66,831.20","41,135","27,77,311","29.12"
"HINDALCO","EQ","03-Jan-2017","158.85","159.85","161.00","157.05","159.20","158.85","158.90","68,41,113","1,08,70,30,035.95","35,841","13,19,967","19.29"
"HINDALCO","EQ","04-Jan-2017","158.85","158.90","161.60","157.45","158.55","158.90","159.62","77,32,019","1,23,41,71,321.40","57,391","27,32,506","35.34"
"HINDALCO","EQ","05-Jan-2017","158.90","160.00","162.65","159.90","161.80","162.00","161.43","99,21,362","1,60,15,63,645.15","56,853","36,46,670","36.76"
"HINDALCO","EQ","06-Jan-2017","162.00","162.45","163.80","160.10","160.85","160.75","162.13","68,30,935","1,10,75,11,201.80","43,525","21,11,955","30.92"
"HINDALCO","EQ","09-Jan-2017","160.75","161.60","162.20","157.65","157.90","158.00","159.42","61,43,220","97,93,49,556.70","40,267","21,87,961","35.62"
"HINDALCO","EQ","10-Jan-2017","158.00","159.15","165.40","158.00","165.05","164.40","163.55","1,58,06,841","2,58,51,83,154.95","74,727","55,06,772","34.84"
"HINDALCO","EQ","11-Jan-2017","164.40","167.10","175.65","166.45","174.55","174.95","172.29","2,41,45,144","4,15,98,62,942.30","1,22,094","93,07,321","38.55"
"HINDALCO","EQ","12-Jan-2017","174.95","175.60","178.60","172.40","178.00","177.00","175.86","1,42,25,168","2,50,16,62,832.95","61,844","51,52,380","36.22"
"HINDALCO","EQ","13-Jan-2017","177.00","178.80","178.80","170.85","172.10","172.25","173.21","1,74,30,533","3,01,90,72,920.25","1,05,300","86,71,121","49.75"
"HINDALCO","EQ","16-Jan-2017","172.25","172.00","174.35","169.90","172.75","172.60","172.58","96,73,403","1,66,94,34,872.55","49,830","42,26,705","43.69"
"HINDALCO","EQ","17-Jan-2017","172.60","173.60","174.80","169.30","171.10","171.05","171.48","73,73,767","1,26,44,30,169.75","39,324","20,73,649","28.12"
"HINDALCO","EQ","18-Jan-2017","171.05","171.80","177.35","171.60","177.15","177.00","174.67","1,30,47,979","2,27,90,69,201.65","84,940","47,15,885","36.14"
"HINDALCO","EQ","19-Jan-2017","177.00","176.30","177.25","173.50","175.80","176.10","175.62","83,84,318","1,47,24,76,106.50","53,823","25,96,370","30.97"
"HINDALCO","EQ","20-Jan-2017","176.10","175.60","178.35","169.50","171.95","171.65","174.27","1,20,34,397","2,09,72,65,483.80","66,510","34,87,195","28.98"
"HINDALCO","EQ","23-Jan-2017","171.65","173.00","182.40","172.25","182.05","181.70","178.32","1,82,23,180","3,24,95,04,851.65","1,04,966","56,16,698","30.82"
"HINDALCO","EQ","24-Jan-2017","181.70","182.60","187.85","181.05","186.95","187.15","184.55","1,71,25,785","3,16,05,44,795.40","1,47,850","60,70,737","35.45"
"HINDALCO","EQ","25-Jan-2017","187.15","187.40","191.65","187.15","190.05","190.75","189.37","2,12,41,955","4,02,25,48,110.85","94,178","89,75,826","42.26"
"HINDALCO","EQ","27-Jan-2017","190.75","190.50","195.00","188.05","190.80","190.75","191.47","1,95,84,307","3,74,98,60,735.60","1,01,607","85,68,467","43.75"
"HINDALCO","EQ","30-Jan-2017","190.75","190.05","195.30","186.95","191.90","191.50","190.96","1,20,48,505","2,30,08,12,792.95","62,642","19,01,409","15.78"
"HINDALCO","EQ","31-Jan-2017","191.50","191.95","193.20","189.20","190.00","189.95","190.96","95,10,113","1,81,60,46,109.35","49,732","23,47,209","24.68"
"HINDALCO","EQ","01-Feb-2017","189.95","190.90","200.00","186.55","198.20","198.85","194.07","1,26,02,860","2,44,57,92,376.75","57,825","35,42,772","28.11"
"HINDALCO","EQ","02-Feb-2017","198.85","198.50","198.50","191.50","193.15","193.30","194.04","1,27,23,782","2,46,89,05,020.70","72,243","43,68,536","34.33"
"HINDALCO","EQ","03-Feb-2017","193.30","194.00","195.40","188.25","192.10","191.75","191.78","1,13,16,589","2,17,02,59,411.65","55,592","39,26,208","34.69"
"HINDALCO","EQ","06-Feb-2017","191.75","192.50","195.50","189.30","189.55","190.10","192.31","73,76,710","1,41,86,27,697.65","44,016","22,82,751","30.95"
"HINDALCO","EQ","07-Feb-2017","190.10","190.70","192.95","184.05","186.40","185.90","188.10","1,06,34,847","2,00,04,00,344.60","62,303","37,49,922","35.26"
"HINDALCO","EQ","08-Feb-2017","185.90","187.50","192.25","186.30","189.70","189.00","189.01","1,03,72,799","1,96,05,55,657.45","53,136","23,35,511","22.52"
"HINDALCO","EQ","09-Feb-2017","189.00","189.95","190.25","181.95","184.00","183.70","184.67","1,39,95,996","2,58,47,04,719.55","93,833","51,55,313","36.83"
"HINDALCO","EQ","10-Feb-2017","183.70","185.60","185.70","180.80","182.35","182.05","182.77","1,15,98,507","2,11,98,60,039.95","68,908","42,76,495","36.87"
"HINDALCO","EQ","13-Feb-2017","182.05","184.50","187.90","181.60","184.80","185.00","185.36","1,74,58,689","3,23,62,15,800.70","94,830","21,26,009","12.18"
"HINDALCO","EQ","14-Feb-2017","185.00","187.00","188.00","184.20","186.55","187.25","186.23","1,19,38,838","2,22,33,53,538.20","69,060","36,10,017","30.24"
"HINDALCO","EQ","15-Feb-2017","187.25","187.10","189.95","182.05","184.60","184.45","186.09","1,19,76,086","2,22,85,73,695.65","65,789","38,58,804","32.22"
"HINDALCO","EQ","16-Feb-2017","184.45","184.00","188.80","182.25","187.50","187.75","185.28","1,04,29,023","1,93,22,96,919.90","50,674","25,60,628","24.55"
"HINDALCO","EQ","17-Feb-2017","187.75","187.95","189.30","183.00","183.40","183.65","184.57","92,31,407","1,70,38,06,116.45","51,168","28,93,074","31.34"
"HINDALCO","EQ","20-Feb-2017","183.65","184.00","185.90","179.75","182.80","183.30","182.50","1,78,74,216","3,26,21,08,285.00","90,464","72,49,899","40.56"
"HINDALCO","EQ","21-Feb-2017","183.30","183.35","186.90","181.80","182.05","182.45","183.67","1,33,07,165","2,44,41,78,045.65","69,070","58,18,750","43.73"
"HINDALCO","EQ","22-Feb-2017","182.45","183.00","184.00","179.10","179.40","180.05","181.54","89,76,506","1,62,95,69,263.20","98,876","32,54,654","36.26"
"HINDALCO","EQ","23-Feb-2017","180.05","179.80","183.50","179.30","182.35","182.10","181.81","1,13,93,385","2,07,13,95,671.85","63,965","47,89,246","42.04"
"HINDALCO","EQ","27-Feb-2017","182.10","182.35","183.15","179.20","180.70","180.75","180.70","74,19,931","1,34,07,69,270.30","50,773","21,28,295","28.68"
"HINDALCO","EQ","28-Feb-2017","180.75","181.00","185.50","180.30","184.30","184.35","183.48","1,00,09,502","1,83,65,35,389.85","65,914","30,04,738","30.02"
"HINDALCO","EQ","01-Mar-2017","184.35","185.15","192.00","184.60","190.15","189.25","188.79","1,90,44,703","3,59,53,91,258.75","91,587","60,51,658","31.78"
"HINDALCO","EQ","02-Mar-2017","189.25","191.20","196.15","188.20","190.80","189.45","192.25","2,29,34,124","4,40,90,84,731.55","1,23,472","73,48,469","32.04"
"HINDALCO","EQ","03-Mar-2017","189.45","188.45","199.75","187.95","198.85","198.55","196.10","3,10,30,530","6,08,49,78,509.80","1,51,330","1,02,04,910","32.89"
"HINDALCO","EQ","06-Mar-2017","198.55","198.70","202.30","196.35","199.90","199.55","199.38","1,76,00,803","3,50,93,12,853.90","1,01,827","37,85,197","21.51"
"HINDALCO","EQ","07-Mar-2017","199.55","199.35","199.35","191.60","193.05","192.55","193.70","1,76,07,880","3,41,06,80,966.95","93,718","80,59,118","45.77"
"HINDALCO","EQ","08-Mar-2017","192.55","192.90","193.40","186.80","191.40","190.20","189.42","1,94,26,738","3,67,99,09,457.05","1,02,427","77,60,560","39.95"
"HINDALCO","EQ","09-Mar-2017","190.20","191.00","192.00","187.80","188.65","189.20","189.60","1,16,67,482","2,21,21,83,313.15","72,996","32,02,852","27.45"
"HINDALCO","EQ","10-Mar-2017","189.20","190.80","191.35","187.00","188.10","187.60","187.99","97,45,858","1,83,21,00,532.15","56,575","38,16,039","39.16"
"HINDALCO","EQ","14-Mar-2017","187.60","193.50","194.00","188.45","190.55","190.40","190.04","1,54,25,412","2,93,13,83,190.90","1,12,276","74,19,822","48.10"
"HINDALCO","EQ","15-Mar-2017","190.40","192.40","192.90","190.05","190.25","190.85","191.28","1,10,00,147","2,10,40,95,906.20","64,819","32,68,397","29.71"
"HINDALCO","EQ","16-Mar-2017","190.85","194.00","199.40","192.70","199.25","198.75","196.18","1,76,34,067","3,45,94,50,905.10","1,20,479","67,45,215","38.25"
"HINDALCO","EQ","17-Mar-2017","198.75","200.00","200.35","194.65","196.30","196.20","196.53","1,23,29,364","2,42,30,82,672.25","60,488","53,29,904","43.23"
"HINDALCO","EQ","20-Mar-2017","196.20","196.70","197.10","191.65","196.35","196.20","194.61","71,07,018","1,38,31,02,295.50","47,175","18,13,462","25.52"
"HINDALCO","EQ","21-Mar-2017","196.20","196.00","199.80","193.25","199.40","198.30","195.98","88,32,703","1,73,10,38,674.25","60,549","24,29,836","27.51"
"HINDALCO","EQ","22-Mar-2017","198.30","194.90","196.50","192.00","193.25","193.40","194.04","1,77,62,515","3,44,65,50,882.90","1,25,366","76,01,896","42.80"
"HINDALCO","EQ","23-Mar-2017","193.40","194.40","195.20","192.70","193.50","193.70","193.75","1,06,80,580","2,06,93,97,974.95","88,739","49,25,463","46.12"
"HINDALCO","EQ","24-Mar-2017","193.70","193.50","197.00","192.25","195.10","194.90","195.04","1,17,48,143","2,29,13,39,715.65","85,242","54,38,421","46.29"
"HINDALCO","EQ","27-Mar-2017","194.90","193.95","194.55","187.60","188.20","188.70","189.91","1,69,88,411","3,22,62,05,964.90","1,15,619","96,75,824","56.96"
"HINDALCO","EQ","28-Mar-2017","188.70","189.50","191.20","188.75","189.55","189.60","189.80","1,00,87,530","1,91,46,59,845.20","79,029","53,66,073","53.20"
"HINDALCO","EQ","29-Mar-2017","189.60","190.60","193.15","189.60","192.50","192.25","191.52","90,66,478","1,73,64,14,982.50","60,722","40,24,667","44.39"
"HINDALCO","EQ","30-Mar-2017","192.25","192.40","193.55","189.80","190.15","190.30","190.87","1,62,96,796","3,11,05,89,966.20","1,16,887","99,40,470","61.00"
"HINDALCO","EQ","31-Mar-2017","190.30","190.80","195.95","190.50","194.55","195.05","194.62","1,32,64,696","2,58,16,22,552.60","77,847","58,34,095","43.98"
"HINDALCO","EQ","03-Apr-2017","195.05","195.10","196.85","192.35","193.50","193.60","194.31","71,98,876","1,39,87,78,472.05","48,844","31,42,368","43.65"
"HINDALCO","EQ","05-Apr-2017","193.60","194.40","199.20","194.20","197.80","198.20","197.57","1,04,40,883","2,06,28,40,546.55","69,708","37,14,688","35.58"
"HINDALCO","EQ","06-Apr-2017","198.20","196.70","196.70","191.35","193.85","193.95","193.26","1,56,67,730","3,02,79,63,285.20","1,43,470","82,48,142","52.64"
"HINDALCO","EQ","07-Apr-2017","193.95","193.70","197.60","192.35","193.75","193.50","194.44","1,45,76,273","2,83,41,92,954.15","83,504","63,73,361","43.72"
"HINDALCO","EQ","10-Apr-2017","193.50","194.10","195.50","192.60","195.10","195.05","194.43","69,29,296","1,34,72,70,966.25","62,095","24,97,492","36.04"
"HINDALCO","EQ","11-Apr-2017","195.05","195.10","197.00","192.60","196.15","196.45","195.02","98,70,105","1,92,48,44,850.75","89,347","44,61,655","45.20"
"HINDALCO","EQ","12-Apr-2017","196.45","196.95","198.00","192.10","192.55","193.00","193.72","1,42,53,253","2,76,11,56,989.90","83,540","79,09,049","55.49"
"HINDALCO","EQ","13-Apr-2017","193.00","192.00","192.00","182.45","183.10","183.25","185.73","2,00,27,226","3,71,96,21,031.75","1,07,793","94,47,796","47.17"
"HINDALCO","EQ","17-Apr-2017","183.25","182.50","182.95","179.35","181.60","181.45","180.81","1,60,69,287","2,90,54,22,131.50","97,162","84,47,705","52.57"
"HINDALCO","EQ","18-Apr-2017","181.45","183.70","190.35","183.20","183.80","183.80","186.57","2,23,44,207","4,16,88,67,086.45","1,16,412","92,21,965","41.27"
"HINDALCO","EQ","19-Apr-2017","183.80","183.65","187.20","182.05","186.80","186.00","184.27","1,00,62,015","1,85,41,33,354.15","57,179","38,28,781","38.05"
"HINDALCO","EQ","20-Apr-2017","186.00","186.95","188.60","184.90","186.65","186.45","186.68","93,35,160","1,74,27,31,360.70","82,485","38,40,651","41.14"
"HINDALCO","EQ","21-Apr-2017","186.45","187.75","190.70","184.60","187.90","188.10","187.45","1,36,83,524","2,56,50,26,679.20","88,636","61,47,706","44.93"
"HINDALCO","EQ","24-Apr-2017","188.10","188.00","191.70","187.10","190.65","190.80","189.85","89,34,000","1,69,61,21,597.70","63,498","42,73,425","47.83"
"HINDALCO","EQ","25-Apr-2017","190.80","192.75","193.75","189.15","191.25","191.70","191.55","80,90,965","1,54,98,46,824.60","64,268","31,41,086","38.82"
"HINDALCO","EQ","26-Apr-2017","191.70","192.60","198.45","192.60","197.55","197.00","196.37","1,34,69,283","2,64,50,27,210.80","84,807","47,70,324","35.42"
"HINDALCO","EQ","27-Apr-2017","197.00","197.65","197.75","193.70","195.15","194.85","195.05","94,53,547","1,84,38,71,248.55","59,582","43,77,829","46.31"
"HINDALCO","EQ","28-Apr-2017","194.85","193.85","203.70","192.25","199.00","199.35","199.86","1,74,28,449","3,48,32,29,817.60","81,723","46,75,916","26.83"
"HINDALCO","EQ","02-May-2017","199.35","200.85","203.90","198.60","200.40","200.25","200.78","1,25,42,163","2,51,81,77,847.95","64,668","44,11,932","35.18"
"HINDALCO","EQ","03-May-2017","200.25","201.10","201.90","196.45","197.20","197.05","198.52","78,53,965","1,55,91,76,507.70","43,878","17,46,211","22.23"
"HINDALCO","EQ","04-May-2017","197.05","197.75","198.85","190.25","192.30","192.45","192.75","1,12,24,342","2,16,35,29,434.60","60,038","42,73,875","38.08"
"HINDALCO","EQ","05-May-2017","192.45","192.00","192.00","183.40","185.60","185.80","185.42","1,99,12,601","3,69,22,64,270.65","1,13,651","97,06,276","48.74"
"HINDALCO","EQ","08-May-2017","185.80","187.60","187.90","181.60","184.55","184.20","183.37","1,55,91,759","2,85,90,80,134.25","63,830","90,58,114","58.10"
"HINDALCO","EQ","09-May-2017","184.20","184.55","188.60","183.10","186.00","186.40","186.24","1,13,55,111","2,11,47,41,667.05","68,917","40,59,942","35.75"
"HINDALCO","EQ","10-May-2017","186.40","187.00","188.55","185.45","187.25","187.10","186.99","94,59,887","1,76,89,00,135.10","56,648","49,51,888","52.35"
"HINDALCO","EQ","11-May-2017","187.10","193.35","195.80","192.05","193.45","193.65","194.12","2,30,26,210","4,46,99,14,871.25","1,22,002","74,57,354","32.39"
"HINDALCO","EQ","12-May-2017","193.65","194.75","195.35","189.15","191.40","191.05","191.97","1,12,31,977","2,15,61,72,326.45","53,725","42,30,598","37.67"
"HINDALCO","EQ","15-May-2017","191.05","191.95","199.90","191.90","198.70","198.45","197.53","1,81,59,344","3,58,69,75,568.40","83,798","54,50,720","30.02"
