"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HINDUNILVR","EQ","01-Jan-2020","1,923.00","1,930.00","1,939.90","1,918.00","1,938.25","1,936.55","1,932.33","5,43,035","1,04,93,22,738.45","26,908","2,38,901","43.99"
"HINDUNILVR","EQ","02-Jan-2020","1,936.55","1,940.00","1,952.60","1,930.00","1,941.00","1,938.05","1,939.45","6,63,275","1,28,63,86,216.40","65,620","3,53,768","53.34"
"HINDUNILVR","EQ","03-Jan-2020","1,938.05","1,937.90","1,940.00","1,918.75","1,932.00","1,927.45","1,926.53","15,98,825","3,08,01,89,230.05","85,043","11,17,706","69.91"
"HINDUNILVR","EQ","06-Jan-2020","1,927.45","1,927.35","1,929.40","1,911.25","1,918.50","1,915.45","1,917.28","6,83,129","1,30,97,52,442.40","50,595","3,03,870","44.48"
"HINDUNILVR","EQ","07-Jan-2020","1,915.45","1,919.25","1,931.00","1,918.00","1,922.00","1,920.70","1,923.60","8,08,935","1,55,60,69,609.70","49,424","4,58,047","56.62"
"HINDUNILVR","EQ","08-Jan-2020","1,920.70","1,910.00","1,936.05","1,906.45","1,932.00","1,929.35","1,919.71","18,89,685","3,62,76,46,687.75","75,078","14,67,833","77.68"
"HINDUNILVR","EQ","09-Jan-2020","1,929.35","1,941.55","1,947.30","1,931.00","1,937.70","1,935.05","1,938.35","15,44,334","2,99,34,60,858.35","1,10,313","11,49,427","74.43"
"HINDUNILVR","EQ","10-Jan-2020","1,935.05","1,940.90","1,957.50","1,931.65","1,955.50","1,954.00","1,946.83","10,03,336","1,95,33,25,015.35","75,262","6,17,533","61.55"
"HINDUNILVR","EQ","13-Jan-2020","1,954.00","1,961.00","1,997.85","1,957.00","1,994.90","1,994.85","1,981.57","20,40,089","4,04,25,88,264.25","98,419","12,23,943","59.99"
"HINDUNILVR","EQ","14-Jan-2020","1,994.85","1,995.50","2,014.95","1,982.40","2,013.00","2,008.80","2,002.80","16,10,737","3,22,59,84,397.55","94,942","10,03,279","62.29"
"HINDUNILVR","EQ","15-Jan-2020","2,008.80","2,011.15","2,027.00","1,997.35","2,017.40","2,021.65","2,009.87","15,59,491","3,13,43,81,831.65","62,989","12,13,624","77.82"
"HINDUNILVR","EQ","16-Jan-2020","2,021.65","2,022.00","2,054.70","2,016.10","2,046.00","2,049.25","2,042.58","24,68,958","5,04,30,41,755.90","1,17,361","17,75,070","71.90"
"HINDUNILVR","EQ","17-Jan-2020","2,049.25","2,055.00","2,063.90","2,040.05","2,061.95","2,060.30","2,056.36","9,94,719","2,04,55,01,347.85","61,520","6,70,916","67.45"
"HINDUNILVR","EQ","20-Jan-2020","2,060.30","2,060.50","2,075.90","2,050.00","2,066.05","2,062.85","2,061.40","8,29,399","1,70,97,23,289.00","48,931","4,52,810","54.59"
"HINDUNILVR","EQ","21-Jan-2020","2,062.85","2,059.75","2,075.00","2,052.15","2,062.00","2,055.40","2,058.97","7,50,000","1,54,42,27,935.70","54,424","4,39,704","58.63"
"HINDUNILVR","EQ","22-Jan-2020","2,055.40","2,063.00","2,063.50","2,027.20","2,051.90","2,051.70","2,045.32","9,83,169","2,01,08,91,145.00","70,960","5,44,995","55.43"
"HINDUNILVR","EQ","23-Jan-2020","2,051.70","2,051.75","2,060.85","2,035.00","2,057.00","2,056.90","2,047.01","7,08,017","1,44,93,15,965.25","42,076","4,25,206","60.06"
"HINDUNILVR","EQ","24-Jan-2020","2,056.90","2,057.00","2,079.00","2,050.05","2,072.70","2,073.70","2,072.14","9,14,993","1,89,59,95,802.25","50,498","5,45,886","59.66"
"HINDUNILVR","EQ","27-Jan-2020","2,073.70","2,066.00","2,068.75","2,056.75","2,062.95","2,061.35","2,062.30","4,29,312","88,53,69,705.75","31,957","2,53,671","59.09"
"HINDUNILVR","EQ","28-Jan-2020","2,061.35","2,062.00","2,065.00","2,042.70","2,060.00","2,060.60","2,057.12","7,77,052","1,59,84,86,249.80","82,900","5,17,179","66.56"
