"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","01-Jan-2016","261.35","261.30","263.60","258.00","262.55","263.00","261.32","54,52,815","1,42,49,21,686.40","36,204","23,25,779","42.65"
"ICICIBANK","EQ","04-Jan-2016","263.00","261.00","261.35","254.65","256.00","255.55","256.72","85,77,993","2,20,21,67,040.45","65,648","35,11,013","40.93"
"ICICIBANK","EQ","05-Jan-2016","255.55","256.25","257.50","251.70","257.05","256.70","255.06","81,51,798","2,07,91,71,573.75","69,866","31,17,799","38.25"
"ICICIBANK","EQ","06-Jan-2016","256.70","255.40","256.75","249.20","250.20","250.10","252.45","1,58,32,892","3,99,69,40,702.15","1,04,952","86,35,277","54.54"
"ICICIBANK","EQ","07-Jan-2016","250.10","246.40","247.70","243.10","247.10","246.75","245.24","1,65,82,466","4,06,67,15,147.05","1,11,225","1,00,98,888","60.90"
"ICICIBANK","EQ","08-Jan-2016","246.75","244.50","247.80","243.45","245.50","245.05","245.98","1,30,94,901","3,22,10,37,333.65","1,17,773","72,91,929","55.69"
"ICICIBANK","EQ","11-Jan-2016","245.05","241.90","243.90","238.05","239.95","239.45","240.74","1,29,16,971","3,10,95,94,902.60","96,722","67,92,844","52.59"
"ICICIBANK","EQ","12-Jan-2016","239.45","241.00","241.85","235.60","238.10","236.75","237.64","1,08,14,454","2,56,99,06,567.25","78,790","58,98,979","54.55"
"ICICIBANK","EQ","13-Jan-2016","236.75","237.80","242.90","231.10","238.45","239.50","236.96","1,65,59,737","3,92,39,37,803.65","96,609","80,68,397","48.72"
"ICICIBANK","EQ","14-Jan-2016","239.50","234.20","239.80","231.80","235.50","235.75","235.65","1,32,73,438","3,12,78,91,768.80","1,14,269","68,98,760","51.97"
"ICICIBANK","EQ","15-Jan-2016","235.75","235.60","236.30","221.75","225.40","224.45","228.20","2,03,03,548","4,63,33,33,012.85","1,17,226","1,25,10,671","61.62"
"ICICIBANK","EQ","18-Jan-2016","224.45","224.20","228.70","217.80","224.10","223.10","223.20","2,74,90,009","6,13,57,73,957.05","1,20,788","1,73,01,676","62.94"
"ICICIBANK","EQ","19-Jan-2016","223.10","224.65","231.25","224.65","229.80","228.75","229.01","1,47,47,672","3,37,73,49,858.60","85,563","89,01,868","60.36"
"ICICIBANK","EQ","20-Jan-2016","228.75","224.90","227.90","220.10","226.40","224.40","222.71","1,30,48,617","2,90,60,11,205.85","1,13,329","71,23,726","54.59"
"ICICIBANK","EQ","21-Jan-2016","224.40","228.50","233.50","224.20","226.70","226.30","228.22","1,42,41,694","3,25,02,03,235.00","1,01,704","55,37,010","38.88"
"ICICIBANK","EQ","22-Jan-2016","226.30","232.60","234.90","229.80","232.80","232.75","232.65","1,37,71,384","3,20,38,56,516.70","1,32,067","65,82,698","47.80"
"ICICIBANK","EQ","25-Jan-2016","232.75","235.95","238.50","234.20","237.10","236.05","236.45","1,55,79,335","3,68,36,94,521.70","1,34,888","93,31,956","59.90"
"ICICIBANK","EQ","27-Jan-2016","236.05","238.00","239.30","234.70","236.80","237.30","236.86","1,10,50,510","2,61,74,33,200.70","83,490","58,29,927","52.76"
"ICICIBANK","EQ","28-Jan-2016","237.30","238.55","239.55","231.25","233.25","233.20","233.73","2,20,52,879","5,15,45,11,035.50","99,705","1,51,18,329","68.55"
"ICICIBANK","EQ","29-Jan-2016","233.20","219.00","234.30","219.00","229.00","230.15","225.80","4,34,14,086","9,80,31,09,475.85","2,98,923","2,34,78,727","54.08"
