"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INDUSINDBK","EQ","03-Jan-2022","888.15","888.20","915.50","876.70","913.15","912.30","896.00","55,94,214","5,01,23,99,285.65","1,16,999","21,50,122","38.43"
"INDUSINDBK","EQ","04-Jan-2022","912.30","915.00","917.95","896.10","904.10","904.40","907.01","41,02,750","3,72,12,31,640.60","1,05,235","14,84,880","36.19"
"INDUSINDBK","EQ","05-Jan-2022","904.40","905.00","911.90","892.25","904.50","903.95","902.87","54,48,165","4,91,89,99,611.10","95,567","23,61,942","43.35"
"INDUSINDBK","EQ","06-Jan-2022","903.95","895.25","924.00","885.05","920.10","921.70","907.20","52,09,239","4,72,58,40,380.60","83,867","13,67,861","26.26"
"INDUSINDBK","EQ","07-Jan-2022","921.70","926.50","938.45","916.10","922.00","922.25","926.96","42,07,773","3,90,04,26,141.20","78,661","10,83,606","25.75"
"INDUSINDBK","EQ","10-Jan-2022","922.25","926.90","929.85","918.00","921.00","920.85","922.24","25,69,322","2,36,95,21,631.55","48,161","12,80,742","49.85"
"INDUSINDBK","EQ","11-Jan-2022","920.85","927.00","935.05","914.00","917.00","917.95","921.16","33,83,081","3,11,63,60,999.40","72,202","12,39,927","36.65"
"INDUSINDBK","EQ","12-Jan-2022","917.95","928.00","946.60","920.10","943.50","941.55","936.63","55,06,622","5,15,76,55,666.10","1,05,507","23,09,133","41.93"
"INDUSINDBK","EQ","13-Jan-2022","941.55","948.00","950.00","926.00","926.25","927.10","932.29","21,09,207","1,96,63,92,806.00","52,999","8,41,992","39.92"
"INDUSINDBK","EQ","14-Jan-2022","927.10","919.10","926.65","913.25","918.80","920.05","919.47","25,57,488","2,35,15,40,842.45","77,167","10,33,776","40.42"
"INDUSINDBK","EQ","17-Jan-2022","920.05","919.00","931.90","912.25","921.00","920.50","922.46","30,48,497","2,81,21,07,862.15","83,663","13,50,496","44.30"
"INDUSINDBK","EQ","18-Jan-2022","920.50","920.50","927.35","895.35","901.00","899.65","914.57","30,88,062","2,82,42,55,422.55","66,807","9,62,020","31.15"
"INDUSINDBK","EQ","19-Jan-2022","899.65","897.00","903.80","884.15","893.00","893.25","893.35","36,28,266","3,24,12,98,759.65","99,890","15,42,904","42.52"
"INDUSINDBK","EQ","20-Jan-2022","893.25","895.00","898.45","872.00","878.00","877.20","881.40","35,65,267","3,14,24,17,182.10","1,02,789","16,99,158","47.66"
"INDUSINDBK","EQ","21-Jan-2022","877.20","869.90","872.95","845.10","857.00","854.10","859.29","40,42,974","3,47,40,91,161.35","94,838","16,06,417","39.73"
"INDUSINDBK","EQ","24-Jan-2022","854.10","859.00","869.30","831.55","850.50","851.25","853.38","46,57,809","3,97,48,76,913.85","1,12,346","13,19,456","28.33"
"INDUSINDBK","EQ","25-Jan-2022","851.25","842.35","886.90","842.00","881.60","884.25","869.91","51,65,597","4,49,36,08,222.35","1,09,341","14,70,920","28.48"
"INDUSINDBK","EQ","27-Jan-2022","884.25","874.20","893.60","861.10","892.85","888.10","880.23","43,23,258","3,80,54,59,469.50","1,02,951","14,62,168","33.82"
"INDUSINDBK","EQ","28-Jan-2022","888.10","897.00","925.75","895.00","903.70","903.55","911.82","55,20,247","5,03,34,95,328.45","1,19,433","16,60,853","30.09"
"INDUSINDBK","EQ","31-Jan-2022","903.55","927.45","927.45","866.65","871.90","872.10","880.53","1,01,48,990","8,93,64,67,430.80","2,04,399","25,88,887","25.51"
"INDUSINDBK","EQ","01-Feb-2022","872.10","879.00","927.00","879.00","925.00","922.30","904.04","1,16,28,936","10,51,30,37,001.05","2,61,584","38,52,730","33.13"
"INDUSINDBK","EQ","02-Feb-2022","922.30","930.10","981.80","930.10","968.00","975.35","963.13","1,43,80,553","13,85,02,94,144.75","2,71,920","56,83,051","39.52"
"INDUSINDBK","EQ","03-Feb-2022","975.35","967.35","979.70","954.45","955.40","958.35","965.77","56,23,611","5,43,10,88,406.90","1,24,021","18,54,087","32.97"
"INDUSINDBK","EQ","04-Feb-2022","958.35","958.00","974.95","945.00","954.70","956.05","960.05","50,00,045","4,80,03,18,114.40","1,18,273","14,39,274","28.79"
"INDUSINDBK","EQ","07-Feb-2022","956.05","952.05","959.40","928.15","932.00","933.05","942.28","25,87,054","2,43,77,31,127.85","59,993","6,94,467","26.84"
"INDUSINDBK","EQ","08-Feb-2022","933.05","938.00","940.75","913.00","935.85","937.70","929.32","31,60,992","2,93,75,88,787.95","73,309","6,73,371","21.30"
"INDUSINDBK","EQ","09-Feb-2022","937.70","942.30","971.40","940.40","965.00","967.15","962.36","41,01,202","3,94,68,45,486.10","1,01,867","12,23,888","29.84"
"INDUSINDBK","EQ","10-Feb-2022","967.15","966.00","977.75","960.25","971.10","972.35","971.50","40,37,566","3,92,25,03,850.20","96,922","18,38,968","45.55"
"INDUSINDBK","EQ","11-Feb-2022","972.35","955.00","990.00","954.55","977.00","982.40","977.89","71,71,664","7,01,31,25,863.70","1,28,139","30,36,781","42.34"
"INDUSINDBK","EQ","14-Feb-2022","982.40","959.20","964.80","937.20","937.30","941.60","949.69","36,52,419","3,46,86,59,525.40","91,029","9,91,686","27.15"
"INDUSINDBK","EQ","15-Feb-2022","941.60","943.00","972.00","923.25","968.55","969.70","945.55","39,85,559","3,76,85,36,786.55","1,07,152","8,11,865","20.37"
"INDUSINDBK","EQ","16-Feb-2022","969.70","966.10","987.55","961.95","967.55","968.40","975.01","36,83,264","3,59,12,23,472.65","85,242","10,03,930","27.26"
"INDUSINDBK","EQ","17-Feb-2022","968.40","980.00","980.00","951.10","955.30","955.80","961.81","31,52,042","3,03,16,59,586.05","58,783","4,35,848","13.83"
"INDUSINDBK","EQ","18-Feb-2022","955.80","950.00","966.00","948.60","959.00","955.35","958.24","24,17,043","2,31,60,95,277.05","54,890","4,96,106","20.53"
"INDUSINDBK","EQ","21-Feb-2022","955.35","952.00","972.00","949.00","954.00","952.45","959.84","35,35,914","3,39,39,05,702.60","76,965","5,81,311","16.44"
"INDUSINDBK","EQ","22-Feb-2022","952.45","925.00","949.85","923.00","939.00","939.10","936.16","28,66,135","2,68,31,53,913.70","75,175","5,65,493","19.73"
"INDUSINDBK","EQ","23-Feb-2022","939.10","944.00","960.80","943.15","948.65","950.70","952.53","35,07,003","3,34,05,32,697.70","87,687","10,89,524","31.07"
"INDUSINDBK","EQ","24-Feb-2022","950.70","919.50","934.30","868.85","870.35","875.65","895.47","73,05,449","6,54,18,31,937.50","1,41,833","22,78,845","31.19"
"INDUSINDBK","EQ","25-Feb-2022","875.65","898.70","929.80","895.00","927.00","927.05","921.79","48,21,342","4,44,42,64,425.80","1,04,909","15,57,096","32.30"
"INDUSINDBK","EQ","28-Feb-2022","927.05","916.00","924.80","903.00","918.50","920.70","916.23","32,99,912","3,02,34,94,024.45","74,903","7,81,013","23.67"
"INDUSINDBK","EQ","02-Mar-2022","920.70","907.00","912.65","887.55","908.00","906.35","899.80","45,07,940","4,05,62,29,520.40","1,13,466","13,13,486","29.14"
"INDUSINDBK","EQ","03-Mar-2022","906.35","918.00","926.00","906.50","910.00","912.25","914.84","37,31,807","3,41,40,03,012.15","70,456","9,91,768","26.58"
"INDUSINDBK","EQ","04-Mar-2022","912.25","896.00","922.90","891.00","900.90","901.90","904.26","36,23,960","3,27,70,04,273.70","89,123","6,36,446","17.56"
"INDUSINDBK","EQ","07-Mar-2022","901.90","878.00","896.95","825.50","828.50","834.40","847.15","63,23,502","5,35,69,52,355.95","1,74,057","25,65,450","40.57"
"INDUSINDBK","EQ","08-Mar-2022","834.40","831.10","847.80","816.00","845.00","840.70","830.38","61,63,433","5,11,80,15,830.75","1,34,466","12,46,737","20.23"
"INDUSINDBK","EQ","09-Mar-2022","840.70","863.00","880.00","838.25","879.30","875.35","857.55","69,67,640","5,97,50,73,698.30","1,49,339","17,91,132","25.71"
"INDUSINDBK","EQ","10-Mar-2022","875.35","909.80","928.00","890.70","903.00","904.30","911.03","63,12,569","5,75,09,08,398.10","1,13,187","11,39,592","18.05"
"INDUSINDBK","EQ","11-Mar-2022","904.30","900.00","915.50","892.95","900.10","901.75","904.01","34,51,877","3,12,05,40,217.00","73,515","5,86,698","17.00"
"INDUSINDBK","EQ","14-Mar-2022","901.75","899.00","914.00","892.30","907.45","907.60","902.55","37,18,477","3,35,61,08,174.20","66,446","9,28,321","24.97"
"INDUSINDBK","EQ","15-Mar-2022","907.60","916.90","922.00","887.25","894.90","896.65","906.94","43,90,735","3,98,21,31,259.35","85,039","10,06,659","22.93"
"INDUSINDBK","EQ","16-Mar-2022","896.65","912.00","936.00","911.55","926.00","928.65","926.54","57,05,364","5,28,62,20,581.90","96,516","15,66,365","27.45"
"INDUSINDBK","EQ","17-Mar-2022","928.65","943.95","949.50","929.55","931.65","932.45","941.35","44,92,246","4,22,87,74,191.45","89,208","17,16,573","38.21"
"INDUSINDBK","EQ","21-Mar-2022","932.45","938.00","938.00","911.00","915.50","913.40","918.96","23,63,059","2,17,15,67,995.15","60,864","6,97,274","29.51"
"INDUSINDBK","EQ","22-Mar-2022","913.40","916.00","932.00","903.60","931.00","927.70","916.58","27,64,481","2,53,38,54,381.10","61,449","6,91,890","25.03"
"INDUSINDBK","EQ","23-Mar-2022","927.70","933.00","944.45","928.10","930.00","931.35","934.37","24,33,056","2,27,33,73,281.10","52,516","6,70,732","27.57"
"INDUSINDBK","EQ","24-Mar-2022","931.35","922.00","937.95","915.20","923.80","924.80","927.98","29,23,793","2,71,32,14,664.55","52,151","5,96,034","20.39"
"INDUSINDBK","EQ","25-Mar-2022","924.80","930.00","933.30","916.05","927.50","926.25","925.18","19,84,601","1,83,61,11,264.25","41,556","3,07,183","15.48"
"INDUSINDBK","EQ","28-Mar-2022","926.25","923.05","942.90","920.25","938.00","935.15","932.47","26,54,339","2,47,51,01,127.80","59,540","9,18,511","34.60"
"INDUSINDBK","EQ","29-Mar-2022","935.15","939.95","944.50","921.40","930.35","929.15","929.93","33,51,562","3,11,67,31,299.95","62,329","12,40,368","37.01"
"INDUSINDBK","EQ","30-Mar-2022","929.15","939.35","945.00","922.95","926.35","926.30","931.78","48,49,869","4,51,90,19,971.20","69,348","28,21,276","58.17"
"INDUSINDBK","EQ","31-Mar-2022","926.30","930.00","938.45","924.00","935.90","935.40","932.62","23,11,242","2,15,55,10,665.95","57,921","8,92,661","38.62"
"INDUSINDBK","EQ","01-Apr-2022","935.40","929.45","970.95","929.15","968.00","968.60","956.56","52,22,165","4,99,53,32,795.55","89,422","15,35,300","29.40"
"INDUSINDBK","EQ","04-Apr-2022","968.60","975.00","994.80","958.05","988.55","987.20","975.72","50,33,678","4,91,14,61,411.70","1,10,142","16,62,471","33.03"
"INDUSINDBK","EQ","05-Apr-2022","987.20","994.00","994.00","968.00","969.20","973.25","981.98","38,27,808","3,75,88,44,039.80","86,371","14,61,740","38.19"
"INDUSINDBK","EQ","06-Apr-2022","973.25","967.00","978.75","961.00","967.00","968.30","969.55","24,06,015","2,33,27,47,346.65","57,457","5,60,717","23.30"
"INDUSINDBK","EQ","07-Apr-2022","968.30","960.50","986.90","960.00","970.80","972.60","973.91","31,82,285","3,09,92,67,084.50","58,311","11,06,982","34.79"
"INDUSINDBK","EQ","08-Apr-2022","972.60","971.00","990.00","968.25","988.00","985.60","979.68","26,59,878","2,60,58,30,843.45","60,166","7,95,147","29.89"
"INDUSINDBK","EQ","11-Apr-2022","985.60","983.60","998.90","976.80","983.00","980.45","988.27","24,13,145","2,38,48,42,949.25","51,503","6,79,520","28.16"
"INDUSINDBK","EQ","12-Apr-2022","980.45","977.00","987.65","966.00","986.00","985.10","976.87","19,63,842","1,91,84,21,113.70","57,070","4,05,571","20.65"
"INDUSINDBK","EQ","13-Apr-2022","985.10","992.00","996.25","982.00","983.90","983.40","990.55","20,60,127","2,04,06,49,231.65","56,089","5,38,268","26.13"
"INDUSINDBK","EQ","18-Apr-2022","983.40","972.00","983.00","966.10","975.20","977.45","974.17","15,75,552","1,53,48,50,522.50","44,475","4,37,089","27.74"
"INDUSINDBK","EQ","19-Apr-2022","977.45","979.90","988.95","951.00","957.95","963.80","979.62","17,47,142","1,71,15,29,158.10","47,892","5,96,084","34.12"
"INDUSINDBK","EQ","20-Apr-2022","963.80","965.55","982.75","952.50","971.85","972.55","968.33","24,21,543","2,34,48,53,834.05","55,443","5,80,345","23.97"
"INDUSINDBK","EQ","21-Apr-2022","972.55","976.10","992.70","976.10","988.00","989.25","987.76","19,57,820","1,93,38,59,721.65","55,017","5,18,260","26.47"
"INDUSINDBK","EQ","22-Apr-2022","989.25","980.00","988.00","957.10","960.50","959.85","970.69","19,42,893","1,88,59,50,366.10","65,280","5,47,731","28.19"
"INDUSINDBK","EQ","25-Apr-2022","959.85","945.00","958.45","931.00","951.45","946.55","945.63","20,96,910","1,98,28,98,878.90","47,746","5,39,650","25.74"
"INDUSINDBK","EQ","26-Apr-2022","946.55","962.00","983.35","958.10","979.90","980.45","976.58","26,73,266","2,61,06,56,783.10","66,123","6,22,931","23.30"
"INDUSINDBK","EQ","27-Apr-2022","980.45","970.10","979.80","967.15","977.75","974.50","973.97","14,76,543","1,43,81,06,192.40","42,086","4,96,279","33.61"
"INDUSINDBK","EQ","28-Apr-2022","974.50","978.00","992.45","972.00","988.00","988.35","982.47","20,03,774","1,96,86,37,865.55","45,452","6,32,549","31.57"
"INDUSINDBK","EQ","29-Apr-2022","988.35","990.00","1,009.50","975.20","977.50","978.55","995.33","34,76,442","3,46,02,00,176.80","84,715","5,87,960","16.91"
"INDUSINDBK","EQ","02-May-2022","978.55","972.00","1,026.00","966.45","1,017.00","1,018.10","1,011.08","89,62,019","9,06,13,36,111.65","2,14,249","21,69,632","24.21"
"INDUSINDBK","EQ","04-May-2022","1,018.10","1,025.50","1,029.00","971.00","984.70","978.30","1,009.53","45,65,643","4,60,91,75,786.85","1,08,776","16,74,292","36.67"
"INDUSINDBK","EQ","05-May-2022","978.30","995.00","995.00","932.00","938.00","936.80","958.66","46,79,266","4,48,58,23,620.90","95,772","14,81,034","31.65"
"INDUSINDBK","EQ","06-May-2022","936.80","919.00","934.30","902.50","918.60","915.40","914.54","37,13,381","3,39,60,28,480.45","99,209","12,07,631","32.52"
"INDUSINDBK","EQ","09-May-2022","915.40","912.80","912.80","881.00","891.15","889.70","890.89","32,83,626","2,92,53,65,729.30","82,145","6,86,662","20.91"
"INDUSINDBK","EQ","10-May-2022","889.70","888.00","920.00","888.00","910.90","910.75","907.35","39,72,560","3,60,45,20,774.85","1,02,570","11,86,530","29.87"
"INDUSINDBK","EQ","11-May-2022","910.75","910.90","928.00","891.30","925.90","923.35","910.14","42,09,334","3,83,10,88,530.85","94,115","15,97,016","37.94"
"INDUSINDBK","EQ","12-May-2022","923.35","916.00","916.50","856.00","871.00","869.90","877.53","47,76,857","4,19,18,55,861.60","1,13,630","13,01,127","27.24"
"INDUSINDBK","EQ","13-May-2022","869.90","886.00","894.15","868.75","871.85","872.35","882.45","29,32,319","2,58,76,34,700.85","75,891","9,12,535","31.12"
"INDUSINDBK","EQ","16-May-2022","872.35","876.70","898.80","865.55","885.95","885.90","887.72","19,71,123","1,74,98,05,525.15","51,339","3,93,457","19.96"
"INDUSINDBK","EQ","17-May-2022","885.90","890.00","905.00","888.10","904.95","903.85","898.63","20,38,983","1,83,22,85,675.30","59,586","6,52,517","32.00"
"INDUSINDBK","EQ","18-May-2022","903.85","907.00","917.95","899.05","904.00","903.15","907.92","26,65,522","2,42,00,74,403.15","69,144","10,37,579","38.93"
"INDUSINDBK","EQ","19-May-2022","903.15","888.00","890.85","860.10","867.75","866.25","870.01","26,56,251","2,31,09,55,021.60","78,667","9,30,904","35.05"
"INDUSINDBK","EQ","20-May-2022","866.25","888.00","900.00","881.20","899.85","896.50","892.60","22,86,465","2,04,08,88,542.10","55,112","9,12,697","39.92"
"INDUSINDBK","EQ","23-May-2022","896.50","900.00","922.00","898.95","902.00","902.40","910.15","25,77,890","2,34,62,66,845.85","66,706","8,83,834","34.29"
"INDUSINDBK","EQ","24-May-2022","902.40","905.40","917.00","895.30","896.90","897.95","905.16","21,49,695","1,94,58,23,437.35","56,889","5,45,532","25.38"
"INDUSINDBK","EQ","25-May-2022","897.95","907.80","923.50","889.55","892.50","893.35","908.18","36,64,893","3,32,83,74,868.15","77,030","8,87,365","24.21"
"INDUSINDBK","EQ","26-May-2022","893.35","902.60","906.80","877.45","902.00","897.60","889.16","39,09,078","3,47,57,89,669.15","85,938","15,27,345","39.07"
"INDUSINDBK","EQ","27-May-2022","897.60","908.35","927.00","905.20","926.00","925.40","920.45","25,09,528","2,30,98,85,700.20","64,922","6,53,799","26.05"
