"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","01-Jan-2019","281.65","282.20","283.55","279.80","283.00","282.70","281.41","24,90,548","70,08,66,321.65","27,385","8,67,443","34.83"
"ITC","EQ","02-Jan-2019","282.70","282.25","283.25","277.55","280.60","280.60","280.46","99,34,187","2,78,61,62,488.15","78,027","66,59,644","67.04"
"ITC","EQ","03-Jan-2019","280.60","280.60","282.45","277.75","278.90","278.85","279.76","61,14,946","1,71,07,15,678.90","69,851","34,29,624","56.09"
"ITC","EQ","04-Jan-2019","278.85","279.15","282.95","279.15","280.80","280.95","281.12","78,05,148","2,19,41,85,002.70","75,534","40,75,809","52.22"
"ITC","EQ","07-Jan-2019","280.95","284.30","285.25","281.00","281.55","281.65","282.60","97,57,529","2,75,75,03,044.55","91,302","53,03,732","54.36"
"ITC","EQ","08-Jan-2019","281.65","282.00","285.50","281.35","283.90","284.25","283.69","74,80,522","2,12,21,35,155.15","61,502","48,72,483","65.14"
"ITC","EQ","09-Jan-2019","284.25","285.60","291.70","284.60","291.50","290.40","288.51","1,21,82,118","3,51,46,74,091.70","97,158","65,54,370","53.80"
"ITC","EQ","10-Jan-2019","290.40","290.75","293.70","288.90","289.50","289.60","291.17","1,02,88,580","2,99,57,59,265.30","87,615","48,38,067","47.02"
"ITC","EQ","11-Jan-2019","289.60","291.90","296.00","291.50","294.70","295.35","294.22","1,67,73,035","4,93,48,99,718.90","1,33,184","88,99,748","53.06"
"ITC","EQ","14-Jan-2019","295.35","294.50","294.80","290.00","294.30","294.30","292.60","64,00,147","1,87,27,08,312.85","67,968","29,59,540","46.24"
"ITC","EQ","15-Jan-2019","294.30","295.25","297.40","294.00","295.95","296.55","296.12","72,13,165","2,13,59,86,668.45","71,341","42,26,921","58.60"
"ITC","EQ","16-Jan-2019","296.55","296.00","296.55","291.70","294.50","294.05","294.08","77,84,035","2,28,90,90,307.15","86,623","41,57,004","53.40"
"ITC","EQ","17-Jan-2019","294.05","294.10","295.60","290.15","292.90","293.95","292.42","1,06,01,100","3,09,99,65,721.65","74,516","69,00,471","65.09"
"ITC","EQ","18-Jan-2019","293.95","293.25","295.10","290.65","291.10","291.45","292.00","1,09,94,807","3,21,04,83,094.05","64,900","73,60,439","66.94"
"ITC","EQ","21-Jan-2019","291.45","292.85","293.20","288.70","289.85","289.90","290.90","82,03,333","2,38,63,50,243.55","46,892","52,19,479","63.63"
"ITC","EQ","22-Jan-2019","289.90","289.85","291.00","285.15","290.30","289.75","287.89","1,03,29,563","2,97,37,68,882.50","91,160","59,53,202","57.63"
"ITC","EQ","23-Jan-2019","289.75","291.50","294.40","275.00","276.00","277.30","284.09","4,01,88,183","11,41,68,71,914.70","2,22,738","1,65,84,110","41.27"
"ITC","EQ","24-Jan-2019","277.30","279.30","283.35","277.85","279.05","278.90","280.55","2,80,26,449","7,86,28,43,142.45","2,28,074","1,09,07,834","38.92"
"ITC","EQ","25-Jan-2019","278.90","280.00","282.70","278.50","278.60","279.20","280.86","88,97,906","2,49,90,63,224.30","1,13,187","49,63,608","55.78"
"ITC","EQ","28-Jan-2019","279.20","278.90","279.45","274.20","275.05","274.75","276.75","89,92,136","2,48,86,15,337.45","1,01,975","-","-"
"ITC","EQ","29-Jan-2019","274.75","275.30","279.00","274.75","278.30","278.45","276.78","69,98,389","1,93,70,17,436.70","1,07,287","42,73,576","61.07"
"ITC","EQ","30-Jan-2019","278.45","280.10","280.20","274.20","274.70","275.50","275.93","1,04,49,713","2,88,33,68,086.55","95,203","68,03,832","65.11"
"ITC","EQ","31-Jan-2019","275.50","276.50","279.60","273.60","278.25","278.65","277.32","1,53,46,406","4,25,58,02,357.35","1,19,095","1,04,73,776","68.25"
"ITC","EQ","01-Feb-2019","278.65","280.65","285.20","279.10","281.30","280.85","281.39","1,83,53,829","5,16,45,80,734.40","1,17,521","93,49,482","50.94"
"ITC","EQ","04-Feb-2019","280.85","281.90","281.90","276.05","277.20","277.10","278.63","60,56,619","1,68,75,83,049.40","56,370","30,21,990","49.90"
"ITC","EQ","05-Feb-2019","277.10","277.35","277.80","272.50","274.10","274.15","274.72","98,27,060","2,69,96,71,911.45","76,063","64,08,179","65.21"
"ITC","EQ","06-Feb-2019","274.15","275.00","278.40","274.55","278.00","277.70","276.88","80,97,580","2,24,20,45,784.85","78,240","52,60,374","64.96"
"ITC","EQ","07-Feb-2019","277.70","277.90","281.00","277.00","279.95","280.30","279.09","59,47,966","1,66,00,45,576.25","60,408","33,23,219","55.87"
"ITC","EQ","08-Feb-2019","280.30","279.50","281.20","274.60","275.80","275.50","277.70","44,05,887","1,22,35,23,266.80","52,501","23,20,901","52.68"
"ITC","EQ","11-Feb-2019","275.50","275.80","278.20","268.45","277.80","277.10","274.40","99,52,322","2,73,09,42,369.30","85,491","52,23,993","52.49"
"ITC","EQ","12-Feb-2019","277.10","277.05","280.50","274.60","275.60","275.30","277.85","73,41,352","2,03,97,61,970.15","80,011","31,34,340","42.69"
"ITC","EQ","13-Feb-2019","275.30","280.05","283.90","275.20","276.45","276.85","279.84","1,53,44,186","4,29,38,93,416.55","1,08,395","69,39,002","45.22"
